Product code,Product label,China's imports from Russian Federation-Value in 2012,China's imports from Russian Federation-Value in 2013,China's imports from Russian Federation-Value in 2014,China's imports from Russian Federation-Value in 2015,China's imports from Russian Federation-Value in 2016,China's imports from Russian Federation-Value in 2017,China's imports from Russian Federation-Value in 2018,China's imports from Russian Federation-Value in 2019,China's imports from Russian Federation-Value in 2020,China's imports from Russian Federation-Value in 2021,Russian Federation's exports to world- ,Russian Federation's exports to world-Value in 2012,Russian Federation's exports to world-Value in 2013,Russian Federation's exports to world-Value in 2014,Russian Federation's exports to world-Value in 2015,Russian Federation's exports to world-Value in 2016,Russian Federation's exports to world-Value in 2017,Russian Federation's exports to world-Value in 2018,Russian Federation's exports to world-Value in 2019,Russian Federation's exports to world-Value in 2020,Russian Federation's exports to world-Value in 2021,China's imports from world- ,China's imports from world-Value in 2012,China's imports from world-Value in 2013,China's imports from world-Value in 2014,China's imports from world-Value in 2015,China's imports from world-Value in 2016,China's imports from world-Value in 2017,China's imports from world-Value in 2018,China's imports from world-Value in 2019,China's imports from world-Value in 2020,China's imports from world-Value in 2021
711021,"Palladium, unwrought or in powder form",122172,129173,83239,21657,70403,88695,88696,273600,810668,419481,,1463889,882242,448250,662655,1785805,2448253,2808706,4255992,6448950,6540675,,388793,462765,539976,354739,345975,408801,539636,942060,2838556,1323901
260700,Lead ores and concentrates,322845,313999,208398,208936,256000,338978,357450,400788,385689,401283,,434274,430608,471137,318710,425947,521538,549099,561126,489301,566799,,3174532,2106746,2150568,2094514,1474991,1721454,1686412,2138966,1714467,1726460
711011,"Platinum, unwrought or in powder form",206425,257768,101991,34303,89966,145904,160977,67416,340500,397324,,97445,61358,43627,207871,530403,699507,674251,612171,667869,704591,,2637556,3282789,2476893,1975595,1448007,1347154,1283271,1093974,1695145,2699523
30367,"Frozen Alaska pollack """"Theragra chalcogramma""""""""",747293,756967,714184,659410,580761,562606,584014,874043,647310,394487,,909669,959912,883402,918000,819625,763687,741318,984980,890773,601007,,842273,881421,835490,740470,654253,637559,654580,940801,690572,420447
151211,Crude sunflower-seed or safflower oil,0,4824,3305,25955,116630,95188,168820,232880,566980,361230,,1300149,1045715,1027252,778330,1006328,1321692,1182803,1732076,1819475,2431389,,127907,518989,444095,568854,804278,589041,540727,882184,1526957,1121525
151411,"Low erucic acid rape or colza oil """"fixed oil which has an erucic acid content of < 2%"""", ...""",0,1075,2849,18896,9710,16243,65252,126866,193483,342389,,213185,297903,281613,174452,163587,231561,353186,496116,534861,905798,,1449797,1854553,772574,649118,511749,617034,1048801,1305457,1559733,2095960
390120,"Polyethylene with a specific gravity of >= 0,94, in primary forms",276,40254,42597,10,10770,49774,34847,42256,434827,315825,,192671,325358,231816,178779,213493,201748,193667,178195,516947,936518,,5515638,6920522,7056718,6462534,5995952,7543532,8825888,8276263,7947367,6790049
720310,"Ferrous products obtained by direct reduction of iron ore, in lumps, pellets or similar forms",12237,56581,7290,0,0,0,0,217272,312988,295581,,739331,732955,690229,450170,377224,671557,1045856,1063136,925999,1591614,,310009,150424,65131,29372,8319,1321,30278,407021,1027325,644205
720711,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...",0,0,0,0,0,0,0,48827,566459,291275,,1291850,1411749,1300720,1350827,1129884,1618994,2143108,1623385,2111142,2251932,,52832,53450,22532,19120,19310,44317,63107,630887,3927294,5626865
260400,Nickel ores and concentrates,20676,10526,0,15606,24756,37395,47755,26212,86951,290764,,18639,4736,196,8994,27750,28499,38166,19738,82021,299936,,5247147,5136583,4577269,2660981,1527180,2095076,2974961,3933177,2900563,4154279
30363,"Frozen cod """"Gadus morhua, Gadus ogac, Gadus macrocephalus""""""""",185661,170605,183888,191036,252714,329267,389961,360452,286110,284074,,135791,171888,203068,192022,284137,389248,432457,426278,415010,500767,,440670,433315,502880,490350,567501,676932,727128,640742,496982,445289
720110,"Non-alloy pig iron in pigs, blocks or other primary forms, containing, by weight, <= 0,5% of ...",0,26584,0,0,7222,879,0,161537,486317,268306,,1679985,1539575,1625894,1294129,1115729,1587963,2116325,1345114,1229130,1876974,,266838,118770,71766,45241,31474,37800,22518,324613,1852501,864175
440719,"Coniferous wood sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded ...""",0,0,0,0,0,5315,2264,2299,1570,252703,,0,0,0,0,57,404880,427936,466525,512885,695061,,0,0,0,0,0,328535,308256,241939,183580,432467
20714,Frozen cuts and edible offal of fowls of the species Gallus domesticus,0,0,0,0,0,0,84,90472,308744,226561,,23889,54197,56301,53680,68229,109238,118289,254593,358165,437223,,869749,927186,818256,898631,1228218,1026279,1133551,1967445,3429253,3112230
120190,"Soya beans, whether or not broken (excluding seed for sowing)",35833,26321,21666,135982,139252,163635,257350,234945,240051,216684,,35134,26136,23671,118827,132722,167096,291406,276842,414955,402677,,34976583,38009432,40261719,34895182,33958258,39627273,38077974,35419584,39527998,48306016
260800,Zinc ores and concentrates,28111,10442,1280,52275,41017,176183,282487,133062,136910,213418,,39038,36469,45168,53101,114876,187004,305536,211324,174165,323798,,1245795,1358320,1525538,2008066,1253108,2226763,3248264,2524480,2472212,3569245
440395,"Birch """"Betula spp."""" in the rough, of which any cross-sectional dimension is =>15 cm, whether ...""",0,0,0,0,0,191094,219250,127309,143114,207354,,0,0,0,0,5,330759,408346,309318,367301,410260,,0,0,0,0,0,238804,286694,180530,175052,245891
711031,"Rhodium, unwrought or in powder form",18922,14359,11847,26769,4487,3468,611,23313,166435,206094,,96975,76372,105007,74249,60942,80381,131096,227995,671966,1124216,,190312,175676,301889,176692,108432,137740,227073,564490,2447280,3752064
440321,"Pine """"Pinus spp."""" in the rough, of which the smallest cross-sectional dimension is =>15 ...""",0,0,0,0,0,614246,530455,396965,311625,186733,,0,0,0,0,245,408592,333050,283508,235382,219578,,0,0,0,0,0,3453451,4144505,3596210,2921941,3834388
270210,"Lignite, whether or not pulverised, non-agglomerated (excluding jet)",954,3864,7929,1072,7624,121803,57639,160355,246586,175257,,77652,88196,116463,130308,167166,393204,562967,504508,458459,886976,,3407374,3133252,3352914,1976779,2645858,4060842,4933455,4435463,3852181,7673409
710812,"Gold, incl. gold plated with platinum, unwrought, for non-monetary purposes (excluding gold ...",0,0,0,0,0,0,6844,63038,43104,163657,,5122557,5572369,3119673,1382822,907369,2358865,696996,5740438,18535922,17362166,,0,0,0,0,0,0,43120648,41153518,10917406,42874153
