Product code,Product label,Viet Nam's imports from Saudi Arabia-Value in 2012,Viet Nam's imports from Saudi Arabia-Value in 2013,Viet Nam's imports from Saudi Arabia-Value in 2014,Viet Nam's imports from Saudi Arabia-Value in 2015,Viet Nam's imports from Saudi Arabia-Value in 2016,Viet Nam's imports from Saudi Arabia-Value in 2017,Viet Nam's imports from Saudi Arabia-Value in 2018,Viet Nam's imports from Saudi Arabia-Value in 2019,Viet Nam's imports from Saudi Arabia-Value in 2020,Viet Nam's imports from Saudi Arabia-Value in 2021,Saudi Arabia's exports to world- ,Saudi Arabia's exports to world-Value in 2012,Saudi Arabia's exports to world-Value in 2013,Saudi Arabia's exports to world-Value in 2014,Saudi Arabia's exports to world-Value in 2015,Saudi Arabia's exports to world-Value in 2016,Saudi Arabia's exports to world-Value in 2017,Saudi Arabia's exports to world-Value in 2018,Saudi Arabia's exports to world-Value in 2019,Saudi Arabia's exports to world-Value in 2020,Saudi Arabia's exports to world-Value in 2021,Viet Nam's imports from world- ,Viet Nam's imports from world-Value in 2012,Viet Nam's imports from world-Value in 2013,Viet Nam's imports from world-Value in 2014,Viet Nam's imports from world-Value in 2015,Viet Nam's imports from world-Value in 2016,Viet Nam's imports from world-Value in 2017,Viet Nam's imports from world-Value in 2018,Viet Nam's imports from world-Value in 2019,Viet Nam's imports from world-Value in 2020,Viet Nam's imports from world-Value in 2021
71350,"Dried, shelled broad beans """"Vicia faba var. major"""" and horse beans """"Vicia faba var. equina ...""",0,0,0,0,0,0,0,0,0,,,42,65,0,36,50,119,52,89,255,157,,61,73,79,426,1098,1282,2297,4258,3177,3035
71390,"Dried, shelled leguminous vegetables, whether or not skinned or split (excluding peas, chickpeas, ...",0,0,0,0,0,0,0,0,0,,,295,628,151,818,1296,422,294,358,206,23,,752,175,204,129,1723,397,54,661,243,10947
71490,"Arrowroot, salep, Jerusalem artichokes and similar roots and tubers with high starch or inulin ...""",0,0,0,0,0,0,0,0,0,,,7061,5245,4161,6367,2900,2152,455,35,0,0,,115,108,87,185,162,177,195,302,1225,7149
80522,Fresh or dried clementines incl. monreales,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
80840,Fresh quinces,0,0,0,0,0,0,0,0,0,,,0,0,0,10,32,40,86,0,0,0,,0,0,0,0,0,0,0,0,0,
81010,Fresh strawberries,0,0,0,0,0,0,0,0,0,,,0,0,33,143,133,177,30,0,0,0,,141,119,274,268,1029,2184,3416,6048,6325,12813
81050,Fresh kiwifruit,0,0,0,0,0,0,0,0,0,,,328,317,103,330,387,667,288,0,0,0,,1935,1952,3354,5878,7630,10329,13340,15053,16396,18999
90520,"Vanilla, crushed or ground",0,0,0,0,0,0,0,0,0,,,362,172,419,318,266,239,381,128,578,1118,,82,73,128,0,86,75,25,17,5,19
90710,"Cloves, whole fruit, cloves and stems, neither crushed nor ground",0,0,0,0,0,0,0,0,0,,,0,271,228,205,90,35,224,4,0,0,,1151,1165,955,701,1399,1648,1003,1124,1376,3892
90720,"Cloves, whole fruit, cloves and stems, crushed or ground",0,0,0,0,0,0,0,0,0,,,32,62,32,8,29,21,15,0,0,2,,3,0,1,8,7,3,6,12,0,1
91011,"Ginger, neither crushed nor ground",0,0,0,0,0,0,0,0,0,,,160,0,410,1312,1270,1646,849,0,0,0,,2786,3695,4435,6652,5058,3765,4307,5554,6757,28726
91030,"Turmeric """"curcuma""""""""",0,0,0,0,0,0,0,0,0,,,0,0,74,168,66,59,19,0,0,14,,35,65,95,236,300,1002,471,698,365,988
100821,Millet seed for sowing (excluding grain sorghum),0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,14
100890,"Cereals (excluding wheat and meslin, rye, barley, oats, maize, rice, grain sorghum, buckwheat, ...",0,0,0,0,0,0,0,0,0,,,0,31,0,154,4,1,0,0,0,0,,113,9,6,16,5,93,490,313,98,3834
110429,"Grains of cereals, hulled, pearled, sliced, kibbled or otherwise worked (excluding rolled, ...",0,0,0,0,0,0,0,0,0,,,0,0,0,205,113,117,192,101,104,132,,3,0,25,16,10,77,332,183,196,529
110430,"Germ of cereals, whole, rolled, flaked or ground",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,21,,1,0,1,1,1,0,0,22,5,2
120300,Copra,0,0,0,0,0,0,0,0,0,,,0,0,0,1,0,0,9,0,0,0,,27,0,0,0,96,0,0,0,1,
120400,"Linseed, whether or not broken",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,3,0,0,0,0,,17,3,9,2,12,158,12,30,60,61
120740,"Sesamum seeds, whether or not broken",0,0,0,0,0,0,0,0,0,,,302,720,38,323,78,307,296,57,0,3,,6372,9269,24348,33770,32242,35628,48113,58810,65000,81244
121229,"Seaweeds and other algae, fresh, chilled, frozen or dried, whether or not ground, unfit for ...",0,0,0,0,0,0,0,0,0,,,0,0,0,0,13,0,7,0,0,0,,338,530,338,257,381,580,625,242,252,2106
130231,"Agar-agar, whether or not modified",0,0,0,0,0,0,0,0,0,,,0,0,0,1,0,0,0,0,0,0,,1097,609,100,983,602,454,838,2325,3042,438
140110,Bamboos,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3,0,0,0,0,0,,676,950,695,733,663,783,785,641,397,9169
150600,"Other animal fats and oils and their fractions, whether or not refined, but not chemically ...",0,0,0,0,0,0,0,0,14,,,0,0,0,0,0,2,0,0,0,145,,546,1323,1370,1276,3389,4950,5257,7155,6706,7420
150890,"Groundnut oil and its fractions, whether or not refined (excluding chemically modified and ...",0,0,0,0,0,0,0,0,0,,,112,142,40,49,0,4,4,56,0,0,,0,1,8,0,0,0,1,33,218,793
150990,Olive oil and fractions obtained from the fruit of the olive tree solely by mechanical or other ...,0,0,0,0,0,0,0,0,0,,,93,725,144,419,830,941,621,606,102,28,,2017,2316,2236,2673,1987,2116,2880,2151,1741,1202
151211,Crude sunflower-seed or safflower oil,0,0,0,0,0,0,0,0,0,,,57,663,0,7638,7642,1539,1049,948,3361,286,,65,1,9,8,2,137,22,20,143,371
151610,"Animal fats and oils and their fractions, partly or wholly hydrogenated, inter-esterified, ...",0,0,0,0,0,0,0,0,0,,,68,364,711,762,633,808,2332,1531,1826,5641,,32,1,20,2,0,0,0,42,9,2443
160210,"Homogenised prepared meat, offal, blood or insects, put up for retail sale as infant food or ...",0,0,0,0,0,0,0,0,0,,,1694,4897,5348,3314,6677,10809,891,4626,7202,17574,,60,55,2,129,51,65,7,9,3,58
160249,"Prepared or preserved meat and offal of swine, incl. mixtures (excluding hams, shoulders and ...",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,891,870,1176,1484,1195,1433,967,1183,1075,4986
160300,"Extracts and juices of meat, fish or crustaceans, molluscs and other aquatic invertebrates",0,0,0,0,0,0,0,0,0,,,0,0,0,0,3,2,0,0,0,0,,55,5,30,68,80,121,79,285,195,1418
160412,"Prepared or preserved herrings, whole or in pieces (excluding minced)",0,0,0,0,0,0,0,0,0,,,0,0,0,1,0,27,13,0,0,0,,56,71,57,29,2,54,74,226,547,1345
160414,"Prepared or preserved tunas, skipjack and Atlantic bonito, whole or in pieces (excluding minced)",0,0,0,0,0,0,0,0,0,,,1455,1908,295,1156,2003,1693,3687,317,97,29,,930,1365,1414,2688,3931,10829,16664,11754,14128,34452
160431,Caviar,0,0,0,0,0,0,0,0,0,,,608,76,0,12,0,0,0,0,0,0,,16,5,27,24,47,9,5,110,102,84
