Product code,Product label,"United States of America's imports from Taipei, Chinese-Value in 2012","United States of America's imports from Taipei, Chinese-Value in 2013","United States of America's imports from Taipei, Chinese-Value in 2014","United States of America's imports from Taipei, Chinese-Value in 2015","United States of America's imports from Taipei, Chinese-Value in 2016","United States of America's imports from Taipei, Chinese-Value in 2017","United States of America's imports from Taipei, Chinese-Value in 2018","United States of America's imports from Taipei, Chinese-Value in 2019","United States of America's imports from Taipei, Chinese-Value in 2020","United States of America's imports from Taipei, Chinese-Value in 2021","Taipei, Chinese's exports to world- ","Taipei, Chinese's exports to world-Value in 2012","Taipei, Chinese's exports to world-Value in 2013","Taipei, Chinese's exports to world-Value in 2014","Taipei, Chinese's exports to world-Value in 2015","Taipei, Chinese's exports to world-Value in 2016","Taipei, Chinese's exports to world-Value in 2017","Taipei, Chinese's exports to world-Value in 2018","Taipei, Chinese's exports to world-Value in 2019","Taipei, Chinese's exports to world-Value in 2020","Taipei, Chinese's exports to world-Value in 2021",United States of America's imports from world- ,United States of America's imports from world-Value in 2012,United States of America's imports from world-Value in 2013,United States of America's imports from world-Value in 2014,United States of America's imports from world-Value in 2015,United States of America's imports from world-Value in 2016,United States of America's imports from world-Value in 2017,United States of America's imports from world-Value in 2018,United States of America's imports from world-Value in 2019,United States of America's imports from world-Value in 2020,United States of America's imports from world-Value in 2021
970110,"Paintings, e.g. oil paintings, watercolours and pastels, and drawings executed entirely by ...",350,929,1918,2511,1126,1461,1395,1965,787,1837,,4515,4098,5206,7351,6519,7122,6188,5986,10060,17159,,5150030,5989493,5933425,8315404,6470058,7044048,7831237,7689477,3566953,6053779
850421,"Liquid dielectric transformers, having a power handling capacity <= 650 kVA",244,474,1278,1975,3668,8312,3414,7474,316,1830,,6342,1960,3683,3173,4183,4405,2126,3181,2056,2710,,272282,265616,299183,273177,249331,257585,276619,303563,347502,373656
630690,"Camping goods of textile materials (excluding tents, awnings and sunblinds, sails, pneumatic ...",1846,709,1258,1544,1018,1105,1553,1483,1150,1825,,0,19,459,291,612,1224,1102,547,698,770,,25589,24369,30734,53062,66920,68795,59867,59593,80676,143062
690919,"Ceramic wares for chemical or other technical uses (excluding of porcelain or china, articles ...",592,287,387,751,312,1191,2113,1255,1425,1822,,7159,9505,12335,13781,19881,20919,36600,44617,46114,36960,,815874,576316,724142,476699,409860,408357,410614,404889,359928,538391
850811,"Vacuum cleaners, incl. dry cleaners and wet vacuum cleaners, with self-contained electric motor, ...",1722,912,1179,1024,1222,1771,389,632,1196,1809,,1941,2076,5042,2158,1306,1633,1036,2227,3513,4109,,1734172,1750321,1957761,2143225,1964387,2286153,2674023,2094497,2798545,3252952
320419,Synthetic organic colouring matter and preparations of the kind used for colouring any materials ...,1321,1216,1514,2448,2187,2321,2785,2754,2741,1803,,17407,17099,17387,16352,22532,32988,38136,33191,31853,35163,,103902,101480,106545,103692,98700,99441,151825,123528,98063,101052
392092,"Plates, sheets, film, foil and strip, of non-cellular polyamides, not reinforced, laminated, ...",1116,1710,1724,1767,1223,1334,1381,1824,1605,1796,,35813,22445,25867,23941,19316,25035,32030,28608,30792,40894,,75879,74048,80444,73472,72701,84137,92593,106595,103335,117001
846130,"Broaching machines, for working metals, metal carbides or cermets",0,274,76,0,0,85,0,906,430,1796,,4861,4553,5407,3467,3265,5117,3838,3795,2509,3061,,26787,26260,18730,22446,15086,10906,17262,15903,3693,9091
853540,"Lightning arresters, voltage limiters and surge suppressors, for a voltage > 1.000 V",2036,2570,1845,1026,1233,1203,4405,1784,1634,1791,,1746,1059,1762,1599,2013,990,1495,2097,3145,2672,,53135,58102,59020,68597,66369,73948,91561,80073,73020,77993
30359,"Frozen anchovies """"Engraulis spp."""", Indian mackerels """"Rastrelliger spp."""", seerfishes """"Scomberomorus ...""",0,0,0,0,0,2121,1461,3020,1330,1788,,0,0,0,0,0,91199,119169,128942,79879,95027,,0,0,0,0,0,5417,6744,8171,7184,9112
831120,"Cored wire of base metal, for electric arc-welding",1978,2173,1424,916,444,256,782,718,1143,1787,,21735,18047,21396,19213,13979,10947,11670,11499,10569,13195,,84738,76563,78335,71227,50849,64286,77412,74876,55267,64761
690911,"Ceramic wares for laboratory, chemical or other technical uses, of porcelain or china (excluding ...",1065,602,886,670,496,1209,1236,967,644,1786,,1451,1783,1834,3825,12065,14774,21167,24829,30361,38496,,112743,97155,130212,118560,124756,187414,241021,194128,217158,264462
741810,"Table, kitchen or other household articles and parts thereof, and pot scourers and scouring ...",691,1420,2297,2384,1805,1278,890,1342,1367,1777,,0,381,4020,5209,4218,4334,3907,2568,2520,2273,,38332,38237,42446,56682,55156,55679,42502,34450,30003,40990
