Product code,Product label,"Korea, Republic of's imports from Taipei, Chinese-Value in 2012","Korea, Republic of's imports from Taipei, Chinese-Value in 2013","Korea, Republic of's imports from Taipei, Chinese-Value in 2014","Korea, Republic of's imports from Taipei, Chinese-Value in 2015","Korea, Republic of's imports from Taipei, Chinese-Value in 2016","Korea, Republic of's imports from Taipei, Chinese-Value in 2017","Korea, Republic of's imports from Taipei, Chinese-Value in 2018","Korea, Republic of's imports from Taipei, Chinese-Value in 2019","Korea, Republic of's imports from Taipei, Chinese-Value in 2020","Korea, Republic of's imports from Taipei, Chinese-Value in 2021","Taipei, Chinese's exports to world- ","Taipei, Chinese's exports to world-Value in 2012","Taipei, Chinese's exports to world-Value in 2013","Taipei, Chinese's exports to world-Value in 2014","Taipei, Chinese's exports to world-Value in 2015","Taipei, Chinese's exports to world-Value in 2016","Taipei, Chinese's exports to world-Value in 2017","Taipei, Chinese's exports to world-Value in 2018","Taipei, Chinese's exports to world-Value in 2019","Taipei, Chinese's exports to world-Value in 2020","Taipei, Chinese's exports to world-Value in 2021","Korea, Republic of's imports from world- ","Korea, Republic of's imports from world-Value in 2012","Korea, Republic of's imports from world-Value in 2013","Korea, Republic of's imports from world-Value in 2014","Korea, Republic of's imports from world-Value in 2015","Korea, Republic of's imports from world-Value in 2016","Korea, Republic of's imports from world-Value in 2017","Korea, Republic of's imports from world-Value in 2018","Korea, Republic of's imports from world-Value in 2019","Korea, Republic of's imports from world-Value in 2020","Korea, Republic of's imports from world-Value in 2021"
520929,"Woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m©÷, bleached ...",0,0,0,1,0,0,1,1,0,1,,825,1089,1318,1194,752,1092,738,582,1812,1807,,655,408,682,654,222,335,225,353,226,372
870893,"Clutches and parts thereof, for tractors, motor vehicles for the transport of ten or more persons, ...",482,785,77,4,3,10,12,6,3,1,,24984,29237,32311,32124,34271,48572,40510,40886,42923,53950,,82215,102859,109394,107452,102079,115081,92737,87873,75818,90165
860719,"Axles, for electrical purposes, and wheels and parts thereof for railway or tramway locomotives ...",1,0,0,0,0,0,0,0,1,1,,438,149,1043,487,501,727,585,200,257,232,,21316,36042,42408,36474,24143,22394,38641,39515,45681,68178
940610,"Prefabricated buildings of wood, whether or not complete or already assembled",0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,59,28,8,0,29,,0,0,0,0,0,5656,4789,4365,2434,3924
292419,"Acyclic amides, incl. acyclic carbamates, and their derivatives, and salts thereof (excluding ...",2,4,5,183,26,3,0,40,0,1,,8501,7540,8477,6201,5077,5717,5109,4153,3471,4641,,94811,99581,105079,98230,95294,113413,133329,126419,128778,193755
300670,Gel preparations designed to be used  in human or veterinary medicine as a lubricant for parts ...,0,0,0,0,0,0,0,0,0,1,,51,97,87,231,147,82,39,50,18,46,,1865,2812,3395,1408,1887,2259,2343,2406,2490,2995
380894,"Disinfectants, put up in forms or packings for retail sale or as preparations or articles (excl. ...",0,0,3,0,0,0,1,0,18,1,,3244,5007,5958,8344,11651,8259,11545,12989,21006,11564,,10317,9312,11894,12324,14197,15559,17075,16979,26253,31098
420329,"Gloves, mittens and mitts, of leather or composition leather (excluding special sports gloves)",7,5,0,7,13,7,5,3,4,1,,168,129,148,232,188,167,178,170,146,441,,26503,28369,26359,25532,22672,18831,20261,21960,17643,18830
220429,"Wine of fresh grapes, incl. fortified wines, and grape must whose fermentation has been arrested ...",0,1,1,1,0,0,0,2,1,1,,336,220,173,553,557,14,64,28,14,51,,4462,6542,5184,5199,5704,5420,5358,4155,5222,8841
250900,Chalk,0,0,0,0,0,0,0,0,0,1,,96,140,136,141,147,102,75,67,67,44,,42,25,43,46,118,327,158,249,203,332
90210,Green tea in immediate packings of <= 3 kg,3,8,9,4,1,0,2,11,2,1,,7962,9723,10404,13249,12067,16018,19542,23146,17400,25666,,189,346,316,391,422,406,542,486,370,568
660199,"Umbrellas and sun umbrellas, incl. walking-stick umbrellas (excluding umbrellas having a telescopic ...",2,151,166,22,20,3,5,0,4,1,,908,1086,603,1000,1013,993,1029,708,389,564,,63384,56888,57138,53834,46988,41333,47762,49132,45220,59559
691090,"Ceramic sinks, washbasins, washbasin pedestals, baths, bidets, water closet pans, flushing ...",81,10,10,0,2,9,0,0,0,1,,682,299,445,468,1116,207,77,68,144,28,,4218,4969,3427,2189,2429,1439,1240,1705,2432,2953
621220,"Girdles and panty girdles of all types of textile materials, whether or not elasticated, incl. ...",0,79,0,8,9,9,5,8,0,1,,6590,4703,4207,3810,3893,6476,4208,3320,1571,2129,,13762,11677,12736,11239,9910,10312,8398,8488,6822,5973
670411,Complete wigs of synthetic textile materials,0,0,0,0,0,0,0,0,0,1,,4,3,2,47,39,14,7,4,0,6,,1883,2573,2387,2662,3892,5281,5735,5231,4583,3617
680221,"Marble, travertine and alabaster articles thereof, simply cut or sawn, with a flat or even ...",28,72,41,3,35,80,11,6,0,1,,1412,1195,1286,1758,2879,2809,1164,1141,354,439,,88431,72426,75340,64501,49435,38167,36326,37259,28996,35537
490900,"Printed or illustrated postcards; printed cards bearing personal greetings, messages or announcements, ...",102,0,1,1,1,9,10,0,2,1,,746,985,853,702,661,602,676,427,584,492,,6921,6691,5173,3870,1541,1559,1409,1548,1557,2208
540110,"Sewing thread of synthetic filaments, whether or not put up for retail sale",11,18,54,141,26,28,1,9,7,1,,14368,15025,16075,15823,12901,13438,13224,12826,11277,11373,,9052,8684,10372,9048,8564,7710,6735,6646,6784,7564
610469,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of textile materials, ...",1,1,0,0,0,0,1,0,0,1,,3779,3899,5010,5543,637,682,482,617,596,788,,2808,2723,3243,4560,5517,6118,9454,7468,5932,7652
570190,"Carpets and other textile floor coverings, of textile materials, knotted, whether or not made ...",0,0,0,0,1,0,0,2,1,1,,134,293,75,114,85,55,77,59,111,88,,334,497,713,628,480,563,573,677,456,717
847321,"Parts and accessories of electronic calculating machines of subheading 8470.10, 8470.21 or ...",0,0,0,2,12,42,47,44,15,1,,52712,62799,72511,54633,47093,44963,36590,23586,26819,13924,,16,22,62,27,31,84,181,183,180,165
847689,"Automatic goods-vending machines, without heating or refrigerating devices; money changing ...",2,0,53,168,96,212,29,5,0,1,,22554,20385,21573,26659,25541,30675,28561,29936,20086,8196,,270,248,214,454,525,621,693,802,487,1541
841911,Instantaneous gas water heaters (excluding boilers or water heaters for central heating),0,0,0,0,5,1,0,0,0,1,,17328,16183,12613,7021,6134,7727,10141,9331,5699,9958,,217,574,1629,285,117,684,883,505,623,2157
842122,Machinery and apparatus for filtering or purifying beverages (excludingwater),0,0,0,0,8,9,0,0,2,1,,783,143,575,43,40,81,100,141,27,13,,2760,1587,11136,9865,3116,2283,3706,3047,2061,4217
840820,"Compression-ignition internal combustion piston engine """"diesel or semi-diesel engine"""", for ...""",0,7,14,14,7,0,6,0,1,1,,7883,646,816,700,1152,2140,2301,2756,2445,3375,,317178,422206,454146,552603,593251,603325,240180,181336,119368,184527
811259,"Articles of thallium, n.e.s.",0,0,0,0,0,0,5,0,2,1,,0,0,0,0,0,2,0,0,0,0,,45,128,74,56,22,39,19,47,21,1
780600,"Articles of lead, n.e.s.",55,124,141,91,116,2,3,1,4,1,,8572,6829,5581,4753,4514,5107,5952,4063,3015,4001,,2427,3551,3563,2730,2631,4584,4864,5374,4994,6963
300214,"Immunological products, mixed, not put up in measured doses or in forms or packings for retail ...",0,0,0,0,0,0,1,2,1,1,,0,0,0,0,0,0,2,2,0,0,,0,0,0,0,0,9236,35152,232651,291616,129436
380690,"Derivatives of rosin, incl. salts of rosin adducts, and of resin acids, light and heavy resin ...""",17,25,17,4,22,5,1,0,0,1,,5805,6492,5403,4134,4287,4768,4128,3430,2680,3011,,13494,16257,19067,17431,19700,22746,23139,20577,23201,26930
490300,"Children's picture, drawing or colouring books",0,34,330,131,63,1,36,0,0,1,,1983,1839,1918,2193,28975,46294,48387,68057,48901,36984,,23005,25330,29326,23345,24921,24635,26158,37813,38384,42481
440839,"Sheets for veneering, incl. those obtained by slicing laminated wood, for plywood or for other ...",0,20,5,0,0,0,0,0,6,1,,646,272,606,2535,2067,3294,3418,4015,2347,3018,,25473,18139,20620,16516,16628,8739,13475,17234,15812,26799
420340,"Clothing accessories of leather or composition leather (excluding gloves, mittens and mitts, ...",3,0,0,0,0,0,0,0,2,1,,1642,1256,1165,1290,1299,965,1006,939,994,1157,,574,536,484,686,866,1023,1135,1514,1717,1882
170410,"Chewing gum, whether or not sugar-coated",0,0,0,0,0,0,1,1,1,1,,515,900,1135,958,999,1430,2100,1525,1243,1226,,2065,1356,1845,1174,2037,2313,3622,2288,2599,2489
611692,"Gloves, mittens and mitts, of cotton, knitted or crocheted (excl. impregnated, coated, covered ...",12,23,6,0,0,0,0,1,0,1,,2059,1660,1829,1516,1362,1419,1593,1382,1540,1682,,30316,31779,29713,27133,34025,33926,34153,24992,14168,11873
481960,"Box files, letter trays, storage boxes and similar articles, of paperboard, of a kind used ...",4,2,2,113,13,2,15,5,38,1,,3981,3698,2378,2166,1687,1402,919,870,1594,2908,,7485,9211,8761,8477,9203,7620,6881,6592,5757,7363
520911,"Plain woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m©÷, ...",0,105,78,213,273,48,1,1,0,1,,1973,2276,893,571,301,312,629,1182,1303,1195,,3370,4697,4923,4930,4916,3940,4953,3371,3525,4269
620819,"Women's or girls' slips and petticoats of textile materials (excluding man-made fibres, knitted ...",21,12,0,0,3,11,8,12,0,1,,46,34,17,5,24,20,113,82,54,51,,1067,988,1115,503,675,842,726,738,812,1320
620192,"Men's or boys' anoraks, windcheaters, wind jackets and similar articles, of cotton (not knitted ...",0,0,0,0,0,0,0,2,2,1,,361,455,492,320,305,591,503,740,540,388,,46896,45034,51255,38921,33349,28165,30401,34188,29139,41908
690600,"Ceramic pipes, conduits, guttering and pipe fittings (excluding of siliceous fossil meals or ...",0,0,0,0,0,10,16,0,2,1,,456,490,461,382,384,449,626,501,318,371,,1433,1623,1572,1600,1664,1425,1853,1933,2069,1869
740929,"Plates, sheets and strip, of copper-zinc base alloys """"brass"""", of a thickness of > 0,15 mm, ...""",7,27,16,6,7,3,1,2,3,1,,56566,45960,10520,8773,8245,10607,12196,5263,8621,5353,,9805,6096,4787,3507,3097,2524,3116,2116,2210,2688
854071,Magnetrons,0,0,3,0,0,1,0,1,1,1,,1543,997,823,1241,1137,1149,1046,1408,2566,2417,,5796,5927,4183,6233,5784,8381,6459,6144,6400,7730
940140,"Seats, convertible into beds (excluding garden seats and camping equipment, and medical, dental ...",71,0,0,0,0,0,0,0,0,1,,73,26,0,7,43,19,31,17,3,14,,3755,3436,4473,5753,6121,6527,7785,14932,21050,22716
910212,"Wrist-watches, whether or not incorporating a stop-watch facility, electrically operated, with ...",4,21,26,25,31,1,1,28,0,1,,3305,3615,3988,31869,87091,9033,3624,19840,5160,6724,,3283,5290,3922,2802,2694,1847,1678,2101,2737,4250
940591,"Parts of lamps and lighting fittings, illuminated signs and nameplates and the like, of glass, ...",0,11,0,0,1,7,2,0,0,1,,4249,3579,3094,2812,2444,2337,1539,1746,1187,1607,,9726,7134,10086,12391,10971,9743,5626,3477,2794,2457
920290,"Guitars, harps and other string musical instruments (excluding with keyboard and those played ...",81,2,14,13,13,1,0,0,1,1,,462,352,869,1264,984,1485,1371,1744,487,1094,,25320,24237,22208,19884,16614,14522,16692,17634,17897,22304
900640,Instant print cameras (excluding special cameras of subheading 9006.10 or 9006.30),0,0,0,0,0,0,0,0,0,1,,686,607,732,122,4,78,209,79,4,119,,10075,7843,5527,4809,5970,4598,7650,4906,6468,13637
870710,Bodies for motor cars and other motor vehicles principally designed for the transport of persons,39,0,0,0,0,0,0,0,1,1,,57,44,26,374,367,512,656,1170,530,42,,1251,854,4111,2249,2376,2324,1084,3879,2993,7835
620432,"Women's or girls' jackets and blazers of cotton (excluding knitted or crocheted, wind-jackets ...",0,0,5,1,0,0,0,21,0,1,,262,285,201,214,277,223,153,232,394,262,,32347,28040,33683,32489,38551,37842,47517,49978,41601,52387
620112,"Men's or boys' overcoats, raincoats, car coats, capes, cloaks and similar articles, of cotton ...",0,0,0,0,0,0,1,0,0,1,,487,352,231,119,88,59,233,236,536,381,,14736,19170,16120,15050,15673,13569,18756,22449,18260,19929
640510,"Footwear with uppers of leather or composition leather (excluding with outer soles of rubber, ...",2,7,1,0,1,1,1,0,1,1,,853,1021,1190,3353,3265,1830,1362,1126,697,1219,,8383,10744,8139,4760,3568,6831,9485,7928,9885,10719
710410,"Quartz, piezoelectric, of synthetic or reconstructed stone whether or not worked or graded, ...",1,1,0,2,2,0,1,0,0,1,,111,681,70,57,9,6,58,155,660,771,,740,1047,906,1199,1446,2249,1339,796,730,717
722599,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, hot-rolled ...""",0,0,570,0,68,8,0,0,0,1,,2799,3347,6944,7385,3999,6037,4918,2581,4327,2187,,30830,51978,68085,48519,44859,56441,74043,102997,100623,129680
701810,"Glass beads, imitation pearls, imitation precious or semi-precious stones and similar glass ...",15,14,12,2,3,2,0,0,0,1,,2235,2694,3311,2336,2013,2013,4144,2538,1121,1020,,42711,38364,32102,20919,16692,16643,19587,17650,15189,12457
540754,"Woven fabrics of yarn containing >= 85% by weight of textured polyester filaments, incl. monofilament ...",1,8,0,2,0,2,0,7,1,1,,53753,50465,54213,50823,45298,40600,43853,37130,36294,42882,,509,469,953,1052,1165,1190,2870,5508,2858,2020
540741,"Woven fabrics of yarn containing >= 85% by weight of filaments of nylon or other polyamides, ...",827,847,1114,1482,20,2,7,1,0,1,,110243,113795,114707,111577,116144,129507,143732,118388,78041,87680,,3258,4668,5630,5850,5627,7246,7762,7748,4336,3550
520645,"Multiple """"folded"""" or cabled cotton yarn containing predominantly, but < 85% cotton by weight, ...""",0,1,0,0,2,0,0,0,0,1,,79,309,193,33,60,11,41,49,67,124,,828,802,509,542,627,628,837,672,575,834
551130,"Yarn of artificial staple fibres, put up for retail sale (excluding sewing thread)",27,3,3,12,6,22,4,1,0,1,,8,2,21,21,12,15,7,0,0,0,,478,520,606,682,263,613,555,235,341,132
610419,"Women's or girls' suits of textile materials, knitted or crocheted (excluding of synthetic ...",0,0,0,0,0,0,0,0,0,1,,198,155,174,135,110,65,29,8,7,5,,619,394,415,619,317,514,727,252,877,2007
600490,"Knitted or crocheted fabrics, of a width of > 30 cm, containing >= 5% by weight elastomeric ...""",59,66,42,176,23,11,1,0,0,1,,67070,68022,83094,85980,85973,78411,49253,33697,26001,38284,,1535,2093,1901,1144,1213,2676,2721,3030,2197,1588
850161,"AC generators """"alternators"""", of an output <= 75 kVA (excl. photovoltaic generators)""""",0,52,1,15,2,161,148,2,0,1,,8924,8773,8846,8122,8104,9648,9253,8937,8073,5592,,9810,9873,22172,16449,23199,27203,34838,22643,16838,13075
851632,Electro-thermic hairdressing apparatus (excluding hairdryers),13,8,11,46,3,28,0,10,0,1,,1884,2531,993,1047,900,508,549,801,667,930,,17458,27188,25082,23350,20899,25595,34599,73284,138592,162203
851110,Sparking plugs of a kind used for spark-ignition or compression-ignition internal combustion ...,1,2,2,0,3,1,3,5,5,1,,1387,2241,2834,1771,1947,1151,1710,1094,777,2257,,24515,27093,29758,21679,19063,18685,18895,19507,19078,22554
750120,Nickel oxide sinters and other intermediate products of nickel metallurgy (excluding nickel ...,0,0,0,0,3,22,0,0,0,1,,1011,1397,586,2223,653,1758,2028,1928,2327,2206,,312580,305882,179514,118419,169855,138059,102809,58773,90421,74000
740321,"Copper-zinc base alloys """"brass"""" unwrought""""",0,0,0,0,0,0,1,0,0,1,,14740,16409,14387,11225,11870,14547,18883,23605,50249,36391,,6474,2991,3544,1765,1900,2118,1531,712,402,356
840721,Spark-ignition outboard motors for marine propulsion,0,0,0,0,0,9,0,1,2,1,,7,64,94,69,32,30,131,142,79,174,,24415,24367,22668,30815,31094,36872,33049,33353,28815,28966
840290,"Parts of vapour generating boilers and superheated water boilers, n.e.s.",0,0,1,0,3,2,282,0,12,1,,56991,8733,32825,26920,8833,8066,6651,12076,7893,11881,,53175,106721,156484,106163,38201,47538,46710,42212,37838,37621
370252,"Photographic film, sensitised, in rolls, unexposed, with perforations, for colour photography ...""",0,0,0,0,0,0,0,0,0,1,,3,31,0,1,6,0,0,0,0,0,,32,12,8,5,0,5,2,4,7,3
401035,"Endless synchronous belts, of vulcanised rubber, of an outside circumference > 60 cm but <= ...",0,0,0,0,0,0,0,0,0,1,,68,56,69,90,62,315,365,179,55,51,,5147,4136,3852,2882,2917,3542,3343,3282,3699,7677
442191,"Articles of bamboo, n.e.s.",0,0,0,0,0,6,0,1,1,1,,0,0,0,0,0,654,643,820,837,1156,,0,0,0,0,0,6157,6797,7592,6385,6906
170114,"Raw cane sugar, in solid form, not containing added flavouring or colouring matter (excluding ...",0,0,6,1,0,0,0,327,4,1,,0,11,102,394,94,456,2162,1998,1205,2132,,985998,806424,752428,623744,674744,789625,602657,575322,590495,792545
911310,"Watch straps, watch bands and watch bracelets, and parts thereof, of precious metal or of metal ...",0,0,0,15,0,0,0,0,1,1,,13,56,437,82,40,11,3,10,61,33,,170,170,199,171,258,301,267,330,509,991
852842,"Cathode-ray tube monitors """"CRT"""" capable of directly connecting to and designed for use with ...""",0,0,0,0,0,0,0,1,0,1,,0,0,0,0,0,469,954,995,209,11,,0,0,0,0,0,561,76,88,66,93
853530,"Isolating switches and make-and-break switches, for a voltage > 1.000 V",8,1,2,1,2,0,9,0,1,1,,844,799,836,668,801,910,1330,1387,1251,741,,9577,35865,34841,29305,17018,16248,15832,23523,11685,9817
761490,"Stranded wires, cables, ropes and similar articles, of aluminium (other than with steel core ...",0,8,6,39,8,4,2,2,0,1,,891,912,916,1000,906,1045,731,880,977,892,,491,815,2152,1522,3412,4370,3533,10963,35211,45321
620442,Women's or girls' dresses of cotton (excluding knitted or crocheted and petticoats),7,0,5,1,0,0,1,1,0,1,,739,1339,1150,1284,896,1023,707,551,660,734,,29751,34995,47454,56103,59192,68571,74483,73357,62771,81109
610290,"Women's or girls' overcoats, car coats, capes, cloaks, anoraks, incl. ski jackets, windcheaters, ...",0,0,0,0,0,0,0,0,0,1,,396,598,378,293,182,854,999,419,237,567,,575,1495,1432,1615,1016,717,1135,1799,793,1521
631090,"Used or new rags, scrap twine, cordage, rope and cables and worn-out articles thereof, of textile ...",0,1,0,0,0,0,0,0,0,1,,2889,2438,2840,1924,2795,2560,2599,2061,2166,3118,,1185,2066,2140,1097,688,454,544,1813,961,843
600590,"Warp knit fabrics """"incl. those made on galloon knitting machines"""", of a width of > 30 cm ...""",81,233,40,0,0,1,0,1,1,1,,15506,25626,32296,26999,25395,38781,35180,35966,18224,25382,,4749,6279,3707,1938,4077,12102,8011,3583,793,904
551694,"Woven fabrics containing predominantly, but < 85% artificial staple fibres by weight, other ...",1,1,0,2,1,0,0,0,0,1,,11116,10662,11365,6142,1784,454,340,353,268,271,,75,151,133,165,89,166,317,173,43,61
560500,"Metallised yarn, whether or not gimped, being textile yarn, or strip or the like of heading ...",28,0,0,0,30,0,0,15,8,1,,4763,3038,2425,2472,1863,2679,2396,2027,1178,1381,,1203,1121,1572,1028,626,1234,1330,1662,1022,1027
