Product code,Product label,Viet Nam's imports from United States of America-Value in 2012,Viet Nam's imports from United States of America-Value in 2013,Viet Nam's imports from United States of America-Value in 2014,Viet Nam's imports from United States of America-Value in 2015,Viet Nam's imports from United States of America-Value in 2016,Viet Nam's imports from United States of America-Value in 2017,Viet Nam's imports from United States of America-Value in 2018,Viet Nam's imports from United States of America-Value in 2019,Viet Nam's imports from United States of America-Value in 2020,Viet Nam's imports from United States of America-Value in 2021,United States of America's exports to world- ,United States of America's exports to world-Value in 2012,United States of America's exports to world-Value in 2013,United States of America's exports to world-Value in 2014,United States of America's exports to world-Value in 2015,United States of America's exports to world-Value in 2016,United States of America's exports to world-Value in 2017,United States of America's exports to world-Value in 2018,United States of America's exports to world-Value in 2019,United States of America's exports to world-Value in 2020,United States of America's exports to world-Value in 2021,Viet Nam's imports from world- ,Viet Nam's imports from world-Value in 2012,Viet Nam's imports from world-Value in 2013,Viet Nam's imports from world-Value in 2014,Viet Nam's imports from world-Value in 2015,Viet Nam's imports from world-Value in 2016,Viet Nam's imports from world-Value in 2017,Viet Nam's imports from world-Value in 2018,Viet Nam's imports from world-Value in 2019,Viet Nam's imports from world-Value in 2020,Viet Nam's imports from world-Value in 2021
950669,"Balls (excluding inflatable, tennis balls, golf balls, and table-tennis balls)",0,0,1,10,13,15,14,13,37,,,9157,13959,9272,8800,9018,10058,8069,7533,6861,7741,,99,180,641,168,268,830,327,491,411,2764
950699,Articles and equipment for sport and outdoor games n.e.s; swimming and paddling pools,92,117,7760,353,2068,1411,982,263,592,,,508239,546646,550033,512192,526595,527541,502747,505198,454766,620476,,7489,11596,21895,17563,54012,66931,30136,28967,32144,77531
960110,"Worked ivory and articles of ivory, n.e.s.",0,0,0,0,0,0,0,0,0,,,554,810,744,408,485,704,1211,649,234,423,,0,0,0,0,0,3,0,0,3,11
960390,Mops and leather dusters; prepared knots and tufts for broom or brush making; squeegees of ...,76,66,91,191,186,201,276,205,176,,,67674,73862,77540,89679,84490,85926,101052,97330,103299,118058,,8232,7533,8766,10601,14400,20048,25089,26724,26299,63246
960711,Slide fasteners fitted with chain scoops of base metal,6,0,2,0,2,0,11,4,8,,,13835,11262,14566,16684,18370,15427,17321,19121,13621,16767,,24697,32590,44584,45679,49684,46818,50189,51033,38512,52829
960899,"Parts of ball-point pens, felt-tipped and other porous-tipped pens and markers, fountain pens ...",176,412,407,294,518,603,569,189,163,,,23117,23045,25481,25804,24586,25205,32586,21266,17139,23139,,4810,7361,7534,8355,9890,13378,12432,14214,11820,8258
961000,"Slates and boards, with writing or drawing surfaces, whether or not framed",0,0,1,2,13,1,5,12,0,,,14542,19553,29660,22693,20209,20766,25127,26334,22289,23288,,279,319,304,299,307,429,326,439,697,6241
961400,"Smoking pipes, incl. pipe bowls, cigar or cigarette holders, and parts thereof, n.e.s.",0,0,0,0,1,0,1,0,2,,,12747,9768,10590,9170,9365,7515,7892,11149,12337,17127,,6,0,2,23,21,13,14,30,75,1679
999999,Commodities not elsewhere specified,6295,4900,7208,6534,2615,4610,1965,3235,4568,,,134948065,147126482,156308271,160931823,161065057,163414813,176931296,172660423,112911792,130744945,,352212,656875,742157,766409,205930,290383,3258629,3600566,2139161,3659028
10129,Live horses (excluding pure-bred for breeding),0,0,0,0,0,0,0,52,0,,,195347,170988,236298,189578,158081,188067,210837,121005,108874,103821,,0,0,0,250,900,731,13,165,23,2
10229,Live cattle (excluding pure-bred for breeding),0,0,0,0,0,0,0,0,0,,,39994,15305,34557,30136,32833,146192,176666,208047,223120,443167,,7493,59723,242376,433251,330062,284521,330352,553030,634926,304361
10513,"Live domestic ducks, weighing <= 185 g",0,0,0,0,0,0,0,0,0,,,2516,3427,3169,984,1149,692,887,550,541,435,,22,123,282,205,982,234,401,973,1241,879
10515,"Live domestic guinea fowls, weighing <= 185 g",0,0,0,0,0,0,0,0,0,,,59,73,64,54,114,82,95,54,159,258,,0,0,0,0,0,0,0,0,0,50
10619,"Live mammals (excluding primates, whales, dolphins and porpoises, manatees and dugongs, seals, ...",0,0,0,0,1,1,1,50,3,,,40667,41261,43977,48786,47091,49546,53094,52541,55100,65416,,1550,1312,739,1024,1015,1568,917,1038,264,167
20130,"Fresh or chilled bovine meat, boneless",297,478,790,885,943,1751,1328,1772,441,,,2363743,2695434,2902630,2487439,2521922,3157537,3434807,3299768,3372353,4406108,,4871,6402,7737,9195,10818,13159,14433,19612,21477,20327
20322,"Frozen hams, shoulders and cuts thereof of swine, with bone in",473,711,156,51,30,256,61,602,4986,,,217619,171708,217402,200584,240456,202530,142480,213143,447023,389648,,1884,1857,463,1187,967,783,586,1378,17506,47666
20422,"Fresh or chilled cuts of sheep, with bone in (excluding carcases and half-carcases)",0,4,0,0,0,0,0,0,0,,,3623,3649,3822,2269,1416,1416,1105,1229,1646,1759,,287,281,348,258,224,331,497,552,284,128
20443,Frozen boneless cuts of sheep,0,0,0,0,0,0,0,0,0,,,2969,1737,2764,2347,3253,4347,3692,4293,1640,1779,,627,641,751,842,921,837,1612,1387,703,649
20649,"Edible offal of swine, frozen (excluding livers)",549,552,297,231,404,209,1650,9132,11860,,,584289,618091,641498,518523,729301,806804,593251,556822,665361,844883,,1215,1103,4757,10348,24199,25768,41141,78288,100856,134878
20711,"Fresh or chilled fowls of the species Gallus domesticus, not cut in pieces",0,0,0,0,0,0,0,0,0,,,31338,39452,29724,46037,52753,32013,22727,22423,18647,15900,,0,0,0,0,0,1,0,2,0,
20724,"Fresh or chilled turkeys of the species domesticus, not cut in pieces",0,0,0,0,0,0,0,0,0,,,20759,15618,12268,18806,28241,22594,18312,16647,13919,17589,,0,0,0,0,21,7,29,0,0,7
20745,Frozen cuts and edible offal of domestic ducks,0,0,0,0,0,0,0,0,0,,,5440,5022,4687,6105,3601,5314,3522,2985,4413,3419,,374,713,689,1268,1018,1086,1760,3057,5474,1138
