Product code,Product label,China's imports from India-Value in 2012,China's imports from India-Value in 2013,China's imports from India-Value in 2014,China's imports from India-Value in 2015,China's imports from India-Value in 2016,China's imports from India-Value in 2017,China's imports from India-Value in 2018,China's imports from India-Value in 2019,China's imports from India-Value in 2020,China's imports from India-Value in 2021,India's exports to world- ,India's exports to world-Value in 2012,India's exports to world-Value in 2013,India's exports to world-Value in 2014,India's exports to world-Value in 2015,India's exports to world-Value in 2016,India's exports to world-Value in 2017,India's exports to world-Value in 2018,India's exports to world-Value in 2019,India's exports to world-Value in 2020,India's exports to world-Value in 2021,China's imports from world- ,China's imports from world-Value in 2012,China's imports from world-Value in 2013,China's imports from world-Value in 2014,China's imports from world-Value in 2015,China's imports from world-Value in 2016,China's imports from world-Value in 2017,China's imports from world-Value in 2018,China's imports from world-Value in 2019,China's imports from world-Value in 2020,China's imports from world-Value in 2021
843699,"Parts of agricultural, horticultural, forestry or bee-keeping machinery, n.e.s.",0,0,4,0,0,0,8,0,0,0,,1953,2378,2669,2488,4940,2916,31308,3837,3617,6648,,5335,4278,4149,5368,3912,4391,4125,4446,6554,11672
843710,"Machines for cleaning, sorting or grading seed, grain or dried leguminous vegetables",300,117,426,0,0,6,0,0,74,0,,13028,18086,21640,13649,18046,21791,22172,16826,20616,20828,,20024,13488,15893,8551,10290,9500,14548,7236,7822,5469
843230,"Seeders, planters and transplanters for use in agriculture, horticulture and forestry",0,0,0,0,0,0,0,0,0,0,,824,925,2221,1683,1056,135,0,0,0,0,,84602,79101,61274,45675,42631,168,0,0,0,0
843240,"Manure spreaders and fertiliser distributors for use in agriculture, horticulture and forestry",0,0,3,89,2,0,0,0,0,0,,574,5,101,149,232,83,0,0,0,0,,4527,6478,8632,11332,10961,0,0,0,0,0
843353,Root or tuber harvesting machines,0,0,0,0,0,0,0,0,0,0,,92,105,30,598,201,103,128,20,2,87,,20204,10059,9461,9512,12515,16228,13414,11152,5949,4224
152200,Degras; residues resulting from the treatment of fatty substances or animal or vegetable waxes,0,0,0,0,0,0,0,0,0,0,,2510,339,450,186,30,34,61,16,259,84,,0,0,0,0,0,0,0,0,0,0
160413,"Prepared or preserved sardines, sardinella and brisling or sprats, whole or in pieces (excluding ...",0,0,0,0,0,0,0,0,0,0,,104,848,946,1327,3475,3728,2180,1639,2256,3602,,1597,1304,1048,731,985,810,640,757,2034,805
160415,"Prepared or preserved mackerel, whole or in pieces (excluding minced)",0,0,0,0,0,0,0,0,0,0,,4,23,2,0,0,9,4,4,19,24,,315,547,293,339,299,156,498,320,235,124
160562,"Sea urchins, prepared or preserved (excluding smoked)",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,5,0,0,2,3,0,0,1,2,2
170113,"Raw cane sugar, in solid form, not containing added flavouring or colouring matter, obtained ...",775,0,0,0,0,0,0,0,0,0,,0,115406,99264,33325,34095,24724,36041,74186,25055,33851,,777,2,3,15,39,0,2,0,0,0
170250,Chemically pure fructose in solid form,0,0,0,0,0,0,0,0,0,0,,10,43,38,37,3,4,216,39,15,3,,2150,2794,2275,3102,2982,4664,2645,3193,6851,16371
180100,"Cocoa beans, whole or broken, raw or roasted",0,0,0,0,0,0,0,0,0,0,,723,193,249,13518,79,362,328,320,430,691,,86743,113337,106408,91533,87016,62987,74044,73407,52968,39532
180632,"Chocolate and other preparations containing cocoa, in blocks, slabs or bars of <= 2 kg (excluding ...",0,0,0,0,0,0,0,0,0,0,,5,229,550,1023,981,1885,14124,11574,6664,8998,,26182,38183,39897,49874,44739,54803,63013,69640,67014,93887
110811,Wheat starch,0,0,0,0,0,0,0,0,0,0,,6,46,25,30,2597,326,342,349,217,22,,499,466,516,643,532,722,674,2026,1442,4665
120590,"High erucic rape or colza seeds """"yielding a fixed oil which has an erucic acid content of ...""",0,0,0,0,0,0,0,0,0,0,,66,99,258,2,60,72,0,16,8,0,,2946,5047,20526,36921,22306,62606,106827,90880,156231,59426
120721,Cotton seeds for sowing,0,0,0,0,0,0,0,0,0,0,,0,173,220,190,444,738,1226,1911,1047,1328,,0,0,1,0,0,0,0,0,1,1
100710,"Grain sorghum, for sowing",0,0,0,0,0,0,0,0,0,0,,0,13120,9557,5281,4030,5341,12529,15156,8807,8111,,59,27,4,8,269,794,375,3,2,0
100790,Grain sorghum (excluding for sowing),0,0,0,0,0,0,0,0,0,0,,0,15273,25399,29077,18810,5479,22152,6374,7660,14122,,23253,369126,1637695,2970799,1427896,1025366,857319,192313,1156070,2783941
100850,"Quinoa """"Chenopodium quinoa""""""""",0,0,0,0,0,0,0,0,0,0,,0,4,0,1,3,50,282,960,1009,1372,,0,0,89,169,0,0,1,5754,4585,5879
110220,"Maize """"corn"""" flour""""",0,0,0,0,0,0,0,0,0,0,,466,1866,1930,2507,3340,2759,3455,3581,4804,4626,,579,965,806,888,824,1123,1643,1619,1419,1458
60314,"Fresh cut chrysanthemums and buds, of a kind suitable for bouquets or for ornamental purposes",0,0,3,0,0,6,0,0,0,0,,0,6,7,3,23,94,86,58,43,44,,181,725,1061,993,1649,2790,3433,3903,2050,1901
70110,Seed potatoes,0,0,0,0,0,0,0,0,0,0,,608,767,763,684,1043,2038,1005,570,883,355,,0,0,0,2,19,11,7,1,0,0
70690,"Fresh or chilled salad beetroot, salsify, celeriac, radishes and similar edible roots (excluding ...",0,0,0,0,0,0,0,0,0,0,,778,622,725,542,300,395,371,155,240,470,,0,57,15,0,0,5,0,0,0,0
70920,Fresh or chilled asparagus,0,0,0,0,0,0,0,0,0,0,,0,62,1,17,23,2,16,9,16,11,,38,11,6,54,121,69,465,496,66,30
70991,Fresh or chilled globe artichokes,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0
