Product code,Product label,Saudi Arabia's imports from United States of America-Value in 2012,Saudi Arabia's imports from United States of America-Value in 2013,Saudi Arabia's imports from United States of America-Value in 2014,Saudi Arabia's imports from United States of America-Value in 2015,Saudi Arabia's imports from United States of America-Value in 2016,Saudi Arabia's imports from United States of America-Value in 2017,Saudi Arabia's imports from United States of America-Value in 2018,Saudi Arabia's imports from United States of America-Value in 2019,Saudi Arabia's imports from United States of America-Value in 2020,Saudi Arabia's imports from United States of America-Value in 2021,United States of America's exports to world- ,United States of America's exports to world-Value in 2012,United States of America's exports to world-Value in 2013,United States of America's exports to world-Value in 2014,United States of America's exports to world-Value in 2015,United States of America's exports to world-Value in 2016,United States of America's exports to world-Value in 2017,United States of America's exports to world-Value in 2018,United States of America's exports to world-Value in 2019,United States of America's exports to world-Value in 2020,United States of America's exports to world-Value in 2021,Saudi Arabia's imports from world- ,Saudi Arabia's imports from world-Value in 2012,Saudi Arabia's imports from world-Value in 2013,Saudi Arabia's imports from world-Value in 2014,Saudi Arabia's imports from world-Value in 2015,Saudi Arabia's imports from world-Value in 2016,Saudi Arabia's imports from world-Value in 2017,Saudi Arabia's imports from world-Value in 2018,Saudi Arabia's imports from world-Value in 2019,Saudi Arabia's imports from world-Value in 2020,Saudi Arabia's imports from world-Value in 2021
150200,"Fats of bovine animals, sheep or goats (excluding lard stearin, lard oil, oleostearin, oleooil ...",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,98
150430,"Fats and oils and their fractions of marine mammals, whether or not refined (excluding chemically ...",0,0,0,0,0,0,0,0,0,0,,0,0,253,2208,309,563,0,11,0,0,,0,0,0,6,0,306,0,0,107,0
151321,Crude palm kernel and babassu oil,0,0,0,0,0,0,0,0,0,0,,179,153,120,221,147,57,0,0,31,0,,1711,629,371,919,383,616,213,2261,4809,13732
160231,"Meat or offal of turkeys """"Gallus domesticus"""", prepared or preserved (excluding sausages ...""",0,518,0,0,0,315,0,0,0,0,,45059,45310,56154,69440,69390,85626,77306,79635,70676,54996,,1967,32476,4051,1289,8778,16509,42600,39143,45346,8780
160232,"Meat or offal of fowls of the species """"Gallus domesticus"""", prepared or preserved (excluding ...""",1467,288,81,151,0,0,0,0,0,0,,257866,304927,325857,292943,267903,300615,302830,241084,198986,253811,,28405,30662,75421,86215,71617,18787,8541,9855,3903,92880
160411,"Prepared or preserved salmon, whole or in pieces (excluding minced)",0,0,112,0,0,0,29,3,0,0,,222433,229189,207720,197214,178028,159750,166556,157457,193363,155904,,33,103,232,840,560,394,634,1974,2544,2009
160416,"Prepared or preserved anchovies, whole or in pieces (excluding minced)",0,0,0,0,0,0,0,3,0,0,,2322,740,961,2851,604,603,1687,441,213,491,,595,749,562,518,727,570,530,422,278,89
200897,"Mixtures of fruits, nuts and other edible parts of plants, prepared or preserved, whether or ...",219,29,80,0,41,0,0,0,52,0,,70739,83507,87815,86766,80738,85907,88377,90274,91093,101682,,1790,271,166,440,1159,799,638,1547,1369,501
160529,"Shrimps and prawns, prepared or preserved, in airtight containers (excluding smoked)",0,0,0,0,0,0,4,69,0,0,,4712,3339,4158,4175,2598,2023,2350,3917,2532,3159,,3304,3161,3906,4142,1586,1389,1706,530,545,2493
160551,"Oysters, prepared or preserved (excluding smoked)",0,0,0,0,0,0,0,15,0,0,,3224,2040,367,298,188,148,169,258,149,217,,0,0,0,10,3,0,0,22,175,19
160558,"Snails, prepared or preserved (excluding smoked and sea snails)",0,0,0,0,0,0,0,0,0,0,,1118,1449,270,132,162,235,170,177,88,223,,0,0,0,1,0,0,0,0,12,8
282911,Chlorate of sodium,0,0,0,0,0,0,67,27,0,0,,24304,22472,25727,22994,22070,23880,23501,25459,21146,26491,,0,0,0,32,309,530,202,794,310,0
251830,Dolomite ramming mix,36,0,0,0,0,0,0,0,0,0,,1587,917,1012,1124,838,1317,1891,1463,461,160,,71,0,487,377,150,155,30,5,16,1283
252210,Quicklime,194,0,0,0,0,238,57,12,0,0,,19093,26452,33991,41248,40636,48407,48278,39409,25682,30042,,2491,270,450,578,202,434,326,315,180,270
