Product code,Product label,Germany's imports from United States of America-Value in 2012,Germany's imports from United States of America-Value in 2013,Germany's imports from United States of America-Value in 2014,Germany's imports from United States of America-Value in 2015,Germany's imports from United States of America-Value in 2016,Germany's imports from United States of America-Value in 2017,Germany's imports from United States of America-Value in 2018,Germany's imports from United States of America-Value in 2019,Germany's imports from United States of America-Value in 2020,Germany's imports from United States of America-Value in 2021,United States of America's exports to world- ,United States of America's exports to world-Value in 2012,United States of America's exports to world-Value in 2013,United States of America's exports to world-Value in 2014,United States of America's exports to world-Value in 2015,United States of America's exports to world-Value in 2016,United States of America's exports to world-Value in 2017,United States of America's exports to world-Value in 2018,United States of America's exports to world-Value in 2019,United States of America's exports to world-Value in 2020,United States of America's exports to world-Value in 2021,Germany's imports from world- ,Germany's imports from world-Value in 2012,Germany's imports from world-Value in 2013,Germany's imports from world-Value in 2014,Germany's imports from world-Value in 2015,Germany's imports from world-Value in 2016,Germany's imports from world-Value in 2017,Germany's imports from world-Value in 2018,Germany's imports from world-Value in 2019,Germany's imports from world-Value in 2020,Germany's imports from world-Value in 2021
391740,"Fittings, e.g. joints, elbows, flanges, of plastics, for tubes, pipes and hoses",26129,21538,23183,23159,23756,26624,29252,28751,25617,35251,,496276,528124,573119,565753,577000,604844,761738,671173,634836,851462,,522892,573258,600706,546074,575577,664549,722881,700079,713136,858627
850131,"DC motors of an output > 37,5 W but <= 750 W and DC generators of an output <= 750 W (excl. ...",26033,26600,28582,31813,31241,38017,35851,34860,27477,35165,,464197,502315,597010,614907,730345,860635,844027,807620,812397,783373,,702569,834367,972133,964447,1216573,1435189,1565428,1374310,1522357,1848772
390230,"Propylene copolymers, in primary forms",2707,2824,3435,3853,2541,6049,10086,13317,18358,35100,,1319162,1369267,1395207,1176681,1152593,1293602,1459597,1364827,1155823,1720507,,1291684,1412493,1531343,1181525,1081428,1225704,1424257,1264632,1043867,1569825
390190,"Polymers of ethylene, in primary forms (excluding polyethylene and ethylene-vinyl acetate  ...",38947,42950,41159,34536,37094,47583,50040,38102,28833,34963,,2269665,2438430,2409341,2373036,2140680,1341900,1091195,1007262,851093,1005712,,732531,795838,806697,707668,671431,296982,317530,253807,232564,301501
391739,"Flexible tubes, pipes and hoses, of plastics, reinforced or otherwise combined with other materials ...",16299,21826,24300,22530,24359,26348,30149,31913,29597,34911,,323434,369603,349686,367385,321843,361079,453486,436453,358007,423366,,184046,206633,236032,197382,207975,235685,277717,290567,317218,393657
220429,"Wine of fresh grapes, incl. fortified wines, and grape must whose fermentation has been arrested ...",43399,40993,33524,26466,21996,21040,25287,36170,41409,34511,,231034,251646,255754,240727,218555,216666,240818,272389,287407,192787,,695795,839911,707886,552435,535121,556582,681047,566750,571299,541834
902230,X-ray tubes,27228,34392,31729,28164,31368,33683,43024,41776,36321,34357,,542179,568276,600965,597336,613678,649722,563079,569003,542433,635848,,94307,99904,86173,77128,80822,75780,86416,91016,90690,91876
293220,Lactones,26027,28496,23977,23149,27325,22014,16330,15279,29924,34308,,125552,111027,121244,143281,155883,112871,142100,173310,172150,154285,,124235,133200,124961,138113,133302,152445,290518,219471,178543,209704
250510,"Silica sands and quartz sands, whether or not coloured",28487,25053,25835,24836,27919,31132,38300,25749,26610,33928,,317491,354169,451168,366850,297211,437292,515403,449320,357470,463279,,55390,56063,63445,56362,59681,63881,77651,64198,63717,65606
250700,"Kaolin and other kaolinic clays, whether or not calcined",36024,38617,38375,35605,44201,47561,46472,35592,32003,33893,,549050,577388,597054,562458,541793,560353,581349,565677,506905,616761,,145851,151506,142884,126061,125740,123501,124675,106892,99696,105785
880220,"Aeroplanes and other powered aircraft of an unladen weight <= 2.000 kg (excl. helicopters, ...",13215,13378,19907,7115,6276,17827,18631,18073,17988,33664,,32454,29291,3342,15952,6049,44300,20856,25452,7829,24355,,25882,25992,25629,10737,20523,30888,33595,38243,41575,49630
844332,"Machines which only perform one of the functions of printing, copying or facsimile transmission, ...",45301,38494,44853,39252,37025,43584,40832,36763,34684,33596,,1113621,1106608,1135920,1032177,918989,954533,921614,833018,637517,711058,,1605637,1585542,1404047,1199905,1062890,1133790,1219176,1053254,960558,979320
292149,"Aromatic monoamines and derivatives; salts thereof (excluding aniline, toluidines, diphenylamine, ...""",331,182,262,197,14131,42202,72820,78249,18217,33487,,217276,284573,293851,436995,210825,202430,254884,191068,141610,115014,,72825,123141,132691,91017,75201,99423,136452,153153,96031,127966
271312,"Petroleum coke, calcined",72271,45027,18910,16384,6300,12194,25164,45316,25458,33265,,1702513,1344256,1165293,1052906,884550,1127691,1901377,1675174,975438,1359672,,235559,186336,165929,132028,106979,109883,278250,239344,103126,127738
340399,"Lubricant preparations, incl. cutting-oil preparations, bolt or nut release preparations, anti-rust ...",36450,39337,40630,44952,35876,35342,33362,32438,28624,33174,,807263,820543,857111,862032,853874,878727,945767,869918,747685,958532,,311124,302442,330752,311545,292925,294317,312997,275108,228886,268516
848490,"Sets or assortments of gaskets and similar joints, dissimilar in composition, put up in pouches, ...",9673,10472,18436,21327,24743,31657,42310,48577,32244,33173,,230170,245353,249740,245782,210473,232706,251848,230598,207482,248703,,75745,79680,103851,91036,104723,116421,131097,133559,110085,131269
330210,"Mixtures of odoriferous substances and mixtures, incl. alcoholic solutions, with a basis of ...",19724,20617,23618,22437,23536,27375,26210,27660,29168,33163,,1163241,1236245,1204219,1225331,1298850,1353107,1421515,1422621,1398871,1724481,,392892,414176,418373,820611,786400,764973,864717,833673,850017,742409
848640,Machines and apparatus specified in Note?9 C to chapter 84,21501,12970,6036,12138,12290,34725,24206,27160,24693,33010,,379641,336801,302784,321414,381285,407225,581885,566863,586365,657094,,68333,58319,134592,78263,53364,155463,99174,110086,88675,127732
852560,"Transmission apparatus for radio-broadcasting or television, incorporating reception apparatus",11522,12039,20500,23417,28186,23230,32928,59509,41703,32958,,1151491,1081557,1381556,1410528,1368381,1037501,913382,767828,463711,472152,,48200,44547,62158,57503,83830,113211,90111,114421,78310,60106
340490,"Artificial waxes and prepared waxes (excluding poly""""oxyethylene"""" [polyethylene glycol] waxes)""""",30381,30010,30846,26195,30356,36230,39284,28538,28856,32578,,398764,428109,451255,449271,462646,491932,511148,424052,402196,498662,,162458,170534,163122,143281,147872,170147,183390,162652,161344,214086
390469,"Fluoropolymers of vinyl chloride or of other halogenated olefins, in primary forms (excluding ...",14983,12687,11304,12042,14642,23214,20593,23650,22789,32383,,394908,388637,386370,385153,373907,417466,451392,411161,398157,480316,,224362,221376,225732,216557,220904,246386,265826,240816,224263,321373
871410,"Parts and accessories of motorcycles, incl. mopeds, n.e.s.",20153,19764,22463,29062,32923,48517,46672,58818,30380,32156,,395542,404069,404445,433783,408735,395187,431982,465049,374898,504331,,465458,503486,646554,610873,581491,640031,609581,624140,650522,765250
854720,"Insulating fittings for electrical purposes, of plastics",20974,22550,33853,59379,69201,72962,61414,36173,23280,32002,,135211,135619,166221,145761,132524,118339,121712,116422,130703,155518,,304539,340840,393186,468850,516604,615786,692457,578562,497547,617883
902140,Hearing aids (excluding parts and accessories),9545,13434,24513,21524,20759,21927,26748,28099,25360,31882,,236400,298287,291242,328642,287959,337886,425878,439339,367844,491042,,348920,492920,354693,409701,408390,401281,439392,472590,432941,512247
880390,"Parts of aircraft and spacecraft, n.e.s.",209976,286302,47367,38912,56203,54062,44695,68381,29217,31785,,413521,535688,581963,523383,353204,345209,696276,603784,500633,522919,,506846,580706,201818,261348,260180,279960,270359,309467,357560,272353
902720,Chromatographs and electrophoresis instruments,40756,30423,35325,32780,30484,30695,30579,31069,30799,31732,,570644,556452,549452,517811,492785,492432,487904,436981,407553,462536,,128821,120022,158464,147727,137686,143012,134080,134746,150142,175322
320730,"Liquid lustres and similar preparations of the kind used in the ceramic, enamelling or glass ...",9474,13125,16824,15541,13631,20452,19741,27860,27206,31704,,373611,166048,111729,40887,35892,37059,27581,27883,23604,29987,,116419,109813,106539,99935,109277,107337,103710,117190,129361,163234
381519,"Supported catalysts, n.e.s. (excluding with precious metal, a precious-metal compound, nickel ...",68598,39723,71226,36733,28139,48225,42406,32194,40818,31688,,1687948,1566472,1623278,1821422,1516650,1619608,1853477,1890902,1432116,1510350,,153175,155586,148371,141676,109595,138090,124521,131265,169451,243683
293190,Separate chemically defined organo-inorganic compounds (excluding organo-sulphur compounds ...,57863,65669,54914,46937,51605,51281,50102,35522,32808,31608,,1182659,1274006,1385148,1337542,1131580,907218,733387,642128,597331,679637,,190946,210894,230881,211371,227834,209774,268485,228049,205267,266492
851680,Electric heating resistors (excluding those of agglomerated coal and graphite),14276,15464,19097,17853,19427,23541,22529,23021,24435,31554,,338531,366692,396036,387940,425582,480644,554191,525941,469060,542331,,212162,232520,286695,255084,274642,318202,346691,315596,292918,387995
340590,"Glass or metal polishes, whether or not in the form of paper, wadding, felt, nonwovens, cellular ...",25066,24431,25533,24699,28100,26422,23203,22513,25120,31461,,262759,258349,278234,231074,242517,274034,287921,271967,298577,346972,,65184,64241,68107,61602,64353,65441,57865,58478,55698,61669
846693,"Parts and accessories for machine tools for working metal by removing material, n.e.s.",32332,29771,33377,33020,31972,33927,37221,35624,28521,31429,,755199,730265,714048,684371,639534,663906,862681,816153,640185,774809,,721983,672902,739216,655156,657594,660566,791171,720679,520688,693505
390599,"Polymers of vinyl esters and other vinyl polymers, in primary forms (excluding those of vinyl ...""",57889,61802,36578,23110,9704,10827,25112,40053,34830,31176,,387700,373427,347426,371925,380482,393285,377566,377701,294558,294849,,74752,84129,66888,83666,83732,73007,75473,83754,71161,77809
390950,"Polyurethanes, in primary forms",17475,20881,22006,20341,20079,29821,28650,27999,26224,31136,,647075,677266,756023,723227,754784,784531,872250,823982,723926,830360,,405732,423342,443712,377353,375149,439029,494107,439628,412179,537645
841182,Gas turbines of a power > 5.000 kW (excluding turbojets and turbopropellers),30661,26643,21596,28524,22876,9467,13303,16016,91673,31133,,3085874,2679377,3211803,3034349,2309279,2033391,2010595,1876065,1702842,1676601,,56958,55525,46257,64751,47280,36929,21073,59949,123845,104331
901910,Mechano-therapy appliances; massage apparatus; psychological aptitude-testing apparatus,22306,17911,19190,19895,16303,15594,16992,19006,20325,31062,,368479,361529,406910,389621,397249,415131,436617,523488,545958,711877,,208398,196789,209540,220313,241807,279368,307250,318064,428023,633945
841290,"Parts of non-electrical engines and motors, n.e.s.",660267,42867,44224,74689,26500,36965,28240,33903,24007,30870,,1118982,1395503,1086048,971132,841942,798085,958360,893757,669082,866763,,1785843,740910,907777,882833,914253,927334,1037933,805310,753857,877889
853400,Printed circuits,39839,30413,42077,28336,25158,29152,30424,32957,26126,30741,,1748508,1769302,1980226,1727340,1858366,1752486,1592217,1283166,1190302,1207965,,1832769,1863786,1957496,1832634,1944249,2070099,2195618,1981735,1772786,2268707
721250,"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, hot-rolled or cold-rolled ...""",31439,33605,36915,30371,32645,38993,42371,36580,19040,30688,,52576,59018,63344,63427,86649,95954,89470,63449,52112,62186,,74600,72705,72205,60960,64046,73359,91778,80773,53904,67921
293719,"Polypeptide hormones, protein hormones and glycoprotein hormones, their derivatives and structural ...",12406,3968,38914,34241,63313,12486,4345,2776,3830,30325,,1054788,1182458,1163656,1430304,1184916,1307601,935676,1638768,333569,609168,,630879,615654,527803,512836,643032,597025,591045,460831,453491,687206
390290,"Polymers of propylene or of other olefins, in primary forms (excluding polypropylene, polyisobutylene ...",17842,25592,30727,25531,22019,36278,29383,23019,22582,30125,,373267,319505,383923,418688,411909,451323,514631,559857,487360,643389,,355864,384904,388908,271763,269850,293935,285531,276996,261991,333035
843139,"Parts of machinery of heading 8428, n.e.s.",24162,28494,19929,27057,47420,43763,43876,29695,24446,29956,,1203283,1175378,1193061,1078085,898526,904033,964863,988302,860233,973523,,624511,637601,613716,520761,581891,650100,717211,667338,604485,835362
300590,"Wadding, gauze, bandages and the like, e.g. dressings, adhesive plasters, poultices, impregnated ...",28953,35500,37818,32423,33385,30298,32095,30724,33292,29821,,279675,300147,309724,341356,318081,315054,288498,352150,381992,407789,,472717,502053,544985,497216,461363,450877,476038,478251,476802,523049
854121,Transistors with a dissipation rate < 1 W (excluding photosensitive transistors),21797,28235,32712,24013,18673,10435,43008,40716,15808,29798,,661850,737065,801170,766814,522986,405953,497825,298163,233760,281924,,174586,236776,266747,234203,214884,242621,322496,294137,225291,345183
392310,"Boxes, cases, crates and similar articles for the conveyance or packaging of goods, of plastics",19861,23265,23005,16061,17538,22114,24142,21961,22521,29789,,1401192,1644438,1671799,1662021,1690925,1637570,1738252,1708771,1527759,1635406,,740954,734220,761612,672801,670577,690191,797711,765340,781806,929511
711019,"Platinum, in semi-manufactured forms",30107,43439,17887,26151,20237,21636,49614,61346,29966,29730,,105564,84712,116554,131429,104599,130419,172044,180026,414845,627144,,287475,228611,183277,141891,138790,134103,145978,144785,144834,245625
320417,Synthetic organic pigments; preparations based on synthetic organic pigments of a kind used ...,76225,60301,76391,76982,51300,45455,37474,33584,30327,29337,,351865,329950,333043,302486,275206,275770,239241,239487,210308,241026,,599571,634763,649168,532629,525064,543364,525057,478262,453343,521812
591190,"Textile products and articles, for technical purposes, specified in Note 7 to chapter 59, n.e.s.",26278,23313,22520,24670,25968,25297,20752,18604,21343,29105,,313772,363200,383218,362049,365258,399571,416333,428704,394687,495629,,132341,130300,142524,123087,139892,143694,150215,145423,155301,195330
940540,"Electric lamps and lighting fittings, n.e.s.",37613,41052,47221,34929,33948,40413,41418,37762,27779,29023,,732948,782518,907236,950758,842641,807593,864513,862285,638486,649516,,1190126,1404509,1622855,1317217,1361196,1410424,1493636,1430504,1298355,1520809
820730,"Interchangeable tools for pressing, stamping or punching",26117,20377,21008,22452,17016,23980,20663,23928,20277,28998,,464389,481677,456682,565358,513651,480042,499302,432475,388838,472436,,561966,548278,577843,561197,549249,673794,633413,630095,484227,606664
841330,"Fuel, lubricating or cooling medium pumps for internal combustion piston engine",38682,28006,35264,55061,50846,51656,39764,34543,24447,28971,,1228537,1287941,1433663,1407854,1348765,1430576,1412165,1291100,1113898,1186057,,1319241,1278085,1378837,1125876,1339329,1490667,1441279,1286907,1136698,1318714
842489,"Mechanical appliances, whether or not hand-operated, for projecting, dispersing or spraying ...",17344,18611,21921,17006,20125,20116,26177,44260,34307,28664,,493522,536491,440009,529547,497622,499152,492308,525836,431201,480548,,301245,314509,319391,293027,302526,284525,329728,336925,352891,416653
901380,"Liquid crystal devices, n.e.s. and other optical appliances and instruments not elsewhere specified ...",37693,41501,39179,43570,46112,41586,38167,42810,33156,28634,,811877,973746,1075684,1066618,1049157,870598,892387,901369,939986,1072220,,341745,204647,202146,186586,179826,204755,214820,189210,189643,224618
902690,"Parts and accessories for instruments and apparatus for measuring or checking the flow, level, ...",113761,100982,86299,83024,72361,48214,33229,33450,28902,28536,,916106,925021,915456,797156,671101,669528,679995,661090,581566,642860,,379791,388533,446789,380072,379900,352541,381209,326076,275190,324347
320649,"Inorganic or mineral colouring matter, n.e.s.; preparations based on inorganic or mineral colouring ...",21344,25898,31484,31428,31741,33500,38872,39266,26699,28400,,379992,410537,461769,472374,478711,502151,516261,439156,414292,488370,,208764,224884,233750,206553,205947,228502,252831,233432,206864,247278
381239,"Anti-oxidising preparations and other compound stabilisers for rubber or plastics (excl. mixtures ...""",0,0,0,0,0,27214,30123,27547,26044,28342,,0,0,0,0,0,256818,280423,264787,279269,345732,,0,0,0,0,0,297076,299179,275294,248443,302854
841590,"Parts of air conditioning machines, comprising a motor-driven fan and elements for changing ...",25053,24101,24008,28588,38126,39975,52850,74643,47197,28262,,1200148,1328567,1394343,1422743,1434504,1352312,1400175,1405853,1235092,1296788,,1043872,1112625,1144403,947310,958113,889773,968905,1134611,1090270,1119285
370790,"Preparation of chemicals for photographic uses, incl. unmixed products put up in measured portions ...",22403,23742,23128,17530,16228,21512,18205,22398,21597,28100,,639653,647759,588939,563794,595790,573089,569032,578164,539458,596268,,394123,427277,439043,367111,388365,487783,567062,536501,435888,439114
121190,"Plants, parts of plants, incl. seeds and fruits, used primarily in perfumery, in pharmacy or ...",14993,13159,19157,19620,30174,34871,46910,35826,37515,27838,,76613,77605,89576,84024,111815,114577,133510,128211,137105,126724,,209387,227160,260228,236390,251618,282214,333146,329316,370397,400995
842420,"Spray guns and similar appliances (other than electrical machines, appliances and other devices ...",11826,14054,14194,12199,15489,18372,15911,18488,17190,27812,,381601,367432,348171,293241,241536,262799,253174,243919,267280,316953,,105552,91541,98613,73247,92192,93093,101075,106031,115072,153530
330510,Shampoos,9654,9739,13976,16201,19914,18276,16389,24884,25744,27755,,397356,414009,448741,439802,455549,480694,508198,504533,466496,483227,,166561,193095,199109,189307,192976,228280,217132,227908,246736,269667
392350,"Stoppers, lids, caps and other closures, of plastics",20211,19059,19864,19032,17512,17892,22634,24278,24614,27711,,763293,744869,772089,757840,790843,782559,835823,820253,798205,907318,,552799,576887,584842,539460,562350,583691,675466,624744,661907,720918
903040,"Instruments and apparatus for measuring or checking electrical quantities, specifically for ...",30956,30365,30586,25737,26433,24497,22033,27580,25581,27708,,1891008,2245259,1757316,1547391,1252116,1066073,1094032,1220679,1043606,1019697,,83233,79700,76360,64149,68857,68806,65148,64470,68455,86429
381511,"Supported catalysts with nickel or a nickel compound as the active substance, n.e.s.",2159,4479,2254,3335,6097,17940,13203,15943,28235,27687,,258559,277616,321606,294977,221252,365696,377372,515730,443466,406674,,23211,28272,38285,17752,27251,48693,48673,42866,55864,62123
950300,"Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; ...""",16784,17947,18349,20746,21507,22950,24388,23564,20998,27668,,965900,980919,1033030,1052729,1118062,1220192,1245930,1142746,1117440,1358635,,2558835,2685958,2927524,2821532,2946468,3106506,3370358,3345220,3439434,4068071
870880,"Suspension systems and parts thereof, incl. shock-absorbers, for tractors, motor vehicles for ...",32923,36230,36594,28752,37925,47452,45316,32551,26927,27641,,2391603,2476962,2504314,2558847,2380338,2335404,2363518,2325250,1869939,2025301,,1086680,1337603,1430192,1250203,1464562,1661920,1825262,1755093,1648274,2095096
902214,"Apparatus based on the use of X-rays, for medical, surgical or veterinary uses (excluding for ...",85194,75336,51630,44748,37613,40745,40983,42269,33057,27613,,943004,914316,833768,898963,827830,843782,956962,940818,847152,770881,,205023,173629,164300,149115,120534,128738,147170,182866,215704,244235
870870,"Road wheels and parts and accessories thereof, for tractors, motor vehicles for the transport ...",20911,22086,22624,19820,20728,20708,19507,21473,20040,27566,,1489839,1641239,1675273,1559005,1365975,1366734,1333666,1198319,891419,1033200,,2180632,2152492,2437505,2237633,2293669,2453285,2441451,2147311,1803399,2173576
20130,"Fresh or chilled bovine meat, boneless",81888,79716,65434,61552,47055,44701,49164,39783,36404,27540,,2363743,2695434,2902630,2487439,2521922,3157537,3434807,3299768,3372353,4406108,,1198449,1241770,1322952,1227126,1313109,1373553,1438913,1364741,1326188,1439062
291590,"Saturated acyclic monocarboxylic acids, their anhydrides, halides, peroxides and peroxyacids; ...",20996,22134,7092,9023,14789,15526,16644,16856,15056,27422,,217383,193981,227010,219725,188496,200736,206462,219800,226006,282849,,236851,234550,223917,198735,180183,199892,237765,225464,203073,244369
482010,"Registers, account books, notebooks, order books, receipt books, letter pads, memorandum pads, ...",4108,5859,6999,9421,8808,11355,15273,27150,19229,27419,,140368,125330,120442,128372,133235,146152,156220,157204,111858,111944,,150103,162081,167133,145632,152768,157982,171714,165405,140107,154076
870192,"Tractors, of an engine power > 18 kW but <= 37 kW (excl. those of heading 8709, pedestrian-controlled ...",0,0,0,0,0,1264,1021,20772,18305,27321,,0,0,0,0,0,101886,102738,87658,93211,203192,,0,0,0,0,0,77447,109666,111704,134913,164469
750512,"Bars, rods, profiles and wire, of nickel alloys, n.e.s. (excluding electrically insulated products)",74119,64894,54858,64241,57223,59266,75645,72497,43317,27296,,677586,601455,564226,576664,584728,607237,757786,817834,552177,470472,,167519,151781,127350,138300,116083,145985,212154,191268,145533,147430
321290,"Pigments, incl. metallic powders and flakes, dispersed in non-aqueous media, in liquid or paste ...",19418,20871,17929,18157,19750,21812,23199,21456,20570,27210,,146028,151178,139722,143010,143262,141838,149002,157588,134950,158827,,167628,227621,218329,166202,129383,110359,115531,113714,96259,120162
400220,"Butadiene rubber """"BR"""", in primary forms or in plates, sheets or strip""""",43330,72560,66545,45849,40669,58976,39030,46872,18264,27180,,949247,657837,616531,445010,499732,593671,507494,428291,259441,444848,,339588,260681,231293,175942,151504,212077,186644,184457,128978,183165
902680,"Instruments or apparatus for measuring or checking variables of liquids or gases, n.e.s.",26924,23882,18912,21639,23000,24073,31959,28295,19028,27137,,519330,533203,543510,500853,504434,581851,586094,569824,469418,449100,,244894,238911,229739,247963,262691,283095,313511,300098,298682,364073
811299,"Articles of niobium """"columbium"""", gallium, indium, vanadium and germanium, n.e.s.""""",27662,22899,24586,27551,41054,39233,32888,29452,26843,27128,,121098,121987,144126,121223,126845,101444,87138,88157,99751,111940,,54943,46816,44936,47018,64814,56889,51510,45070,45605,51130
902300,"Instruments, apparatus and models designed for demonstrational purposes, e.g. in education ...",15367,16147,19581,25313,23732,31478,28602,30307,23122,26769,,518710,577869,604958,598446,554728,617964,660674,666566,428258,458823,,77461,77920,92549,85036,89411,114762,119377,132248,104088,116022
901831,"Syringes, with or without needles, used in medical, surgical, dental or veterinary sciences",116838,138643,122311,69119,79232,84359,87847,57812,35316,26653,,801338,874911,783370,720424,757316,774969,822597,899874,871687,923524,,455085,548291,558658,486030,531402,495640,656122,573938,660538,771444
902219,"Apparatus based on the use of X-rays (other than for medical, surgical, dental or veterinary ...",29090,37037,16742,20746,14632,21039,27607,23583,26339,26632,,500180,448856,441741,404226,431105,442157,549229,550342,452045,410529,,84691,98461,85463,84627,70767,90033,103288,96196,86120,99571
902000,Breathing appliances and gas masks (excluding protective masks having neither mechanical parts ...,26439,28081,23203,18178,19572,24430,20819,21272,21699,26606,,348776,344603,345183,355866,335925,365990,410987,439025,467881,486957,,109084,124073,135897,153764,146247,138485,184366,201150,264591,175551
390410,"Poly""""vinyl chloride"""", in primary forms, not mixed with any other substances""""",5040,7198,2965,2108,6482,2876,3780,4689,6278,26562,,2835566,2819417,2653322,2172586,2129973,2417791,2589460,2480124,2043789,2973359,,653227,628671,621357,513934,531073,630003,646780,526622,470470,900364
391732,"Flexible tubes, pipes and hoses of plastics, not reinforced or otherwise combined with other ...",22760,25555,23642,26231,24244,27349,30148,32206,29162,26436,,581168,619778,684686,737192,786576,833432,866756,891574,832436,993027,,305089,310260,314482,279422,271396,288568,331656,330213,327870,366994
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",13559,20734,22853,27174,33120,39022,28812,40159,44749,26400,,7358836,9692601,11207537,10493143,9897749,11928140,10510790,10142468,9607005,12636562,,10060430,11419398,11483172,11527033,11918336,11975441,12915602,11557092,13565835,12924870
870895,"Safety airbags with inflator system and parts thereof, for tractors, motor vehicles for the ...",23629,33924,34177,41836,53268,75811,51071,29523,20750,26228,,1434632,1523247,1599840,1703968,1788238,1825844,1707906,1842934,1201906,1105907,,715790,854929,997291,969218,1055096,1100405,1090404,919403,749400,753793
848410,Gaskets and similar joints of metal sheeting combined with other material or of two or more ...,14544,13586,16761,21367,24199,22346,32518,35388,19974,26180,,287890,313498,340481,323569,310592,346639,349653,356732,332744,374835,,116672,128146,138271,114898,126139,132604,144596,131313,107411,130959
842121,Machinery and apparatus for filtering or purifying water,15199,17988,18830,16918,18595,18806,22002,25286,24090,26115,,1160669,1206652,1332589,1329083,1084275,1051395,1066896,1071144,1034171,1151603,,207049,232204,282464,253593,271150,297387,321121,390872,418948,535573
711041,"Iridium, osmium and ruthenium, unwrought or in powder form",5566,2599,762,1129,948,2980,1656,3389,5428,26105,,32855,28570,19537,23965,15168,26506,84949,45779,50671,178770,,85243,54632,59922,33259,22947,39637,69192,43301,61432,131236
330790,"Depilatories and other perfumery, toilet or cosmetic preparations, n.e.s.",7231,6549,11194,5867,33044,28573,13953,25481,24477,25952,,499792,481811,522868,573305,504918,466428,428683,483976,427507,456019,,136788,153949,171710,149316,186261,194649,194777,219740,247709,254537
850110,"Motors of an output <= 37,5 W",25664,27597,24315,23948,24153,26018,31945,26560,22654,25943,,505242,542791,586048,709700,686208,696633,700696,694754,589434,614098,,1017342,1124686,1299435,1201858,1310619,1349095,1468892,1345604,1206308,1401214
262030,"Slag, ash and residues containing mainly copper",31895,29990,32678,21223,16446,21886,20267,13375,13820,25751,,59880,40491,34923,23022,25323,34668,44649,40323,48293,51706,,123132,128175,120337,94298,87907,102356,104084,86139,81943,132359
900110,"Optical fibres, optical fibre bundles and cables (excluding made up of individually sheathed ...",24230,29932,30249,23557,26504,38218,32872,21555,20976,25510,,522535,436876,439825,429708,491911,554961,611557,514489,470839,469202,,108293,108308,109027,102508,96823,125577,129244,109516,107831,140714
841490,"Parts of: air or vacuum pumps, air or other gas compressors, fans and ventilating or recycling ...",57906,46885,31808,28863,28827,37411,45062,30175,23713,25507,,1828479,1873237,1876284,1711446,1617107,1588539,1511840,1410456,1285495,1407248,,1261184,1454663,1314132,1021003,1031140,1083973,1098886,957068,849364,999027
710610,"Powder of silver, incl. silver plated with gold or platinum",100872,64003,29029,9428,11132,14023,16105,11208,12851,25337,,728563,552765,510993,382404,468251,548039,534501,368307,458970,526436,,125694,96605,52752,14110,15255,18066,22176,14935,16391,33170
390120,"Polyethylene with a specific gravity of >= 0,94, in primary forms",4886,12002,7928,11725,16376,9474,13739,29595,22312,25331,,2632422,2722844,2760415,2802769,2868343,2576261,3488424,3914698,3659526,4416508,,1468229,1646557,1626085,1438392,1353662,1432961,1483311,1325109,1142577,1656364
760612,"Plates, sheets and strip, of aluminium alloys, of a thickness of > 0,2 mm, square or rectangular ...",112764,151733,164931,246262,153196,205165,84829,45900,41575,25296,,3447119,3583933,3491752,3446063,3272492,3210107,3291994,2781839,2109373,2268207,,1987020,2050345,2392031,2622768,2470742,2853375,2934581,2526907,2135730,2924270
330690,"Preparations for oral or dental hygiene, incl. denture fixative pastes and powders (excluding ...""",5857,8367,8591,10928,12125,16433,20432,23715,16593,25043,,231923,238037,260006,240654,254305,240293,231402,215781,208503,234515,,80394,90616,104662,87683,89313,95682,112077,115022,126320,180155
440799,"Wood, sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or end-jointed, ...""",25591,20050,24244,22500,22128,16913,18114,16654,15398,24987,,630432,678235,827356,679996,742234,834270,767465,416773,395957,540698,,75752,69391,73575,69908,71947,45493,52320,53822,54438,92169
392390,"Articles for the conveyance or packaging of goods, of plastics (excluding boxes, cases, crates ...",9729,9547,10776,11086,12813,16210,16349,15475,18614,24674,,868653,889725,946188,954978,1003955,1055128,1113377,1125464,1125020,1300432,,469393,504929,522654,497284,505363,531002,594027,597997,629884,742042
840734,"Spark-ignition reciprocating piston engine, of a kind used for vehicles of chapter 87, of a ...",33769,34138,18779,13120,11899,50596,110556,135043,92801,24637,,4712718,4581933,3997508,4084853,5139878,5538932,5416692,5505677,4652309,4346808,,4585148,3602533,3909959,3142479,2928317,3515528,3536995,3491838,2610546,2764020
847160,"Input or output units for automatic data-processing machines, whether or not containing storage ...",39090,34409,32832,26613,24174,23742,25428,25931,21593,24585,,1329560,1267653,1366493,1192515,1186043,1215950,1275751,1358282,1167951,1241357,,805553,749774,812366,809622,856275,902275,1023121,1099767,1365312,1526941
842952,"Self-propelled mechanical shovels, excavators and shovel loaders, with a 360¡Æ revolving su ...",10950,8514,22892,17024,22949,30282,32543,26929,16085,24512,,2193457,1781035,1556137,1196312,955466,1305897,1430090,1076758,880173,1240492,,903894,791027,964588,885029,1047678,1153906,1263224,1457815,1241215,1591463
