Product code,Product label,Germany's imports from United States of America-Value in 2012,Germany's imports from United States of America-Value in 2013,Germany's imports from United States of America-Value in 2014,Germany's imports from United States of America-Value in 2015,Germany's imports from United States of America-Value in 2016,Germany's imports from United States of America-Value in 2017,Germany's imports from United States of America-Value in 2018,Germany's imports from United States of America-Value in 2019,Germany's imports from United States of America-Value in 2020,Germany's imports from United States of America-Value in 2021,United States of America's exports to world- ,United States of America's exports to world-Value in 2012,United States of America's exports to world-Value in 2013,United States of America's exports to world-Value in 2014,United States of America's exports to world-Value in 2015,United States of America's exports to world-Value in 2016,United States of America's exports to world-Value in 2017,United States of America's exports to world-Value in 2018,United States of America's exports to world-Value in 2019,United States of America's exports to world-Value in 2020,United States of America's exports to world-Value in 2021,Germany's imports from world- ,Germany's imports from world-Value in 2012,Germany's imports from world-Value in 2013,Germany's imports from world-Value in 2014,Germany's imports from world-Value in 2015,Germany's imports from world-Value in 2016,Germany's imports from world-Value in 2017,Germany's imports from world-Value in 2018,Germany's imports from world-Value in 2019,Germany's imports from world-Value in 2020,Germany's imports from world-Value in 2021
901819,"Electro-diagnostic apparatus, incl. apparatus for functional exploratory examination or for ...",211212,196282,207436,188104,175081,200943,224515,244669,798258,942580,,3564242,3426212,3535393,3301146,3290556,3261618,3332519,3355080,3546856,4015339,,434374,431332,468631,437879,423883,471342,640383,1031956,1715642,2136206
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",548291,627658,630497,492136,521423,820948,1098564,1325710,1037513,894557,,16722417,16919489,17461428,18153373,19849096,18966563,19263379,23446163,27713745,32658379,,4900727,5121156,5584917,5472660,5996350,7615600,8595964,7964251,6601732,8068467
300214,"Immunological products, mixed, not put up in measured doses or in forms or packings for retail ...",0,0,0,0,0,660745,862376,994359,957221,873482,,0,0,0,0,0,1160106,1306660,1630982,2683863,3117655,,0,0,0,0,0,8326241,8711940,6497640,8143472,7225254
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",1159162,1107172,996743,1086199,1143426,1133101,1276976,1111578,787679,854469,,8743308,8887986,9134140,8773178,8932107,11070705,10838653,9945388,10392774,14021358,,4627213,5405380,6392439,6285953,6034791,7578905,8297348,7012100,5325219,7080492
270112,"Bituminous coal, whether or not pulverised, non-agglomerated",1226977,1134595,952337,678181,509170,994513,1088043,930821,610218,830399,,14309835,10575217,8163830,5416588,4233073,9578921,11824001,9582189,5884016,9425666,,4565933,4177979,3731257,2972631,2689305,4489453,4427063,3507124,2068536,3942563
120190,"Soya beans, whether or not broken (excluding seed for sowing)",514748,858460,616468,657707,592173,734163,874915,926211,736873,811679,,24766159,21570313,23854945,18864835,22840367,21465095,17058475,18693793,25524781,27442041,,1979599,2111019,1998918,1599267,1279626,1232576,1481106,1401523,1570183,1936889
870333,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...""",3157980,2613588,2867354,3302739,3391060,2880487,2262496,2869796,1921824,753448,,5730608,5424783,5982380,5683352,5304406,4696800,4291074,5292635,4023263,3920326,,5338726,4705808,5068090,5559567,6203234,5995863,5679319,5763054,3567770,2085246
870324,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",553369,485511,500706,515045,810589,626736,665208,542751,482057,623785,,21038150,22762733,22396549,20648573,18591047,18848189,17817448,14989926,10077049,13252175,,1648266,1591688,1654427,1642241,2399516,2383514,2428589,2915069,2642144,3306209
880330,"Parts of aeroplanes or helicopters, n.e.s. (excluding those for gliders)",516528,639452,544251,451480,598444,820732,877125,844729,700589,621354,,4927387,4778115,4871853,5053698,5482108,4865541,4806774,5472775,4890890,4683787,,7374513,7355015,8033514,7543728,4722285,6846101,7908936,7007485,6464564,5419767
901839,"Needles, catheters, cannulae and the like, used in medical, surgical, dental or veterinary ...",410614,561015,566312,612347,648254,655034,544538,440407,480540,589624,,5375239,5689667,5932826,5997885,6263770,6320617,7075493,7059110,6246826,7250523,,1692063,1884008,1997113,1892699,2044126,2180825,2267182,2156470,2352292,2635981
902190,"Articles and appliances, which are worn or carried, or implanted in the body, to compensate ...",473784,480807,590101,705302,712880,805722,725456,474595,462059,570332,,1782484,1721120,1750853,2005847,1845017,1797565,2061982,2507461,1999064,2377755,,1151675,1125113,1320622,1303927,1405089,1498820,1550633,1472790,1454777,1651948
902139,Artificial parts of the body (excluding artificial teeth and dental fittings and artificial ...,263462,354594,360282,381435,435834,450479,528827,669461,545699,555943,,2749292,2834288,2875677,2845697,2528613,2516062,2368866,2492723,2565065,3040652,,666303,809323,788715,778791,871622,849779,877428,1002767,843682,929176
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",271564,307758,334747,346311,395334,438074,549899,623460,470906,502534,,4162718,4957256,5437725,5428142,5270421,5643166,5913496,5784436,4824729,5304410,,3842113,4691157,5341384,4847051,5569694,6323418,7419554,7502001,7302620,8143768
901320,Lasers (excluding laser diodes),208616,218538,268581,267248,262147,305054,380300,429474,441590,501723,,989123,1073250,1120855,1150269,1173361,1372854,1468198,1229124,1144123,1314263,,404193,403200,475638,491921,529740,724417,747439,717165,716758,922714
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",288750,210302,257132,220860,205797,357927,308070,296196,444586,500986,,6310723,6090796,6629427,6773487,6177876,6457798,7219788,7414270,6628233,6876249,,1996911,2030978,2446208,2497669,2583147,3272641,3756810,4084370,3950155,3915795
870340,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,950,2386,2325,422793,484081,,0,0,0,0,0,459119,413100,806875,1558396,2511447,,0,0,0,0,0,742461,895253,1268273,2339682,3343930
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",584525,602122,742398,615484,587130,588445,514910,524130,417644,481509,,15751206,15860633,17233829,18505968,18857319,17601286,17766441,16809912,15196762,15909526,,5386454,5595147,6124938,6136354,7161202,8272652,9178153,9374267,9864831,10417147
