Product code,Product label,Singapore's imports from Saudi Arabia-Value in 2012,Singapore's imports from Saudi Arabia-Value in 2013,Singapore's imports from Saudi Arabia-Value in 2014,Singapore's imports from Saudi Arabia-Value in 2015,Singapore's imports from Saudi Arabia-Value in 2016,Singapore's imports from Saudi Arabia-Value in 2017,Singapore's imports from Saudi Arabia-Value in 2018,Singapore's imports from Saudi Arabia-Value in 2019,Singapore's imports from Saudi Arabia-Value in 2020,Singapore's imports from Saudi Arabia-Value in 2021,Saudi Arabia's exports to world- ,Saudi Arabia's exports to world-Value in 2012,Saudi Arabia's exports to world-Value in 2013,Saudi Arabia's exports to world-Value in 2014,Saudi Arabia's exports to world-Value in 2015,Saudi Arabia's exports to world-Value in 2016,Saudi Arabia's exports to world-Value in 2017,Saudi Arabia's exports to world-Value in 2018,Saudi Arabia's exports to world-Value in 2019,Saudi Arabia's exports to world-Value in 2020,Saudi Arabia's exports to world-Value in 2021,Singapore's imports from world- ,Singapore's imports from world-Value in 2012,Singapore's imports from world-Value in 2013,Singapore's imports from world-Value in 2014,Singapore's imports from world-Value in 2015,Singapore's imports from world-Value in 2016,Singapore's imports from world-Value in 2017,Singapore's imports from world-Value in 2018,Singapore's imports from world-Value in 2019,Singapore's imports from world-Value in 2020,Singapore's imports from world-Value in 2021
390330,"Acrylonitrile-butadiene-styrene copolymers """"ABS"""", in primary forms""""",0,0,5,0,3851,24408,50035,53764,35773,28721,,0,0,71,25,8335,85777,141469,121349,90281,252955,,25488,24793,24922,18628,19746,46046,75966,76650,56366,60477
390230,"Propylene copolymers, in primary forms",248417,106986,81347,32226,22378,22351,32721,26964,13136,21696,,10008,7742,52902,40279,214167,240242,342847,250284,152168,418558,,344253,198417,149575,86220,86447,101562,137161,110853,77371,85854
290129,"Hydrocarbons, acyclic, unsaturated (excluding ethylene, propene """"propylene"""", butene """"butylene"""" ...""",0,322,5488,1953,2283,2109,3220,4448,5171,20058,,136590,144758,120046,80126,39860,12118,21666,17065,6505,11654,,87203,107868,142892,149955,157648,166173,190451,165940,184165,209386
290943,Monobutyl ethers of ethylene glycol or of diethylene glycol,0,0,0,0,0,12862,25840,13213,10449,18254,,1458701,4173212,3580571,3002987,2234056,2897239,3513200,2807251,2110099,2926462,,18670,12466,8128,7995,7445,18104,37731,24554,24006,41955
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,0,8960,8059,8965,18010,,0,0,0,0,0,0,0,0,0,23867,,0,0,0,0,0,0,356613,346270,342538,409348
390610,"Poly""""methyl methacrylate"""", in primary forms""""",793,0,0,0,0,2713,25428,8256,9291,17616,,76,705,208,0,58,7339,150922,152590,146977,235767,,5017,4366,4046,3124,3088,9438,34864,22511,23852,36550
710231,"Non-industrial diamonds unworked or simply sawn, cleaved or bruted (excluding industrial diamonds)",0,0,0,0,0,0,0,3289,10662,16718,,0,0,0,0,0,0,0,0,0,0,,26421,226892,1018843,728231,1042060,884297,934651,684958,654693,766875
290532,"Propylene glycol """"propane-1,2-diol""""""""",0,4705,23893,18787,0,4352,16521,11493,5074,15685,,0,0,125,63,74,18539,77603,65000,54890,150753,,106463,115356,131207,93012,54728,58713,69069,61849,50727,94362
290513,"Butan-1-ol """"n-butyl alcohol""""""""",0,0,0,0,7002,15061,14,18083,3710,11513,,0,3126,13487,623,6036,13220,1844,740,553,11425,,50952,59242,59077,35085,30738,33267,23045,36785,10015,54205
292215,Triethanolamine,0,0,0,0,0,0,13054,8557,7064,9430,,0,0,0,0,0,0,0,0,0,57982,,0,0,0,0,0,0,14249,9276,7783,10404
292129,"Acyclic polyamines and their derivatives; salts thereof (excluding ethylenediamine and hexamethylenediamine, ...",11535,19071,23056,21880,21923,12276,16425,16796,10464,9304,,3659,842,28378,46624,57535,47278,56745,41519,10485,16958,,47486,47143,49636,44059,42224,29413,39295,35929,28103,33511
291612,Esters of acrylic acid,0,3460,0,0,0,1468,12099,8889,5618,7456,,0,703,4096,6428,5438,10407,60552,17152,9184,19317,,30883,36941,25451,24119,27641,31847,39551,34871,28622,49107
290941,"2,2'-Oxydiethanol """"diethylene glycol, digol""""""""",5168,8412,8898,6332,4582,8313,5707,4748,2596,5354,,0,108,15645,19104,9932,862,8342,384,791,717,,6972,10352,14553,12034,7339,11512,7837,6143,3617,6519
390130,"Ethylene-vinyl acetate copolymers, in primary forms",0,0,0,0,0,0,4842,739,9512,5255,,260,425,7695,161533,179010,252133,305665,337793,277443,495999,,23353,28536,26224,30056,29304,38934,49542,41857,48421,47322
330300,"Perfumes and toilet waters (excluding aftershave lotions, personal deodorants and hair lotions)",120,32,27,0,2462,4529,1986,3493,1497,5208,,25634,28747,30737,43093,63977,80973,85615,29633,19817,36105,,578995,652092,678953,640308,700053,817312,907734,841585,650668,859256
292212,Diethanolamine and its salts,0,48,15,37,0,820,7586,6255,3593,5168,,75692,89098,45069,27198,23569,132092,105958,104755,89899,103344,,4110,4668,4189,2965,2382,2550,9049,7200,4269,6054
392010,"Plates, sheets, film, foil and strip, of non-cellular polymers of ethylene, not reinforced, ...",128,165,153,2,28,63,11,23,2022,5104,,115873,162878,142510,158465,206605,195776,226434,173908,184742,303841,,72530,82401,104665,113421,116617,131842,139707,143054,148377,200129
291020,"Methyloxirane """"propylene oxide""""""""",37171,26718,58726,35026,34303,53393,68856,22500,10544,4602,,0,0,0,0,0,179,0,230870,185811,471727,,55322,26728,58741,35070,34329,53407,68858,22506,14097,6943
292121,Ethylenediamine and its salts,3678,8233,5163,8921,3033,4932,16813,7985,2914,4506,,139,219,16279,19682,15190,30010,88579,70970,86236,154531,,9403,12848,9593,13945,6315,7509,19636,10038,4150,7668
400270,"Ethylene-propylene diene rubber """"EPDM"""", non-conjugated, in primary forms or in plates, sheets ...""",0,0,0,0,5656,16945,14819,4088,2269,3912,,55,410,1363,532,1944,17254,31066,53562,86123,249489,,2643,1867,15839,22164,43512,37769,35047,19634,17175,29634
290949,"Ether-alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives (excluding ...""",0,1388,824,0,0,205,567,1015,621,2785,,453866,17989,13630,12742,7354,20691,83402,38998,40930,66651,,35631,37141,41302,28054,18579,19670,33146,32682,28557,32255
390710,"Polyacetals, in primary forms",85,3,0,0,0,11,2106,2391,1287,2667,,0,86,0,83,265,14603,50363,61600,55034,62087,,60381,64200,25566,22686,17487,21651,25067,30681,22712,32273
390810,"Polyamides-6, -11, -12, -6,6, -6,9, -6,10 or -6,12, in primary forms",0,0,0,0,0,1582,21020,5558,173,2419,,0,0,0,0,27413,11879,75995,76119,14698,23232,,41118,48473,52108,46547,40900,51279,76517,57863,40369,82461
290711,"Phenol """"hydroxybenzene"""" and its salts""""",0,0,0,0,0,0,3001,0,0,1944,,3177,386,113,0,0,30099,229858,261045,152873,335847,,13560,5706,8132,4697,5134,423,3559,619,368,2149
281512,"Sodium hydroxide """"caustic soda"""" in aqueous solution """"soda lye or liquid soda""""""""",0,0,302,0,0,0,0,0,0,1854,,271875,239023,212438,138320,188358,183318,167954,89513,110410,121615,,51946,37415,42651,35330,31456,44058,43981,31936,20201,32552
870810,"Bumpers and parts thereof for tractors, motor vehicles for the transport of ten or more persons, ...",0,321,178,0,0,24,0,0,325,1811,,1712,1061,1623,1312,1359,711,5485,322,251,133,,319807,303653,258823,205296,168717,140756,94865,71804,65083,107921
291614,Esters of methacrylic acid,0,0,0,0,0,0,25410,25529,10921,1687,,0,0,0,0,0,19692,313948,339597,412384,429868,,21278,35064,102388,87465,44611,69032,102230,80504,53901,52794
80410,Fresh or dried dates,387,568,352,440,345,443,300,530,1214,1589,,74860,102943,129670,140135,141564,182379,201393,229833,245969,322840,,5902,6419,5810,6070,5975,6126,6564,8002,10033,8836
292211,Monoethanolamine and its salts,0,49,129,38,252,1138,2927,1795,898,1583,,9870,23552,25388,18497,22325,61817,110472,144272,91912,110401,,7012,8038,7696,7064,6918,7122,8080,6557,6166,8373
320820,"Paints and varnishes, incl. enamels and lacquers, based on acrylic or vinyl polymers, dispersed ...",0,0,0,0,0,7,0,8,1,1364,,871,1198,1270,396,222,569,568,3107,2611,10604,,8045,9023,9607,13546,33690,30486,23966,26066,24197,24235
250300,"Sulphur of all kinds (excluding sublimed sulphur, precipitated sulphur and colloidal sulphur)",0,0,0,0,0,0,0,0,0,1330,,27116,22901,23318,35898,16725,37260,64053,13694,20274,47261,,322,395,275,158,207,175,996,55,98,4107
730799,"Tube or pipe fittings, of iron or steel (excluding cast iron or stainless steel products; flanges; ...",0,86,20,211,0,69,0,0,303,1243,,50251,27597,27589,13732,50084,62279,64089,14309,5591,5889,,178811,220234,157424,157883,122273,93671,90214,124970,121896,134946
842199,"Parts of machinery and apparatus for filtering or purifying liquids or gases, n.e.s.",20,0,1,0,1066,2089,2040,3477,2376,1242,,1562,8586,1933,2952,42676,55987,5606,6366,9855,50044,,285402,283807,263406,223059,242455,225564,257064,306919,300372,341338
170199,"Cane or beet sugar and chemically pure sucrose, in solid form (excluding cane and beet sugar ...",0,0,0,1,0,12,0,0,0,1091,,212191,149618,144026,134394,132687,112857,99535,128978,161754,266600,,263566,204966,191724,146582,148378,141416,114815,119681,108047,153082
730429,"Casing and tubing, seamless, of iron or steel, of a kind used in drilling for oil or gas (excluding ...",33,0,0,0,0,99,97,0,264,1036,,8313,11139,13551,8592,14903,5223,17296,53142,30359,13160,,456617,365218,291030,155606,73046,87193,113134,130999,104590,100449
480519,"Fluting paper, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets with ...",0,0,0,0,0,0,0,0,66,1022,,2714,2699,1049,246,1546,15706,24452,26431,22622,64238,,1620,3118,3287,8802,8485,9151,9683,11231,10611,22547
30617,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in ...",339,0,3,284,405,221,385,206,483,935,,25792,6135,50154,69198,98229,228216,261035,111901,51491,96828,,43256,62597,69579,51657,58192,68049,70136,74528,65021,87318
281410,Anhydrous ammonia,0,0,0,0,2593,2449,0,1192,1724,907,,133859,776517,2063961,1245091,524570,273376,1541988,1648032,1549873,1453624,,9760,9417,11036,20907,15052,15639,16349,19312,21856,39059
381700,Mixed alkylbenzenes and mixed alkylnaphthalenes produced by the alkylation of benzene and naphthalene ...,0,0,0,0,0,0,0,1588,1303,701,,275681,329007,331889,222795,202302,239543,247465,217414,272490,573373,,27318,32277,30097,23760,20629,27711,31583,20986,25323,27497
310210,"Urea, whether or not in aqueous solution (excluding that in pellet or similar forms, or in ...",0,0,0,113,171,385,647,1757,1352,675,,1326107,1018839,1103896,1048634,861350,901283,1227489,1101423,1155233,1720655,,2807,2248,3630,3801,3689,3397,4212,4974,3982,6718
293359,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing a pyrimidine ring, whether ...""",400,150,312,507,816,606,655,572,381,641,,0,243,120,0,777,2031,3892,4875,2113,1605,,73846,106456,87764,30081,79084,250186,571135,868763,1257318,1526429
710813,"Gold, incl. gold plated with platinum, in semi-manufactured forms, for non-monetary purposes",0,0,0,0,0,0,4246,5807,343,587,,0,2055,4847,2675,1724,8937,11122,21407,3818,324,,7398625,15735286,12290283,533831,714225,11793332,12188693,8528482,15256771,12831051
291531,Ethyl acetate,0,966,964,50,580,1028,214,3768,678,571,,0,52980,124798,86842,66036,64749,73198,74176,89061,132589,,9005,16103,16787,3654,3569,4802,5712,7483,6013,13082
290542,Pentaerythritol,98,218,163,66,388,376,130,0,261,498,,24525,26059,25003,22297,20890,24523,28900,19261,10890,29660,,1613,1749,2462,1775,3246,3107,3801,3320,3305,5629
852349,Optical media for the recording of sound or of other phenomena (excluding unrecorded and goods ...,0,0,0,0,0,1,4,1,0,456,,33,2389,919,245,164,59,1991,0,0,0,,91088,94488,95812,97245,106921,150784,89947,85031,83389,99054
381220,"Compound plasticisers for rubber or plastics, n.e.s.",0,0,0,0,0,12,0,0,0,365,,4589,4509,2388,1350,2636,13917,11714,5832,4332,5905,,4373,3850,5603,6875,6618,6674,9485,7951,4395,2707
700530,"Float glass and surface ground and polished glass, in sheets, whether or not having an absorbent, ...",329,90,104,16,220,228,230,187,67,330,,265,100,0,1,0,64,103,0,1582,325,,1942,1375,381,552,582,712,1311,1519,1495,2268
842139,Machinery and apparatus for filtering or purifying gases (excl. isotope separators and intake ...,0,0,0,1,0,0,3,5,99,324,,4497,1610,3152,2889,3246,5042,4084,3411,712,30,,76155,91030,105404,108961,131282,152274,152151,139638,196387,237499
730830,"Doors, windows and their frames and thresholds for doors, of iron or steel",0,0,0,0,0,0,0,0,0,318,,5478,3401,3032,3886,4952,3634,5591,6152,5753,9682,,40149,58177,64206,43509,34094,29530,28062,33271,23636,30053
90832,"Cardamoms, crushed or ground",0,0,0,0,0,0,0,0,182,308,,0,0,143,346,819,721,1369,42,174,126,,42,33,361,43,34,61,32,29,416,533
281700,Zinc oxide; zinc peroxide,0,0,0,0,0,0,83,161,320,294,,5403,9231,8516,5954,10890,31938,26471,22090,15315,28945,,10017,12350,12876,12056,9831,12567,16053,15516,13456,19454
847990,"Parts of machines and mechanical appliances, n.e.s.",75,102,84,84,1245,35,18,91,13,290,,187,851,1889,1755,4702,6533,8419,100,1650,602,,1163247,1213267,1108630,962742,905282,987185,877797,965347,870378,999715
381121,Prepared additives for oil lubricants containing petroleum oil or bituminous mineral oil,0,0,0,172,0,0,0,0,45,279,,4821,4697,5024,246,582,448,32,63,55,52,,636008,767492,780936,707453,723197,775299,715116,561414,524858,608031
