Product code,Product label,"Taipei, Chinese's imports from India-Value in 2012","Taipei, Chinese's imports from India-Value in 2013","Taipei, Chinese's imports from India-Value in 2014","Taipei, Chinese's imports from India-Value in 2015","Taipei, Chinese's imports from India-Value in 2016","Taipei, Chinese's imports from India-Value in 2017","Taipei, Chinese's imports from India-Value in 2018","Taipei, Chinese's imports from India-Value in 2019","Taipei, Chinese's imports from India-Value in 2020","Taipei, Chinese's imports from India-Value in 2021",India's exports to world- ,India's exports to world-Value in 2012,India's exports to world-Value in 2013,India's exports to world-Value in 2014,India's exports to world-Value in 2015,India's exports to world-Value in 2016,India's exports to world-Value in 2017,India's exports to world-Value in 2018,India's exports to world-Value in 2019,India's exports to world-Value in 2020,India's exports to world-Value in 2021,"Taipei, Chinese's imports from world- ","Taipei, Chinese's imports from world-Value in 2012","Taipei, Chinese's imports from world-Value in 2013","Taipei, Chinese's imports from world-Value in 2014","Taipei, Chinese's imports from world-Value in 2015","Taipei, Chinese's imports from world-Value in 2016","Taipei, Chinese's imports from world-Value in 2017","Taipei, Chinese's imports from world-Value in 2018","Taipei, Chinese's imports from world-Value in 2019","Taipei, Chinese's imports from world-Value in 2020","Taipei, Chinese's imports from world-Value in 2021"
910299,"Pocket-watches and the like, incl. stop-watches, with hand or automatic winding (excluding ...",0,0,0,0,0,0,0,0,0,0,,449,1763,2174,2867,3152,2407,1699,1367,291,830,,844,762,558,511,462,242,144,19,15,69
910390,"Clocks with watch movements (excluding electrically operated, wrist-watches, pocket-watches ...",0,0,0,0,0,0,0,0,0,0,,677,362,281,43,82,214,353,343,842,1044,,8,22,112,32,2,507,20,512,19,5
920810,Musical boxes,0,0,0,0,0,0,0,0,0,0,,277,216,163,92,145,70,439,1993,2109,2747,,507,1765,2059,2072,1145,1370,2044,1578,766,695
930190,"Military weapons, incl. sub-machine guns (excluding artillery weapons, rocket launchers, flame-throwers, ...",0,0,0,0,0,0,0,0,0,0,,10692,9668,1278,1006,11441,140,2162,50,288,79,,49,0,0,0,0,0,0,0,0,130
930390,Firearms and similar devices which operate by the firing of an explosive charge (excluding ...,0,0,0,0,0,0,0,0,0,0,,0,39,196,124,326,36,45,77,10,249,,223,263,244,295,231,288,321,296,353,219
930629,Parts of cartridges for smooth-barrelled shotguns; lead shot for air rifles and pistols,0,0,0,0,0,0,0,0,0,0,,1,27,1349,91,1826,1323,2404,450,64,6523,,99,139,159,135,88,102,136,146,180,155
940110,Seats for aircraft,0,0,0,0,0,0,0,0,0,0,,576,1743,3176,3048,1834,1046,2417,6427,5872,4864,,209,569,230,128,17632,4679,1904,3347,3424,2389
940152,Seats of bamboo,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,11,13,6,68,,0,0,0,0,0,154,170,273,126,136
940153,Seats of rattan,0,0,0,0,0,0,0,2,1,0,,0,0,0,0,0,0,0,17,0,3,,0,0,0,0,0,1566,1240,1253,1513,1403
520942,"Denim, containing >= 85% cotton by weight and weighing > 200 g/m©÷, made of yarn of different ...",0,0,0,0,0,0,0,0,0,0,,264853,280708,275065,235904,222609,241782,251769,238112,211486,355025,,1332,1825,1855,796,776,413,520,378,771,942
521119,"Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally ...",0,0,0,0,0,0,0,0,0,0,,509,608,752,107,240,377,304,186,87,328,,45,35,23,21,37,30,17,15,3,1
521132,"Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally ...",0,0,0,0,0,0,0,0,0,0,,984,3264,8192,11524,8171,7610,7684,9448,10934,12797,,4,24,19,42,9,8,4,9,8,14
521142,"Denim, containing predominantly, but < 85% cotton by weight, mixed principally or solely with ...",0,0,0,0,0,0,0,0,0,0,,36198,48679,74261,83062,87955,108841,153253,200719,130219,238499,,478,623,434,602,499,472,371,279,197,74
521143,"Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally ...",0,0,0,0,0,0,0,0,0,0,,591,782,1649,1417,388,132,120,101,894,1459,,3,0,11,9,1,1,4,7,4,1
521159,"Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally ...",0,0,9,1,6,4,0,0,3,0,,4972,4680,5909,5300,4853,4129,3215,2687,2586,4565,,87,55,69,28,39,29,13,21,14,7
520623,"Single cotton yarn containing predominantly, but < 85% cotton by weight, of combed fibres ...""",0,0,0,0,0,0,0,0,0,0,,5104,5993,6327,14082,16506,10404,23954,15086,24560,73017,,51,170,85,430,1855,6255,5542,2286,3916,6199
520811,"Plain woven fabrics of cotton, containing >= 85% cotton by weight and weighing <= 100 g/m©÷, ...",216,69,31,76,25,0,3,1,0,0,,192730,160923,137125,133865,118499,101458,115060,130929,122662,143209,,273,147,62,407,271,245,279,25,29,7
540784,"Woven fabrics of yarn containing predominantly, but < 85% synthetic filament by weight, incl. ...",1,0,0,0,0,0,0,0,0,0,,6375,10607,12396,10279,8211,9499,11319,23649,12055,8683,,103,86,135,96,73,48,56,165,24,12
550110,"Filament tow as specified in Note 1 to chapter 55, of nylon or other polyamides",0,0,0,0,0,1,0,0,0,0,,119,2,44,15,0,29,0,0,0,5,,309,314,299,342,234,198,151,366,66,21
550290,"Artificial filament tow, as specified in Note 1 to chapter 55 (excl. of acetate)",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,7,1,41,40,0,,0,0,0,0,0,3153,2197,2142,425,98
550390,"Synthetic staple fibres, not carded, combed or otherwise processed for spinning (excluding ...",0,0,0,0,0,0,0,0,0,0,,1247,763,230,260,295,218,34,165,161,112,,10675,10587,10125,7633,7878,11025,11470,10428,12512,13756
550700,"Artificial staple fibres, carded, combed or otherwise processed for spinning",0,0,0,0,0,0,0,0,0,0,,5,106,54,33,22,29,77,2,5,88,,52,134,40,4,38,4,0,5,14,0
550921,Single yarn containing >= 85% polyester staple fibres by weight (excluding sewing thread and ...,0,30,0,0,0,0,0,0,4,0,,39963,50467,45658,32014,37612,40201,52502,47494,23966,59794,,4625,8431,9010,6166,4938,5003,3663,5275,5396,7475
551030,"Yarn containing predominantly, but < 85% artificial staple fibres by weight, mixed principally ...",0,0,0,0,0,0,0,0,0,0,,8400,20399,18642,13238,15393,18713,30123,16414,13274,17712,,63,116,88,31,191,67,3496,1268,1196,1985
551513,"Woven fabrics containing predominantly, but < 85% polyester staple fibres by weight, mixed ...",0,0,0,0,0,0,0,0,0,0,,55473,52468,56015,53014,48959,43847,42150,35730,19521,24895,,365,267,381,131,121,304,149,172,108,100
551522,"Woven fabrics containing predominantly, but < 85% acrylic or modacrylic staple fibres by weight, ...",0,0,0,0,0,0,0,0,0,0,,69,255,222,191,213,57,74,181,7,130,,52,35,33,14,10,14,25,58,60,86
551634,"Woven fabrics containing predominantly, but < 85% artificial staple fibres by weight, mixed ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,2,16,92,,7,0,27,2,0,0,0,13,0,0
540411,Elastomeric monofilament of >= 67 decitex and with a cross sectional dimension of <= 1 mm,0,0,0,0,0,0,0,0,0,0,,1,9,5,93,75,3,17,0,4,36,,646,597,405,615,2111,2961,5262,4662,4379,3935
540730,"Woven fabrics of synthetic filament yarn, incl. monofilament of >= 67 decitex and with a cross ...",0,0,0,0,0,0,0,0,0,0,,3522,7844,9018,4200,1085,664,2086,2101,3653,3077,,9,10,101,23,760,32,430,2759,570,1247
540743,Woven fabrics of yarn containing >= 85% by weight of filaments of nylon or other polyamides ...,0,0,1,0,0,0,0,1,0,0,,5,7,24,2,25,4,27,7,55,128,,41,111,194,229,112,127,150,211,252,275
551341,"Plain woven fabrics containing predominantly, but < 85% polyester staple fibres by weight, ...",0,0,0,0,0,0,0,0,0,0,,250,578,1885,2606,1027,143,384,698,381,345,,15,13,7,0,21,0,0,2,1,13
560721,"Binder or baler twine, of sisal or other textile fibres of the genus Agave",0,0,0,0,0,0,0,0,0,0,,495,515,438,188,77,33,39,14,10,29,,12,5,13,14,15,8,30,21,22,18
580133,"Cut weft pile fabrics, of man-made fibres (excluding terry towelling and similar woven terry ...",0,0,0,0,3,0,0,0,0,0,,36,48,44,15,9,70,93,63,4,85,,104,150,126,273,505,353,204,302,213,205
580421,"Mechanically made lace of man-made fibres in the piece, in strips or in motifs (excluding fabrics ...",5,3,0,0,0,0,4,3,6,0,,3823,5768,3870,3488,3978,4205,3934,6085,4280,3730,,2372,2321,1923,1563,1738,1292,1160,1093,639,885
570410,"Floor tiles, of felt, not tufted or flocked, with an area of <= 0,3 m©÷",0,0,0,0,0,1,2,2,2,0,,273,247,81,1,0,0,27,2,0,1,,353,579,330,222,219,145,239,169,262,242
590190,Tracing cloth; prepared painting canvas; buckram and similar stiffened textile fabrics of a ...,0,0,0,0,0,0,0,0,0,0,,166,1389,2202,989,2599,3915,2246,1764,2334,1672,,432,367,508,395,380,534,570,538,548,789
