Product code,Product label,"Viet Nam's imports from Taipei, Chinese-Value in 2012","Viet Nam's imports from Taipei, Chinese-Value in 2013","Viet Nam's imports from Taipei, Chinese-Value in 2014","Viet Nam's imports from Taipei, Chinese-Value in 2015","Viet Nam's imports from Taipei, Chinese-Value in 2016","Viet Nam's imports from Taipei, Chinese-Value in 2017","Viet Nam's imports from Taipei, Chinese-Value in 2018","Viet Nam's imports from Taipei, Chinese-Value in 2019","Viet Nam's imports from Taipei, Chinese-Value in 2020","Viet Nam's imports from Taipei, Chinese-Value in 2021","Taipei, Chinese's exports to world- ","Taipei, Chinese's exports to world-Value in 2012","Taipei, Chinese's exports to world-Value in 2013","Taipei, Chinese's exports to world-Value in 2014","Taipei, Chinese's exports to world-Value in 2015","Taipei, Chinese's exports to world-Value in 2016","Taipei, Chinese's exports to world-Value in 2017","Taipei, Chinese's exports to world-Value in 2018","Taipei, Chinese's exports to world-Value in 2019","Taipei, Chinese's exports to world-Value in 2020","Taipei, Chinese's exports to world-Value in 2021",Viet Nam's imports from world- ,Viet Nam's imports from world-Value in 2012,Viet Nam's imports from world-Value in 2013,Viet Nam's imports from world-Value in 2014,Viet Nam's imports from world-Value in 2015,Viet Nam's imports from world-Value in 2016,Viet Nam's imports from world-Value in 2017,Viet Nam's imports from world-Value in 2018,Viet Nam's imports from world-Value in 2019,Viet Nam's imports from world-Value in 2020,Viet Nam's imports from world-Value in 2021
293949,"Alkaloids of ephedra and their derivatives; salts thereof (excl. ephedrine, pseudoephedrine ...""",0,0,0,0,0,0,0,0,0,,,4616,4489,1056,759,224,201,129,79,193,0,,142,207,256,216,249,460,131,33,0,
293959,"Theophylline and aminophylline """"theophylline-ethylenediamine"""" and their derivatives, and ...""",2,1,1,0,0,0,0,0,0,,,41,15,0,0,0,8,0,22,10,8,,239,84,102,161,118,181,404,539,491,34
293962,"Ergotamine """"INN"""" and its salts""""",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,11,48,144,258,114,80,263,225,0,
293999,"Vegetable alkaloids, natural or reproduced by synthesis, and their salts, ethers, esters and ...""",0,0,0,0,0,0,0,0,0,,,18920,53662,29542,34369,31532,267,0,0,0,0,,1966,2441,2397,2317,2765,4107,0,0,0,
294120,Streptomycins and their derivatives; salts thereof,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,686,834,1043,1078,1332,1329,1145,1650,1289,2748
294140,Chloramphenicol and its derivatives; salts thereof,0,0,0,0,0,0,0,0,0,,,0,0,6,0,0,0,0,0,0,0,,6735,5197,5726,7445,8882,6435,6242,6884,4641,15036
300220,Vaccines for human medicine,0,0,0,0,0,0,0,8,35,,,73,380,739,1642,801,3596,45073,76978,70696,64732,,94934,85811,58188,97084,127909,94712,130065,259662,417824,1363814
300310,"Medicaments containing penicillins or derivatives thereof with a penicillanic acid structure, ...",0,0,0,0,0,0,0,0,0,,,0,9,0,0,17,79,44,128,91,81,,761,462,846,3219,11668,11980,10565,8703,4041,3137
300340,"Medicaments containing alkaloids or derivatives thereof, not containing hormones, steroids ...",0,0,0,0,0,0,0,0,0,,,666,635,704,687,1009,0,0,0,0,0,,0,43,0,0,0,19922,0,0,0,
300420,"Medicaments containing antibiotics, put up in measured doses """"incl. those in the form of ...""",506,955,2749,1491,2924,4778,1211,1943,931,,,41693,45445,15616,22525,31190,63617,49933,40228,50985,48496,,271249,242067,288562,307901,349365,365892,341981,365543,371981,155341
300460,"Medicaments containing any of the following antimalarial active principles: artemisinin """"INN"""" ...""",0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,29,0,,0,0,0,0,0,0,0,0,16,1419
310100,"Animal or vegetable fertilisers, whether or not mixed together or chemically treated; fertilisers ...",29,89,55,70,259,36,89,155,117,,,2598,2884,2639,1964,1910,1949,2213,3234,3130,2550,,9002,10681,9752,15769,15853,20934,34098,47270,65181,52640
310210,"Urea, whether or not in aqueous solution (excluding that in pellet or similar forms, or in ...",2,4,2,0,0,0,8,19,4,,,2653,2387,3112,1979,48,12,2220,8137,3791,5860,,209922,265538,65767,183454,138368,121292,152130,106573,21218,103727
310250,"Sodium nitrate (excluding that in pellet or similar forms, or in packages with a gross weight ...",1,2,0,0,0,0,2,0,86,,,76,87,141,18,0,273,395,642,620,1191,,3290,3172,2656,3953,3049,2855,3485,2586,2617,1783
310430,"Potassium sulphate (excluding that in tablets or similar forms, or in packages with a gross ...",3248,3308,3809,2985,1666,3172,1679,1982,2099,,,68202,72244,75827,88749,75941,72856,76749,73952,73788,88668,,7087,7149,8538,8282,5567,8748,5825,6230,6014,7174
310530,"Diammonium hydrogenorthophosphate """"diammonium phosphate"""" (excluding that in tablets or similar ...""",0,0,0,0,0,0,1,0,0,,,28,19,24,2,3,2,1,0,0,0,,440548,463082,442319,453009,296268,321520,273478,187929,200432,278211
320411,Synthetic organic disperse dyes; preparations based on synthetic organic disperse dyes of a ...,16638,18532,20077,25860,25069,30025,40649,45587,32637,,,21953,30372,37514,38062,43894,47755,67433,77658,55526,70046,,54293,63165,76393,86009,75586,95725,131973,145791,115858,125652
320649,"Inorganic or mineral colouring matter, n.e.s.; preparations based on inorganic or mineral colouring ...",5077,3612,5717,6279,4836,5909,9161,10288,10202,,,39371,38038,33451,35394,41061,43288,46129,42493,37589,51593,,20773,20269,26023,25718,30389,34607,47204,46548,51751,102087
321100,Prepared driers,126,203,111,225,227,115,141,152,43,,,5490,4616,4648,5612,3276,2996,2265,1609,1082,1093,,4813,4298,4177,3742,4832,6800,6049,6193,5334,3302
330124,"Oils of peppermint """"Mentha piperita"""", whether or not terpeneless, incl. concretes and absolutes""""",0,0,0,0,0,0,0,0,0,,,186,735,108,455,233,774,531,1232,1543,573,,2452,1353,1016,971,1099,1955,1548,2787,2079,619
330300,"Perfumes and toilet waters (excluding aftershave lotions, personal deodorants and hair lotions)",0,0,3,3,2,0,1,0,1,,,22048,20235,14839,18137,26707,31054,34120,28759,18679,25300,,6488,5975,6474,6466,6875,10807,15979,15522,18047,36066
330430,Manicure or pedicure preparations,0,7,5,2,0,0,8,0,0,,,20948,23084,17788,12972,9652,9822,10908,11302,9450,11158,,696,621,478,668,791,760,1018,856,349,576
330520,Preparations for permanent waving or straightening,36,14,48,154,161,209,109,99,52,,,212,210,385,449,474,385,284,156,101,120,,1312,1212,1378,1985,2444,3171,3576,3554,3129,3061
330620,"Yarn used to clean between the teeth """"dental floss"""", in individual retail packages""""",2,2,8,5,2,4,5,10,11,,,7616,8866,9229,11716,12138,13037,14511,13670,17747,18691,,254,301,213,453,564,655,1100,1224,961,1779
330690,"Preparations for oral or dental hygiene, incl. denture fixative pastes and powders (excluding ...""",0,0,0,0,4,0,5,1,22,,,1233,1424,1556,1487,1670,2416,3063,2919,2573,2721,,5775,6165,5439,6092,4788,5722,4767,6990,9410,7529
330720,Personal deodorants and antiperspirants,0,0,0,20,13,3,0,0,0,,,286,400,525,505,534,658,1374,862,570,678,,12317,17373,15368,16598,8257,8765,8798,10818,11883,11362
330730,Perfumed bath salts and other bath and shower preparations,12,38,63,28,32,2,3,0,0,,,7786,11594,10592,9921,9978,9609,9796,11332,14788,10882,,12695,16747,18817,18420,17743,11722,4052,1000,1050,4797
