Product code,Product label,Viet Nam's imports from India-Value in 2012,Viet Nam's imports from India-Value in 2013,Viet Nam's imports from India-Value in 2014,Viet Nam's imports from India-Value in 2015,Viet Nam's imports from India-Value in 2016,Viet Nam's imports from India-Value in 2017,Viet Nam's imports from India-Value in 2018,Viet Nam's imports from India-Value in 2019,Viet Nam's imports from India-Value in 2020,Viet Nam's imports from India-Value in 2021,India's exports to world- ,India's exports to world-Value in 2012,India's exports to world-Value in 2013,India's exports to world-Value in 2014,India's exports to world-Value in 2015,India's exports to world-Value in 2016,India's exports to world-Value in 2017,India's exports to world-Value in 2018,India's exports to world-Value in 2019,India's exports to world-Value in 2020,India's exports to world-Value in 2021,Viet Nam's imports from world- ,Viet Nam's imports from world-Value in 2012,Viet Nam's imports from world-Value in 2013,Viet Nam's imports from world-Value in 2014,Viet Nam's imports from world-Value in 2015,Viet Nam's imports from world-Value in 2016,Viet Nam's imports from world-Value in 2017,Viet Nam's imports from world-Value in 2018,Viet Nam's imports from world-Value in 2019,Viet Nam's imports from world-Value in 2020,Viet Nam's imports from world-Value in 2021
850133,DC motors and DC generators of an output > 75 kW but <= 375 kW (excl. photovoltaic generators),48,0,0,2,40,128,2,56,0,,,5990,5063,3026,6268,16531,18477,16078,18509,14552,14233,,2715,1934,1732,2074,1092,871,1233,1461,799,783
850140,"AC motors, single-phase, of an output > 37,5 W",3,18,9,55,8,10,9,6,4,,,66694,74848,84656,79653,51991,63006,56073,63056,75960,92356,,33266,32970,30156,32091,33164,36475,38412,43993,76990,107629
850162,"AC generators """"alternators"""", of an output > 75 kVA but <= 375 kVA (excl. photovoltaic g ...""",149,157,89,292,252,189,168,89,156,,,2625,2636,5065,8638,9309,13215,20760,26647,22101,33878,,4431,2572,2526,5619,3045,3427,2865,2553,3155,6922
850213,"Generating sets with compression-ignition internal combustion piston engine """"diesel or semi-diesel ...""",263,0,0,335,17,143,1096,1700,2222,,,44334,51047,58965,45876,71043,69088,113019,91232,69184,83648,,84210,80629,93392,140216,143169,133574,122458,111415,100072,72863
850220,Generating sets with spark-ignition internal combustion piston engine,0,0,0,0,0,213,0,0,0,,,13925,36460,48309,44735,44264,52780,51544,50486,39706,68955,,3163,2226,19939,2904,5537,4773,5625,4141,10671,11055
850410,Ballasts for discharge lamps or tubes,0,16,0,9,0,0,0,8,6,,,35527,37606,33591,24618,22893,25213,21221,20731,20201,22027,,9048,10549,16906,15961,14627,11827,7475,5839,3005,4305
850434,Transformers having a power handling capacity > 500 kVA (excluding liquid dielectric transformers),0,803,3681,552,596,495,1660,285,251,,,9393,17471,18309,15655,11128,14039,23395,16995,16876,25481,,28879,28072,38608,25540,36467,31468,37612,70867,53927,27541
850440,Static converters,1984,1606,8074,6598,10637,22921,25353,24167,15804,,,390819,336518,453310,508547,526546,553917,741975,1186041,1057914,1300034,,255519,362687,471629,492931,491967,504546,542353,873558,1396555,1102033
850610,Manganese dioxide cells and batteries (excluding spent),0,0,0,0,0,0,0,0,0,,,3479,5317,4053,3018,2744,2188,3209,8134,3003,2885,,4983,5451,8173,10736,9434,12671,13951,17989,19974,29788
850660,Air-zinc cells and batteries (excluding spent),0,0,1,0,0,0,7,0,0,,,184,0,348,1044,432,110,115,1,3,37,,145,407,421,257,936,714,1000,841,1305,62
850940,"Domestic food grinders and mixers and fruit or vegetable juice extractors, with self-contained ...",332,257,362,404,533,425,84,70,44,,,20434,22512,22523,27855,28831,30969,38658,42846,37870,65068,,20537,24261,30537,35309,39040,44939,45232,43417,46967,190702
851210,Electric lighting or visual signalling equipment of a kind used for bicycles (other than lamps ...,0,0,0,0,0,0,0,0,0,,,2377,1294,1810,1026,877,403,294,500,295,426,,786,1112,2053,2549,2145,2871,3785,3771,3237,7156
851290,"Parts of electrical lighting or signalling equipment, windscreen wipers, defrosters and demisters ...",29,16,13,26,36,138,484,401,197,,,9366,5439,8458,5676,7575,11785,14845,16379,12472,19519,,26703,31333,34196,34078,45683,35700,35904,41212,41274,61993
851631,Electric hairdryers,0,0,0,0,0,0,0,0,0,,,4,54,7,11,455,154,558,1020,823,828,,3126,3361,3588,4927,6178,6219,7587,7424,6348,34042
851660,"Electric ovens, cookers, cooking plates and boiling rings, electric grillers and roasters, ...",0,0,0,73,166,108,53,110,115,,,3558,5840,5768,8310,8463,6644,7023,6582,5722,9239,,72015,84295,108047,124691,133802,156908,181897,193734,200804,439140
851690,"Parts of electric water heaters, immersion heaters, space-heating apparatus and soil-heating ...",0,1,0,4,5,1,1,1,8,,,7433,10527,7872,8143,8524,8685,9002,5802,4474,6543,,7973,7416,12182,16007,20309,14763,15794,19578,21262,78024
851761,"Base stations of apparatus for the transmission or reception of voice, images or other data",7,0,0,13,41314,57137,0,2,55,,,1782,6139,1562,3511,854,8493,6842,1208,1097,1986,,35337,153692,171768,119177,238676,532660,160645,199759,117282,62778
851821,"Single loudspeakers, mounted in their enclosures",65,172,22,61,62,16,2,36,792,,,346,19279,26629,19911,27351,43348,13481,5961,4792,4015,,4845,6081,14208,26028,26953,25934,27101,36881,39594,166474
851850,Electric sound amplifier sets,37,20,6,0,46,0,5,15,25,,,1477,2483,4142,5395,4791,10407,7046,2185,2372,3220,,4047,4749,6010,6993,8458,8077,17447,22452,16816,14083
