Product code,Product label,Viet Nam's imports from Germany-Value in 2012,Viet Nam's imports from Germany-Value in 2013,Viet Nam's imports from Germany-Value in 2014,Viet Nam's imports from Germany-Value in 2015,Viet Nam's imports from Germany-Value in 2016,Viet Nam's imports from Germany-Value in 2017,Viet Nam's imports from Germany-Value in 2018,Viet Nam's imports from Germany-Value in 2019,Viet Nam's imports from Germany-Value in 2020,Viet Nam's imports from Germany-Value in 2021,Germany's exports to world- ,Germany's exports to world-Value in 2012,Germany's exports to world-Value in 2013,Germany's exports to world-Value in 2014,Germany's exports to world-Value in 2015,Germany's exports to world-Value in 2016,Germany's exports to world-Value in 2017,Germany's exports to world-Value in 2018,Germany's exports to world-Value in 2019,Germany's exports to world-Value in 2020,Germany's exports to world-Value in 2021,Viet Nam's imports from world- ,Viet Nam's imports from world-Value in 2012,Viet Nam's imports from world-Value in 2013,Viet Nam's imports from world-Value in 2014,Viet Nam's imports from world-Value in 2015,Viet Nam's imports from world-Value in 2016,Viet Nam's imports from world-Value in 2017,Viet Nam's imports from world-Value in 2018,Viet Nam's imports from world-Value in 2019,Viet Nam's imports from world-Value in 2020,Viet Nam's imports from world-Value in 2021
291613,Methacrylic acid and its salts,179,573,410,0,0,0,0,0,0,,,80534,81384,82922,51697,60054,65147,72249,57117,50639,65912,,1209,1705,1851,1292,1558,2028,2555,1714,1359,1898
291639,"Aromatic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their ...",117,87,118,7,7,17,1,106,58,,,55773,53270,64677,52093,44804,35445,36613,37911,54488,48578,,1950,1470,3814,2993,2885,1998,3271,5141,5568,4315
291711,"Oxalic acid, its salts and esters (excluding inorganic or organic compounds of mercury)",8,5,8,14,12,11,27,15,18,,,0,0,0,0,0,0,0,0,0,0,,1876,2312,2273,2920,2595,2620,3529,3819,3473,4155
291713,"Azelaic acid, sebacic acid, their salts and esters",0,0,0,0,1,0,0,1,0,,,9206,18936,29543,26479,23142,27046,22821,22108,20367,36069,,211,108,144,160,216,324,233,251,260,396
291733,Dinonyl or didecyl orthophthalates,0,0,0,0,0,0,0,0,0,,,394909,355077,154805,104162,120326,228609,235315,243136,175874,292620,,7556,4731,5503,3328,3790,4289,7726,6418,5980,18181
291735,Phthalic anhydride,0,0,0,0,0,0,0,0,0,,,6687,11178,37263,26980,20854,30730,30931,30672,24382,28742,,28009,24262,23420,17256,17209,19752,22245,17634,22399,41935
291910,"Tris""""2,3-dibromopropyl"""" phosphate""""",0,0,0,0,0,0,0,0,0,,,26,41,436,2,2,2,6,14,4,10,,21,28,21,29,14,11,5,34,2,
292019,"Thiophosphoric esters """"phosphorothioates"""" and their salts; their halogenated, sulphonated, ...""",0,0,0,0,0,18,15,23,16,,,9897,8709,8657,6638,6481,9445,10737,13584,12008,15050,,98,64,76,26,84,80,658,2426,67,1492
292090,"Esters of other inorganic acids of non-metals and their salts; their halogenated, sulphonated, ...""",71,51,87,99,133,95,25,47,32,,,184870,225151,207516,190046,202124,173483,172576,172028,164703,215092,,3374,3817,5551,4146,3587,4961,6341,6936,5303,11909
292111,"Methylamine, dimethylamine or trimethylamine and their salts",13,2,24,0,13,20,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,178,744,690,6751,680,14938,3490,363,95,118
