Product code,Product label,"Korea, Republic of's imports from United States of America-Value in 2012","Korea, Republic of's imports from United States of America-Value in 2013","Korea, Republic of's imports from United States of America-Value in 2014","Korea, Republic of's imports from United States of America-Value in 2015","Korea, Republic of's imports from United States of America-Value in 2016","Korea, Republic of's imports from United States of America-Value in 2017","Korea, Republic of's imports from United States of America-Value in 2018","Korea, Republic of's imports from United States of America-Value in 2019","Korea, Republic of's imports from United States of America-Value in 2020","Korea, Republic of's imports from United States of America-Value in 2021",United States of America's exports to world- ,United States of America's exports to world-Value in 2012,United States of America's exports to world-Value in 2013,United States of America's exports to world-Value in 2014,United States of America's exports to world-Value in 2015,United States of America's exports to world-Value in 2016,United States of America's exports to world-Value in 2017,United States of America's exports to world-Value in 2018,United States of America's exports to world-Value in 2019,United States of America's exports to world-Value in 2020,United States of America's exports to world-Value in 2021,"Korea, Republic of's imports from world- ","Korea, Republic of's imports from world-Value in 2012","Korea, Republic of's imports from world-Value in 2013","Korea, Republic of's imports from world-Value in 2014","Korea, Republic of's imports from world-Value in 2015","Korea, Republic of's imports from world-Value in 2016","Korea, Republic of's imports from world-Value in 2017","Korea, Republic of's imports from world-Value in 2018","Korea, Republic of's imports from world-Value in 2019","Korea, Republic of's imports from world-Value in 2020","Korea, Republic of's imports from world-Value in 2021"
390430,"Vinyl chloride-vinyl acetate copolymers, in primary forms",0,11,5,9,3,0,0,3,14,123,,16229,10640,9659,11683,12891,22750,20896,22241,20042,24533,,8087,7131,7483,7541,10525,13291,12600,10249,11548,13039
490591,"Maps and hydrographic or similar charts of all kinds, incl. atlases and topographical plans, ...",36,65,65,93,57,96,44,12,16,122,,1519,912,1335,850,667,721,959,1336,426,483,,4715,4335,4060,3837,3011,2835,2351,1716,827,725
910129,"Wrist-watches of precious metal or of metal clad with precious metal, whether or not incorporating ...",28,13,66,67,31,107,26,23,27,122,,79954,49641,47955,51536,59888,52418,68096,58844,41347,48696,,29128,36139,50766,38489,31548,28646,28599,34876,31614,41261
853331,"Wirewound variable electrical resistors, incl. rheostats and potentiometers, for a power handling ...",331,239,133,837,57,248,326,88,66,121,,22063,22026,23877,22231,19167,24159,25023,24864,25568,25323,,1246,449,360,1007,221,408,519,406,298,368
470100,"Mechanical wood pulp, not chemically treated",0,14,0,137,20,156,182,159,130,121,,13865,12256,28876,40665,40684,62466,82547,21111,27892,85747,,1278,2678,6159,3820,1087,1191,750,932,651,1005
950730,Fishing reels,51,142,92,191,122,140,125,66,65,121,,30140,31085,33301,30552,30355,26798,31042,27021,25567,33993,,19069,19021,21805,25928,29505,36325,49043,36198,31529,43390
930510,"Parts and accessories for revolvers or pistols, n.e.s.",89,68,104,279,137,524,216,39,403,120,,15836,16973,22262,22474,31811,26415,32353,20616,21196,30277,,193,373,673,390,423,705,367,1103,966,368
270730,"Xylol """"xylenes"""" containing > 50% of xylenes (excluding chemically defined)""""",634094,515175,264012,9121,43077,3464,6680,170,5733,120,,559722,580101,217551,46234,17060,32541,24395,44282,44055,60470,,1306499,1960653,1462209,1068323,950847,921308,999714,853396,479838,600609
820740,"Tools for tapping or threading, interchangeable",132,153,134,131,176,185,203,208,156,120,,48634,50221,47839,45162,39383,43413,47481,44659,34624,41162,,21379,18825,19283,17488,21339,22230,23012,23423,15547,23156
580610,"Narrow woven pile fabrics, incl. terry towelling and similar terry fabrics, and chenille fabrics, ...",97,197,20,622,562,320,494,80,140,120,,23973,28828,31795,29437,28769,31815,29635,25988,25171,32393,,977,1708,1793,2708,3608,3215,4390,5408,5110,5700
847720,Extruders for working rubber or plastics,13207,1198,7172,2894,250,1221,1694,2005,166,120,,141475,126083,157771,106811,151125,84626,110275,69663,45569,61730,,100610,80749,75798,56755,79455,111699,130994,74833,159846,87855
731439,"Grill, netting and fencing, of iron or steel wire, welded at the intersection (excluding products ...",224,197,550,144,99,121,96,93,155,119,,20071,16551,17733,14768,12512,13058,13192,13903,12108,14027,,4060,3610,4104,3031,4091,4156,4962,4602,3200,4217
281610,Hydroxide and peroxide of magnesium,170,173,168,112,157,116,86,36,48,119,,21120,19226,22838,19426,18339,23563,19166,17072,16591,16667,,21568,18396,21426,26248,22959,18211,13816,14333,12504,13030
846039,"Sharpening """"tool or cutter grinding"""" machines, not numerically controlled""""",167,163,95,67,63,282,128,196,95,119,,11424,11125,12063,11293,9402,9044,9187,7098,6500,9766,,2460,1443,1919,5044,1983,2736,2232,820,3573,1074
420232,"Wallets, purses, key-pouches, cigarette-cases, tobacco-pouches and similar articles carried ...",238,429,465,253,155,117,191,150,160,119,,43226,42023,36388,36374,45149,51751,77591,95710,81107,97054,,84651,89326,102952,101130,112378,128580,152650,181114,183425,212258
731813,"Screw hooks and screw rings, of iron or steel",3,11,104,247,463,481,408,254,296,119,,27112,17550,13381,14167,9849,9581,11202,11027,10922,8171,,340,402,917,892,1008,1493,1867,1758,1541,2016
901060,Projection screens,819,2975,1165,729,488,308,553,286,148,119,,67852,58198,52233,46276,38221,38282,38761,32315,22333,21482,,2397,4695,3798,2508,3346,3271,3242,3163,3799,3606
401390,"Inner tubes, of rubber (excluding those of a kind used on motor cars, incl. station wagons ...",11,42,29,438,43,41,50,62,83,119,,16045,10017,8869,10035,7209,9991,8205,9693,9522,12814,,515,700,759,1356,523,826,1063,1067,1628,1983
901841,"Dental drill engines, whether or not combined on a single base with other dental equipment",93,88,46,57,70,303,386,148,18,119,,41713,39633,42491,48611,32828,30099,23138,21362,18142,24504,,5927,4711,4067,6382,8797,6743,9638,8487,6573,17623
710691,"Silver, incl. silver plated with gold or platinum, unwrought (excluding silver in powder form)",88,111,764,96,120,255,747,195,115,119,,1354526,496401,408070,725028,399182,194410,521179,365827,964905,1539826,,32046,24374,23720,15588,16950,28813,10322,1966,17290,10807
621142,"Women's or girls' tracksuits and other garments, n.e.s. of cotton (excluding knitted or crocheted)",161,259,184,239,140,103,104,129,89,118,,36970,33441,31923,22461,21113,21140,25148,31353,28778,62248,,40330,29491,27026,26504,27308,26523,26333,27585,22018,29076
611710,"Shawls, scarves, mufflers, mantillas, veils and the like, knitted or crocheted",201,150,194,173,103,109,74,96,152,118,,7882,8038,9238,8096,7975,8137,6692,7133,7232,7329,,21863,22482,20747,20097,19738,20931,25334,24774,23065,27384
280800,Nitric acid; sulphonitric acids,4,19,471,876,187,637,74,91,131,117,,21008,22645,20117,22745,20818,22819,18893,11423,10459,12792,,3293,972,1194,2440,1022,1115,791,651,816,1501
846721,"Drills of all kinds for working in the hand, with self-contained electric motor",74,345,78,55,87,128,142,140,127,117,,107436,110255,109762,102244,108777,126575,116786,100463,89037,112628,,43289,44114,46639,44652,56098,58279,55801,55638,54637,62775
870321,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",173,467,578,587,616,300,379,88,106,117,,1265895,1123781,1180598,902783,723171,734620,735576,607467,608815,916980,,4821,6449,7646,14510,9545,10210,8463,7456,8826,7152
284310,Colloidal precious metals,94,33,14,30,55,48,53,75,139,116,,23078,13850,13479,13751,13322,11434,6217,13142,23228,23363,,208,100,75,112,184,437,437,502,1014,943
842699,"Ships' derricks; cranes, incl. cable cranes (excluding overhead travelling cranes, transporter ...",2491,6028,580,6941,461,251,91,5693,198,116,,97841,55132,64041,40186,59996,25318,33505,37228,18292,28707,,205921,101022,106752,73487,34979,43200,16839,22300,9328,8112
390450,"Vinylidene chloride polymers, in primary forms",46,10,78,34,16,4,19,21,18,115,,39645,45019,45402,35393,11890,10252,13509,10152,12403,11359,,3037,1994,1848,1896,2093,1880,1375,2297,1873,1674
401170,"New pneumatic tyres, of rubber, of a kind used on agricultural or forestry vehicles and machines",0,0,0,0,0,191,231,91,115,114,,0,0,0,0,0,133235,112106,96230,95150,123506,,0,0,0,0,0,5062,5680,7661,7387,8950
720838,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",96,14,0,0,0,0,0,0,0,114,,93607,148422,100799,61056,64137,98933,65247,53476,50089,79369,,780092,667933,631785,520845,474539,701845,568525,502187,312001,534975
91012,"Ginger, crushed or ground",0,0,76,145,95,106,93,96,99,114,,1487,1272,1079,1259,1273,1868,2364,2142,2912,2606,,261,291,320,429,392,359,374,420,562,519
