Product code,Product label,"Saudi Arabia's imports from Taipei, Chinese-Value in 2012","Saudi Arabia's imports from Taipei, Chinese-Value in 2013","Saudi Arabia's imports from Taipei, Chinese-Value in 2014","Saudi Arabia's imports from Taipei, Chinese-Value in 2015","Saudi Arabia's imports from Taipei, Chinese-Value in 2016","Saudi Arabia's imports from Taipei, Chinese-Value in 2017","Saudi Arabia's imports from Taipei, Chinese-Value in 2018","Saudi Arabia's imports from Taipei, Chinese-Value in 2019","Saudi Arabia's imports from Taipei, Chinese-Value in 2020","Saudi Arabia's imports from Taipei, Chinese-Value in 2021","Taipei, Chinese's exports to world- ","Taipei, Chinese's exports to world-Value in 2012","Taipei, Chinese's exports to world-Value in 2013","Taipei, Chinese's exports to world-Value in 2014","Taipei, Chinese's exports to world-Value in 2015","Taipei, Chinese's exports to world-Value in 2016","Taipei, Chinese's exports to world-Value in 2017","Taipei, Chinese's exports to world-Value in 2018","Taipei, Chinese's exports to world-Value in 2019","Taipei, Chinese's exports to world-Value in 2020","Taipei, Chinese's exports to world-Value in 2021",Saudi Arabia's imports from world- ,Saudi Arabia's imports from world-Value in 2012,Saudi Arabia's imports from world-Value in 2013,Saudi Arabia's imports from world-Value in 2014,Saudi Arabia's imports from world-Value in 2015,Saudi Arabia's imports from world-Value in 2016,Saudi Arabia's imports from world-Value in 2017,Saudi Arabia's imports from world-Value in 2018,Saudi Arabia's imports from world-Value in 2019,Saudi Arabia's imports from world-Value in 2020,Saudi Arabia's imports from world-Value in 2021
721049,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",34478,22651,25394,23373,14226,5936,8315,11113,7235,9906,,990865,876172,850574,730120,692741,932898,905615,567440,473026,1070841,,166920,188387,177555,232405,123279,112614,113900,132109,175377,192404
390760,"Poly""""ethylene terephthalate"""", in primary forms""""",31586,28374,23992,24793,22900,17114,1235,3765,4068,9549,,1237402,1128977,975561,832580,803532,14587,0,0,0,0,,103957,195952,221901,167737,117490,47559,31323,54492,40167,30424
391990,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether ...",15757,14581,12926,11119,10696,10379,9162,10199,9320,9397,,887332,848040,803322,645085,591482,819329,875504,806811,667260,797822,,142133,166161,153771,155709,130353,128698,127995,137012,117168,111804
731814,"Self-tapping screws, of iron or steel (excl. wood screws)",7585,7464,7785,11662,8817,7145,5118,5423,8355,9154,,360438,396231,423370,427848,409830,477893,570533,537881,627725,857593,,16005,19929,12815,17690,13791,10685,9039,9520,13688,18798
950691,"Articles and equipment for general physical exercise, gymnastics or athletics",4272,7575,8260,8714,6597,8618,7185,9945,6654,8545,,628745,683464,760144,755507,789698,840818,898391,1054564,1423233,2404380,,44453,56039,60237,67673,51626,54261,60438,63887,79963,110605
290723,"4,4'-Isopropylidenediphenol """"bisphenol A, diphenylolpropane"""" and its salts""""",9914,4040,2634,168,8596,2742,6727,5534,1792,8352,,593033,491992,464776,349534,235294,229918,376906,295305,328888,677461,,47044,50465,39414,855,16122,29214,39432,22224,21005,26323
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",4369,5981,5282,6410,5992,5250,6072,6833,6429,7579,,1785749,1700538,1806996,1789111,1751079,1720636,1649266,1598660,1697659,1964061,,174511,156751,183628,210507,148495,164086,220122,250591,287417,310818
292090,"Esters of other inorganic acids of non-metals and their salts; their halogenated, sulphonated, ...""",7504,4131,6905,5484,4240,7209,7910,7848,9256,7442,,70339,73893,67904,81688,88269,6146,7874,12563,11353,19642,,45098,24486,29683,19914,22324,30689,22842,20583,22045,25658
852580,"Television cameras, digital cameras and video camera recorders",20508,40469,31361,22739,21217,14193,10814,11461,8450,7428,,1778120,1928112,1437715,1350992,1177300,1124577,1147273,1123967,1055785,1268773,,341073,357408,277639,211543,218879,188867,186571,180149,160904,177346
940320,"Metal furniture (excluding for offices, seats and medical, surgical, dental or veterinary  ...",1949,2048,3587,4740,4521,4492,4215,4776,4575,7145,,433558,405139,479130,494004,475013,478394,494559,612697,676570,718752,,76848,97023,119735,138864,114804,123944,126891,157238,165583,234049
