Product code,Product label,India's imports from United States of America-Value in 2012,India's imports from United States of America-Value in 2013,India's imports from United States of America-Value in 2014,India's imports from United States of America-Value in 2015,India's imports from United States of America-Value in 2016,India's imports from United States of America-Value in 2017,India's imports from United States of America-Value in 2018,India's imports from United States of America-Value in 2019,India's imports from United States of America-Value in 2020,India's imports from United States of America-Value in 2021,United States of America's exports to world- ,United States of America's exports to world-Value in 2012,United States of America's exports to world-Value in 2013,United States of America's exports to world-Value in 2014,United States of America's exports to world-Value in 2015,United States of America's exports to world-Value in 2016,United States of America's exports to world-Value in 2017,United States of America's exports to world-Value in 2018,United States of America's exports to world-Value in 2019,United States of America's exports to world-Value in 2020,United States of America's exports to world-Value in 2021,India's imports from world- ,India's imports from world-Value in 2012,India's imports from world-Value in 2013,India's imports from world-Value in 2014,India's imports from world-Value in 2015,India's imports from world-Value in 2016,India's imports from world-Value in 2017,India's imports from world-Value in 2018,India's imports from world-Value in 2019,India's imports from world-Value in 2020,India's imports from world-Value in 2021
720421,"Waste and scrap of stainless steel (excluding radioactive, and waste and scrap of batteries ...",97237,80695,57676,80476,84164,87172,145881,231688,159118,240217,,804201,742671,676949,641987,442562,429658,324000,346983,276095,341411,,1016273,1005074,1165424,999030,784529,1098887,1440194,1629945,1323777,2233494
520100,"Cotton, neither carded nor combed",106264,98370,106446,109128,231891,474871,351197,616716,155375,222589,,6226615,5592682,4397806,3889859,3959656,5827751,6550074,6140232,5952589,5713048,,470375,399780,504120,386729,878938,955693,623724,1320897,344649,519610
293499,"Nucleic acids and their salts, whether or not chemically defined; heterocyclic compounds (excl. ...""",4142,3093,7115,6688,6795,8703,7531,11585,26607,211147,,2295291,2488822,1773652,2192208,1483662,1171491,1120708,902615,1130397,1852061,,213658,257789,332891,319436,297596,397882,419767,397303,549653,908693
470710,"Recovered """"waste and scrap"""" paper or paperboard of unbleached kraft paper, corrugated paper ...""",3111,4922,4169,11283,4723,1970,3710,16226,63833,192279,,1675807,1517355,1511106,1528892,1493191,1519953,1828287,1420294,1404068,1992749,,4483,7096,7061,13112,5024,3446,6437,28315,162435,377622
284390,"Inorganic or organic compounds of precious metals, whether or not chemically defined (excluding ...",54721,59225,43362,35134,46658,69375,86909,155548,209000,189105,,268623,363130,474541,377156,298296,485463,634674,984140,1333629,1702049,,119185,108453,91344,86715,99774,143241,210628,448496,1097295,1879024
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",136433,150800,150142,138707,168575,178193,171235,178032,124358,179859,,10763604,11197988,11687828,11860181,12339549,12356060,13196120,14299705,13315317,14677184,,510427,546320,565962,529590,563216,613606,710069,762177,676409,948806
854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",35409,26806,28222,29014,19520,24904,62553,52533,38937,169450,,16722417,16919489,17461428,18153373,19849096,18966563,19263379,23446163,27713745,32658379,,1228689,993623,719650,755501,757057,936996,3911540,5313237,4408979,7523575
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",111645,182330,175337,146657,67555,115668,205956,125817,106049,164517,,71362058,77494233,73182815,47499586,37787038,48220810,55991243,53121693,33730560,42946188,,3448458,3097126,3272372,2065917,2233605,3109496,4602869,4936763,4772075,7920915
381512,"Supported catalysts with precious metal or a precious-metal compound as the active substance, ...",18298,60515,98070,38972,21501,44638,82355,37404,49940,163146,,977317,1316233,1296899,1325556,1352718,1569784,1722704,2000935,1632506,2257838,,85848,111400,156556,87164,86489,88692,119679,121047,111886,331638
740400,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...",44346,23833,53317,51006,66588,79942,145258,231743,140355,156810,,4471697,4129993,3516027,2789215,2232812,2761231,3166813,2825123,2675659,4497184,,1173900,819814,899632,780264,668963,792495,902141,966353,854300,1524490
711319,"Articles of jewellery and parts thereof, of precious metal other than silver, whether or not ...",115950,99017,69019,109577,117361,123728,149674,194759,104842,156588,,7784158,9087872,9747722,9110930,8956030,9097774,9292221,8645561,4860844,6695429,,5088330,773805,734799,686503,300844,688513,599143,536923,301847,508288
271390,Residues of petroleum oil or of oil obtained from bituminous minerals (excluding petroleum ...,383870,501828,393473,240719,200437,294702,411815,324794,181424,155844,,31146,31026,56205,36199,28164,30111,44263,29371,31014,43987,,401251,561946,587721,328314,243381,346753,483956,439287,205465,182340
290315,"Ethylene dichloride """"ISO"""" """"1,2 dichloroethane""""""""",15452,26937,70587,40920,17336,39361,51433,79875,45925,151497,,149301,264795,417361,262116,246838,304971,313600,438963,320037,526073,,108454,137454,214005,155114,129322,163665,176199,261410,204355,422133
901920,"Ozone therapy, oxygen therapy, aerosol therapy, artificial respiration or other therapeutic ...",17537,21824,26714,28035,26575,31889,35184,32019,40418,150577,,1120232,1075063,1101648,1039776,1075132,1122258,1124008,1240293,1693130,1435452,,57954,64949,76709,77706,90962,110522,135305,139739,276928,1128270
470321,"Semi-bleached or bleached coniferous chemical wood pulp, soda or sulphate (excluding dissolving ...",39402,50643,69578,86175,88096,83833,97616,105906,106835,143483,,3638838,3567951,3770161,3765067,3709376,3887262,4241295,4080453,3688553,4392623,,111490,109038,153134,137754,138179,164253,213797,188784,167147,230672
720449,"Waste and scrap of iron or steel (excluding slag, scale and other waste of the production of ...",468316,200384,117550,249490,211262,219530,222837,182519,149270,138927,,7461989,5980647,4778570,2905548,2632621,3762471,4871135,3956157,3681491,6209698,,3189924,1948027,1838163,1872279,1277859,1263180,1867815,1820601,1230915,1568813
