Product code,Product label,"Germany's imports from Korea, Republic of-Value in 2012","Germany's imports from Korea, Republic of-Value in 2013","Germany's imports from Korea, Republic of-Value in 2014","Germany's imports from Korea, Republic of-Value in 2015","Germany's imports from Korea, Republic of-Value in 2016","Germany's imports from Korea, Republic of-Value in 2017","Germany's imports from Korea, Republic of-Value in 2018","Germany's imports from Korea, Republic of-Value in 2019","Germany's imports from Korea, Republic of-Value in 2020","Germany's imports from Korea, Republic of-Value in 2021","Korea, Republic of's exports to world- ","Korea, Republic of's exports to world-Value in 2012","Korea, Republic of's exports to world-Value in 2013","Korea, Republic of's exports to world-Value in 2014","Korea, Republic of's exports to world-Value in 2015","Korea, Republic of's exports to world-Value in 2016","Korea, Republic of's exports to world-Value in 2017","Korea, Republic of's exports to world-Value in 2018","Korea, Republic of's exports to world-Value in 2019","Korea, Republic of's exports to world-Value in 2020","Korea, Republic of's exports to world-Value in 2021",Germany's imports from world- ,Germany's imports from world-Value in 2012,Germany's imports from world-Value in 2013,Germany's imports from world-Value in 2014,Germany's imports from world-Value in 2015,Germany's imports from world-Value in 2016,Germany's imports from world-Value in 2017,Germany's imports from world-Value in 2018,Germany's imports from world-Value in 2019,Germany's imports from world-Value in 2020,Germany's imports from world-Value in 2021
871631,"Tanker trailers and tanker semi-trailers, not designed for running on rails",0,0,0,0,0,0,0,0,0,0,,444,395,885,329,144,353,296,141,0,0,,27709,28749,47147,36871,43616,60938,70680,68064,79286,89424
890690,"Vessels, incl. lifeboats (excluding warships, rowing boats and other vessels of heading 8901 ...",2,0,0,0,0,6,2,0,0,0,,1500,118377,15531,46131,60008,26718,39914,109689,125094,126611,,19944,12417,32858,8783,9455,3115,15694,20658,11913,4271
871390,"Carriages for disabled persons, motorised or otherwise mechanically propelled (excluding specially ...",1,0,0,0,0,0,4,0,0,0,,54,149,37,119,264,2506,6363,13696,10679,3422,,17458,21519,23459,22877,24329,27389,31302,42314,46210,40028
930599,"Parts and accessories for weapons and the like of heading 9303 or 9304, n.e.s. (excluding of ...",7,1,1,0,1,119,2,0,1,0,,90,32,5308,1671,349,8977,4036,388,19,290,,20522,18202,15014,10561,14707,13387,12519,15106,14923,17288
930621,Cartridges for smooth-barrelled shotguns,0,0,0,0,0,0,0,0,0,0,,41496,5676,2815,21,59,55,0,2247,2431,0,,11311,11335,9673,9727,12342,10269,9899,9911,9498,9658
920890,"Fairground organs, mechanical street organs, mechanical singing birds, musical saws and other ...",0,0,2,7,0,0,0,1,0,0,,220,83,79,30,71,42,51,18,17,9,,2359,2005,6859,1811,2165,2076,2691,2454,2426,3748
940159,"Seats of cane, osier or similar materials (excluding of bamboo or rattan)",0,0,0,2,0,0,0,0,0,0,,216,148,190,138,145,90,359,174,110,210,,6848,8372,6003,5798,5462,5335,4950,6125,8547,10425
940382,"Furniture of bamboo (excl. seats and medical, surgical, dental or veterinary furniture)",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,2,40,1,0,2,,0,0,0,0,0,14933,15335,19954,19854,24283
910529,Wall clocks (excluding electrically operated),4,0,0,1,0,0,0,4,0,0,,427,512,292,355,187,289,264,90,157,135,,1392,1404,1480,1053,1447,3140,3200,2424,1676,1881
910811,"Watch movements, complete and assembled, electrically operated, with mechanical display only ...",0,0,2,0,0,0,0,0,0,0,,18,14,35,3,111,152,137,140,192,100,,13603,14076,13661,13015,12234,9318,10347,8815,9084,7618
911019,Rough clock movements,0,0,0,0,0,0,0,0,0,0,,0,0,4,0,0,0,0,8,30,125,,345,410,477,549,444,388,221,112,40,170
