Product code,Product label,United States of America's imports from Japan-Value in 2012,United States of America's imports from Japan-Value in 2013,United States of America's imports from Japan-Value in 2014,United States of America's imports from Japan-Value in 2015,United States of America's imports from Japan-Value in 2016,United States of America's imports from Japan-Value in 2017,United States of America's imports from Japan-Value in 2018,United States of America's imports from Japan-Value in 2019,United States of America's imports from Japan-Value in 2020,United States of America's imports from Japan-Value in 2021,Japan's exports to world- ,Japan's exports to world-Value in 2012,Japan's exports to world-Value in 2013,Japan's exports to world-Value in 2014,Japan's exports to world-Value in 2015,Japan's exports to world-Value in 2016,Japan's exports to world-Value in 2017,Japan's exports to world-Value in 2018,Japan's exports to world-Value in 2019,Japan's exports to world-Value in 2020,Japan's exports to world-Value in 2021,United States of America's imports from world- ,United States of America's imports from world-Value in 2012,United States of America's imports from world-Value in 2013,United States of America's imports from world-Value in 2014,United States of America's imports from world-Value in 2015,United States of America's imports from world-Value in 2016,United States of America's imports from world-Value in 2017,United States of America's imports from world-Value in 2018,United States of America's imports from world-Value in 2019,United States of America's imports from world-Value in 2020,United States of America's imports from world-Value in 2021
848690,Parts and accessories for machines and apparatus of a kind used solely or principally for the ...,1061443,974524,917001,851636,901700,1186838,1201534,1386648,1304069,1312963,,3309305,2946655,3181004,3154275,4398921,5689336,5689802,5029592,6058813,6264001,,2357100,2343682,2492761,2284289,2435186,3562488,3952706,3196044,3875425,3874718
841191,"Parts of turbojets or turbopropellers, n.e.s.",1425986,1684553,1880293,1950846,1870677,2048764,2057303,1762902,1318938,1295045,,2378787,2526942,2514190,2700905,3050984,3244781,3561068,3640837,2397565,2273640,,10363016,11273825,12132580,12584051,12180613,13619339,14280649,15566416,9390307,9624664
850790,"Plates, separators and other parts of electric accumulators, n.e.s.",11946,6520,276151,450050,550668,1213197,1136108,1024599,797183,1225753,,646288,837490,931563,737558,617459,975688,1493442,1357242,1027786,1074124,,112339,122884,425041,690600,846404,1479082,1636610,1519706,1607447,3279432
840721,Spark-ignition outboard motors for marine propulsion,516221,600829,709514,714079,761517,887075,1030142,1046214,737570,1153117,,1603660,1558361,1620153,1482722,1685061,1750063,2032320,2059990,1660078,2352533,,617666,696357,811896,806412,856924,982983,1135342,1137217,809036,1261152
842951,Self-propelled front-end shovel loaders,425502,521864,542416,525804,826754,748342,810358,946866,875531,1124845,,1214684,1151026,1273866,1031418,1307373,1393017,1533813,1448294,1443112,1909591,,1273571,1223886,1364325,1367553,1381995,1603622,1992874,2167370,1666223,2298131
840890,"Compression-ignition internal combustion piston engine """"diesel or semi-diesel engine"""" (excluding ...""",1034053,826970,973875,888029,769914,890194,1116241,1243444,752922,1093962,,2922154,2360659,2419739,1886539,2019132,2527459,3135938,2970964,2640170,3422000,,2851710,2326348,2673149,2427420,2027068,2465404,3204690,3032938,1920727,2588198
850440,Static converters,652354,663934,705964,671688,627434,650162,626008,635741,870408,1018260,,1906969,1973767,1958788,1727221,1825508,2025854,2230500,2399805,2451257,2824468,,8080280,8486424,9273437,9607602,9264142,9541997,10422940,10125956,10932833,13225374
852580,"Television cameras, digital cameras and video camera recorders",2338477,1472442,1081711,1046043,1041926,973140,973413,980628,860385,997858,,9331489,5891055,4547778,3646031,3566229,3433771,3239334,2727070,2395651,2639579,,7564906,6114185,5554187,5771063,5850694,6796285,7530877,7750915,7597446,8863485
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",561598,628621,644844,556958,555525,678136,764724,841938,740577,898381,,3215557,2813145,2870431,2387025,2649395,3216581,3243433,2754691,2616653,3236128,,7688047,8830544,9362125,9848385,10210049,10868594,12068896,12798787,12050623,13797558
901819,"Electro-diagnostic apparatus, incl. apparatus for functional exploratory examination or for ...",734906,787148,883465,948909,876568,881826,912963,869091,725682,865629,,999376,1111608,1350398,1385300,1409286,1479377,1539316,1648180,1698748,2001338,,3263984,3408114,3675051,3784626,3624695,3669866,3774374,3839826,3907827,4453717
850760,Lithium-ion accumulators (excluding spent),440152,675210,600784,535985,507590,533550,524036,457392,641399,856673,,2293524,2053191,2032530,2032883,2617327,2571627,2577621,2053783,2480619,3372165,,1306942,1707471,1729944,1718175,1997259,2568701,3224108,3691381,4823512,8265629
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",811029,767750,818999,792103,743097,790562,768565,788531,689344,794337,,2200916,2011256,1855265,1701753,1866677,2023503,2114436,1915582,1837107,2134211,,7395870,7677434,8555758,8339420,7847296,8460070,9479565,8649164,7521799,8918139
381800,"Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, ...",720195,622652,635606,650574,598053,669921,796991,779661,729131,752123,,2996387,2580708,2730727,2605747,2634309,3084935,3926841,4019308,4033920,4585284,,1389498,1369070,1368945,1586136,1373971,1511466,1799530,1674363,1541409,1731282
870829,"Parts and accessories of bodies for tractors, motor vehicles for the transport of ten or more ...""",709540,637382,565400,610285,672113,736150,717609,685492,613865,740846,,3889022,3551892,3261016,2926364,3159898,3378746,3522078,3314352,2564690,2932719,,10932350,11581587,12552830,14042270,14081944,13487610,14893148,14676483,13006933,16413178
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",506279,477820,449599,419826,389289,435492,468954,486528,508886,667595,,2245933,1810450,1640312,1594261,1729991,1898197,1871509,1702331,1779309,2102258,,5347776,5555755,6159935,7233384,7382348,7548836,8099793,6751480,6499745,9420558
870850,"Drive-axles with differential, whether or not provided with other transmission components, ...",450169,487328,443483,470224,408135,359137,440960,461017,433824,646735,,2831930,2544339,2423037,2402248,2459926,2522416,2432565,2285643,2014140,2466271,,3205457,3360402,3740605,4128998,3969783,4038007,4550569,4729766,4079293,5426265
854140,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",678676,550669,600894,669728,701758,651363,713117,626774,519529,609223,,5832186,4725687,4535930,4031915,3912765,3882194,3955824,3532115,3441502,3822637,,7258994,5791108,6506153,8599774,10947191,7754845,5607398,8398077,10509146,9556549
842890,"Machinery for lifting, handling, loading or unloading, n.e.s.",295459,278262,414981,374049,467656,533605,512798,486289,533897,605380,,665223,622787,622790,584144,616594,733026,913331,884180,738666,617170,,1781921,1964198,2374003,2447458,2494610,2696378,2947165,2999059,2910813,3666490
845710,Machining centres for working metal,947714,740733,818214,669960,588186,675287,760373,743969,437645,585574,,5389541,3127131,4494546,3858334,2695200,3280042,3624641,2735020,1988187,2867455,,1622436,1331230,1364769,1176497,1087711,1231161,1556088,1444778,975627,1193362
