Product code,Product label,Saudi Arabia's imports from Germany-Value in 2012,Saudi Arabia's imports from Germany-Value in 2013,Saudi Arabia's imports from Germany-Value in 2014,Saudi Arabia's imports from Germany-Value in 2015,Saudi Arabia's imports from Germany-Value in 2016,Saudi Arabia's imports from Germany-Value in 2017,Saudi Arabia's imports from Germany-Value in 2018,Saudi Arabia's imports from Germany-Value in 2019,Saudi Arabia's imports from Germany-Value in 2020,Saudi Arabia's imports from Germany-Value in 2021,Germany's exports to world- ,Germany's exports to world-Value in 2012,Germany's exports to world-Value in 2013,Germany's exports to world-Value in 2014,Germany's exports to world-Value in 2015,Germany's exports to world-Value in 2016,Germany's exports to world-Value in 2017,Germany's exports to world-Value in 2018,Germany's exports to world-Value in 2019,Germany's exports to world-Value in 2020,Germany's exports to world-Value in 2021,Saudi Arabia's imports from world- ,Saudi Arabia's imports from world-Value in 2012,Saudi Arabia's imports from world-Value in 2013,Saudi Arabia's imports from world-Value in 2014,Saudi Arabia's imports from world-Value in 2015,Saudi Arabia's imports from world-Value in 2016,Saudi Arabia's imports from world-Value in 2017,Saudi Arabia's imports from world-Value in 2018,Saudi Arabia's imports from world-Value in 2019,Saudi Arabia's imports from world-Value in 2020,Saudi Arabia's imports from world-Value in 2021
292241,Lysine and its esters; salts thereof,0,0,0,0,0,0,0,0,0,0,,51445,50479,46073,53436,68696,61315,50481,35383,49616,55423,,13099,13451,9479,12665,17188,7279,12420,12603,9002,6068
293510,N-Methylperfluorooctane sulphonamide,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,49,11,39,46,13,,0,0,0,0,0,0,0,0,0,116
293959,"Theophylline and aminophylline """"theophylline-ethylenediamine"""" and their derivatives, and ...""",0,0,0,0,0,0,0,0,0,0,,19441,16102,14706,8560,7046,6818,8224,6753,6275,5336,,0,34,46,0,28,52,19,0,0,0
293962,"Ergotamine """"INN"""" and its salts""""",0,0,0,0,0,0,0,0,0,0,,443,536,590,557,646,634,590,794,761,910,,0,0,0,0,4,0,0,0,0,0
293999,"Vegetable alkaloids, natural or reproduced by synthesis, and their salts, ethers, esters and ...""",238,1153,735,1749,1244,0,0,0,0,0,,671261,406169,338046,101612,141189,0,0,0,0,0,,238,1192,965,2911,2198,35,64,0,17,2
294120,Streptomycins and their derivatives; salts thereof,1171,158,0,0,0,0,0,0,0,0,,495,856,761,491,532,301,348,936,525,592,,5795,10251,9479,13450,3966,10518,7151,12064,9484,9292
293291,Isosafrole,0,0,0,0,0,0,0,0,0,0,,3,3,1,1,2,1,0,8,16,0,,0,0,0,0,0,28,0,0,0,0
293295,"Tetrahydrocannabinols """"all isomers""""""""",0,0,0,0,0,0,0,0,0,0,,257,412,521,2000,3053,5258,7883,8790,8665,9788,,0,0,0,0,0,0,0,0,0,0
293750,"Prostaglandins, thromboxanes and leukotrienes, their derivatives and structural analogues, ...",0,0,0,0,0,0,0,0,0,0,,2470,5768,4417,2517,2233,2858,1744,2919,2057,1189,,0,0,0,115,0,0,0,142,0,0
293810,"Rutoside """"rutin"""" and its derivatives""""",0,0,0,0,0,0,0,0,0,0,,10431,16573,12601,4131,6174,5398,3439,4086,3650,8739,,0,415,113,0,0,13,0,0,0,0
