Product code,Product label,"Russian Federation's imports from Korea, Republic of-Value in 2012","Russian Federation's imports from Korea, Republic of-Value in 2013","Russian Federation's imports from Korea, Republic of-Value in 2014","Russian Federation's imports from Korea, Republic of-Value in 2015","Russian Federation's imports from Korea, Republic of-Value in 2016","Russian Federation's imports from Korea, Republic of-Value in 2017","Russian Federation's imports from Korea, Republic of-Value in 2018","Russian Federation's imports from Korea, Republic of-Value in 2019","Russian Federation's imports from Korea, Republic of-Value in 2020","Russian Federation's imports from Korea, Republic of-Value in 2021","Korea, Republic of's exports to world- ","Korea, Republic of's exports to world-Value in 2012","Korea, Republic of's exports to world-Value in 2013","Korea, Republic of's exports to world-Value in 2014","Korea, Republic of's exports to world-Value in 2015","Korea, Republic of's exports to world-Value in 2016","Korea, Republic of's exports to world-Value in 2017","Korea, Republic of's exports to world-Value in 2018","Korea, Republic of's exports to world-Value in 2019","Korea, Republic of's exports to world-Value in 2020","Korea, Republic of's exports to world-Value in 2021",Russian Federation's imports from world- ,Russian Federation's imports from world-Value in 2012,Russian Federation's imports from world-Value in 2013,Russian Federation's imports from world-Value in 2014,Russian Federation's imports from world-Value in 2015,Russian Federation's imports from world-Value in 2016,Russian Federation's imports from world-Value in 2017,Russian Federation's imports from world-Value in 2018,Russian Federation's imports from world-Value in 2019,Russian Federation's imports from world-Value in 2020,Russian Federation's imports from world-Value in 2021
841280,"Engines and motors (excluding steam turbines, internal combustion piston engine, hydraulic ...",31,5,4,0,6,5,13,27,35,47,,8405,4676,3347,4519,5769,5723,10219,8926,5498,4394,,11351,11521,9463,3407,4544,5412,5815,9512,5575,6612
722090,"Flat-rolled products of stainless steel, of a width of < 600 mm, hot-rolled or cold-rolled ...""",166,92,0,47,91,824,2432,2,212,47,,30191,34197,43266,31638,38634,45796,40741,40981,48691,55930,,19118,12915,9309,7326,7445,9635,10970,7988,7691,8249
820713,"Rock-drilling or earth-boring tools, interchangeable, with working parts of sintered metal ...",0,64,0,33,25,228,106,338,60,47,,637,913,493,1238,1080,1380,1541,1456,1622,1466,,24276,24583,25095,21050,15206,16705,18561,22733,30997,34452
540247,"Filament yarn of polyester, incl. monofilament of < 67 decitex, single, untwisted or with a ...",0,0,5,0,0,0,0,0,138,47,,339129,314736,289371,248767,240320,253844,270192,271045,194838,266071,,4104,5228,5552,3517,3589,3865,4347,4222,3045,3918
690990,"Ceramic troughs, tubs and similar receptacles of a kind used in agriculture; ceramic pots, ...",0,0,0,0,0,0,0,1,1,47,,2172,3351,1308,2000,3324,2671,2756,3450,2611,3789,,1127,1376,1077,390,960,849,983,2384,2259,1179
960910,"Pencils and crayons, with leads encased in a rigid sheath",8,2,3,13,54,36,50,47,45,46,,9105,10797,12069,13943,15056,11365,11645,12692,11741,12490,,16233,18367,20152,12535,18968,21471,27353,28108,24984,35816
521139,"Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally ...",0,0,0,0,3,9,33,32,13,46,,7278,10732,8950,8756,7519,5438,6004,5665,3763,3975,,2704,2961,3094,2149,2293,2571,2795,3053,3013,3516
830790,"Flexible tubing of base metal other than iron or steel, with or without fittings",78,45,18,48,38,198,17,42,25,46,,6571,7155,5729,6017,5889,6193,5864,5870,5400,8913,,6276,4765,4754,2686,2844,3039,3241,3263,2518,3697
730539,"Tubes and pipes having circular cross-sections and an external diameter of > 406,4 mm, of iron ...",0,0,11,0,0,0,2,1229,448,46,,18494,32907,12425,11473,27831,9934,14083,59411,45672,2887,,6242,8645,6127,2536,1622,355,4464,4203,5317,3968
293299,"Heterocyclic compounds with oxygen hetero-atom[s] only (excl. compounds containing unfused ...""",0,0,0,0,0,0,1,21,42,46,,20639,13874,22884,48805,51422,54125,64369,42456,82405,102220,,28690,12018,11477,15884,28091,26589,26150,28919,43270,80427
401310,"Inner tubes, of rubber, of a kind used on motor cars, incl. station wagons and racing cars, ...",152,200,142,65,39,31,26,1,39,45,,198683,216025,193424,142874,128739,116713,107270,108279,90031,100653,,7409,11629,7960,4004,4403,5930,4105,5093,2835,6033
70490,"Fresh or chilled cabbages, kohlrabi, kale and similar edible brassicas (excl. cauliflowers, ...",0,0,41,0,0,0,0,8,0,45,,8931,8459,15570,17387,15010,16620,21527,26584,19936,20649,,73571,86695,103379,67683,34393,49019,35485,51414,30141,26447
842832,"Continuous-action elevators and conveyors for goods or materials, bucket type (excluding for ...",140,399,295,19,13,0,38,71,249,45,,10618,2826,5790,1102,3419,1709,1574,4600,581,8141,,27518,19563,16845,10318,10644,13176,13163,15291,11798,9096
854520,Carbon brushes for electrical purposes,36,18,20,5,13,24,22,20,21,45,,8564,8659,10995,10679,12786,15314,13431,13600,12894,16306,,7829,8033,7029,5294,5913,7294,7977,8455,8363,9213
761010,"Doors, windows and their frames and thresholds for door, of aluminium (excluding door furniture)",166,256,155,149,43,21,4,12,9,45,,33868,32316,44780,47304,39800,43348,40089,48285,42779,35299,,14905,20075,29764,16579,17225,32632,21121,18913,19576,20078
850432,"Transformers, having a power handling capacity > 1 kVA but <= 16 kVA (excluding liquid dielectric ...",82,47,10,46,61,110,23,11,19,45,,6265,5354,5384,6334,4730,5243,6702,7561,6976,5623,,8161,8253,8244,4075,3945,4508,4706,5109,4329,7963
551612,"Woven fabrics containing >= 85% artificial staple fibres by weight, dyed",17,84,13,22,2,49,40,35,46,45,,11369,9176,10597,13850,15297,16248,21071,19203,11246,11833,,3004,1799,705,758,922,847,1139,1589,1402,2342
961100,"Hand-operated date, sealing or numbering stamps, and the like; hand-operated composing sticks ...",88,29,46,33,23,22,39,33,18,45,,5308,4884,5180,4607,4143,4936,3987,3573,3154,4135,,9940,8817,6852,4635,4315,5193,5839,6132,4840,5825
