Product code,Product label,Japan's imports from China-Value in 2012,Japan's imports from China-Value in 2013,Japan's imports from China-Value in 2014,Japan's imports from China-Value in 2015,Japan's imports from China-Value in 2016,Japan's imports from China-Value in 2017,Japan's imports from China-Value in 2018,Japan's imports from China-Value in 2019,Japan's imports from China-Value in 2020,Japan's imports from China-Value in 2021,China's exports to world- ,China's exports to world-Value in 2012,China's exports to world-Value in 2013,China's exports to world-Value in 2014,China's exports to world-Value in 2015,China's exports to world-Value in 2016,China's exports to world-Value in 2017,China's exports to world-Value in 2018,China's exports to world-Value in 2019,China's exports to world-Value in 2020,China's exports to world-Value in 2021,Japan's imports from world- ,Japan's imports from world-Value in 2012,Japan's imports from world-Value in 2013,Japan's imports from world-Value in 2014,Japan's imports from world-Value in 2015,Japan's imports from world-Value in 2016,Japan's imports from world-Value in 2017,Japan's imports from world-Value in 2018,Japan's imports from world-Value in 2019,Japan's imports from world-Value in 2020,Japan's imports from world-Value in 2021
841311,"Pumps fitted or designed to be fitted with a measuring device, for dispensing fuel or lubricants, ...",103,120,31,58,104,124,264,44,60,2459,,82515,92918,87609,78690,100806,92381,93935,101967,98013,102964,,895,695,575,986,2330,688,393,1081,240,2798
961220,"Ink-pads, whether or not inked, with or without boxes",2169,2237,2851,2582,2571,2669,2971,2405,2490,2451,,11527,11488,13028,12602,11266,11953,11799,11318,9981,13536,,3476,3807,4527,3842,3769,3387,3597,2687,2770,2691
321310,"Sets of artist's, student's or signboard painter's colours, modifying tints, amusement colours ...",1107,1129,1331,1902,2775,1842,2536,2776,2107,2450,,108123,107627,121522,127714,154784,140273,154663,163168,249951,288751,,2386,2517,2863,3031,3901,2714,3617,3825,4234,5028
252100,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of ...",167,13,7,84,6,16,3,230,104,2450,,4138,13141,15984,12717,6926,10720,12004,2853,2694,25760,,44885,49747,53534,56600,43034,44126,42303,41850,29256,39747
701940,Woven fabrics of glass fibres made from rovings,1234,1032,923,987,1414,1188,1597,1981,1771,2448,,68531,67930,71088,77609,95711,101890,73139,90160,57268,68219,,4556,3859,3513,3426,3739,3766,3987,4422,4367,4389
540773,"Woven fabrics of yarn containing >= 85% synthetic filament by weight, incl. monofilament of ...",586,612,1294,1371,1031,1274,1947,1730,1360,2448,,38846,53168,73390,69646,64195,68111,67843,73198,71587,84065,,2580,2621,3746,3795,3264,3755,5572,4646,3834,4449
961320,"Pocket lighters, gas fuelled, refillable",44490,35902,11668,7188,5960,3429,2219,3066,2412,2443,,315395,273598,261642,239881,245134,220389,232316,261228,262454,298978,,49185,39114,13951,10006,8461,4386,3319,4162,3084,3127
560410,Textile-covered rubber thread and cord,3235,2823,3324,2725,1814,1775,1802,1774,4785,2439,,125158,150733,159752,193988,201389,218328,250037,350936,420424,359761,,4521,4063,4717,4679,4305,3804,3351,3406,6311,3792
481730,"Boxes, pouches, wallets and writing compendiums, of paper or paperboard, containing an assortment ...",7165,4515,2671,2695,1734,1636,1550,1555,1516,2438,,35843,33114,32870,42376,41841,39785,46479,56199,73880,98969,,8769,6361,3956,3510,2427,2248,2199,2293,1969,3005
460212,"Basketwork, wickerwork and other articles, made directly to shape from rattan plaiting materials ...",4738,3735,2161,1671,1407,1823,1911,2279,1735,2428,,100693,93081,86161,75138,62361,59238,80904,83521,57443,73762,,13606,12689,10779,9784,10472,12221,11377,12700,11595,13049
400819,"Rods and profile shapes, of cellular rubber",1326,1305,1365,1488,1526,2088,2114,2239,2224,2427,,5036,6462,6763,6919,4009,5500,6188,8294,7137,9217,,9572,6221,5983,5104,4863,5307,6115,5530,4879,5387
390791,"Unsaturated polyallyl esters and other polyesters, in primary forms (excluding polycarbonates, ...""",1195,794,910,991,1054,401,365,716,1224,2416,,35812,30349,31134,29087,30190,35375,41086,70014,80517,132138,,45867,43574,43737,33480,33576,33334,35982,35972,32937,35984
851621,"Electric storage heating radiators, for space-heating",33682,28740,25629,12788,14076,16871,1641,2286,1692,2414,,3022,7525,6326,4729,4754,13730,12972,10523,13255,20938,,66072,55656,42673,17819,17090,19029,2986,3742,2217,2818
291823,"Esters of salicylic acid and their salts (excluding o-acetylsalicylic acid, its salts and esters)",1056,556,807,870,926,1159,2022,1631,1706,2413,,61475,61388,67319,65675,61277,69728,82953,113601,87610,79099,,2128,1889,2296,2039,2300,2098,3369,5033,3650,4809
830130,"Locks used for furniture, of base metal",2961,2968,3099,2502,2727,3108,2863,2773,2564,2412,,259288,335507,381629,385758,290321,279477,282928,253087,298313,328908,,4050,4415,5261,4139,4596,4980,6141,6661,5303,5173
600622,"Dyed cotton fabrics, knitted or crocheted, of a width of > 30 cm (excluding warp knit fabrics ...""",2602,1973,1885,1231,1176,1186,1079,1905,1813,2409,,1789363,1786651,1700257,1665977,1495374,1663951,1879690,2059828,1754164,2157088,,6250,6989,6745,3988,2594,2281,3208,4358,4288,5478
611594,"Full-length or knee-length stockings, socks and other hosiery, incl. footwear without applied ...",1242,687,956,759,612,461,602,744,1146,2405,,21419,28950,26866,27283,38395,49059,60639,60255,51154,73327,,4871,4712,4316,4058,2858,2869,3170,3793,4024,4853
847321,"Parts and accessories of electronic calculating machines of subheading 8470.10, 8470.21 or ...",2397,1441,693,650,1021,745,630,847,1393,2402,,25678,19154,19203,32821,37993,29402,24300,37450,40017,34049,,2492,1520,750,871,1062,802,791,932,1499,2699
722230,"Other bars and rods of stainless steel, cold-formed or cold-finished and further worked, or ...",102,624,913,1087,1070,1518,1708,1683,1574,2399,,23126,26274,25243,22265,16495,17461,26577,29397,23133,30759,,8904,6304,7511,8555,7391,7171,6942,8469,7679,7424
41000,"Turtles' eggs, birds' nests and other edible products of animal origin, n.e.s.",2162,3049,2799,2191,3556,3203,4381,3845,3147,2398,,59407,64753,58717,78714,81196,83368,95544,82096,90915,74967,,3599,4483,3499,3505,4931,4856,5835,5433,4670,3553
701610,"Glass cubes and other glass smallwares, whether or not on a backing, for mosaics or similar ...",1522,1577,2483,2933,3374,3477,3300,2744,2543,2390,,388526,437738,465991,435654,356354,357216,312928,265874,315628,334664,,3271,3050,5339,4645,4421,4372,4163,3548,2968,3125
850422,"Liquid dielectric transformers, having a power handling capacity > 650 kVA but <= 10.000 kVA",2244,3566,4748,2944,1222,442,814,103,389,2388,,117483,102193,166767,144105,97757,125381,166588,202581,159819,165980,,8738,14200,17376,16180,12405,15223,19860,26498,24282,26819
630900,"Worn clothing and clothing accessories, blankets and travelling rugs, household linen and articles ...",333,379,527,611,733,1080,1561,1411,1307,2387,,62090,101101,188935,283799,244821,341186,284290,336360,382382,789452,,27636,25408,23976,25618,30207,39137,46754,49480,42573,71119
730490,"Tubes, pipes and hollow profiles, seamless, of non-circular cross-section, of iron or steel ...",770,1057,726,986,1521,1363,862,1510,777,2387,,73343,76615,84363,61451,54791,66460,63797,61910,64538,77058,,3297,3067,2399,2225,2527,4289,5904,4919,3444,5902
560811,Made-up knotted fishing nets of man-made textile materials (excluding landing nets),2165,1759,1461,1408,1481,1387,1412,1639,2194,2374,,292552,313642,295142,286416,348485,300287,325450,350080,370992,405519,,9323,8584,9902,9202,10429,7844,9175,10546,11428,8590
292141,Aniline and its salts (excluding inorganic or organic compounds of mercury),2435,781,3936,3346,738,10403,24631,6941,1132,2365,,21292,36161,82008,102488,87477,204808,269929,161172,110698,282986,,2520,876,3998,3782,1172,10763,24960,7199,1132,2415
902490,Parts and accessories for machines and appliances for testing the mechanical properties of ...,1842,1712,2142,1950,2063,1384,1370,1664,1199,2364,,9286,10510,11432,9570,10219,11420,13533,13302,12199,13050,,16341,16761,19243,16211,15879,17908,14933,17309,15110,13937
30619,"Frozen crustaceans, even smoked, fit for human consumption, whether in shell or not, incl. ...",1939,4018,1849,1611,2213,1420,1722,1491,1527,2362,,6933,13958,17587,14713,11879,11184,18440,7442,7016,9385,,11535,11412,13109,6822,8399,6714,6368,3878,3562,4683
854690,Electrical insulators (excluding those of glass or ceramics and insulating fittings),2753,2259,2543,2835,1790,2425,2810,2695,2535,2360,,167780,174728,188914,208508,215137,230181,243810,219514,237724,225716,,13885,12262,12621,16318,17743,15887,17541,19615,16600,16065
610690,"Women's or girls' blouses, shirts and shirt-blouses of textile materials, knitted or crocheted ...",17794,18785,14669,12246,10319,6212,5204,4612,2704,2359,,9562,9475,5590,5215,6294,5155,4398,5052,7051,9383,,24029,26925,22133,18112,16504,11468,9280,7202,5047,4407
950621,Sailboards,1991,1435,1472,781,668,824,1105,1568,1566,2357,,3356,4042,3523,4318,4816,5552,5128,6173,5165,10118,,4528,3749,3253,1879,1810,2124,2806,3798,3119,4276
820713,"Rock-drilling or earth-boring tools, interchangeable, with working parts of sintered metal ...",1775,2153,2046,2527,1597,3101,4507,2697,1878,2352,,34030,44262,46193,30266,26886,37094,42859,47964,34210,48610,,4146,7900,6189,7293,5686,8034,11775,9906,8600,8976
510130,"Carbonised wool, neither carded nor combed",2552,2734,2293,1386,2465,4432,5148,3745,2320,2352,,49267,51558,46869,30750,28867,24241,25400,22741,17422,20026,,18602,15283,19959,19375,21235,21216,26791,22996,9906,9753
610461,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of wool or fine animal ...",1623,1758,1808,1996,2890,2091,1711,2085,2154,2351,,16097,11965,21723,19959,21523,26212,32661,34430,31072,68687,,2540,2670,2685,3294,3984,3407,3804,5492,4064,4579
