Product code,Product label,"Japan's imports from Korea, Republic of-Value in 2012","Japan's imports from Korea, Republic of-Value in 2013","Japan's imports from Korea, Republic of-Value in 2014","Japan's imports from Korea, Republic of-Value in 2015","Japan's imports from Korea, Republic of-Value in 2016","Japan's imports from Korea, Republic of-Value in 2017","Japan's imports from Korea, Republic of-Value in 2018","Japan's imports from Korea, Republic of-Value in 2019","Japan's imports from Korea, Republic of-Value in 2020","Japan's imports from Korea, Republic of-Value in 2021","Korea, Republic of's exports to world- ","Korea, Republic of's exports to world-Value in 2012","Korea, Republic of's exports to world-Value in 2013","Korea, Republic of's exports to world-Value in 2014","Korea, Republic of's exports to world-Value in 2015","Korea, Republic of's exports to world-Value in 2016","Korea, Republic of's exports to world-Value in 2017","Korea, Republic of's exports to world-Value in 2018","Korea, Republic of's exports to world-Value in 2019","Korea, Republic of's exports to world-Value in 2020","Korea, Republic of's exports to world-Value in 2021",Japan's imports from world- ,Japan's imports from world-Value in 2012,Japan's imports from world-Value in 2013,Japan's imports from world-Value in 2014,Japan's imports from world-Value in 2015,Japan's imports from world-Value in 2016,Japan's imports from world-Value in 2017,Japan's imports from world-Value in 2018,Japan's imports from world-Value in 2019,Japan's imports from world-Value in 2020,Japan's imports from world-Value in 2021
290549,"Tri- and other polyhydric acyclic alcohols (excluding 2-ethyl-2-""""hydroxymethyl"""" propane-1,3-diol ...""",0,0,0,0,0,11,0,320,0,0,,1369,284,694,478,1289,2517,849,1226,414,286,,50018,48718,40577,40796,40860,44804,62090,51423,57640,60848
290629,"Aromatic cyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives ...",0,0,0,0,0,19,81,0,0,0,,587,329,278,223,235,535,1374,391,35,1702,,8969,8334,9502,9313,10570,9841,10019,9286,9758,7957
290715,Naphthols and their salts,0,0,0,0,0,0,0,0,0,0,,77,65,82,24,12,1,6,1,1,2,,8020,10569,9898,7702,5556,8438,12520,13371,12086,13179
290911,Diethyl ether,0,0,0,0,0,0,0,0,0,0,,31,40,34,49,47,71,100,123,67,105,,113,75,82,76,5,4,0,0,0,0
283911,"Metasilicates of sodium, incl. commercial metasilicates",14,25,33,23,0,28,0,0,0,0,,237,191,253,273,309,246,76,1,7,1,,7965,7363,7888,7016,7362,8190,11530,9506,7526,11558
284019,"Disodium tetraborate """"refined borax"""" (excluding anhydrous)""""",0,0,0,0,0,0,0,0,0,0,,13,33,25,14,5,60,43,10,43,105,,22750,16837,15384,15296,13501,13065,12018,10603,9562,11671
252210,Quicklime,0,0,0,0,0,0,49,0,4,0,,536,10,7,32,5,2,56,0,3,0,,1023,803,488,614,1059,596,222,332,224,41
284330,"Gold compounds, inorganic or organic, whether or not chemically defined",10,4,0,0,0,4,0,24,0,0,,50691,46025,25466,9021,7178,8159,30130,26397,45860,112451,,769,1083,371,446,806,198,1517,217,75,30
284410,"Natural uranium and its compounds; alloys, dispersions, incl. cermets, ceramic products and ...",0,0,0,0,0,0,0,0,0,0,,21,1,4297,0,0,0,3187,0,0,0,,2436,2512,71536,321,0,1741,0,8,29,21
284420,"Uranium enriched in U 235 and its compounds: plutonium and its compounds; alloys, dispersions, ...",0,0,0,0,0,0,0,0,0,0,,1,4,2039,30,16,0,0,0,669,858,,934729,491005,230313,124908,26306,286018,408752,408,46,358
30193,"Live carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
30231,"Fresh or chilled albacore or longfinned tunas """"Thunnus alalunga""""""""",0,0,0,0,0,0,0,0,0,0,,2,3,0,0,0,0,0,0,0,0,,2090,1129,701,525,589,545,248,249,356,21
30243,"Fresh or chilled sardines """"Sardina pilchardus, Sardinops spp."""", sardinella """"Sardinella ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,13,1,0,,0,0,0,0,0,0,0,0,0,0
30245,"Fresh or chilled jack and horse mackerel """"Trachurus spp.""""""""",0,0,0,2,4,0,0,0,0,0,,89,53,62,1,1,1,0,3,0,0,,0,0,0,2,4,0,0,0,0,0
30251,"Fresh or chilled cod """"Gadus morhua, Gadus ogac, Gadus macrocephalus""""""""",0,3,0,0,0,0,0,0,0,0,,2,1,1,9,0,1,0,0,4,0,,0,3,0,0,0,0,0,0,0,0
30291,"Fresh or chilled fish livers, roes and milt",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,3,456,,0,0,0,0,0,8871,8182,6184,3826,3949
30325,"Frozen carp """"Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,11,0,0,30,73,169,116,272,266,494
30334,"Frozen turbot """"Psetta maxima""""""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,6,0,146,0,0,,349,3,0,0,0,11,18,6,2,0
10221,Pure-bred cattle for breeding,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,,0,161,108,0,88,825,925,0,37,0
10391,"Live swine, weighing < 50 kg (excluding pure-bred for breeding)",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,517,1035,640,47,211,48,75,30,2093,291
10410,Live sheep,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,82,51,0,0,59,445,284,94,0,143
10420,Live goats,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,45,0,0,0,0,55,0,79
10613,Live camels and other camelids [Camelidae],0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,99,259,91,136,12,125,0,140,0,42
20120,"Fresh or chilled bovine cuts, with bone in (excluding carcases and 1/2 carcases)",0,0,0,0,0,0,0,0,0,0,,2,0,0,41,724,378,17,6,17,24,,647,2259,7301,10518,13566,14023,15943,14710,10713,14724
20441,Frozen sheep carcases and half-carcases (excluding lambs),0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,2020,3291,2713,2090,1775,2338,3411,2679,3510,2220
20622,Frozen edible bovine livers,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,2231,1931,1357,1707,1687,1690,1795,1608,1534,1947
20713,Fresh or chilled cuts and edible offal of fowls of the species Gallus domesticus,0,0,0,0,0,0,0,0,0,0,,0,127,0,0,0,0,0,0,1,11,,0,14,47,3,4,0,0,0,0,0
20726,Fresh or chilled cuts and edible offal of turkeys of the species domesticus,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,2,0,0,0,0,0,0,0
20741,"Fresh or chilled domestic ducks, not cut in pieces",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,4,9,3,5,3,12,11,13
20743,"Fatty livers of domestic ducks, fresh or chilled",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,5080,5615,4955,3980,1490,4640,3147,2195,978,574
30559,"Dried fish, even salted but not smoked (excluding fillets, offal and cod)",28,42,44,0,11,6,0,0,0,0,,12813,11332,13700,10787,13829,8968,5796,8046,7382,7648,,9394,4916,6025,5529,5378,4414,4098,5179,6380,5652
30572,"Fish heads, tails and maws, smoked, dried, salted or in brine",0,0,0,0,0,0,0,0,0,0,,6,2,36,2,4,3,11,7,37,20,,0,0,4,5,0,2,10,8,0,2
30622,"Lobsters """"Homarus spp."""", even smoked, whether in shell or not, live, fresh, chilled, dried, ...""",0,0,0,0,0,0,0,0,0,0,,6,19,4,9,32,0,0,0,0,0,,23470,24886,25004,21379,20829,0,0,0,0,0
30624,"Crabs, even smoked, whether in shell or not, live, fresh, chilled, dried, salted or in brine, ...",232,0,16,0,8,0,0,0,0,0,,20564,1691,19512,36134,46836,0,0,0,0,0,,137185,80658,80130,27143,33191,0,0,0,0,0
30693,"Crabs, whether in shell or not, dried, salted, smoked or in brine, incl. crabs in shell, cooked ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,16,12,6,16,19,,0,0,0,0,0,157,156,331,212,79
30475,"Frozen fillets of Alaska pollack """"Theragra chalcogramma""""""""",0,0,0,0,0,0,0,0,0,0,,866,1215,2255,825,1231,2574,1469,577,646,11870,,22518,26722,25590,28811,30528,33709,49720,43355,36747,39494
