Product code,Product label,Australia's imports from Russian Federation-Value in 2012,Australia's imports from Russian Federation-Value in 2013,Australia's imports from Russian Federation-Value in 2014,Australia's imports from Russian Federation-Value in 2015,Australia's imports from Russian Federation-Value in 2016,Australia's imports from Russian Federation-Value in 2017,Australia's imports from Russian Federation-Value in 2018,Australia's imports from Russian Federation-Value in 2019,Australia's imports from Russian Federation-Value in 2020,Australia's imports from Russian Federation-Value in 2021,Russian Federation's exports to world- ,Russian Federation's exports to world-Value in 2012,Russian Federation's exports to world-Value in 2013,Russian Federation's exports to world-Value in 2014,Russian Federation's exports to world-Value in 2015,Russian Federation's exports to world-Value in 2016,Russian Federation's exports to world-Value in 2017,Russian Federation's exports to world-Value in 2018,Russian Federation's exports to world-Value in 2019,Russian Federation's exports to world-Value in 2020,Russian Federation's exports to world-Value in 2021,Australia's imports from world- ,Australia's imports from world-Value in 2012,Australia's imports from world-Value in 2013,Australia's imports from world-Value in 2014,Australia's imports from world-Value in 2015,Australia's imports from world-Value in 2016,Australia's imports from world-Value in 2017,Australia's imports from world-Value in 2018,Australia's imports from world-Value in 2019,Australia's imports from world-Value in 2020,Australia's imports from world-Value in 2021
870829,"Parts and accessories of bodies for tractors, motor vehicles for the transport of ten or more ...""",162,218,146,272,433,662,894,1017,907,1800,,53638,65321,40335,32220,37025,52931,87829,85161,73839,102139,,431270,411817,397157,384487,402916,411701,409605,392088,349927,477877
870810,"Bumpers and parts thereof for tractors, motor vehicles for the transport of ten or more persons, ...",0,0,0,3,0,44,671,798,1154,1688,,5545,7043,6147,3970,5142,13148,23234,17950,12793,21176,,104108,103044,108624,108086,114443,129583,140218,140034,120998,182230
760429,"Bars, rods and solid profiles, of aluminium alloys, n.e.s.",659,488,776,1053,955,1123,1470,1794,1122,1610,,167851,166096,189216,171278,168081,208751,226672,175969,175127,270646,,172517,154377,168175,166265,173604,183661,194160,167633,154550,206169
284440,"Radioactive elements, isotopes and compounds, and alloys and dispersions, incl. cermets, ceramic ...",167,614,336,953,1130,419,2053,1983,1031,1536,,67508,75885,74319,61855,73993,90828,83707,92427,78583,0,,15993,15510,16002,25849,14986,18245,25425,17377,18935,27196
730429,"Casing and tubing, seamless, of iron or steel, of a kind used in drilling for oil or gas (excluding ...",0,0,0,0,0,0,0,0,0,1507,,307653,263159,350028,179784,140729,225115,383649,362190,182354,258069,,224561,272655,190355,59276,45252,60495,122693,112032,105395,88508
701820,Glass microspheres <= 1 mm in diameter,9,0,0,237,349,322,1045,620,320,1333,,3999,6537,6577,6760,7731,8216,10502,12687,10978,15350,,8763,2723,3572,3402,3247,2608,5014,4161,2572,4265
310540,"Ammonium dihydrogenorthophosphate """"monoammonium phosphate"""", whether or not mixed with diammonium ...""",26,29,25,20013,117,35,0,105,1421,1295,,1005708,991777,897451,901347,680332,750366,966891,771406,682879,1562680,,372078,271584,390925,348220,347098,321550,369757,360638,310503,582751
110900,"Wheat gluten, whether or not dried",0,0,0,0,0,0,0,0,2284,1202,,12481,13783,32401,44119,48778,40312,55710,52641,68419,77029,,15836,19551,23682,16707,15599,34065,33098,22364,28247,38796
851110,Sparking plugs of a kind used for spark-ignition or compression-ignition internal combustion ...,247,368,279,393,341,381,323,336,387,1161,,22209,26418,35537,24572,21996,34837,36829,36460,43539,88246,,56210,56386,53753,46916,47446,48092,48469,49009,46133,52522
284390,"Inorganic or organic compounds of precious metals, whether or not chemically defined (excluding ...",300,220,137,112,107,83,624,487,646,1106,,1104869,1305139,1487670,662018,6114,9200,8027,6863,1554,6482,,48614,28790,12769,11484,6623,17029,19862,12874,7944,13183
30614,"Frozen crabs, even smoked, whether in shell or not, incl. crabs in shell, cooked by steaming ...",1227,1083,2155,1770,1541,2057,1016,1850,1125,1072,,215194,242334,383383,319658,416832,556322,669282,920656,935827,1639113,,13300,17183,19569,19000,15938,14731,15487,19915,11783,14776
820719,"Rock-drilling or earth-boring tools, interchangeable, and parts therefor, with working parts ...",1221,1080,1059,517,520,876,977,1805,1357,1056,,62658,68294,43664,34478,29792,42930,36518,38210,34071,40271,,156852,102575,109136,82767,73544,82875,94546,103415,90819,126322
293399,"Heterocyclic compounds with nitrogen hetero-atom[s] only (excluding those containing an unfused ...""",2309,1742,2039,2629,2137,2076,1769,1662,1930,971,,1121,3714,4204,2803,2990,4687,8418,8362,6190,4344,,58671,52122,52990,64489,61666,81396,76252,54222,64681,102047
902750,"Instruments and apparatus for physical or chemical analysis, using UV, visible or IR optical ...",0,0,453,215,0,12,0,393,475,925,,3460,4729,6112,4992,6640,8830,8135,8527,19057,25217,,82124,75551,87780,78547,68419,84825,100436,121866,125081,134939
811292,"Unwrought niobium """"columbium"""", gallium, indium, vanadium and germanium; powders and waste ...""",0,0,0,0,427,1527,3093,2051,482,867,,6739,9095,6736,6088,8973,15214,18894,23645,25304,23096,,1434,1183,1032,784,3441,4444,7743,6831,1302,3924
848220,"Tapered roller bearings, incl. cone and tapered roller assemblies",0,22,87,447,198,512,904,904,289,779,,43895,43927,37907,24033,24746,32391,37980,38496,28450,34995,,106012,86775,78021,64866,63595,77655,78297,78266,90340,99493
854511,"Electrodes of graphite or other carbon, for electric furnaces",2208,282,0,0,115,0,0,0,211,773,,153130,116921,98666,93706,94498,137355,323458,219725,83477,119942,,48540,53664,37444,28736,9645,11728,48106,34941,25926,17496
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",96,375,266,269,445,323,262,285,157,750,,31761,31855,30947,28518,30804,37282,35301,39015,43845,50194,,1220020,1209999,1240623,1162391,1303647,1285841,1435003,1351207,1287124,1484058
283429,Nitrates (excluding of potassium and of mercury),0,20,0,0,0,0,98,40,1032,679,,734,1178,2740,1178,5014,10164,10283,9198,11473,13357,,13380,9461,12107,9340,8261,10733,10571,11015,13206,15700
847950,"Industrial robots, n.e.s.",0,0,0,0,0,0,0,0,0,621,,378,590,1474,1281,406,2851,1286,2314,2791,3667,,22708,13499,11396,13985,16307,19332,28113,18379,22154,34721
720249,"Ferro-chromium, containing by weight <= 4% of carbon",1031,847,1265,1318,822,943,1019,830,592,613,,486561,480822,518792,340417,332802,331420,284451,319935,171656,177759,,6850,3363,3610,3056,2457,3155,3279,2883,1824,2872
760511,"Wire of non-alloy aluminium, with a maximum cross-sectional dimension of > 7 mm (excluding ...",0,0,0,0,0,0,0,0,1736,594,,205081,225562,260085,253360,267748,338997,228429,261459,308729,486633,,711,1119,10782,2737,1320,2382,4824,2920,5266,9491
845011,"Fully-automatic household or laundry-type washing machines, of a dry linen capacity <= 6 kg",0,0,0,0,0,278,406,325,193,590,,103121,142721,118759,123182,233062,318140,334437,331768,323493,391018,,298426,295589,274720,280982,267234,285575,253716,251417,289174,273672
871140,"Motorcycles, incl. mopeds, with reciprocating internal combustion piston engine of a cylinder ...",342,296,343,164,196,0,0,74,396,560,,8724,9436,8581,9419,9375,10755,8973,8893,8534,10589,,90792,97815,88266,80884,66492,63450,49499,62152,50091,62510
200599,"Vegetables and mixtures of vegetables, prepared or preserved otherwise than by vinegar, non-frozen ...""",8,8,7,5,2,325,421,401,493,545,,1273,1651,1158,1197,2415,3679,3444,4488,6009,7197,,47895,67932,71603,64345,66440,70812,69443,73392,91198,80985
750712,Tubes and pipes of nickel alloys,0,0,0,0,0,0,0,0,0,539,,1123,4948,5790,1780,3050,1370,160,1298,55,697,,4607,2215,2712,4695,2668,2040,2802,2641,5817,3174
901580,"Instruments and appliances used in geodesy, topography, hydrography, oceanography, hydrology, ...""",102,328,148,41,6,64,1249,560,422,531,,27512,39877,48592,24808,25270,16799,28496,25723,12852,14988,,194573,159471,183593,134272,109481,130354,167671,162956,168112,192056
320740,"Glass frit and other glass in the form of powder, granules or flakes",0,0,0,0,0,33,172,91,401,528,,1920,1742,1515,218,338,1049,995,1323,2381,4993,,4208,4484,4407,4300,4043,4612,5963,5679,5716,6005
700510,"Float glass and surface ground or polished glass, in sheets, having an absorbent, reflecting ...",0,0,0,0,53,69,129,160,393,495,,16903,24461,36409,31570,51683,75845,70415,76232,69910,111273,,4214,3030,3953,5833,8366,8401,9243,8972,9999,11459
901819,"Electro-diagnostic apparatus, incl. apparatus for functional exploratory examination or for ...",1,13,0,62,61,114,121,204,387,466,,9398,10544,9677,7923,9994,12759,11967,10726,13745,18799,,140067,140633,166822,165836,172251,191272,203357,179761,237681,234930
480439,"Kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular ...",0,0,15,62,0,0,0,0,57,430,,270,215,521,7215,37456,42498,46246,39690,40857,66947,,27102,34664,30517,23139,22995,21945,25105,15123,18867,16462
283410,Nitrites,0,0,0,0,0,66,69,62,291,430,,2790,2033,3243,1941,3034,3736,4541,3164,5091,5052,,1042,995,1029,1006,627,1027,946,1114,1158,1412
283539,"Polyphosphates, whether or not chemically defined (excluding sodium triphosphate """"sodium ...""",0,356,545,260,869,1437,872,202,496,355,,1305,936,1161,621,597,794,1330,1164,1424,1406,,10540,12195,11952,11692,12045,14389,15287,14024,17862,23438
401110,"New pneumatic tyres, of rubber, of a kind used for motor cars, incl. station wagons and racing ...",2,0,9,387,129,460,278,180,219,348,,564935,701060,625518,635951,714789,745404,745368,706948,657023,796916,,1011586,883457,806778,722551,665474,708235,699593,675843,614135,817781
950300,"Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; ...""",74,45,74,30,28,17,23,41,141,338,,28372,45188,51625,46041,51723,64976,73617,84907,105683,137436,,931010,936199,978367,973628,948976,1030846,1063379,1020308,1112275,1338554
