Product code,Product label,"United States of America's imports from Korea, Republic of-Value in 2012","United States of America's imports from Korea, Republic of-Value in 2013","United States of America's imports from Korea, Republic of-Value in 2014","United States of America's imports from Korea, Republic of-Value in 2015","United States of America's imports from Korea, Republic of-Value in 2016","United States of America's imports from Korea, Republic of-Value in 2017","United States of America's imports from Korea, Republic of-Value in 2018","United States of America's imports from Korea, Republic of-Value in 2019","United States of America's imports from Korea, Republic of-Value in 2020","United States of America's imports from Korea, Republic of-Value in 2021","Korea, Republic of's exports to world- ","Korea, Republic of's exports to world-Value in 2012","Korea, Republic of's exports to world-Value in 2013","Korea, Republic of's exports to world-Value in 2014","Korea, Republic of's exports to world-Value in 2015","Korea, Republic of's exports to world-Value in 2016","Korea, Republic of's exports to world-Value in 2017","Korea, Republic of's exports to world-Value in 2018","Korea, Republic of's exports to world-Value in 2019","Korea, Republic of's exports to world-Value in 2020","Korea, Republic of's exports to world-Value in 2021",United States of America's imports from world- ,United States of America's imports from world-Value in 2012,United States of America's imports from world-Value in 2013,United States of America's imports from world-Value in 2014,United States of America's imports from world-Value in 2015,United States of America's imports from world-Value in 2016,United States of America's imports from world-Value in 2017,United States of America's imports from world-Value in 2018,United States of America's imports from world-Value in 2019,United States of America's imports from world-Value in 2020,United States of America's imports from world-Value in 2021
870830,"Brakes and servo-brakes and their parts, for tractors, motor vehicles for the transport of ...",274509,246398,265609,252520,268156,200842,223749,226578,219185,257589,,988448,1064188,1132870,962752,993479,909623,942552,813157,610479,680094,,4661595,4461382,5002067,5249856,5022201,5077587,5691761,5760291,5048217,6094784
870880,"Suspension systems and parts thereof, incl. shock-absorbers, for tractors, motor vehicles for ...",287717,304276,327170,303311,300588,271702,244573,235901,201504,250760,,354769,468123,483129,432033,470475,485004,495087,459558,421780,612784,,3180128,3156929,3595053,3794506,3745533,3819624,4221227,4085011,3673727,4702032
841590,"Parts of air conditioning machines, comprising a motor-driven fan and elements for changing ...",139636,174530,195811,238162,284265,272724,297845,242781,217923,249467,,809338,892497,754892,714876,710026,722236,668594,701968,702911,722035,,2645987,3125309,4000769,3662237,3806395,4218522,4929398,5564660,5389714,7138651
392119,"Plates, sheets, film, foil and strip, of cellular plastic, unworked or merely surface-worked ...",5570,8006,14598,13701,6749,21363,42517,279744,219671,246795,,422292,479744,518449,513671,516727,655632,866257,1171436,1440177,1511673,,306884,351246,362979,390606,378296,395912,449566,740693,735068,836508
390230,"Propylene copolymers, in primary forms",14660,19371,30381,36008,64554,50678,104190,76518,69227,244763,,1997618,2131515,2135821,1428090,1306919,1405622,1577092,1443996,1361393,2186111,,177560,224229,290810,278876,368429,315057,517427,426948,307462,701216
852580,"Television cameras, digital cameras and video camera recorders",203720,208796,185834,166048,165089,156582,181696,178199,194607,242664,,737977,635083,531680,1346823,2750793,1515526,763434,668081,674826,3448206,,7564906,6114185,5554187,5771063,5850694,6796285,7530877,7750915,7597446,8863485
842139,Machinery and apparatus for filtering or purifying gases (excl. isotope separators and intake ...,41587,48435,47621,74840,86594,82987,121312,133965,211784,240826,,247151,348023,374031,428747,386162,450917,573905,719146,802582,963507,,2557520,2598887,2957942,2996345,2870512,3023144,3421054,3589182,4520463,5878978
870360,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,470776,136302,235596,118802,237904,,0,0,0,0,0,482308,709433,939425,703974,1339762,,0,0,0,0,0,2215827,2567589,2483826,2514647,3740138
721070,"Flat products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...""",37899,43111,73500,121397,103238,126610,127138,155385,147576,235793,,1428488,1432964,1401330,1170703,1192787,1410876,1481002,1500594,1382398,2278136,,427141,363503,535044,557062,402738,509806,498078,509062,621767,1228342
711021,"Palladium, unwrought or in powder form",22113,38565,84640,122416,31128,5128,2967,15026,28303,231708,,27312,40702,101784,137098,33983,2079,11574,52313,141335,536675,,1378046,1572152,2021587,1676543,1356450,2090181,2705719,3189564,3413887,4156673
