Product code,Product label,"United States of America's imports from Korea, Republic of-Value in 2012","United States of America's imports from Korea, Republic of-Value in 2013","United States of America's imports from Korea, Republic of-Value in 2014","United States of America's imports from Korea, Republic of-Value in 2015","United States of America's imports from Korea, Republic of-Value in 2016","United States of America's imports from Korea, Republic of-Value in 2017","United States of America's imports from Korea, Republic of-Value in 2018","United States of America's imports from Korea, Republic of-Value in 2019","United States of America's imports from Korea, Republic of-Value in 2020","United States of America's imports from Korea, Republic of-Value in 2021","Korea, Republic of's exports to world- ","Korea, Republic of's exports to world-Value in 2012","Korea, Republic of's exports to world-Value in 2013","Korea, Republic of's exports to world-Value in 2014","Korea, Republic of's exports to world-Value in 2015","Korea, Republic of's exports to world-Value in 2016","Korea, Republic of's exports to world-Value in 2017","Korea, Republic of's exports to world-Value in 2018","Korea, Republic of's exports to world-Value in 2019","Korea, Republic of's exports to world-Value in 2020","Korea, Republic of's exports to world-Value in 2021",United States of America's imports from world- ,United States of America's imports from world-Value in 2012,United States of America's imports from world-Value in 2013,United States of America's imports from world-Value in 2014,United States of America's imports from world-Value in 2015,United States of America's imports from world-Value in 2016,United States of America's imports from world-Value in 2017,United States of America's imports from world-Value in 2018,United States of America's imports from world-Value in 2019,United States of America's imports from world-Value in 2020,United States of America's imports from world-Value in 2021
360610,Liquid or liquefied-gas fuels in containers of a kind used for filling or refilling cigarette ...,5864,14084,16518,10692,8555,5011,3277,3223,3117,3634,,7083,15113,16751,13905,11217,6527,4724,4053,4582,4431,,7990,19437,22575,17585,16518,19003,19294,13758,14014,20008
160414,"Prepared or preserved tunas, skipjack and Atlantic bonito, whole or in pieces (excluding minced)",2461,3218,4136,2912,3270,3463,3492,4312,4877,3632,,22332,20373,13408,12852,11904,11435,13314,15061,17965,21324,,1234194,1178099,1099043,908534,839413,976284,1102818,1130381,1288883,1060433
30614,"Frozen crabs, even smoked, whether in shell or not, incl. crabs in shell, cooked by steaming ...",663,786,652,396,1346,977,316,1854,1215,3616,,32889,16610,13354,13755,24108,26731,30558,26272,28779,36728,,651149,848215,867905,868187,1029419,1204743,1229958,1461524,1673678,2729110
831000,"Sign-plates, nameplates, address-plates and similar plates, numbers, letters and other symbols, ...",1770,2139,2319,2314,2832,2303,2619,2545,3094,3614,,8443,10960,22281,13619,11674,13626,14027,13205,13131,13491,,88655,94317,97944,101836,101724,103877,129237,139937,104194,142531
30569,"Fish, salted or in brine only (excluding fillets, offal, herring, cod, anchovies, tilapia, ...",1532,1951,2296,3062,2975,2152,2080,2386,3124,3581,,4772,3352,2899,3296,2634,1427,1566,1917,2286,2429,,21650,23284,20516,17871,20913,24364,25289,25418,25916,25479
481930,"Sacks and bags, of paper, paperboard, cellulose wadding or webs of cellulose fibres, having ...",3272,3129,4223,3600,3118,3084,3179,2583,2998,3562,,3197,2896,3014,2725,2887,3571,3687,4401,5400,4660,,134643,152083,178033,194175,202662,199338,214479,197066,174980,211734
740313,"Copper, refined, in the form of billets",1380,464,698,2583,2062,2768,2197,710,4968,3552,,3313,12696,2361,2080,2182,2721,2228,640,1062,1517,,56260,44255,46231,37441,28319,39785,33630,33776,27630,32220
390940,"Phenolic resins, in primary forms",1951,1187,1246,1551,2255,2010,1542,2189,2100,3538,,76117,79416,86849,78131,83025,92536,100529,100345,99786,122283,,129119,150873,159877,122846,106387,120694,123923,118835,88265,125567
847780,"Machinery for working rubber or plastics or for the manufacture of products from these materials, ...",3741,2372,6024,11001,10973,7258,5767,9795,5314,3537,,100268,112435,111584,118175,124588,153187,216225,153985,72964,101187,,313303,339820,321710,369557,395982,525680,445374,503558,441492,573239
843311,"Mowers for lawns, parks or sports grounds, powered, with the cutting device rotating in a horizontal ...",0,0,0,0,0,63,0,3,853,3535,,58,100,108,36,209,165,182,7389,3496,3897,,207005,226366,243344,279324,346032,387450,453279,613697,759769,941578
847759,Machinery for moulding or otherwise forming products from rubber or plastics (excluding injection-moulding ...,478,3100,2592,950,761,6116,6519,1823,3591,3529,,39273,39349,44377,39600,26840,30858,29281,25538,21761,23871,,77498,121206,109714,121777,137591,116365,168917,126134,156357,135315
151550,"Sesame oil and its fractions, whether or not refined, but not chemically modified",909,1200,1655,1458,1632,1307,1528,1630,2941,3523,,872,1450,2793,2799,3672,4101,4624,5323,8234,9004,,63611,69217,75047,84066,83634,86911,96099,99294,114717,121092
560490,"Textile yarn, strip and the like of heading 5404 and 5405, impregnated, coated, covered or ...",1890,1096,1507,2126,1295,2270,1291,2391,3080,3495,,6006,5844,7718,8336,6106,7452,4987,7818,6163,6847,,21713,18375,20080,19109,15883,10672,12321,16420,16088,25349
691200,"Tableware, kitchenware, other household articles and toilet articles, of ceramics other than ...",1565,4411,8638,6336,6082,7861,2585,3200,4687,3495,,11037,13541,17648,13958,11551,12577,7935,6888,8300,6886,,840209,910483,934011,1023830,969819,980343,1107651,1129565,975192,1428130
843061,"Tamping or compacting machinery, not self-propelled (excluding hand-operated tools)",848,921,788,1366,1007,1313,3320,3253,2858,3492,,1615,1944,1622,1953,1437,1634,1639,1830,1573,1837,,15191,15801,16247,21406,22241,25883,46379,52853,51833,60221
843890,"Parts of machinery for the industrial preparation or manufacture of food or drink, n.e.s.",1533,2717,608,1117,1120,1632,6684,2769,2133,3487,,9163,10842,11101,7402,9116,8432,14991,18655,15514,16672,,286577,339273,344810,338155,382912,346917,421240,437117,379049,493321
292610,Acrylonitrile,0,0,0,0,0,55,27,0,9348,3454,,363472,527194,513837,290355,248049,378598,425984,375327,236819,514087,,22,14178,39809,17214,100,10187,152,106,9362,8433
848140,Safety or relief valves,3478,3085,4830,2782,2914,3706,3827,3566,2816,3451,,18161,23318,38063,36849,29333,25209,29961,40295,41560,47149,,450955,476755,572640,531746,372139,385088,435202,433525,338575,405241
900219,"Objective lenses (excluding for cameras, projectors or photographic enlargers or reducers)",660,459,436,157,150,2204,7695,6368,3548,3437,,11591,9022,10363,26419,52454,65591,61279,31200,28770,36592,,246284,178592,192594,151452,152274,176595,195227,203578,183555,225767
490110,"Printed books, brochures and similar printed matter, in single sheets, whether or not folded ...",953,1008,813,782,2636,2568,797,2484,3251,3434,,13343,11955,11397,12820,11673,25801,11999,18017,15642,24416,,62791,74892,75845,117479,123977,133507,136796,122745,84994,112708
390190,"Polymers of ethylene, in primary forms (excluding polyethylene and ethylene-vinyl acetate  ...",1698,1083,5647,12287,23653,20455,10561,17222,3423,3432,,247378,256248,200735,264418,310983,209550,230504,369849,203308,245283,,1919858,2088135,2414412,2123250,2015025,1108225,305393,267263,189737,268886
292429,"Cyclic amides, incl. cyclic carbamates, and their derivatives; salts thereof (excluding ureines ...""",6664,4851,2994,1869,2565,1726,1856,1619,1625,3415,,33049,31542,24892,24012,25189,23875,30146,23796,24598,26525,,691933,735900,817187,716944,700021,533069,659897,749448,858537,965091
902610,Instruments and apparatus for measuring or checking the flow or level of liquids (excluding ...,3466,2795,3669,4888,5731,5536,4354,3157,3497,3395,,75361,76176,52246,56370,52107,55905,86900,58557,49434,54913,,560276,620344,674017,716278,642212,701369,830981,820576,739543,878380
282619,Fluorides (excluding of aluminium and mercury),8582,4059,2026,2927,4130,3041,2710,619,490,3387,,11449,10931,15957,29449,42841,39080,46365,47472,69155,77621,,51838,42390,41040,38271,37311,39216,53959,43382,44028,52893
711790,"Imitation jewellery (excluding jewellery, of base metal, whether or not clad with silver, gold ...",5728,4116,3136,3327,3462,2257,1907,1829,1905,3369,,17096,15892,12944,9827,9413,11454,10579,12403,9553,10280,,721704,733325,673454,600307,556454,493659,517183,498060,310648,386642
940179,"Seats, with metal frames (excluding upholstered, swivel seats with variable height adjustments ...",316,924,1879,1886,2207,4536,1093,1725,1077,3355,,4557,7641,8519,10753,7934,7061,6081,6906,4733,5842,,1986479,2165815,2278149,2423700,2321294,2571994,2789749,2382237,2596942,3540292
281129,"Inorganic oxygen compounds of non-metals (excluding diphosphorus pentaoxide, oxides of boron, ...",1040,138,80,113,332,698,481,659,1157,3348,,3331,3874,5548,8202,8491,15310,11851,17359,31260,48328,,43296,44812,50881,60416,72945,82476,92642,110302,99606,142102
853530,"Isolating switches and make-and-break switches, for a voltage > 1.000 V",3043,655,237,196,1624,827,1550,4177,2839,3343,,68395,66096,46102,45985,42564,51864,59288,84850,51286,80803,,149584,123981,146121,130574,168506,205899,170108,193096,207705,219920
760429,"Bars, rods and solid profiles, of aluminium alloys, n.e.s.",1345,1708,3130,4897,5445,11225,7160,4183,3097,3339,,72628,66390,87143,118116,82853,83427,94455,102064,83814,89112,,379398,394678,442855,471909,487049,645366,675143,546479,533739,787316
290960,"Alcohol peroxides, ether peroxides, acetal and hemiacetal peroxides, ketone peroxides and their ...",4,5,0,3,15,202,484,690,1926,3320,,2481,3405,2918,3362,4489,4937,5637,9857,10660,15885,,36706,39962,48822,47184,43549,43687,54674,52740,51282,50079
690721,"Ceramic flags and paving, hearth or wall tiles, of a water absorption coefficient by weight ...",0,0,0,0,0,409,369,237,2182,3319,,0,0,0,0,0,72,238,1237,1639,1521,,0,0,0,0,0,1015828,1167845,1111831,1067664,1364534
730439,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of iron or non-alloy ...""",5099,7882,9832,12812,13745,12902,4961,3482,2951,3316,,56945,31945,46467,56388,25978,21517,17631,30265,15290,16569,,489006,350152,371309,227995,109192,152576,179978,138246,68486,81716
650699,"Headgear, whether or not lined or trimmed, n.e.s.",46,25,71,26,83,648,1193,1318,965,3310,,16296,10131,15773,12831,11357,13145,12866,6623,10039,11607,,20588,17882,20120,21160,17557,19071,24550,22746,19022,26994
600631,"Unbleached or bleached fabrics, knitted or crocheted, of synthetic fibres, of a width of > ...""",826,957,520,559,956,444,882,2097,4746,3298,,15639,16559,12946,9997,10235,14796,17976,21819,15778,15684,,22204,25907,37805,58245,62650,64130,67919,64390,53745,62894
600621,"Unbleached or bleached cotton fabrics, knitted or crocheted, of a width of > 30 cm (excluding ...""",119,52,5,55,19,1250,1514,3652,1556,3264,,1906,3623,5952,4371,6455,7439,9796,9308,10599,19850,,26831,28350,27641,31808,37779,58148,66438,68671,89152,155333
840490,Parts of auxiliary plant of heading 8402 or 8403 and condensers for steam or other vapour power ...,22767,10107,3470,3743,2694,6937,5029,1866,1656,3264,,30327,27579,39203,45894,43844,35716,25193,16142,7455,4915,,70141,93767,58996,60306,40173,53513,51493,37750,24733,23476
844511,Carding machines for preparing textile fibres,0,0,0,0,0,3,235,0,377,3252,,4572,5188,3908,3690,2801,4697,5554,1363,3284,5593,,4006,12990,23806,27956,5382,9837,10858,9515,12316,14719
900699,"Parts and accessories for photographic flashlights and flashlight apparatus, n.e.s.",1480,1778,1876,2195,2307,3039,3255,2012,1802,3235,,4030,4992,6337,5081,4440,5642,6301,3469,3401,4644,,27357,32579,35285,33245,35530,39024,43873,49236,55914,63421
550340,"Staple fibres of polypropylene, not carded, combed or otherwise processed for spinning",3534,5959,8328,6155,4304,5545,10688,9871,4760,3217,,86639,96556,106802,77653,66987,70472,66755,49481,41332,40964,,30288,54347,70797,83385,72102,73910,86210,55414,43074,93821
281111,"Hydrogen fluoride """"hydrofluoric acid""""""""",24,0,1031,1319,334,1132,1837,4267,3832,3188,,4791,5192,5502,10062,12388,14305,16345,16563,16847,18087,,232822,198520,212725,196263,189723,177070,183741,201846,165803,170440
401190,"New pneumatic tyres, of rubber (excl. of a kind used on agricultural, forestry, construction, ...",0,0,0,0,0,232,87,120,56,3183,,0,0,0,0,0,3229,2313,4120,5525,1253,,0,0,0,0,0,875524,953878,850818,967514,1264588
741991,"Articles of copper, cast, moulded, stamped or forged, but not further worked, n.e.s.",154,172,359,936,958,1687,1829,1841,1583,3157,,6456,5905,5948,5133,4056,3497,3997,4488,3857,3647,,45459,49271,49859,48864,47772,54866,66131,66858,57263,74063
90220,Green tea in immediate packings of > 3 kg,333,471,245,200,168,750,2124,126,1146,3125,,2886,3148,1501,1577,3297,3894,2920,1464,3304,4841,,63555,76413,62004,67410,65926,66364,76832,79125,78582,90844
871680,Vehicles pushed or drawn by hand and other vehicles not mechanically propelled (excluding trailers ...,912,582,421,825,935,912,1285,2554,4532,3123,,14123,13712,19383,24662,20150,23900,30704,32024,34581,36163,,389731,442995,484481,536326,559631,621374,672970,656861,729998,940319
261800,Granulated slag (slag sand) from the manufacture of iron or steel,0,0,0,0,612,1360,1490,1689,1603,3111,,2713,5749,3658,4406,3305,4277,14369,20938,17278,16836,,52394,35686,33674,32457,39341,62053,79442,70083,85976,113475
481820,"Handkerchiefs, cleansing or facial tissues and towels, of paper pulp, paper, cellulose wadding ...",1288,1956,1821,1937,2029,1877,2275,2031,3687,3107,,6748,10111,8999,31361,42439,46502,47559,45105,42340,40562,,305263,333888,350308,377921,395730,394771,382798,342315,415737,400728
853329,Fixed electrical resistors for a power handling capacity > 20 W (excluding heating resistors),2146,2002,1255,1509,1678,2490,1869,2202,3794,3099,,8710,10217,11804,14706,11453,19392,20939,26512,26798,33455,,69812,65892,69479,73984,58299,85735,101677,81442,69031,96435
731450,"Expanded metal, of iron or steel",3645,2339,2048,1157,1015,1493,1595,1696,1739,3089,,6218,6035,5644,5013,3237,4534,5264,4022,3798,5174,,38561,32931,35662,36067,35374,36569,46307,43013,43771,71616
870590,Special purpose motor vehicles (other than those principally designed for the transport of ...,0,0,17,2647,380,0,349,129,10213,3056,,114477,165931,148598,126132,129275,140013,99633,122616,76512,78804,,194955,215450,241817,231130,224046,294612,400830,405794,352367,304843
730830,"Doors, windows and their frames and thresholds for doors, of iron or steel",1208,1254,3142,2029,1677,1728,1797,6981,4589,3046,,44064,61299,51326,39036,42266,59423,42476,41894,28846,25996,,285595,323702,335443,364203,383553,408977,456527,459010,483224,589980
392210,"Baths, shower-baths, sinks and washbasins, of plastics",1674,930,772,830,1231,781,743,709,2257,3036,,3516,4313,4095,3535,2875,3241,3578,3068,4400,5518,,91177,104299,118090,121366,150947,173023,192295,214183,246368,331553
320413,Basic synthetic organic dyes; preparations based on basic synthetic organic dyes of a kind ...,155,100,14,34,815,1031,1577,1063,1341,3018,,2142,2121,1573,2011,2587,2649,2881,3111,2476,2488,,20574,21209,23319,25723,23542,26153,33360,30835,29528,40717
330530,Hair lacquers,72,123,63,24,5,19,16,409,2689,3006,,463,465,505,752,2050,679,567,1100,2848,3162,,21772,27564,32287,43137,47533,49449,53659,42536,21947,31148
391723,"Rigid tubes, pipes and hoses, of polymers of vinyl chloride",2097,2262,2553,1035,757,1831,2068,1819,2028,2996,,7229,9149,8687,11651,12326,11864,19359,15244,13596,9138,,72462,82565,87589,83359,74743,88924,80485,79890,93482,157891
721250,"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, hot-rolled or cold-rolled ...""",2993,4056,4387,6421,2440,1903,2382,1166,2086,2975,,28379,36486,46164,35043,30108,35380,37882,50020,58651,112000,,45080,31968,34309,46423,44873,34051,27416,12627,17134,18797
392220,"Lavatory seats and covers, of plastics",570,750,575,207,971,772,300,1158,2027,2960,,2147,1710,1978,1983,3739,2017,1284,1256,984,1461,,64536,72163,78928,91205,91075,103781,116874,108932,155807,195358
840219,"Vapour generating boilers, incl. hybrid boilers (excluding central heating hot water boilers ...",48,3,678,2350,230,713,29,5,4892,2953,,294370,91364,164513,77059,56992,69614,55665,38032,25836,41360,,24785,179629,29853,37690,33504,188855,26518,29240,27315,39523
902730,"Spectrometers, spectrophotometers and spectrographs using optical radiations, such as UV, visible, ...",2400,1758,2785,1616,3180,2677,2972,2562,2994,2947,,15271,16215,19179,20670,24316,24329,54556,31039,28038,25847,,369787,375887,378860,433630,398186,413486,503171,511792,474841,587294
330749,"Preparations for perfuming or deodorising rooms, incl. odoriferous preparations used during ...",368,280,284,418,1501,3268,2905,3038,3434,2927,,14602,9820,10762,12535,13719,18458,17155,23730,43962,34957,,255737,325367,292257,255658,268709,279015,324119,348032,371818,453638
810830,Titanium waste and scrap (excluding ash and residues containing titanium),4894,3443,10674,11244,5622,5189,6200,6766,3522,2916,,8346,8566,14705,13418,7389,6104,8252,10067,5842,10683,,101239,66234,103474,127708,80337,100334,120029,133929,71535,48624
690912,"Ceramic articles having a hardness equivalent to >= 9 on the Mohs scale, for chemical or other ...",57,545,1098,2785,3304,2149,2673,4040,3539,2914,,4989,19506,38020,37960,56166,52107,49331,59956,58076,83854,,121086,159701,186977,148283,145301,197359,209661,199714,143080,172613
60290,"Live plants, incl. their roots, and mushroom spawn (excluding bulbs, tubers, tuberous roots, ...",2089,2048,2372,2509,2229,2514,2530,2389,2669,2912,,14869,17737,15190,13299,11604,10390,9095,8655,8938,11145,,263225,288990,320980,334709,354289,386878,423077,458901,487047,678575
30559,"Dried fish, even salted but not smoked (excluding fillets, offal and cod)",4061,4780,3789,3743,3634,1530,1676,1633,1993,2910,,12813,11332,13700,10787,13829,8968,5796,8046,7382,7648,,19641,16316,19018,20059,18479,12805,11584,14842,15261,18067
854121,Transistors with a dissipation rate < 1 W (excluding photosensitive transistors),6735,4532,4378,2015,2256,979,1194,1235,1367,2895,,450675,389801,315158,273804,261017,280704,303777,318563,301946,341911,,257222,222843,199342,209296,214749,182403,177828,124890,103410,136029
853939,"Discharge lamps (excluding flourescent, hot cathode lamps, mercury or sodium vapour lamps, ...",3789,2955,2677,3137,1231,3712,2800,1981,2352,2892,,116661,18705,9259,9099,7452,9551,8098,4774,2906,2383,,117561,159458,98951,100059,69290,66012,62364,50019,31341,35811
30749,"Cuttle fish """"Sepia officinalis, Rossia macrosoma, Sepiola spp."""" and squid """"Ommastrephes ...""",11694,11385,9758,12163,13804,3016,3132,2334,1849,2888,,116096,134559,112253,88583,105577,2490,1666,1969,2649,3246,,298485,268768,242327,235593,291732,152473,141278,96154,52033,71781
380892,"Fungicides, put up in forms or packings for retail sale or as preparations or articles (excl. ...",1069,2160,1447,0,2081,2612,1071,1996,2031,2875,,42024,48401,155592,148069,149702,205767,247824,203961,242578,237189,,196697,233959,225400,231033,226547,250690,230243,200328,236277,279702
590210,"Tyre cord fabric of high-tenacity yarn of nylon or other polyamides, whether or not dipped ...",720,251,273,619,1107,2450,2554,3444,2292,2874,,25001,23237,26602,26654,28329,28501,26617,25827,21345,21707,,125475,121040,129417,125623,112746,118687,127241,124266,81591,139202
870790,"Bodies for tractors, motor vehicles for the transport of ten or more persons, motor vehicles ...",100,13,112,24,19,184,1803,859,1112,2872,,916,1879,2427,26733,10529,22417,19854,16443,12692,9159,,971231,783471,823429,950843,894012,702663,919412,916246,633438,562967
381590,"Reaction initiators, reaction accelerators and catalytic preparations, n.e.s. (excluding rubber ...",962,873,771,649,608,2337,540,1741,1284,2871,,13602,19447,27428,24335,19550,23013,28150,27011,32983,43102,,239640,183805,251961,263984,262696,321903,368013,228689,227045,280063
291521,Acetic acid,386,570,969,936,954,1103,2336,2126,1831,2865,,60814,63477,91784,79438,66242,79901,115455,93130,77172,120182,,8306,29646,14739,9388,6191,24296,33262,8535,7785,17417
721631,"U sections of iron or non-alloy steel, not further worked than hot-rolled, hot-drawn or hot-extruded, ...",7181,8750,12088,8579,9621,6791,2814,711,1635,2865,,35248,34264,46704,37865,44103,51252,48614,37067,41370,58037,,52133,40183,69349,47509,48483,62244,36477,28441,38647,58860
340420,"Poly""""oxyethylene"""" [polyethylene glycol] waxes""""",10,44,74,90,151,1486,2033,5504,3959,2861,,65084,63319,81145,59427,60868,104381,123704,121853,122912,228293,,23649,25436,28627,32516,25728,20139,26577,31305,35941,40622
390410,"Poly""""vinyl chloride"""", in primary forms, not mixed with any other substances""""",5265,3015,2531,2698,1912,2096,4786,3443,1093,2860,,729660,688373,604948,510396,466910,487078,550968,404777,459548,756471,,305367,296998,295168,243666,239256,257926,273173,282073,272991,438891
870990,"Parts of self-propelled works trucks, not fitted with lifting or handling equipment, of the ...",3978,3241,2723,3989,5082,2503,2050,1654,1636,2857,,4369,2878,2817,952,1146,1464,2261,2880,2697,3162,,299304,246560,209656,191168,182828,182222,221545,193807,153113,184177
321511,"Black printing ink, whether or not concentrated or solid",4258,3148,4099,3677,3975,3681,3216,3271,2220,2851,,35926,36050,34043,27686,26108,33040,26614,25873,20230,22323,,78422,86473,85758,86219,79088,85841,88091,108723,108652,130037
80610,Fresh grapes,511,615,878,960,878,689,621,1546,2008,2851,,1385,1700,2253,3284,5123,8490,13884,22812,30744,37269,,1203868,1364710,1349047,1526083,1671149,1720208,1746164,1805757,1887761,1981072
930400,"Spring, air or gas guns and pistols, truncheons and other non-firearms (excluding swords, cutlasses, ...",1998,2215,1198,1357,1345,1194,871,1233,1588,2839,,23585,8082,12224,16264,19287,18332,32833,19514,3777,4811,,228347,219203,187095,187133,157783,160150,165034,160429,197023,323452
294000,"Sugars, chemically pure (excluding sucrose, lactose, maltose, glucose and fructose); sugar ...",431,391,302,1187,2571,1166,2756,3188,3434,2832,,17335,5667,6340,5942,6378,4716,5688,7144,5659,6240,,127466,143298,138969,146085,129502,134275,155119,161746,242534,269967
854590,"Articles of graphite or other carbon, for electrical purposes (excluding electrodes and carbon ...",9694,730,501,1295,1169,515,565,711,999,2816,,17324,29002,70679,33667,17052,17941,17433,17662,16765,26186,,78337,112836,48837,64002,40376,37389,78658,109761,73903,90018
960330,"Artists' brushes, writing brushes and similar brushes for the application of cosmetics",3010,3020,3317,4825,6172,6234,5134,2583,1783,2816,,9127,8490,10806,10025,10585,9392,11238,9907,8378,7287,,284940,307584,340257,399379,469661,452030,456060,368745,334228,395419
732090,"Springs and leaves for springs, of iron or steel, incl. flat spiral springs (excluding helical ...",3322,3576,4903,4671,3702,3643,2701,2100,1989,2809,,21647,22800,34015,34455,33786,31937,35461,39103,32815,38293,,154097,144250,146805,146547,143490,154918,166268,175069,135920,180563
482361,"Trays, dishes, plates, cups and the like, of bamboo paper or bamboo paperboard",0,0,3,0,6,7,5,0,0,2777,,0,0,0,0,0,0,0,0,10,0,,14735,10010,5689,4164,4029,4167,5745,6053,12320,15682
382000,Anti-freezing preparations and prepared de-icing fluids (excluding prepared additives for mineral ...,33,109,7,89,647,892,1060,1434,1488,2777,,13364,14256,13252,9815,10395,9621,10994,10664,9209,13059,,30986,33000,37750,29727,32041,30183,33420,31546,31700,40451
843880,"Machinery for the industrial preparation or manufacture of food or drink, n.e.s.",1871,6348,3210,4053,5244,3326,7487,1566,995,2775,,18616,35236,17634,22771,29931,27801,28919,21986,15713,11880,,216018,262144,280011,296912,326785,322458,283876,301035,355117,407528
320490,"Synthetic organic products of a kind used as luminophores, whether or not chemically defined",1506,1919,1795,1561,2378,1650,2104,1913,1550,2764,,4510,6204,16898,13040,24394,58703,133772,158937,197938,268161,,12126,12953,17782,16253,16666,15752,15432,13913,12477,17908
847149,"Data-processing machines, automatic, presented in the form of systems """"comprising at least ...""",1832,4899,5542,3905,1697,3460,60970,1012,1631,2758,,60738,73198,60633,49146,52239,63185,87142,65782,60402,64837,,3695022,3789593,3922227,3068078,2441170,2718896,2975500,2868108,3185247,3580071
761610,"Nails, tacks, staples, screws, bolts, nuts, screw hooks, rivets, cotters, cotter pins, washers ...",1748,1387,1201,2202,1776,1651,1886,2137,1921,2757,,5012,6320,6939,8925,9081,9775,21711,20795,10323,12287,,51732,48624,54746,60349,64514,70812,77522,77510,65325,83854
392290,"Bidets, lavatory pans, flushing cisterns and similar sanitary ware, of plastics (excluding ...",1130,1285,1300,1125,991,1145,1621,865,2274,2757,,76889,66439,28525,33093,28937,25747,23636,16298,15887,18134,,43642,50751,67425,77854,83046,84969,96682,88540,106902,119664
848230,Spherical roller bearings,892,1498,1135,1205,2764,4721,1952,11720,7066,2756,,14122,19306,23283,24541,21611,21872,24077,23379,22087,20365,,224397,200288,206911,196944,188297,203336,227919,223750,174419,187716
970600,Antiques of > 100 years old,5114,1303,878,847,1177,3170,1634,8064,583,2755,,7500,3231,9741,7802,1465,2186,127,378,142,217,,1401912,1385028,1377763,1348875,1314278,1224332,1288778,1588722,491664,573507
901920,"Ozone therapy, oxygen therapy, aerosol therapy, artificial respiration or other therapeutic ...",1723,1213,1360,4376,7018,5610,1561,1815,3993,2753,,6143,10294,14219,12543,8398,14311,11496,13600,62140,53142,,1653900,1725155,1894532,2012698,2089995,2298105,2333195,2675653,3447586,3213983
70690,"Fresh or chilled salad beetroot, salsify, celeriac, radishes and similar edible roots (excluding ...",490,418,698,829,1040,1278,1602,2552,3332,2733,,649,748,971,1491,1150,1913,2617,2376,4359,2860,,29439,33207,32893,34672,40086,48491,51587,46255,49980,61553
846291,"Hydraulic presses for working metal (excluding forging, bending, folding, straightening and ...",5427,4741,5332,328,912,986,8904,1226,7184,2725,,57961,28463,53783,51740,52092,32507,48323,50324,40566,43098,,112394,90540,110964,101299,91487,147231,147841,132850,102447,115275
741999,"Articles of copper, n.e.s.",2891,2559,2368,3487,2941,2039,1794,1757,2089,2713,,181660,167953,186183,180942,168036,162116,218920,197870,170992,213247,,351305,346075,380160,373979,362627,373927,422549,375151,340234,454538
848020,"Mould bases (other than of graphite or other carbon, ceramic meterials or glass)",5,0,109,2105,2750,7308,2345,1063,2943,2711,,7329,30549,44167,41892,28703,33992,29285,34673,27367,28942,,13961,13854,13701,17196,15677,23131,24280,16887,16166,18870
930690,"Bombs, grenades, torpedos, mines, missiles, and other ammunition and projectiles, and parts ...",2713,2424,5165,3726,4591,2985,3770,2154,1888,2700,,28500,29067,67043,36734,43777,102685,203546,58255,237213,446916,,574745,491665,518197,426329,475819,488216,456865,460864,511331,574440
845430,Casting machines of a kind used in metallurgy or in metal foundries,3962,834,326,72,348,59,175,475,4359,2695,,25450,24160,31752,13033,20416,16572,33790,36495,16089,20540,,76020,102464,76262,122829,95151,109880,61679,74421,82872,64738
843850,Machinery for the industrial preparation of meat or poultry (excluding cooking and other heating ...,153,468,340,591,800,630,583,1109,866,2691,,10173,5162,6528,6277,9900,14675,11857,13643,9429,11446,,116631,122905,136216,167657,172714,196491,223915,230021,198772,249245
401220,Used pneumatic tyres of rubber,5253,5362,4530,5346,7468,4961,4998,3778,4087,2689,,12199,12121,10776,11974,12077,10376,10742,10764,10114,9244,,67136,68797,62311,55011,53167,53848,56998,56857,49960,42585
741533,"Screws, bolts, nuts and similar articles, threaded, of copper (other than screw hooks, ring- ...",137,160,81,252,505,1362,1710,1468,1783,2687,,6052,2459,2992,3679,6042,5751,6637,6978,6822,8903,,48657,50210,51405,51256,46588,49893,59870,55477,50055,69329
160419,"Prepared or preserved fish, whole or in pieces (excluding minced, merely smoked, and salmon, ...""",1008,872,1115,1117,1207,1423,1569,1964,2301,2664,,7677,8197,7140,5505,7024,5803,6505,7065,8062,9287,,84584,78293,64884,61640,80707,109913,129758,110896,132086,125393
853670,"Connectors for optical fibres, optical fibre bundles or cables",792,1127,1333,1370,961,1357,2328,1609,1742,2661,,24872,33312,35364,37389,23611,15053,16482,12140,11416,13743,,164200,178413,187947,215523,260194,273925,286544,287025,241835,346144
841690,"Parts of furnace burners such as mechanical stokers, incl. their mechanical grates, mechanical ...",1743,4690,10690,1727,1952,2853,2195,1864,1404,2660,,9240,10225,9322,13288,9007,5337,9214,7753,7462,9670,,103011,92567,125013,123608,123248,102195,108529,90966,93030,96274
291533,N-Butyl acetate,14,288,786,856,884,819,1139,1368,1813,2658,,487,253,116,118,468,1576,1714,1838,1872,3648,,3155,3333,9864,5087,8687,13065,13930,11122,12480,19399
520524,"Single cotton yarn, of combed fibres, containing >= 85% cotton by weight and with a linear ...""",3744,3314,3869,4724,3414,2720,2232,1882,2059,2657,,68357,65798,53320,47355,26368,23131,10235,12159,7277,12406,,7069,9817,9292,8283,5473,5191,5644,4270,4337,6685
