Product code,Product label,"Korea, Republic of's imports from Australia-Value in 2012","Korea, Republic of's imports from Australia-Value in 2013","Korea, Republic of's imports from Australia-Value in 2014","Korea, Republic of's imports from Australia-Value in 2015","Korea, Republic of's imports from Australia-Value in 2016","Korea, Republic of's imports from Australia-Value in 2017","Korea, Republic of's imports from Australia-Value in 2018","Korea, Republic of's imports from Australia-Value in 2019","Korea, Republic of's imports from Australia-Value in 2020","Korea, Republic of's imports from Australia-Value in 2021",Australia's exports to world- ,Australia's exports to world-Value in 2012,Australia's exports to world-Value in 2013,Australia's exports to world-Value in 2014,Australia's exports to world-Value in 2015,Australia's exports to world-Value in 2016,Australia's exports to world-Value in 2017,Australia's exports to world-Value in 2018,Australia's exports to world-Value in 2019,Australia's exports to world-Value in 2020,Australia's exports to world-Value in 2021,"Korea, Republic of's imports from world- ","Korea, Republic of's imports from world-Value in 2012","Korea, Republic of's imports from world-Value in 2013","Korea, Republic of's imports from world-Value in 2014","Korea, Republic of's imports from world-Value in 2015","Korea, Republic of's imports from world-Value in 2016","Korea, Republic of's imports from world-Value in 2017","Korea, Republic of's imports from world-Value in 2018","Korea, Republic of's imports from world-Value in 2019","Korea, Republic of's imports from world-Value in 2020","Korea, Republic of's imports from world-Value in 2021"
610690,"Women's or girls' blouses, shirts and shirt-blouses of textile materials, knitted or crocheted ...",5,0,3,3,0,0,0,8,0,1,,900,907,533,606,872,545,729,823,455,700,,2453,1851,2494,2591,2633,1544,3387,3773,3327,4353
611521,"Pantyhose and tights of synthetic fibres, knitted or crocheted, measuring per single yarn < ...",0,20,0,0,0,0,0,0,0,1,,66,165,160,364,362,350,360,472,343,315,,6811,7129,5366,6196,8152,9713,7789,7225,5421,5670
611530,"Women's full-length or knee-length hosiery, knitted or crocheted, measuring per single yarn ...",0,4,0,3,1,0,0,0,0,1,,138,46,15,24,229,92,72,4,5,79,,1474,3449,2950,1862,1655,1780,1093,1146,902,1051
610442,"Women's or girls' dresses of cotton, knitted or crocheted (excluding petticoats)",1,0,0,1,0,2,2,10,4,1,,972,806,1452,2044,559,532,850,575,643,1688,,16765,18652,20846,21992,20747,21287,27533,31799,30299,35507
732410,"Sinks and washbasins, of stainless steel",0,0,0,0,2,0,0,0,0,1,,812,0,0,0,0,0,910,903,398,696,,877,1742,2709,4168,3600,4755,6313,6689,7997,18691
732090,"Springs and leaves for springs, of iron or steel, incl. flat spiral springs (excluding helical ...",5,8,3,28,5,6,3,1,3,1,,9793,6197,7035,6585,10927,12113,8459,5223,3094,6240,,24634,23496,25443,22184,22732,24990,25355,20702,23022,29513
731419,"Woven cloth, incl. endless bands, of iron or steel wire (excluding stainless and woven products ...",0,0,0,0,0,0,0,0,0,1,,95,755,261,265,317,196,149,103,760,76,,2952,1685,2581,2412,1586,1532,1972,2323,2621,3165
730791,Flanges of iron or steel (excluding cast or stainless products),280,190,310,31,14,172,13,21,0,1,,3555,4192,2514,1669,2521,4185,2172,3056,1487,2126,,119645,158799,139365,96957,85808,91397,95517,76190,60825,65805
690100,"Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals, e.g. kieselguhr, tripolite ...",105,31,6,17,45,20,99,42,18,1,,2560,3013,2129,1813,1653,1486,1034,1204,941,1169,,5220,4962,3729,4811,4966,7535,9685,4429,2531,2498
720926,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, not in coils, simply ...""",0,0,0,3,0,1,0,2,0,1,,1487,341,416,456,1135,1799,734,553,281,425,,838,1195,2080,802,409,556,582,1066,496,526
120799,"Oil seeds and oleaginous fruits, whether or not broken (excluding edible nuts, olives, soya ...",44,256,53,25,90,129,2,4,6,1,,10033,10373,7359,10439,4550,2702,2407,1923,1976,878,,39985,53760,53862,50717,84522,52268,39224,47950,57523,63636
151319,"Coconut oil and its fractions, whether or not refined, but not chemically modified (excluding ...",0,1,3,8,6,2,1,0,0,1,,649,416,1056,669,722,807,1823,708,401,1157,,77564,56491,76493,60292,67625,84175,74955,48983,50585,91084
100850,"Quinoa """"Chenopodium quinoa""""""""",0,1,2,1,1,1,1,0,0,1,,55,90,1112,467,573,377,345,620,372,305,,0,26,1924,1515,528,327,606,373,593,983
90210,Green tea in immediate packings of <= 3 kg,3,1,1,3,4,2,0,0,0,1,,455,460,394,228,295,2352,3577,2463,789,859,,189,346,316,391,422,406,542,486,370,568
340590,"Glass or metal polishes, whether or not in the form of paper, wadding, felt, nonwovens, cellular ...",0,0,4,1,22,26,20,9,10,1,,2444,2431,2082,731,1093,1080,1320,1225,1110,1828,,13893,12617,10923,11208,9458,9141,10681,29068,41779,54160
292121,Ethylenediamine and its salts,0,0,0,0,0,0,0,0,1,1,,5,11,42,58,2,6,0,1,81,65,,9751,10050,12365,15414,10183,11262,13853,10418,8958,14856
292090,"Esters of other inorganic acids of non-metals and their salts; their halogenated, sulphonated, ...""",0,0,0,0,0,0,0,3,0,1,,35,83,15,9,15,18,3,64,26,35,,67451,77398,76246,72143,56399,61141,89401,110778,129376,167107
