Product code,Product label,Singapore's imports from United States of America-Value in 2012,Singapore's imports from United States of America-Value in 2013,Singapore's imports from United States of America-Value in 2014,Singapore's imports from United States of America-Value in 2015,Singapore's imports from United States of America-Value in 2016,Singapore's imports from United States of America-Value in 2017,Singapore's imports from United States of America-Value in 2018,Singapore's imports from United States of America-Value in 2019,Singapore's imports from United States of America-Value in 2020,Singapore's imports from United States of America-Value in 2021,United States of America's exports to world- ,United States of America's exports to world-Value in 2012,United States of America's exports to world-Value in 2013,United States of America's exports to world-Value in 2014,United States of America's exports to world-Value in 2015,United States of America's exports to world-Value in 2016,United States of America's exports to world-Value in 2017,United States of America's exports to world-Value in 2018,United States of America's exports to world-Value in 2019,United States of America's exports to world-Value in 2020,United States of America's exports to world-Value in 2021,Singapore's imports from world- ,Singapore's imports from world-Value in 2012,Singapore's imports from world-Value in 2013,Singapore's imports from world-Value in 2014,Singapore's imports from world-Value in 2015,Singapore's imports from world-Value in 2016,Singapore's imports from world-Value in 2017,Singapore's imports from world-Value in 2018,Singapore's imports from world-Value in 2019,Singapore's imports from world-Value in 2020,Singapore's imports from world-Value in 2021
151800,"Animal or vegetable fats and oils and their fractions, boiled, oxidised, dehydrated, sulphurised, ...",31,42,66,70,8333,7299,20178,137406,216975,342175,,357026,259863,210995,165325,134689,136507,135629,137591,251739,473247,,5931,3974,16332,26636,83873,112767,126224,379461,588471,1046857
901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",410204,666114,729836,495388,443138,488746,436105,376484,344484,320013,,10763604,11197988,11687828,11860181,12339549,12356060,13196120,14299705,13315317,14677184,,1092661,1446556,1524900,1375932,1395114,1329135,1328190,1384078,1686132,1194343
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",508253,476463,419321,352372,370745,402796,439846,382191,332324,287350,,15751206,15860633,17233829,18505968,18857319,17601286,17766441,16809912,15196762,15909526,,2422499,2439595,2327828,2334038,2633310,2917678,3170534,3367706,4174947,4563970
330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",109343,162321,186671,185466,214228,248826,306884,366149,303458,272248,,2318591,2599184,2740368,2850932,2899658,3281980,3820834,4262792,3871064,4261958,,982433,1163248,1170437,1093733,1313503,1592648,2084707,2413583,2422623,2642808
902790,"Microtomes; parts and accessories of instruments and apparatus for physical or chemical analysis, ...",313572,315755,270740,228757,256403,204267,220551,217499,217486,247780,,1760741,1749511,1730090,1670761,1731718,1770469,2011255,2004562,2013113,2345723,,690653,759920,701463,606149,649133,612823,713707,677289,658509,791761
381121,Prepared additives for oil lubricants containing petroleum oil or bituminous mineral oil,386334,498150,464396,408754,339276,356855,299407,241728,224943,238698,,2362042,2434537,2295287,2110596,1901017,1896290,2049177,1846762,1778511,1956238,,636008,767492,780936,707453,723197,775299,715116,561414,524858,608031
847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",208572,225759,238013,194280,228510,201714,223180,225916,216895,229502,,6310723,6090796,6629427,6773487,6177876,6457798,7219788,7414270,6628233,6876249,,656443,746162,721625,771143,964425,1262131,2095864,2335704,3004130,2527747
390140,"Ethylene-alpha-olefins copolymers, having a specific gravity of < 0,94 , in primary forms",0,0,0,0,0,0,91898,250173,316473,229485,,0,0,0,0,0,1574976,2662982,3261135,3682122,4438868,,0,0,0,0,0,0,271551,588159,559739,502568
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",158796,161233,188755,167261,146768,169417,204388,213276,192448,226392,,5536221,6125212,6518468,6530190,5918316,6287161,6652387,6397109,5566033,5989423,,705981,704108,810674,678342,682914,588932,702353,750230,829260,911871
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",135958,147849,114321,115582,128201,141349,164277,173717,165651,224339,,5214198,5510978,5897410,5838497,5881550,6255614,6665297,6359339,6035504,7294810,,703542,713575,669980,638833,671422,814241,855507,933778,876946,1015717
150290,"Fats of bovine animals, sheep or goats (excluding tallow, oleostearin and oleo-oil)",0,0,0,0,0,0,2,1,174036,223915,,3794,3004,342,296,363,266,283,272,276,221,,131,134,148,108,179,136,205,262,477562,604335
854390,"Parts of electrical machines and apparatus, having individual functions, n.e.s. in chapter ...",373575,301528,163486,120829,112707,122449,137267,146963,182718,218481,,1640887,1463150,1071879,1356248,1366830,1518531,1531412,1654592,1087045,1010354,,1285716,1150454,1126206,1168453,1136041,1161612,1037901,1034137,986896,1321379
300610,"Sterile surgical catgut, similar sterile suture materials, incl. sterile absorbable surgical ...",43231,42204,48853,37940,49701,72557,73889,180367,188354,202182,,923508,928325,872799,933362,920395,1060036,1195108,1278620,1062374,1216206,,81572,70363,80614,102453,150134,149193,201456,293460,290699,330293
271111,"Natural gas, liquefied",506,194,0,0,0,1,0,262184,192580,198114,,480650,202181,456434,370563,959073,3470037,5848476,9525199,13045788,26937758,,17680,92187,1489205,974131,783101,1244512,1729804,1594940,1143071,2250025
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",177037,205465,181809,179210,189278,210329,199424,209350,219140,193570,,21313745,19526551,20822773,20684208,19094099,17120046,17861946,19685686,19523757,25213471,,1123216,1200528,1146604,1108690,1205119,1432288,1409065,1433788,1596252,1471306
841181,Gas turbines of a power <= 5.000 kW (excluding turbojets and turbopropellers),50382,121547,108413,100615,79480,103459,126992,425621,235616,183611,,314363,305861,241596,223682,239337,197427,285509,342309,316928,307666,,67689,145401,131849,125452,311124,167563,241752,757931,358070,279686
711319,"Articles of jewellery and parts thereof, of precious metal other than silver, whether or not ...",250446,293108,350635,258822,191812,127895,175002,235845,103094,176266,,7784158,9087872,9747722,9110930,8956030,9097774,9292221,8645561,4860844,6695429,,4032176,3835532,3663660,3109129,3125516,2564618,2791383,2986029,2112550,3044173
903090,Parts and accessories for instruments and apparatus for measuring or checking electrical quantities ...,257496,256278,233693,210433,218579,177943,159491,150422,158907,167181,,1477294,1354803,1525102,1603036,1458461,1365443,1428369,1437916,1455292,1431470,,583945,548373,512239,441867,502109,493093,515041,546775,744008,810945
