Product code,Product label,Saudi Arabia's imports from India-Value in 2012,Saudi Arabia's imports from India-Value in 2013,Saudi Arabia's imports from India-Value in 2014,Saudi Arabia's imports from India-Value in 2015,Saudi Arabia's imports from India-Value in 2016,Saudi Arabia's imports from India-Value in 2017,Saudi Arabia's imports from India-Value in 2018,Saudi Arabia's imports from India-Value in 2019,Saudi Arabia's imports from India-Value in 2020,Saudi Arabia's imports from India-Value in 2021,India's exports to world- ,India's exports to world-Value in 2012,India's exports to world-Value in 2013,India's exports to world-Value in 2014,India's exports to world-Value in 2015,India's exports to world-Value in 2016,India's exports to world-Value in 2017,India's exports to world-Value in 2018,India's exports to world-Value in 2019,India's exports to world-Value in 2020,India's exports to world-Value in 2021,Saudi Arabia's imports from world- ,Saudi Arabia's imports from world-Value in 2012,Saudi Arabia's imports from world-Value in 2013,Saudi Arabia's imports from world-Value in 2014,Saudi Arabia's imports from world-Value in 2015,Saudi Arabia's imports from world-Value in 2016,Saudi Arabia's imports from world-Value in 2017,Saudi Arabia's imports from world-Value in 2018,Saudi Arabia's imports from world-Value in 2019,Saudi Arabia's imports from world-Value in 2020,Saudi Arabia's imports from world-Value in 2021
721924,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, ...",74,87,174,0,0,0,0,3,0,35,,755,1467,597,820,1452,139,211,584,297,1324,,4197,4656,5468,6293,3734,3882,3820,3427,935,697
843890,"Parts of machinery for the industrial preparation or manufacture of food or drink, n.e.s.",148,811,587,361,369,160,2560,2884,146,35,,45383,64165,59602,72576,45595,57026,55649,70123,34951,51839,,29035,30104,29019,35031,31925,48211,52684,44128,21447,20546
300650,First-aid boxes and kits,0,32,0,0,0,0,0,0,0,35,,6682,6723,1539,1039,1432,1114,755,937,855,981,,4211,1870,2740,2645,7029,5617,2756,2252,4261,2554
821194,"Blades of base metal for table knives, pocket knives and other knives of heading 8211",0,34,0,0,0,0,5,8,3,35,,476,530,496,431,228,441,2585,2137,315,163,,1258,1253,538,1392,1285,1127,1620,1729,2614,2807
821490,"Hair clippers, butchers' or kitchen cleavers and other articles of cutlery of base metal, n.e.s.",27,0,0,0,0,0,15,87,30,35,,1898,446,332,448,373,449,353,191,131,374,,3185,2589,4287,7369,3835,5518,4976,10045,8205,6960
970200,"Original engravings, prints and lithographs",0,0,0,0,0,0,30,0,0,35,,120,571,117,2067,998,7155,8339,3446,1614,836,,98,285,0,193,118,298,95,389,189,491
481014,"Paper and paperboard used for writing, printing or other graphic purposes, not containing fibres ...",66,35,0,35,39,0,0,0,119,35,,131,498,732,760,592,622,632,215,189,107,,5544,7524,6242,4934,5717,6478,2711,1648,4605,44435
680299,"Monumental or building stone, in any form, polished, decorated or otherwise worked (excluding ...",0,0,0,0,0,119,36,78,15,35,,7310,16162,18167,16517,16363,16214,19401,31046,72434,105290,,6868,4811,9161,10869,3633,3553,4783,4637,1284,3281
841382,Liquid elevators (excluding pumps),2755,1066,805,689,269,1991,2095,26,86,35,,469,605,3165,16690,2132,981,62997,41832,5196,1920,,22035,17705,15092,22249,13593,13489,14188,3442,12690,4519
740819,"Wire of refined copper, with a maximum cross-sectional dimension of <= 6 mm",34,0,40,365,43,71,70,193,23,35,,21223,10106,15580,14614,17790,20054,15918,14955,13874,18329,,15301,86688,40884,14350,64326,57546,22569,21075,32024,54048
940430,"Sleeping bags, whether or non-electrically heated",0,0,0,0,161,0,0,96,186,35,,6209,5921,8946,6462,4804,7862,10226,12956,13138,17123,,2457,4573,3333,5956,3741,2197,2111,2983,3107,4287
960340,"Paint, distemper, varnish or similar brushes, paint pads and rollers (excluding artists' and ...",0,0,0,0,0,77,19,14,46,35,,168,451,240,284,184,166,239,1000,317,729,,5982,5113,6497,8026,8190,5709,11322,12023,11342,19346
251749,"Granules, chippings and powder, whether or not heat-treated, of travertine, ecaussine, alabaster, ...",844,1166,2297,2878,1744,158,259,170,163,35,,1829,1417,1895,1188,1576,3907,3635,4360,3422,541,,3301,4158,4934,5462,3458,2687,2122,3607,4020,2481
844610,Weaving machines for weaving fabrics of a width <= 30 cm,45,0,0,0,106,0,0,0,37,34,,561,1365,875,903,1121,1231,1762,1469,1068,1599,,1671,1324,0,246,106,0,0,307,144,43
901490,"Parts and accessories for compasses and other navigational instruments and appliances, n.e.s.",0,0,0,0,0,0,0,10,0,34,,1438,853,1011,825,3395,1749,7691,4122,3837,4394,,3283,5768,4364,3997,2355,2931,6726,5645,5290,6693
903141,Optical instruments and appliances for inspecting semiconductor wafers or devices or for inspecting ...,0,0,0,0,0,0,25,3,40,34,,209,22,5,88,31,220,33,117,458,78,,713,2164,2558,930,52,621,3219,3964,2774,2860
846039,"Sharpening """"tool or cutter grinding"""" machines, not numerically controlled""""",100,37,0,0,0,0,0,0,17,34,,647,1694,1493,1079,720,662,1134,1432,1730,1056,,693,378,685,1073,777,258,747,567,312,379
690990,"Ceramic troughs, tubs and similar receptacles of a kind used in agriculture; ceramic pots, ...",0,126,0,110,0,0,85,125,240,34,,3697,2881,2265,3729,3333,1835,3725,1706,1164,993,,3815,3509,1159,601,760,816,1312,6183,6682,1865
441860,"Posts and beams, of wood",2827,0,0,0,0,0,0,0,20,34,,62,38,8,20,32,73,124,272,573,1302,,9310,6895,2393,5966,3158,911,687,1084,1681,8504
962000,"Monopods, bipods, tripods and similar articles",0,0,0,0,0,0,0,0,0,34,,0,0,0,0,0,140,88,706,157,323,,0,0,0,0,0,0,0,0,0,1145
852910,"Aerials and aerial reflectors of all kinds; parts suitable for use therewith, n.e.s.",635,6853,631,29889,16205,0,342,120,20,34,,26547,82009,98865,61921,23786,15636,22184,20786,48046,57543,,100432,80416,89068,243891,115932,39517,37167,58944,40020,17114
