Product code,Product label,Saudi Arabia's imports from Australia-Value in 2012,Saudi Arabia's imports from Australia-Value in 2013,Saudi Arabia's imports from Australia-Value in 2014,Saudi Arabia's imports from Australia-Value in 2015,Saudi Arabia's imports from Australia-Value in 2016,Saudi Arabia's imports from Australia-Value in 2017,Saudi Arabia's imports from Australia-Value in 2018,Saudi Arabia's imports from Australia-Value in 2019,Saudi Arabia's imports from Australia-Value in 2020,Saudi Arabia's imports from Australia-Value in 2021,Australia's exports to world- ,Australia's exports to world-Value in 2012,Australia's exports to world-Value in 2013,Australia's exports to world-Value in 2014,Australia's exports to world-Value in 2015,Australia's exports to world-Value in 2016,Australia's exports to world-Value in 2017,Australia's exports to world-Value in 2018,Australia's exports to world-Value in 2019,Australia's exports to world-Value in 2020,Australia's exports to world-Value in 2021,Saudi Arabia's imports from world- ,Saudi Arabia's imports from world-Value in 2012,Saudi Arabia's imports from world-Value in 2013,Saudi Arabia's imports from world-Value in 2014,Saudi Arabia's imports from world-Value in 2015,Saudi Arabia's imports from world-Value in 2016,Saudi Arabia's imports from world-Value in 2017,Saudi Arabia's imports from world-Value in 2018,Saudi Arabia's imports from world-Value in 2019,Saudi Arabia's imports from world-Value in 2020,Saudi Arabia's imports from world-Value in 2021
940429,"Mattresses, fitted with springs or stuffed or internally filled with any material (excluding ...",0,0,0,0,0,0,0,0,0,0,,1301,2141,2470,2568,2900,7147,9560,8456,5961,6217,,6618,7745,10769,18427,20415,24870,24026,23118,16246,10364
950662,Inflatable balls,0,0,0,0,0,0,0,0,0,0,,717,438,284,463,176,312,221,356,254,359,,8714,9426,11544,11478,9790,6811,8206,9111,8554,7127
950669,"Balls (excluding inflatable, tennis balls, golf balls, and table-tennis balls)",0,0,0,0,0,49,0,0,0,0,,3700,3225,3128,3571,3507,4336,4005,3536,1543,3838,,2034,2889,4400,7775,3256,2799,2269,1770,110,727
960711,Slide fasteners fitted with chain scoops of base metal,0,0,0,0,0,0,0,0,0,0,,568,1006,656,273,315,463,423,439,546,918,,737,775,1010,642,1289,1231,1066,1758,1302,627
960899,"Parts of ball-point pens, felt-tipped and other porous-tipped pens and markers, fountain pens ...",0,0,0,0,0,0,0,0,0,0,,314,394,259,408,661,513,716,1032,614,276,,4813,3579,2996,3231,1705,1717,2922,2556,2335,1303
961000,"Slates and boards, with writing or drawing surfaces, whether or not framed",0,0,0,0,0,0,3,0,0,0,,490,476,544,529,184,466,291,495,315,255,,4694,4662,4761,4861,4994,4577,4505,6378,5047,4857
961400,"Smoking pipes, incl. pipe bowls, cigar or cigarette holders, and parts thereof, n.e.s.",0,0,0,0,0,0,0,0,0,0,,9,0,73,6,1,0,31,4,0,0,,5481,5681,8771,9664,9440,9145,8079,11397,14980,20811
960110,"Worked ivory and articles of ivory, n.e.s.",0,0,0,0,0,0,0,0,0,0,,2,958,9,0,0,0,0,52,41,4,,0,0,0,0,0,0,0,0,0,0
853932,Mercury or sodium vapour lamps; metal halide lamps,0,0,0,0,0,0,0,0,0,0,,695,930,736,502,754,765,584,463,330,291,,6554,6413,8580,6389,4094,6220,5976,4988,3550,749
854089,"Electronic valves and tubes (excluding receiver or amplifier valves and tubes, microwave tubes, ...",0,0,0,0,0,0,9,0,0,0,,2249,2140,3901,727,2640,2388,3554,4061,722,368,,491,442,191,2500,827,841,1052,550,304,265
