Product code,Product label,"Korea, Republic of's imports from India-Value in 2012","Korea, Republic of's imports from India-Value in 2013","Korea, Republic of's imports from India-Value in 2014","Korea, Republic of's imports from India-Value in 2015","Korea, Republic of's imports from India-Value in 2016","Korea, Republic of's imports from India-Value in 2017","Korea, Republic of's imports from India-Value in 2018","Korea, Republic of's imports from India-Value in 2019","Korea, Republic of's imports from India-Value in 2020","Korea, Republic of's imports from India-Value in 2021",India's exports to world- ,India's exports to world-Value in 2012,India's exports to world-Value in 2013,India's exports to world-Value in 2014,India's exports to world-Value in 2015,India's exports to world-Value in 2016,India's exports to world-Value in 2017,India's exports to world-Value in 2018,India's exports to world-Value in 2019,India's exports to world-Value in 2020,India's exports to world-Value in 2021,"Korea, Republic of's imports from world- ","Korea, Republic of's imports from world-Value in 2012","Korea, Republic of's imports from world-Value in 2013","Korea, Republic of's imports from world-Value in 2014","Korea, Republic of's imports from world-Value in 2015","Korea, Republic of's imports from world-Value in 2016","Korea, Republic of's imports from world-Value in 2017","Korea, Republic of's imports from world-Value in 2018","Korea, Republic of's imports from world-Value in 2019","Korea, Republic of's imports from world-Value in 2020","Korea, Republic of's imports from world-Value in 2021"
TOTAL,All products,6920826,6182544,5274760,4239768,4188967,4949357,5884201,5566103,4899579,8055383,,289564769,336611389,317544642,263889005,260963959,295862157,323997680,323250726,275488745,394813673,,519575597,515560844,525563837,436547721,406059974,478413948,535172391,503259397,467540264,615034495
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",3750458,2384507,1732049,831117,972148,1005821,1275333,1206076,1043753,1853364,,0,19765201,19742787,11962340,10664422,12477483,14810618,12646438,8453439,19167099,,20543698,21917991,21897149,11730198,9074071,11117918,15935866,13797188,10146247,19097311
760110,"Aluminium, not alloyed, unwrought",227905,304325,327143,469863,470830,792750,874290,762762,705016,1727470,,569583,746823,1126817,1333227,1446956,2210176,3073483,2984419,3302739,5180992,,2098234,2146406,2216040,2062720,2037813,2343288,2262748,2048395,1864023,2988525
720241,"Ferro-chromium, containing by weight > 4% of carbon",195658,208095,162327,144474,150840,240901,277608,207554,143062,192476,,738559,695956,497810,479936,510055,1030697,926967,794399,599542,981159,,547162,567569,499757,498648,473699,688584,668230,516080,396524,662355
780110,"Unwrought lead, refined",40622,56456,53572,33299,13628,41426,126679,90516,78178,172320,,60274,145202,126084,120868,101937,283992,344468,279446,236998,303480,,188957,307272,231088,203590,160481,171209,216861,146203,179890,248570
260112,Agglomerated iron ores and concentrates (excluding roasted iron pyrites),0,0,0,0,0,42453,106333,76478,15573,158792,,17380,237678,191006,96717,467979,887730,899455,1337903,1483900,2050003,,1115077,535923,532503,334207,286218,461193,542276,468379,222543,901258
293410,"Heterocyclic compounds containing an unfused thiazole ring, whether or not hydrogenated, in ...",22675,28175,19467,27638,13354,16963,80420,49097,59093,127451,,4409,17116,13009,10681,8829,18381,41819,37862,83427,72364,,54140,53998,47992,79243,55441,50734,116875,81134,103642,160213
230649,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...""",119458,128744,143678,115242,50419,40569,97918,90733,94898,112652,,241823,340745,332946,183097,82574,108037,211699,199929,241203,256608,,120604,137627,145615,130629,66478,46920,97919,90733,96217,115210
710239,"Diamonds, worked, but not mounted or set (excluding industrial diamonds)",38271,37620,46373,44854,52294,55758,57055,57883,58780,82493,,20819464,27084559,22475223,20556917,22437928,22882992,24254392,20575455,14655837,23844452,,44861,44950,54630,53672,59711,63195,63339,64276,79400,109912
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",34000,39397,56174,48365,40086,51419,53441,57902,62389,75881,,6631679,8375464,8288881,9327226,9796992,9658816,10782950,12390505,14059367,14718722,,2262824,2222301,2533213,2434657,2882817,2818188,3192357,3255735,3469101,3960262
250100,"Salts, incl. table salt and denatured salt, and pure sodium chloride, whether or not in aqueous ...",20103,24111,22543,30240,31475,27690,39500,61613,67483,73766,,99547,133213,122538,129070,121091,174311,227160,236840,195431,180202,,194733,209427,183707,158892,141452,132491,162496,166706,165091,215743
790111,"Unwrought zinc, not alloyed, containing by weight >= 99,99% of zinc",88094,99852,62192,81604,97929,144455,165846,109871,56368,64331,,456742,446904,410764,628142,375655,806728,692626,514416,651988,805470,,93681,137463,125750,130838,110413,152046,176848,130770,94592,105603
120740,"Sesamum seeds, whether or not broken",60265,64809,88061,49493,47196,34231,43171,32211,43437,64158,,517673,632196,813602,476645,415152,435302,531449,528715,447843,421536,,125753,174773,205258,140093,111099,108837,123320,144956,130162,151900
760120,Unwrought aluminium alloys,13428,10873,11710,14447,24340,39359,14474,37078,28399,62233,,116081,193627,212499,189763,194836,287185,740106,782216,617228,1791398,,1066883,939541,1091670,987994,823354,1012695,1018484,896695,664700,1049981
721391,"Bars and rods, hot-rolled, in irregularly wound coils, of iron or non-alloy steel, of circular ...",0,0,0,0,0,0,1,0,0,59273,,29397,99118,81503,44852,65110,154355,174379,153699,168006,568794,,582824,450045,388282,269881,247931,288036,272719,242097,155267,425696
293090,"Organo-sulphur compounds (excl. thiocarbamates and dithiocarbamates, thiuram mono-, di- or ...",14961,24273,33399,33267,40428,39633,50681,51409,37383,56288,,47168,69479,59930,75673,44023,80641,101309,133003,190998,238570,,187714,188698,233245,229927,248369,277331,295805,300716,274760,346835
720839,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",8,2117,32,76,1,2280,9343,2584,175,54208,,212935,366953,303679,128595,339193,1263700,826915,1476157,2024034,2761309,,1388326,1173436,1029047,859060,873887,1160699,976675,1001801,745608,1329228
520812,"Plain woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 100 g to 200 ...",844,1856,12602,22065,24352,27192,29389,27724,42511,52196,,36158,49084,67555,69636,73494,89019,117985,103528,122720,166260,,110460,112378,94915,90269,75912,74191,75658,70173,96398,110081
170310,Cane molasses resulting from the extraction or refining of sugar,0,0,0,24649,18363,2029,4561,13330,46019,47674,,42431,32898,12373,24839,15919,9883,49773,92906,100281,215435,,114941,142719,138322,113678,104455,85872,62450,70037,77760,84215
293499,"Nucleic acids and their salts, whether or not chemically defined; heterocyclic compounds (excl. ...""",13968,14018,13711,12237,22779,33233,41281,38596,41605,41848,,153962,409961,382025,419313,436186,446880,493307,493773,561007,623993,,240114,234308,297388,271681,273620,289685,305631,335084,454540,483035
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",10306,10621,12415,14004,16117,14855,13815,16713,22251,41256,,2528274,2588978,2696063,2462318,2379582,2483453,2769665,2633065,2128311,3072828,,967225,872541,874491,851453,927204,871444,763414,694700,761928,835500
140490,Vegetable products n.e.s,12755,16325,18290,22259,22616,15238,22840,24312,28791,39757,,25885,27449,28957,26616,35476,30064,31501,32853,31260,36108,,36232,42719,50400,73132,86830,70083,80761,91699,87848,87244
293339,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused pyridine ring, ...",13491,15937,16598,18375,24212,23899,22968,36765,25467,38296,,189325,346857,323883,351237,436490,482973,530013,703611,759088,931653,,195381,199579,186444,176323,212338,227873,279117,312427,294151,335844
780199,Unwrought lead (excluding refined lead and lead containing by weight antimony as the principal ...,0,104,14177,16765,20577,22741,27779,28657,18327,37006,,23014,32231,30632,39407,36438,48993,57155,76644,63743,99908,,44243,31363,75570,57326,36031,53121,57774,54398,42914,70948
320417,Synthetic organic pigments; preparations based on synthetic organic pigments of a kind used ...,27078,27474,31727,29390,26818,28180,29282,28320,27402,35826,,535238,621166,613988,573343,570918,651621,710365,755570,723895,987642,,337620,287232,267267,268440,297857,315337,335022,311645,297781,331362
130219,"Vegetable saps and extracts (excluding liquorice, hops and opium)",5851,7289,7639,15299,13200,12883,19165,23257,34545,34915,,178720,254907,261177,269058,278126,254342,284334,321711,351777,392236,,123036,126463,123799,117318,140940,176295,179496,207708,241098,248431
230690,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...",43342,54126,56216,51223,47564,29063,26515,37355,25575,32814,,92942,155811,116832,146969,100369,109312,139946,141183,154646,189448,,51095,68225,63015,56813,56498,37911,36912,50288,37429,47945
520523,"Single cotton yarn, of combed fibres, containing >= 85% cotton by weight and with a linear ...""",75651,81740,45462,29987,22977,16733,39598,14869,14226,32639,,847839,1078205,862607,675959,672507,787557,920568,792327,814370,1374932,,126615,137559,99386,84007,72278,59602,87520,64290,64962,125748
230400,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...",76450,147060,88669,32124,26570,31444,33621,32007,32023,31950,,2075456,2860253,1180724,429948,305238,837924,893291,744417,701358,900822,,690577,915450,992325,839457,780876,650989,769301,738081,692705,815611
290124,"Buta-1,3-diene and isoprene",111121,48519,40214,65364,22026,70538,49452,60415,18566,31659,,300459,166966,104099,92834,106033,144853,155369,146453,100184,128867,,943576,586085,627324,426997,463334,684975,627462,450336,343467,386056
293399,"Heterocyclic compounds with nitrogen hetero-atom[s] only (excluding those containing an unfused ...""",14550,16231,14112,12861,17185,17156,19323,25210,28792,30742,,241957,339044,439100,431308,503140,659179,777533,933225,879554,837563,,210553,192961,193702,223838,256543,237054,243262,265264,313335,320114
320416,Synthetic organic reactive dyes; preparations based on synthetic organic reactive dyes of a ...,13272,18154,23246,18913,16036,18862,31651,32923,19056,30114,,359323,541046,683609,529671,524663,605662,721474,734016,544405,774044,,46316,61171,71246,63566,57266,57715,58431,65658,45006,81350
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",27520,104190,79599,19476,4639,27601,1807,13143,13822,29376,,30189091,46921811,40682152,17629287,16081655,22227429,32327270,29790424,17626804,34867787,,5146332,6884243,7760657,3337556,2664516,3564408,5094896,3396484,2587689,4429473
291619,"Unsaturated acyclic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids ...",12825,17068,9888,7460,6868,10150,17305,14956,14793,28954,,49835,63001,45629,33246,34772,46042,52917,52049,47172,73726,,18348,22352,18290,20515,25239,32490,39951,37798,37548,48914
260111,Non-agglomerated iron ores and concentrates (excluding roasted iron pyrites),66001,50715,57189,24145,29768,42357,26462,58378,43716,28736,,2407949,1397507,683397,118390,537211,763492,356465,1020338,2390703,2109250,,8416659,7797115,7959540,4582840,3760830,4988901,4847160,6480176,6708559,11177684
711299,"Waste and scrap of silver, incl. metal clad with silver, and other waste and scrap containing ...",121828,2368,12020,12312,42956,5380,19937,2673,25800,27203,,393082,310786,384443,444985,396545,432791,202984,49340,120494,140888,,568753,317464,402710,522199,597424,199734,521136,610856,552617,358651
720211,"Ferro-manganese, containing by weight > 2% of carbon",13522,6429,2705,4492,2446,1379,27883,13222,3761,25794,,127317,141160,194292,108284,90512,257547,253504,229933,200651,627313,,23541,7322,7683,4498,6766,1727,29742,20779,6513,26207
240120,"Tobacco, partly or wholly stemmed or stripped, otherwise unmanufactured",29783,33075,42298,25475,46993,33963,38188,29687,30025,24603,,598899,754973,633249,582063,608834,566948,530610,502263,461393,504258,,223819,268169,231104,201112,262518,246606,186394,182800,189464,153859
720838,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",0,3492,0,0,0,3258,11980,2649,86,24530,,102348,123263,124306,52969,120633,464458,320177,479444,323475,970088,,780092,667933,631785,520845,474539,701845,568525,502187,312001,534975
870829,"Parts and accessories of bodies for tractors, motor vehicles for the transport of ten or more ...""",4127,2441,3191,1560,1762,1856,2220,11894,27005,24438,,53074,62362,61359,66345,67832,105852,141125,172496,140485,199092,,221603,282847,344502,376873,435182,495788,490720,460853,462207,512110
520512,"Single cotton yarn, of uncombed fibres, containing >= 85% cotton by weight and with a linear ...""",11929,25240,13416,9624,9065,10983,21542,10262,10801,22333,,294478,666232,564968,501738,427478,439165,574252,364645,328248,643826,,72007,83149,63788,54466,64765,67762,100916,80332,71399,105583
870895,"Safety airbags with inflator system and parts thereof, for tractors, motor vehicles for the ...",14,99,20,15,24,4087,12358,23101,15236,21448,,722,954,11792,22861,23783,37261,43349,45553,37146,51253,,297362,308209,319457,339928,353297,382000,411274,436995,393034,382955
292429,"Cyclic amides, incl. cyclic carbamates, and their derivatives; salts thereof (excluding ureines ...""",7765,11716,17158,22708,30188,30465,31352,29525,13523,21425,,48618,99830,109477,123064,93425,132928,185919,242677,378065,300063,,125098,123153,126214,121978,138849,141017,145243,129503,108753,134115
520513,"Single cotton yarn, of uncombed fibres, containing >= 85% cotton by weight and with a linear ...""",2135,4896,4008,8230,8398,8107,14812,12097,12043,20566,,106830,166298,169914,148901,128824,168994,174286,114967,101569,279100,,38432,47526,31436,29944,43901,40841,56849,52748,51374,88985
720110,"Non-alloy pig iron in pigs, blocks or other primary forms, containing, by weight, <= 0,5% of ...",25504,90026,134603,14747,16,6503,337,107,54,19944,,172806,425394,313685,139646,52578,208269,123538,93934,134491,464839,,384095,411945,364308,126347,85687,84420,67902,69490,56933,89618
520533,"Multiple """"folded"""" or cabled cotton yarn, of uncombed fibres, containing >= 85% cotton by ...""",14224,16765,21982,20526,18206,20736,25207,17519,12624,19909,,28652,36493,40019,43380,38065,36702,43720,33169,21021,35791,,32021,33267,34076,29324,30821,32645,33209,24417,16237,23065
480525,"Testliner """"recycled liner board"""", uncoated, in rolls of a width > 36 cm or in square or ...""",0,0,0,0,9,9,0,0,207,19805,,12,227,267,154,313,1272,4830,1953,2814,14616,,7625,5174,4114,4472,24513,8322,12372,6095,13688,54910
850440,Static converters,7155,5122,5541,5159,3588,4045,8020,18313,8581,19284,,390819,336518,453310,508547,526546,553917,741975,1186041,1057914,1300034,,1465649,1477126,1577340,1377420,1234364,1284291,1471599,1586388,1544779,1850786
151530,"Castor oil and fractions thereof, whether or not refined, but not chemically modified",9189,10030,10346,9931,9536,14033,13326,16499,13552,19203,,716936,775824,654386,686043,597144,905533,822919,856943,798956,1050251,,10228,10876,11279,10745,11168,15008,14631,17797,14652,20153
711319,"Articles of jewellery and parts thereof, of precious metal other than silver, whether or not ...",85,72,49,66,368,1574,1989,989,6414,19027,,17276723,9572682,11222490,7388131,9204800,8371671,11609406,12366518,5678174,8430817,,207420,312165,331324,283919,298518,380587,410969,516498,521720,871584
520811,"Plain woven fabrics of cotton, containing >= 85% cotton by weight and weighing <= 100 g/m©÷, ...",1551,830,4342,9587,11460,16064,22444,21788,18304,18610,,192730,160923,137125,133865,118499,101458,115060,130929,122662,143209,,47487,58907,59358,48903,38800,37995,37351,31349,32088,39901
870821,Safety seat belts for motor vehicles,1,13,33,22,637,17206,15923,20955,19080,18150,,5234,11299,11821,12899,17214,53861,57464,52765,41557,44724,,17326,15425,10995,8687,14860,29584,27433,39956,46361,46438
780191,"Unwrought lead, containing by weight antimony as the principal other element",12124,16243,19010,7138,5914,10938,11486,6561,4758,17956,,20341,29674,28007,10381,21033,30199,26325,32526,26522,49718,,40023,84405,95821,73288,49579,77487,67973,60894,43128,56604
293379,"Lactams (excluding 6-hexanelactam """"epsilon-caprolactam"""", clobazam """"INN"""", methyprylon """"INN"""", ...""",588,598,768,1767,4662,5032,6859,8702,13074,17661,,30440,62081,71087,71882,93738,79152,77972,97404,119650,159874,,71389,71177,101453,106024,113399,103521,140104,125545,134941,196184
870840,"Gear boxes and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",302,3036,2226,4886,7413,9271,9408,12202,18730,17283,,201847,329174,331215,355368,272139,317352,394036,416016,353087,524169,,1056867,1026859,911524,868698,1073828,1034555,943320,967309,1066982,1145746
840890,"Compression-ignition internal combustion piston engine """"diesel or semi-diesel engine"""" (excluding ...""",10388,10149,9298,6622,7276,7637,10022,12775,11543,17250,,377420,268935,311924,282147,352137,384319,619851,616411,554729,723054,,524815,438991,452419,342167,384025,475096,504173,429016,323720,433170
540233,Textured filament yarn of polyester (excluding that put up for retail sale),10716,11632,44135,40707,42523,37315,44365,40727,20067,17037,,703542,895152,802077,742488,713530,783795,864692,734830,460898,767295,,127773,154974,211683,181788,179365,205308,237975,223905,187129,224532
854511,"Electrodes of graphite or other carbon, for electric furnaces",12761,19569,16495,8609,11222,12027,43431,82618,13075,16851,,283079,396523,283781,180015,120829,275857,1075429,517198,185106,237235,,232032,221317,177338,130818,123148,144497,470892,508399,215156,218321
640399,"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather ...",2421,5405,8451,13340,18340,26440,23516,18072,10368,16813,,200959,233983,257622,257312,221771,285951,298605,310833,244292,319196,,417091,446721,531489,620279,589073,653926,733324,764948,718683,821527
740100,Copper mattes; cement copper (precipitated copper),0,1495,0,3905,6517,15935,9807,5936,4252,16790,,141,13162,3593,8931,9118,12547,10893,8023,14555,20478,,48676,63217,141044,166004,103018,128804,155982,151665,180395,358051
330190,"Extracted oleoresins; concentrates of essential oils in fats, fixed oils, waxes and the like, ...",10545,9414,12006,12337,12708,13470,10930,9604,13071,16508,,303586,262853,250634,287810,301651,389907,366845,347161,422048,592383,,18180,17582,21450,21585,26512,31787,25428,21486,26958,28522
722211,"Bars and rods of stainless steel, only hot-rolled, only hot-drawn or only hot-extruded, of ...",9838,15688,11203,10960,7969,7479,15059,12296,12958,16353,,42394,75091,77600,50200,41369,49089,73552,79682,57318,103822,,46778,40626,35387,27219,17842,20587,33390,27673,28572,39688
600621,"Unbleached or bleached cotton fabrics, knitted or crocheted, of a width of > 30 cm (excluding ...""",1199,0,454,3105,2991,1010,5074,3319,3365,15439,,81744,91977,75596,55339,57942,90729,118565,112841,133046,257669,,1608,512,1109,3799,3873,3287,7262,4286,4142,16770
320300,"Colouring matter of vegetable or animal origin, incl. dye extracts (excluding animal black), ...",711,245,614,707,2225,4679,6040,9700,13996,15408,,12048,12526,14552,12621,12184,15138,17235,19057,24236,25649,,15705,15566,15318,16418,21591,27100,27998,42578,51717,56223
292529,Imines and their derivatives; salts thereof (excluding chlordimeform [ISO]),2203,1502,1250,1552,1321,1788,2140,2566,19530,15291,,64498,81540,85216,83153,88621,82289,85793,98255,135618,139922,,24239,20085,22779,19758,22540,21496,26408,28261,45123,48757
720711,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...",1,0,0,0,0,0,0,0,0,15116,,26322,57955,30636,131049,127340,153001,220570,283964,688830,902020,,183557,285867,246952,134021,124254,226251,175691,151320,98447,207880
760200,"Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, ...",4694,5272,7177,7716,5959,7427,9924,8656,7065,14941,,8240,6013,9550,7673,5579,7339,10308,8945,7837,20024,,1108548,1179374,1333397,1107455,894714,1132557,1165436,1091552,1099558,1789799
293590,Sulphonamides (excl. perfluorooctane sulphonamides),0,0,0,0,0,10822,12598,14255,19661,14906,,0,0,0,0,0,122073,199544,258201,261225,295280,,0,0,0,0,0,86900,91943,95981,96389,97348
280300,"Carbon (carbon blacks and other forms of carbon, n.e.s.)",17883,15879,15562,13505,9712,11626,15846,15483,10603,14674,,270631,143578,132877,94378,79122,114752,132758,157362,110181,261941,,103894,111992,123064,103130,83001,81907,84707,90375,79358,89858
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",2097,5336,3842,4751,8336,22559,22285,27724,21255,14390,,179488,262132,321688,317972,352001,330304,376453,431216,429857,429429,,3248528,3952969,1446865,1653415,1266477,1326943,1420840,1418986,1291697,1541973
294190,"Antibiotics (excluding penicillins and their derivatives with a penicillanic acid structure, ...",32419,25673,22887,22835,23898,18413,18098,15056,18474,13916,,560941,628704,581836,565713,501827,497836,528281,556512,543591,490131,,179971,162474,156785,147741,164132,158318,168145,157650,166327,126345
722240,"Angles, shapes and sections of stainless steel, n.e.s.",16065,14623,16724,16000,12314,11846,14268,14572,12978,13756,,137062,144486,136245,170255,114714,134534,153716,149257,123893,198942,,46746,38268,40057,35928,31073,29738,37967,41163,33210,46374
842129,Machinery and apparatus for filtering or purifying liquids (excluding such machinery and apparatus ...,220,1222,1007,3570,1909,1759,2254,4484,4975,13605,,22087,22369,28108,55383,48663,52211,91686,98156,50326,80990,,189097,257450,222577,193432,169184,259095,248667,272965,311265,364221
30617,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in ...",1844,20655,20651,15998,8310,9802,12216,14966,14119,13508,,0,2579526,3658505,3071512,3461520,4612033,4372998,4554389,3793319,5148765,,292485,305498,412736,343255,357362,434825,460837,450221,441702,501638
740400,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...",578,365,384,1718,1563,2017,2079,8342,8899,13188,,35976,36183,31925,20965,15969,22186,25661,57688,32750,100008,,2134047,1950533,1920442,1536958,1190313,1700827,1989196,1892855,1711549,2679466
30499,Frozen fish meat n.e.s. (excluding fillets),8137,8086,6896,11692,8211,13074,17571,16925,14034,13184,,141482,139949,125959,146130,150282,213329,249896,223780,199509,250646,,178438,164775,175710,178729,170303,164381,201257,176775,176931,170072
392020,"Plates, sheets, film, foil and strip, of non-cellular polymers of ethylene, not reinforced, ...",222,1506,5018,3356,1613,6265,6447,8401,8022,13028,,210498,262717,274855,254690,219272,233175,291084,276264,290954,467264,,116459,120825,94728,84073,91848,102543,106017,123685,158050,193126
840820,"Compression-ignition internal combustion piston engine """"diesel or semi-diesel engine"""", for ...""",400,2157,7226,16495,23601,18618,17694,6607,6168,12965,,72208,61814,134921,93535,82052,148187,236231,311679,255005,448520,,317178,422206,454146,552603,593251,603325,240180,181336,119368,184527
480519,"Fluting paper, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets with ...",0,0,0,0,0,0,0,0,0,12922,,757,2504,3908,3343,4662,10523,72172,76073,154755,320899,,287,53,49,21,428,64,3454,351,1260,24681
551611,"Woven fabrics containing >= 85% artificial staple fibres by weight, unbleached or bleached",0,0,0,126,1661,3675,5221,6944,8809,12859,,152,218,118,435,1571,4486,8742,9385,12091,18959,,10071,16796,11784,9099,10566,11055,11804,12649,13692,16843
848120,Valves for oleohydraulic or pneumatic transmission,2749,3330,2588,2304,6682,10116,6501,7383,8614,12577,,16627,21564,22531,26691,27828,41758,52845,54790,51901,79233,,148672,136025,163609,164051,230717,251577,249472,234780,264415,338561
903289,"Regulating or controlling instruments and apparatus (excluding hydraulic or pneumatic, manostats, ...",469,3755,53370,87773,77536,32614,27040,15454,9578,12315,,62745,92421,159873,199065,239915,208200,199806,226446,208574,246282,,749531,869538,781838,840515,987611,1004182,1031941,942904,863550,965044
841490,"Parts of: air or vacuum pumps, air or other gas compressors, fans and ventilating or recycling ...",896,1314,2412,8703,11932,10643,11110,13462,10573,11941,,176538,197962,248546,258401,253334,281497,336810,358951,309222,444503,,635948,659733,633648,667165,638717,675761,731139,738467,672386,622276
510720,"Yarn of combed wool containing predominantly, but < 85% wool by weight (excluding that put ...",1216,723,543,6649,6666,9532,12832,16740,13678,11895,,8850,8348,10789,14439,13446,15735,22143,24265,21945,19315,,7940,6737,7458,11511,12565,13537,17980,21047,17753,15320
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",15472,16792,15298,12005,17319,14032,7381,15835,18942,11672,,683958,776020,717671,700991,707026,769065,776176,880138,762891,848704,,1507805,1904646,2119295,1758162,1499790,1603481,1579807,1588504,1520608,1686638
520813,"Woven fabrics of cotton, containing >= 85% cotton by weight and weighing <= 200 g/m©÷, in three-thread ...",2179,1177,20912,26679,16575,11374,17712,12482,12133,11665,,7381,7206,21692,22709,15333,13601,22344,22048,17081,23261,,52440,52076,53139,47371,35615,27129,27442,21090,20364,22807
721921,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, ...",2686,3583,3186,2121,6809,15456,16611,14683,21551,11397,,41503,81528,73292,40589,47829,63885,70622,78653,81454,102254,,144011,154038,168924,128140,118328,130121,109488,103130,118211,75646
252610,"Natural steatite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into ...",0,0,0,11,5530,5139,3370,4221,4721,11375,,5209,7208,5762,5968,15206,15195,19502,19801,21287,38234,,5705,5942,10001,8746,10002,10211,10597,12420,13335,20348
100620,Husked or brown rice,6346,3869,4800,0,0,0,0,0,0,11189,,45627,13263,25854,8723,8045,8387,7202,3522,10903,15269,,48666,308152,231245,248696,212585,268588,267092,234354,337041,349789
848310,"Transmission shafts, incl. cam shafts and crank shafts, and cranks",7082,7454,11547,16223,14590,14818,14939,12708,6880,11076,,178754,272344,255692,258773,200030,256445,336820,346335,278176,423301,,165043,163219,177418,164644,155819,171365,196463,161699,166419,202527
841430,Compressors for refrigerating equipment,5321,8410,8300,7943,8224,12869,17766,17443,12236,10828,,25439,28566,32893,30057,28476,24614,25332,26196,37082,67963,,327590,370809,414320,349576,360188,414821,437552,467415,468218,553533
381239,"Anti-oxidising preparations and other compound stabilisers for rubber or plastics (excl. mixtures ...""",0,0,0,0,0,604,1005,755,521,10828,,0,0,0,0,0,29901,42795,44828,39970,96884,,0,0,0,0,0,98960,114444,107888,120786,161475
722300,"Wire of stainless steel, in coils (excluding bars and rods)",2403,3961,6653,5140,5823,9460,9476,11817,7366,10649,,281595,282125,278642,243564,204107,261902,304912,291382,266716,470973,,84596,78809,86768,79132,67344,65761,73915,79382,64716,103288
720837,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",0,5119,0,0,0,1434,2028,0,0,10555,,95694,93595,112511,76639,103383,337313,193463,287475,249757,541766,,595658,506033,740233,281749,231758,364345,255120,202880,121329,249496
293329,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused imidazole ring, ...",5940,6922,2491,2458,3103,2043,4281,12636,9636,10528,,105036,176155,152544,118307,120641,240764,185091,201891,272102,291786,,37803,37318,39659,33264,36490,39313,46403,57641,57180,61543
382319,"Fatty acids, industrial, monocarboxylic; acid oils from refining (excluding stearic acid, oleic ...",6400,5045,6122,5270,6043,8749,7904,7809,5747,10492,,57477,81259,86448,98452,97171,151615,140781,135137,114316,208410,,157348,146748,177725,127273,167439,199322,208747,191915,243751,418680
842199,"Parts of machinery and apparatus for filtering or purifying liquids or gases, n.e.s.",5444,3015,3211,3235,3395,4854,7078,6708,11994,10448,,111274,117996,109402,114562,136727,125653,141202,160721,166691,209483,,327790,339064,326855,314939,280835,323802,380356,422010,436598,476294
320412,"Synthetic organic acid dyes, whether or not metallised, and synthetic organic mordant dyes; ...",7158,7342,13008,9872,8377,8610,13620,10833,7121,10412,,170457,246004,317786,215954,204584,227578,285309,277930,202544,285792,,31984,38920,48672,36554,32347,31340,36427,32390,22962,32476
843149,"Parts of machinery of heading 8426, 8429 and 8430, n.e.s.",8456,9552,7992,6031,4394,3374,4236,5994,3972,10407,,266956,293987,331985,243862,224817,281757,419138,379748,275918,538925,,621588,609598,497039,465767,301049,378046,428143,373472,329903,558499
846610,"Tool holders, incl. tool holders for any type of tool for working in the hand, and self-opening ...",2321,5730,5847,4779,1181,2657,4854,5906,5633,10400,,32255,32470,40699,37108,35713,47796,60110,54124,37440,64461,,40912,42072,45775,51088,54768,65488,69861,56505,45654,63563
293359,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing a pyrimidine ring, whether ...""",6646,5028,4288,6098,8077,4455,4829,6896,6761,10232,,119164,189471,179904,206107,280006,335337,344191,337850,431250,736705,,95092,82411,127178,113537,117322,144630,161597,125552,156333,174288
711292,"Waste and scrap of platinum, incl. metal clad with platinum, and other waste and scrap containing ...",0,522,4519,4462,4014,3689,3900,2447,3629,9930,,11361,0,4527,1010,829,327,1611,371,970,14840,,68529,109331,195068,180709,101043,175281,197361,355744,620736,1152675
293299,"Heterocyclic compounds with oxygen hetero-atom[s] only (excl. compounds containing unfused ...""",2904,2637,3135,2902,3666,3812,6668,5940,7719,9863,,81163,169336,157149,156194,152359,134028,124800,127904,151325,164190,,137364,122648,139878,135985,140048,118982,138263,125739,131887,188122
