Product code,Product label,"Korea, Republic of's imports from India-Value in 2012","Korea, Republic of's imports from India-Value in 2013","Korea, Republic of's imports from India-Value in 2014","Korea, Republic of's imports from India-Value in 2015","Korea, Republic of's imports from India-Value in 2016","Korea, Republic of's imports from India-Value in 2017","Korea, Republic of's imports from India-Value in 2018","Korea, Republic of's imports from India-Value in 2019","Korea, Republic of's imports from India-Value in 2020","Korea, Republic of's imports from India-Value in 2021",India's exports to world- ,India's exports to world-Value in 2012,India's exports to world-Value in 2013,India's exports to world-Value in 2014,India's exports to world-Value in 2015,India's exports to world-Value in 2016,India's exports to world-Value in 2017,India's exports to world-Value in 2018,India's exports to world-Value in 2019,India's exports to world-Value in 2020,India's exports to world-Value in 2021,"Korea, Republic of's imports from world- ","Korea, Republic of's imports from world-Value in 2012","Korea, Republic of's imports from world-Value in 2013","Korea, Republic of's imports from world-Value in 2014","Korea, Republic of's imports from world-Value in 2015","Korea, Republic of's imports from world-Value in 2016","Korea, Republic of's imports from world-Value in 2017","Korea, Republic of's imports from world-Value in 2018","Korea, Republic of's imports from world-Value in 2019","Korea, Republic of's imports from world-Value in 2020","Korea, Republic of's imports from world-Value in 2021"
130213,Extracts of hops,0,0,0,0,0,0,0,0,0,0,,0,0,11,0,113,11,46,2,8,15,,2599,3510,4056,3363,3989,3211,3184,2988,3105,5824
150710,"Crude soya-bean oil, whether or not degummed",0,0,3,0,0,0,0,0,0,0,,0,19,27,52,0,175,43,1426,3544,1020,,419972,309352,250554,197119,183036,257428,227834,247900,282060,528915
151521,Crude maize oil,0,0,0,0,0,0,0,0,0,0,,0,0,0,42,8,0,0,0,0,1,,1899,0,2739,1902,4478,5267,3078,3775,2729,7864
71332,"Dried, shelled small red """"Adzuki"""" beans """"Phaseolus or Vigna angularis"""", whether or not ...""",0,0,0,0,0,0,0,0,0,0,,60,71,1,27,1,34,205,101,231,244,,24918,21445,40018,27969,30259,17172,22680,24811,29289,37175
71239,"Dried mushrooms and truffles, whole, cut, sliced, broken or in powder, but not further prepared ...""",0,0,0,0,0,0,0,0,0,0,,6047,13588,2484,271,179,3884,5784,5274,6396,5983,,12949,12882,15589,15449,13369,14737,17285,16176,16636,16560
90412,"Pepper of the genus Piper, crushed or ground",510,504,426,277,675,620,12,2,0,0,,49485,54991,66141,95694,89842,65606,38883,38684,29297,45568,,3359,2692,2951,4731,4797,3588,2703,2253,3503,3975
90811,"Nutmeg, neither crushed nor ground",67,0,9,6,9,7,3,13,8,0,,0,30731,24920,25205,29649,22774,15743,9863,16202,17950,,1608,1616,1393,1188,1280,1111,932,942,1136,1201
90822,"Mace, crushed or ground",6,26,2,0,0,0,0,0,0,0,,0,441,316,203,131,253,410,501,551,777,,33,58,9,34,15,47,5,19,5,15
80131,"Fresh or dried cashew nuts, in shell",0,0,0,0,0,0,0,0,0,0,,4140,4269,22215,10936,11948,16348,23272,20562,20279,33885,,4,35,35,17,0,1,20,4,51,5
80212,"Fresh or dried almonds, shelled",0,0,0,0,0,0,0,0,0,0,,234,1756,2602,957,821,527,1574,1210,940,1194,,128571,160402,209548,235744,175583,171979,164622,178229,166724,182196
80410,Fresh or dried dates,0,0,0,0,0,0,0,0,0,0,,584,632,754,695,1061,986,1759,1635,1570,1775,,87,198,354,704,547,588,855,980,1099,1604
80440,Fresh or dried avocados,0,0,0,0,0,0,0,0,0,0,,2,7,0,1,0,5,4,1,5,49,,2235,3092,4870,6874,11885,30388,47320,31785,41919,50386
80620,Dried grapes,0,0,0,0,0,0,34,0,0,0,,53338,42352,22896,26499,44509,33816,43142,37705,29602,26220,,12075,11515,12416,12342,10762,10027,10919,11987,7524,10300
80921,"Fresh sour cherries """"Prunus cerasus""""""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,82,199,72,169,121,40,50,0,0
81110,"Frozen strawberries, uncooked or cooked by steaming or boiling in water, whether or not sweetened",0,0,0,0,0,0,0,0,0,0,,3605,3244,4430,5479,4653,404,2338,2984,1454,1906,,15975,14356,13522,13771,14989,15973,16292,17244,14163,17993
81290,"Fruit and nuts, provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur ...",0,0,0,0,0,0,0,0,0,0,,346,968,401,852,2037,1955,507,1227,697,520,,123,560,321,133,108,149,249,150,82,168
81350,Mixtures of nuts or dried fruits,1,0,0,0,0,0,0,0,0,0,,363,376,342,311,384,337,216,476,329,385,,252,194,344,268,221,295,239,130,233,255
10121,Pure-bred breeding horses,0,0,0,0,0,0,0,0,0,0,,0,2,70,9,25,16,191,6,0,10,,6066,8355,9826,7842,6660,10036,3170,3660,0,0
10620,"Live reptiles """"e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards""""""""",0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,2452,2551,2641,2385,2378,2224,2912,2819,2415,4035
10632,"Live psittaciformes """"incl. parrots, parrakeets, macaws and cockatoos""""""""",0,0,0,0,0,0,0,0,0,0,,117,95,25,0,1,0,0,0,0,0,,452,789,492,523,1082,1572,951,917,536,329
10639,"Live birds (excluding birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ...",0,0,0,0,0,0,0,0,0,0,,29,137,55,26,141,20,0,0,0,0,,242,153,610,175,262,147,368,316,44,5
20110,"Carcases or half-carcases of bovine animals, fresh or chilled",0,0,0,0,0,0,0,0,0,0,,196,1,133,56,5,32,12,0,0,0,,0,0,0,0,19,0,0,0,0,0
20220,"Frozen bovine cuts, with bone in (excluding carcases and half-carcases)",0,0,0,0,0,0,0,0,0,0,,1,67,49,80,0,1,0,16,0,139,,344977,403013,519810,491039,568458,628015,748658,859195,802658,807384
20410,Fresh or chilled lamb carcases and half-carcases,0,0,0,0,0,0,0,0,0,0,,4362,6321,5147,996,3254,2090,1983,245,223,122,,0,0,0,3,0,7,10,0,0,27
20641,Frozen edible livers of swine,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,8,41,0,0,,0,0,0,0,0,17,73,14,0,0
20690,"Frozen edible offal of sheep, goats, horses, asses, mules and hinnies",0,0,0,0,0,0,0,0,0,0,,3256,2947,457,1354,1211,1298,10334,1864,146,31,,480,454,287,399,398,480,562,703,780,1493
20752,"Frozen domestic geese, not cut in pieces",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,3,4,0,0,0,0,0,0,0
20910,"Pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, ...",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,9045,5886,8434,12352,13301,18754,21022,22187,17483,21424
21093,"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat ...""",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,130,99,130,96,95,120,79,89,88,78
30199,"Live fish (excluding ornamental fish, trout [Salmo trutta, Oncorhynchus mykiss, Oncorhynchus ...",0,1,1,0,0,0,0,1,0,0,,34,149,49,56,153,569,310,209,52,0,,156291,162052,162137,159995,168542,173040,196271,179697,150489,190105
30221,"Fresh or chilled lesser or Greenland halibut """"Reinhardtius hippoglossoides, Atlantic halibut ...""",0,0,0,0,0,0,0,0,0,0,,52,0,0,1,0,0,0,9,0,0,,10,4,0,5,0,1,0,13,0,13
30252,"Fresh or chilled haddock """"Melanogrammus aeglefinus""""""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
30285,"Fresh or chilled sea bream """"Sparidae""""""""",0,0,0,0,0,0,0,0,0,0,,0,71,0,17,1,306,211,85,28,15,,478,793,1149,1066,1115,920,679,594,348,351
30314,"Frozen trout """"Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, ...""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,4,0,0,3,0,,5083,2308,2679,2339,1521,93,519,0,129,1
30331,"Frozen lesser or Greenland halibut """"Reinhardtius hippoglossoides"""", Atlantic halibut """"Hippoglossus ...""",0,0,0,0,0,0,0,0,0,0,,211,98,38,349,193,330,25,0,0,0,,4844,17701,12195,7062,7246,4423,3712,2116,661,4712
30341,"Frozen albacore or longfinned tunas """"Thunnus alalunga""""""""",0,0,0,0,0,0,0,0,0,0,,1122,31,35,50,0,32,0,0,49,0,,630,1834,146,299,953,1262,1030,222,109,289
30343,"Frozen skipjack or stripe-bellied bonito """"Euthynnus -Katsuwonus- pelamis""""""""",0,0,0,0,0,0,0,0,0,0,,11664,17683,28002,23355,22922,19387,41414,34123,31269,35101,,2163,3472,2135,2943,606,1279,2511,1120,3524,2581
30366,"Frozen hake """"Merluccius spp., Urophycis spp.""""""""",0,0,0,0,0,0,0,0,0,0,,0,0,6,0,0,0,1,0,0,0,,3,627,310,105,514,1082,561,177,47,168
30368,"Frozen blue whiting """"Micromesistius poutassou, Micromesistius australis""""""""",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,51,255,3367,14355,718,9330,1486,4300
30431,"Fresh or chilled fillets of tilapia """"Oreochromis spp.""""""""",0,0,0,0,0,0,0,0,0,0,,0,0,6,0,0,0,1,0,0,2,,0,0,0,0,0,0,0,5,0,0
