Product code,Product label,Germany's imports from China-Value in 2012,Germany's imports from China-Value in 2013,Germany's imports from China-Value in 2014,Germany's imports from China-Value in 2015,Germany's imports from China-Value in 2016,Germany's imports from China-Value in 2017,Germany's imports from China-Value in 2018,Germany's imports from China-Value in 2019,Germany's imports from China-Value in 2020,Germany's imports from China-Value in 2021,China's exports to world- ,China's exports to world-Value in 2012,China's exports to world-Value in 2013,China's exports to world-Value in 2014,China's exports to world-Value in 2015,China's exports to world-Value in 2016,China's exports to world-Value in 2017,China's exports to world-Value in 2018,China's exports to world-Value in 2019,China's exports to world-Value in 2020,China's exports to world-Value in 2021,Germany's imports from world- ,Germany's imports from world-Value in 2012,Germany's imports from world-Value in 2013,Germany's imports from world-Value in 2014,Germany's imports from world-Value in 2015,Germany's imports from world-Value in 2016,Germany's imports from world-Value in 2017,Germany's imports from world-Value in 2018,Germany's imports from world-Value in 2019,Germany's imports from world-Value in 2020,Germany's imports from world-Value in 2021
721913,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, ...",267,0,147,697,517,2846,2479,3028,1289,0,,804265,1076626,1700938,1300475,1348949,1742911,1431382,782366,561705,977302,,90337,186490,432114,545595,357019,395921,417150,361956,292952,399806
720610,"Ingots, of iron and non-alloy steel (excluding remelted scrap ingots, continuous cast products, ...",4,1,0,1,0,0,0,0,0,0,,41,82,9,17,1,2,95,896,946,846,,23618,13315,15963,7463,8844,20640,9947,8690,6427,12443
720836,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",2567,116,0,124,902,49,1,0,0,0,,27904,21473,18048,15086,7094,6311,15152,4682,2513,70471,,22354,30119,21076,16898,13712,19468,27453,12785,12818,27929
720927,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, not in coils, simply ...""",37,30,140,97,33,16,1,3,0,0,,41362,37373,57836,47676,37446,52965,57981,49442,46997,71915,,61505,52648,39042,34068,33194,32803,51903,39424,40692,77431
681320,"Friction material and articles thereof, e.g. sheets, rolls, strips, segments, discs, washers ...",0,0,0,0,0,0,0,0,0,0,,6668,7926,8798,8751,8953,10945,14539,8300,8286,10269,,0,0,0,0,0,0,0,0,0,16
681140,"Articles of asbestos-cement, cellulose fibre-cement or the like, containing asbestos",0,0,0,0,0,0,0,0,0,0,,12118,11763,13791,17728,6480,6715,5746,11308,9574,10030,,7,1,0,0,0,0,0,0,0,0
842111,Centrifugal cream separators,16,16,31,0,0,0,0,0,0,0,,118,392,710,108,86,36,326,295,478,345,,1542,98,634,112,72,125,172,386,82,313
841112,Turbojets of a thrust > 25 kN,0,0,30229,0,0,0,0,17030,0,0,,362809,442343,819502,1331664,1555739,1585217,953125,602264,706757,583113,,3525476,4083886,4253106,2792531,3517541,2804974,5021898,5374097,4269132,4462300
842641,"Mobile cranes and works trucks fitted with a crane, self-propelled, on tyres (excluding wheel-mounted ...",211,0,0,0,0,4,0,16,121,0,,140361,165754,173771,174856,141266,173043,206249,348119,335562,378372,,8280,13243,8867,8881,34799,43062,47706,46614,35050,44462
842930,Self-propelled scrapers,244,0,0,0,0,0,0,0,0,0,,45261,28134,18757,25209,22231,33700,31278,39524,45757,65668,,2491,308,1534,58,0,361,0,1313,424,0
845730,Multi-station transfer machines for working metal,1999,1394,3684,3394,0,1139,0,5440,8518,0,,7176,3278,8264,9193,13051,12223,13219,20865,11786,18590,,45758,56750,43039,43911,77918,69709,61012,65842,44358,47015
844512,Combing machines for preparing textile fibres,71,33,64,62,0,0,0,0,0,0,,2340,8512,21388,11276,7995,17217,22554,17506,15190,28404,,1500,171,67,151,1101,0,248,1362,1056,2011
844630,"Weaving machines for weaving fabrics of a width > 30 cm, shuttleless type",314,0,95,61,18,31,0,0,0,0,,146067,165695,288911,319075,178424,237621,260881,281634,213876,332094,,6804,4577,16961,10028,19266,11494,8329,5102,8627,5749
151000,"Other oils and their fractions, obtained solely from olives, whether or not refined, but not ...",45,61,0,0,0,0,0,0,1,0,,22,13,13,7,59,6,6,4,3,71,,7996,5992,7982,10245,10270,11699,13790,12561,11162,10006
151221,Crude cotton-seed oil,0,0,0,0,0,0,0,0,0,0,,52,0,0,1209,0,0,0,0,0,0,,0,0,0,0,379,4636,290,3,0,0
150290,"Fats of bovine animals, sheep or goats (excluding tallow, oleostearin and oleo-oil)",0,0,0,0,0,0,0,0,0,0,,604,492,115,279,358,518,922,1106,976,1535,,6329,8850,6609,4123,4734,7804,10124,7767,8935,6626
150300,"Lard stearin, lard oil, oleostearin, oleo-oil and tallow oil (excluding emulsified, mixed or ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,9956,10916,9629,7578,9258,12694,9642,5874,4787,5811
151499,"High erucic acid rape or colza oil """"fixed oil which has an erucic acid content of >= 2%"""", ...""",0,0,0,0,3,15,2,0,2,0,,67,0,72,5,76,41,14,33,29,44,,42098,35903,30980,17159,22453,21366,9794,10481,4757,5383
151519,"Linseed oil and fractions thereof, whether or not refined, but not chemically modified (excluding ...",0,0,0,0,0,0,0,4,0,0,,4247,3934,4293,5622,5213,6059,4410,3030,2680,3887,,14496,15496,25318,22906,19286,12677,15756,15592,16669,22597
160242,"Prepared or preserved shoulders and cuts thereof, of swine",0,0,0,0,0,0,0,0,0,0,,402,1082,161,22,1047,1623,1633,1542,1684,1392,,17373,17615,13049,11681,10488,14087,12655,14299,16596,14831
160552,"Scallops, incl. queen scallops, prepared or preserved (excluding smoked)",0,0,0,0,0,0,0,0,0,0,,123577,118057,146883,166291,110613,130586,111590,118425,123817,121792,,555,643,656,479,1551,1997,1906,1088,2087,1986
160557,"Abalone, prepared or preserved (excluding smoked)",0,0,0,0,0,0,0,0,0,0,,126490,156923,275471,259375,228237,340495,374161,299886,276805,313729,,105,1,0,0,0,17,0,0,0,0
220430,"Grape must, of an actual alcoholic strength of > 0,5% vol (excluding grape must whose fermentation ...",0,0,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,8993,9859,8254,5533,5804,7004,8057,7250,6229,7647
220720,Denatured ethyl alcohol and other spirits of any strength,8,6,25,6,1,7,0,0,1153,0,,5473,1513,1753,284,912,1623,16499,26,17483,3587,,533893,309122,217159,209525,130380,87581,111229,190731,222136,112642
230210,"Bran, sharps and other residues of maize """"corn"""", whether or not in the form of pellets, ...""",0,0,0,0,0,0,0,0,0,0,,55905,39967,18866,1128,819,823,1366,4278,4254,7200,,10994,14717,22818,10497,8843,10320,24486,22344,27629,25637
200891,"Palm hearts, prepared or preserved, whether or not containing added sugar or other sweetening ...",0,0,0,0,0,0,4,0,0,0,,0,0,0,0,0,0,17,0,0,0,,392,459,370,295,311,264,309,368,225,270
240391,"Tobacco, """"homogenised"""" or """"reconstituted"""" from finely-chopped tobacco leaves, tobacco ...""",2,1,0,0,0,0,7,0,2,0,,2913,3241,2131,1846,2012,3220,3782,4464,2836,1899,,64351,57084,65716,51162,46328,43318,40832,42757,27783,27415
251720,"Macadam of slag, dross or similar industrial waste, whether or not incorporating pebbles, gravel, ...",0,0,0,0,0,0,1,0,0,0,,1208,22188,35327,60257,15014,15945,22650,14226,17104,17027,,10,57,191,58,30,103,67,0,263,654
230649,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...""",0,0,0,0,0,0,0,0,0,0,,711,495,321,183,456,1123,693,519,463,428,,35183,37340,32381,21402,17828,18983,20241,25996,34315,29353
270220,Agglomerated lignite (excluding jet),0,0,0,0,0,0,0,0,0,0,,1164,224,84,45,0,0,14,65,39,42,,337,46,164,91,88,11,42,143,54,99
270500,"Coal gas, water gas, producer gas, lean gas and similar gases (excluding petroleum gases and ...",0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,8,0,0,0,,0,0,0,0,0,0,0,0,2,0
270730,"Xylol """"xylenes"""" containing > 50% of xylenes (excluding chemically defined)""""",0,0,0,0,0,0,0,0,0,0,,116143,37180,27348,2407,2882,77,7382,3194,110,811,,0,0,0,0,0,0,0,0,0,0
270900,"Petroleum oils and oils obtained from bituminous minerals, crude",0,0,0,0,0,0,0,0,0,0,,2226025,1456209,490697,1545644,943491,1822372,1270422,361785,485280,749583,,76779920,75727628,65737928,36513217,28776094,36231014,45086740,40738077,27401959,39962984
271091,"Waste oils containing polychlorinated biphenyls [PCBs], polychlorinated terphenyls [PCTs] or ...",0,0,0,0,0,0,0,0,0,0,,69,129,0,0,0,0,6,0,0,0,,0,0,0,0,0,0,0,0,3,21
271220,"Paraffin wax containing < 0,75% by weight of oil",664,611,5746,0,0,0,0,0,0,0,,626302,630382,619471,653503,588013,511421,523184,511065,484039,766780,,190307,163528,171809,156281,165067,188929,179999,148952,140384,197522
284030,"Peroxoborates """"perborates""""""""",0,0,0,0,0,6,0,0,0,0,,4790,7562,8408,6028,5002,4467,3458,4622,2120,1856,,66,75,68,30,58,173,53,77,76,34
284130,Sodium dichromate,0,1,0,0,0,0,0,0,56,0,,561,549,527,258,366,541,437,589,562,394,,46043,41273,42282,35163,33423,33966,40945,37961,30950,31032
281212,Phosphorus oxychloride,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,7736,7053,7965,8453,13669,,0,0,0,0,0,1622,1302,1029,849,464
