Product code,Product label,China's imports from Australia-Value in 2012,China's imports from Australia-Value in 2013,China's imports from Australia-Value in 2014,China's imports from Australia-Value in 2015,China's imports from Australia-Value in 2016,China's imports from Australia-Value in 2017,China's imports from Australia-Value in 2018,China's imports from Australia-Value in 2019,China's imports from Australia-Value in 2020,China's imports from Australia-Value in 2021,Australia's exports to world- ,Australia's exports to world-Value in 2012,Australia's exports to world-Value in 2013,Australia's exports to world-Value in 2014,Australia's exports to world-Value in 2015,Australia's exports to world-Value in 2016,Australia's exports to world-Value in 2017,Australia's exports to world-Value in 2018,Australia's exports to world-Value in 2019,Australia's exports to world-Value in 2020,Australia's exports to world-Value in 2021,China's imports from world- ,China's imports from world-Value in 2012,China's imports from world-Value in 2013,China's imports from world-Value in 2014,China's imports from world-Value in 2015,China's imports from world-Value in 2016,China's imports from world-Value in 2017,China's imports from world-Value in 2018,China's imports from world-Value in 2019,China's imports from world-Value in 2020,China's imports from world-Value in 2021
271113,"Butanes, liquefied (excluding of a purity of >= 95% of N-butane or isobutane)",130993,135983,43480,79757,89278,99926,145860,232168,222050,409529,,688796,652080,631728,273962,236235,312011,375726,474610,475970,844046,,1353288,1590393,1886232,1672772,1684707,2516961,3137404,2736994,1917485,3143131
271112,"Propane, liquefied",101937,95170,21423,31762,63465,75409,174834,325111,248893,377936,,429620,429145,469344,186935,172934,244379,299734,522886,539698,169406,,1687655,2193715,3986548,4412636,4397228,6663114,7896298,7363372,6527279,11421462
750400,"Powders and flakes, of nickel (excluding nickel oxide sinters)",11040,0,0,0,5743,45100,220035,305901,204149,362038,,0,0,0,0,0,0,0,0,0,0,,97576,77300,80030,63378,66483,136257,318365,407190,296052,491525
100119,Durum wheat (excluding seed for sowing),22595,32250,76389,86435,94777,49481,39811,34740,116926,357889,,89403,85156,85103,49695,60865,113614,48936,39,1929,148724,,374816,475482,298829,531531,497314,506632,574754,573509,1189312,1474466
999999,Commodities not elsewhere specified,5934751,6909794,7949576,8752157,6590020,8478194,2395064,324201,584293,346811,,10044824,8777678,8032952,7321442,7391488,8467782,7940698,7904342,8017722,11432602,,68769069,104735488,82763505,80518802,77492643,66855229,29854611,10614452,10906755,12196803
261690,Precious-metal ores and concentrates (excluding silver ores and oncentrates),143122,177972,343202,229633,409626,326244,481036,308296,284512,335997,,1134954,1011635,1085312,1110576,1191274,1212245,1071081,966573,1217820,1482857,,734292,1148546,1326023,1155266,1657946,1684407,2366210,2617848,2779510,2668608
100199,"Wheat and meslin (excluding seed for sowing, and durum wheat)",642265,178123,372430,274194,229113,371985,94459,19936,242624,312719,,6711806,5832548,5270968,4352815,3557764,4560185,3028659,2513816,2710166,7097704,,726639,1390372,663639,354897,303705,524741,206144,327524,1070921,1247002
790111,"Unwrought zinc, not alloyed, containing by weight >= 99,99% of zinc",277230,249336,281837,224976,298295,491673,460301,302463,286361,299725,,764169,829941,904501,793752,780539,1253462,1257286,1017757,916837,765866,,994694,1193344,1182219,1049574,789257,2011863,2043511,1504569,1180511,1154099
100790,Grain sorghum (excluding for sowing),23249,277320,120271,477421,167352,68790,129737,24216,30206,294671,,51827,270432,106114,419236,157298,60111,111736,28484,52435,499808,,23253,369126,1637695,2970799,1427896,1025366,857319,192313,1156070,2783941
270900,"Petroleum oils and oils obtained from bituminous minerals, crude",3271516,2537848,2110862,1013137,1144470,828723,737780,1190625,469246,281521,,11349993,8767731,9712073,4674961,3600939,4030615,5943795,6466832,4415758,7495954,,220793843,219660366,228288472,134341241,116171247,162191057,239222367,238707061,176321269,229291241
