Product code,Product label,United States of America's imports from India-Value in 2012,United States of America's imports from India-Value in 2013,United States of America's imports from India-Value in 2014,United States of America's imports from India-Value in 2015,United States of America's imports from India-Value in 2016,United States of America's imports from India-Value in 2017,United States of America's imports from India-Value in 2018,United States of America's imports from India-Value in 2019,United States of America's imports from India-Value in 2020,United States of America's imports from India-Value in 2021,India's exports to world- ,India's exports to world-Value in 2012,India's exports to world-Value in 2013,India's exports to world-Value in 2014,India's exports to world-Value in 2015,India's exports to world-Value in 2016,India's exports to world-Value in 2017,India's exports to world-Value in 2018,India's exports to world-Value in 2019,India's exports to world-Value in 2020,India's exports to world-Value in 2021,United States of America's imports from world- ,United States of America's imports from world-Value in 2012,United States of America's imports from world-Value in 2013,United States of America's imports from world-Value in 2014,United States of America's imports from world-Value in 2015,United States of America's imports from world-Value in 2016,United States of America's imports from world-Value in 2017,United States of America's imports from world-Value in 2018,United States of America's imports from world-Value in 2019,United States of America's imports from world-Value in 2020,United States of America's imports from world-Value in 2021
392059,"Plates, sheets, film, foil and strip, of non-cellular acrylic polymers, not reinforced, laminated, ...""",0,2,0,2,0,50,32,5,243,102,,1724,784,1338,901,331,310,602,483,756,902,,18041,18338,19536,19859,19351,23639,19771,20207,23649,29621
844313,"Offset printing machinery (excluding sheet fed offset printing machinery, sheet size <= 22 ...",0,9,0,14,389,238,132,186,210,101,,4432,4789,7779,7015,4676,3445,3885,4802,6869,3227,,200323,205061,209379,244438,241975,239901,227116,208660,156231,193488
330530,Hair lacquers,66,28,53,75,90,104,186,92,55,101,,554,399,269,552,265,689,514,460,850,552,,21772,27564,32287,43137,47533,49449,53659,42536,21947,31148
960629,"Buttons (excluding of plastics or base metal, not covered with textile material, press-fasteners, ...",58,34,143,189,145,175,187,146,71,101,,1652,2981,3436,3681,2543,1477,1927,1595,690,1075,,5598,6911,5775,4962,3566,4462,4274,3206,2042,2729
720429,"Waste and scrap of alloy steel (excluding stainless steel, and waste and scrap, radioactive, ...",5,0,31,35,214,0,169,9,389,101,,610,364,693,55,138,744,1271,461,191,656,,313914,193254,189659,159666,141107,175313,225776,148523,143142,323508
540412,Polypropylene monofilament of >= 67 decitex and with a cross sectional dimension of <= 1 mm ...,0,1,0,0,4,0,0,8,5,101,,43,135,153,121,123,249,292,396,745,1472,,4506,3847,3444,3932,2451,3313,3083,8664,8554,11029
701952,"Woven fabrics, incl. narrow fabrics, of glass filaments, of width of > 30 cm, plain weave, ...",1,8,38,45,10,45,49,47,37,100,,3111,4480,6135,5134,5865,7311,7460,6882,5212,6695,,50205,60520,61873,68276,76801,77242,66902,59417,60679,65626
960110,"Worked ivory and articles of ivory, n.e.s.",14,0,0,0,0,0,7,9,0,100,,11,71,20,40,75,110,33,24,28,100,,1973,1344,1224,493,265,128,422,96,86,453
521159,"Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally ...",54,99,106,80,103,139,202,144,107,99,,4972,4680,5909,5300,4853,4129,3215,2687,2586,4565,,1174,1570,1843,2097,1660,1517,1308,1035,672,1043
450490,"Agglomerated cork, with or without a binding substance, and articles of agglomerated cork (excluding ...",86,128,122,318,114,158,78,240,196,99,,87,133,53,109,98,92,186,115,160,373,,20100,19946,19892,22916,21021,22570,20917,18348,16782,20645
441192,"Fibreboard of wood or other ligneous materials, whether or not agglomerated with resins or ...""",0,7,0,0,0,4,0,3,0,99,,139,1823,2431,2312,2350,2294,3196,4679,3526,4946,,90194,99509,68857,87539,117988,153014,139041,102787,133260,151896
610290,"Women's or girls' overcoats, car coats, capes, cloaks, anoraks, incl. ski jackets, windcheaters, ...",12,61,59,261,56,34,14,119,31,99,,701,3709,4586,1375,1615,2420,1954,3124,1985,3831,,4916,3499,7470,7101,9315,5600,4728,4499,3407,4574
310540,"Ammonium dihydrogenorthophosphate """"monoammonium phosphate"""", whether or not mixed with diammonium ...""",0,0,0,3,0,0,0,0,76,99,,2430,298,10,209,4,70,3,54,175,283,,289466,354640,479299,300203,334422,407460,770263,718003,365378,717176
846140,"Gear cutting, gear grinding or gear finishing machines, for working metals, metal carbides ...",13,9,0,0,32,120,8,5,31,99,,3033,3950,1330,1589,2012,1119,3858,2835,701,1683,,183370,130853,98556,99795,81765,82748,85503,76739,50509,62846
901510,Rangefinders,6,4,2,5,21,7,2,0,82,99,,425,2400,333,463,65,103,445,2248,1034,481,,199979,196310,193139,241034,255863,342130,382551,353314,334984,386131
731449,"Grill, netting and fencing, of iron or steel wire, not welded at the intersection (excluding ...",48,46,32,96,39,39,29,44,22,98,,1034,1025,1146,825,556,874,1443,2106,1129,1080,,46899,47498,59694,73301,75672,71564,61684,50396,49410,52630
850231,"Generating sets, wind-powered",128370,1223,2084,770,128,0,0,12275,71517,98,,43783,76293,83027,4651,8099,18244,32133,42320,195429,292550,,990533,14644,187680,234272,125367,211541,194579,111929,468084,189670
611790,"Parts of garments or clothing accessories, knitted or crocheted, n.e.s.",540,704,1224,882,720,593,519,148,75,97,,421,996,637,1353,738,502,395,522,400,581,,9418,9574,10320,9596,8204,7360,6061,5492,5355,6871
551521,"Woven fabrics containing predominantly, but < 85% acrylic or modacrylic staple fibres by weight, ...",241,0,112,171,99,109,108,88,47,97,,1002,5358,4326,4855,4575,1990,1386,533,423,503,,4210,3698,4872,4808,4115,3631,3738,4788,4037,6620
91020,Saffron,133,104,135,166,171,241,184,233,145,97,,2171,1885,1850,1605,1386,1547,835,997,1650,974,,14715,12553,13733,13434,14944,16417,16558,15770,14846,17222
930200,Revolvers and pistols (excluding those of heading 9303 or 9304 and sub-machine guns for military ...,0,0,0,0,0,0,0,0,0,97,,0,0,15,0,3,1,31,1,10,3,,581039,720959,527389,541536,806468,725758,675810,587516,892703,1218672
721790,"Wire of iron or non-alloy steel, in coils, plated or coated (excluding plated or coated with ...",52,331,193,92,90,57,0,98,42,97,,5786,5304,5438,4437,14056,2966,3301,2944,3398,6253,,37492,32204,39415,33868,26506,31135,31060,21848,23229,33671
290420,Derivatives of hydrocarbons containing only nitro or nitroso groups,51,7,26,0,70,52,227,301,215,97,,3429,4934,5603,5914,5550,7920,14825,21362,17618,18977,,13097,12682,7647,18914,13660,11877,22107,20835,30243,46592
551419,"Woven fabrics containing predominantly, but < 85% synthetic staple fibres by weight, mixed ...",77,18,43,8,85,124,92,75,51,96,,810,925,1698,816,309,259,498,160,86,298,,5014,4473,5315,5718,5413,5892,7418,5473,3132,4118
711419,"Articles of goldsmiths' or silversmiths' wares or parts thereof, of precious metal other than ...",39,8,553,454,280,151,120,63,30,96,,1195287,106155,20884,36343,174239,74906,18404,19033,2318,1554,,4217,7721,3780,3791,3618,9051,4976,3650,3895,4685
710122,"Cultured pearls, worked, whether or not graded, but not strung, mounted or set, worked cultured ...",1172,1460,801,647,580,606,215,189,58,96,,2410,5705,2238,746,2109,1197,535,374,285,377,,159445,148583,138717,103687,106047,87444,76911,62608,42755,51998
520790,"Cotton yarn containing predominantly, but < 85% cotton by weight, put up for retail sale (excluding ...",49,20,4,11,5,3,92,52,86,96,,11993,2329,2102,746,889,747,694,561,476,947,,2748,2284,3031,3213,5845,5048,4366,4957,6397,7304
521211,"Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, other than those ...",78,66,92,94,82,41,22,100,36,96,,5732,12817,16283,9351,5719,4214,2688,1654,1289,1377,,484,278,268,1036,1431,161,315,417,215,515
480592,"Paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets ...",83,0,29,36,3,62,22,72,116,96,,2106,2558,5861,5186,6304,6085,8493,5867,10304,62908,,7157,9429,12147,13308,11739,14799,18740,18413,15600,22475
600624,"Printed cotton fabrics, knitted or crocheted, of a width of > 30 cm (excluding warp knit fabrics ...""",9,81,398,594,313,148,123,88,54,96,,13230,19905,13327,9922,5297,6329,8168,10854,9877,37927,,2989,3035,3635,3197,2706,3791,3870,5235,5005,5096
520514,"Single cotton yarn, of uncombed fibres, containing >= 85% cotton by weight and with a linear ...""",393,551,584,180,63,151,114,101,48,96,,195404,591221,573818,518417,283498,211992,253596,91085,53997,206177,,499,562,606,201,86,182,156,142,59,101
950651,"Tennis rackets, whether or not strung (excluding table-tennis bats)",7,19,2,0,0,5,0,4,95,95,,1,15,6,6,11,32,14,92,264,14,,60661,60747,54367,52837,42483,46224,47990,45050,48601,81839
283640,Potassium carbonates,35,15,36,41,100,52,118,85,101,95,,410,281,253,62,147,690,1834,2277,1374,865,,17214,18027,23242,26180,31824,21494,30090,23787,23285,19589
30289,"Fresh or chilled fish, n.e.s.",0,0,8,47,263,373,1118,317,136,95,,0,15283,17202,28337,37433,28324,33477,45512,28768,27582,,236807,238098,249410,276451,307275,320009,325589,338606,262767,373627
850133,DC motors and DC generators of an output > 75 kW but <= 375 kW (excl. photovoltaic generators),26,171,86,214,18,0,12,39,30,95,,5990,5063,3026,6268,16531,18477,16078,18509,14552,14233,,47397,26410,28747,18443,18414,20755,24354,45636,21681,31774
350710,Rennet and concentrates thereof,0,0,7,0,4,0,0,0,0,95,,651,186,94,54,46,89,126,202,111,147,,9051,10251,9251,9242,8616,8559,10740,8552,8042,11826
540791,"Woven fabrics of yarn containing predominantly, but < 85% synthetic filament by weight, incl. ...",55,30,55,54,19,46,54,154,16,95,,90,596,528,1292,1356,2288,1450,1125,1524,1296,,4389,5118,3511,3775,2173,2878,2289,2039,1531,1398
480591,"Paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets ...",222,4,3,279,190,179,241,238,15,95,,1135,997,946,764,1157,2779,2177,1207,1367,2376,,149999,163367,170040,140244,66595,81391,104851,88836,74798,116967
611699,"Gloves, mittens and mitts, of textile materials, knitted or crocheted (excl. of wool, fine ...",34,28,0,2,0,1,18,347,140,94,,2925,2444,3102,1932,3107,3242,5036,5175,3787,5801,,6898,10034,11613,11101,13054,12678,10415,13062,11968,14881
381900,Hydraulic brake fluids and other prepared liquids for hydraulic transmission not containing ...,0,0,0,0,3,0,0,14,118,94,,5508,7069,7480,8040,9519,10846,12441,12891,12722,15364,,24661,32666,39011,37137,34916,33357,35749,34747,25781,38347
850134,DC motors and DC generators of an output > 375 kW (excl. photovoltaic generators),53,81,150,129,113,107,242,71,80,94,,22257,33473,13283,10263,9394,7188,8374,7953,1804,3529,,68705,50824,71281,30506,21443,25097,10525,13249,10284,14188
480524,"Testliner """"recycled liner board"""", uncoated, in rolls of a width > 36 cm or in square or ...""",0,0,0,0,0,0,0,0,0,94,,100,529,1559,1907,737,6312,26801,19375,26421,98416,,21709,37972,61009,64471,65258,74845,80344,66157,79798,100869
620461,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of wool or fine animal ...",882,90,27,115,37,212,232,60,31,94,,25974,31957,25503,27449,14273,11515,6914,9999,6473,7570,,67640,63549,62720,57970,64791,50693,54952,47723,29933,26119
610331,"Men's or boys' jackets and blazers of wool or fine animal hair, knitted or crocheted (excluding ...",16,0,54,33,22,15,9,9,485,93,,173,40,120,137,502,111,239,483,67,240,,2682,3217,4198,3876,2544,2859,4291,4675,3776,5190
392073,"Plates, sheets, film, foil and strip, of non-cellular cellulose acetates, not reinforced, laminated, ...",0,0,6,9,9,14,8,23,4,93,,338,299,217,165,184,146,184,188,149,149,,18613,18614,24305,25422,22158,23893,21061,23517,24819,35257
490290,"Newspapers, journals and periodicals, whether or not illustrated or containing advertising ...",144,49,321,59,43,34,38,67,114,93,,3369,3222,2474,2272,2266,2188,1684,1717,596,662,,151882,126481,114482,140205,125486,105863,104679,89784,59788,115544
851810,Microphones and stands therefor (excluding cordless microphones with built-in transmitter),142,72,11,13,19,34,0,0,73,93,,2759,8066,11290,9008,15405,12358,12701,4294,8519,3107,,318676,335614,359650,365034,368663,373486,422404,433325,485434,647703
722820,"Bars and rods of silico-manganese steel (excluding semi-finished products, flat-rolled products ...",0,0,0,0,0,0,0,0,6,93,,1771,1381,2049,383,459,380,744,722,509,886,,4245,3534,6929,6603,2095,4761,1169,2488,2748,1333
110813,Potato starch,183,174,190,53,96,152,120,60,191,92,,410,342,446,408,645,501,299,358,245,405,,80249,71079,72947,80517,76981,82570,96052,107066,113389,122944
441114,"Medium density fibreboard """"MDF"""" of wood, of a thickness >?9?mm""""",0,7,0,5,28,0,78,535,51,92,,1108,107,36,176,1060,1859,3306,11872,12806,22158,,412732,542478,598216,652016,711152,774540,793595,731697,773745,967477
520100,"Cotton, neither carded nor combed",283,49,221,745,917,633,0,6,81,92,,3647065,4513411,2821651,1860425,1345732,1673933,2203316,1075032,1448516,2682048,,6744,6697,9668,4856,12362,3320,3014,1532,1097,3048
70890,"Fresh or chilled leguminous vegetables, shelled or unshelled (excluding peas """"Pisum sativum"""" ...""",37,0,0,66,115,55,228,69,99,92,,73,184,259,822,722,599,207,738,376,192,,3804,16324,6558,10024,6658,10735,15340,11023,9840,11214
621510,"Ties, bow ties and cravats of silk or silk waste (excluding knitted or crocheted)",58,12,15,6,95,136,28,43,31,92,,286,215,384,393,218,169,778,817,71,82,,215692,229635,215844,185261,146489,125949,120792,92333,38548,40697
