Product code,Product label,United States of America's imports from India-Value in 2012,United States of America's imports from India-Value in 2013,United States of America's imports from India-Value in 2014,United States of America's imports from India-Value in 2015,United States of America's imports from India-Value in 2016,United States of America's imports from India-Value in 2017,United States of America's imports from India-Value in 2018,United States of America's imports from India-Value in 2019,United States of America's imports from India-Value in 2020,United States of America's imports from India-Value in 2021,India's exports to world- ,India's exports to world-Value in 2012,India's exports to world-Value in 2013,India's exports to world-Value in 2014,India's exports to world-Value in 2015,India's exports to world-Value in 2016,India's exports to world-Value in 2017,India's exports to world-Value in 2018,India's exports to world-Value in 2019,India's exports to world-Value in 2020,India's exports to world-Value in 2021,United States of America's imports from world- ,United States of America's imports from world-Value in 2012,United States of America's imports from world-Value in 2013,United States of America's imports from world-Value in 2014,United States of America's imports from world-Value in 2015,United States of America's imports from world-Value in 2016,United States of America's imports from world-Value in 2017,United States of America's imports from world-Value in 2018,United States of America's imports from world-Value in 2019,United States of America's imports from world-Value in 2020,United States of America's imports from world-Value in 2021
TOTAL,All products,41904468,43217508,46985468,46668862,47732038,50518071,56373209,60139434,53580200,77020269,,289564769,336611389,317544642,263889005,260963959,295862157,323997680,323250726,275488745,394813673,,2334677700,2326590200,2410855500,2315889217,2249113117,2406075845,2609126878,2563536173,2406931650,2937064484
710239,"Diamonds, worked, but not mounted or set (excluding industrial diamonds)",5404391,7421888,7734276,7530950,8812558,8435717,9308845,8140193,6363135,11009061,,20819464,27084559,22475223,20556917,22437928,22882992,24254392,20575455,14655837,23844452,,19657088,23009278,24611853,23603753,23532415,22072839,23802214,19826647,12204519,19726612
300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...""",3591546,3761517,4001802,5045813,6519133,5257891,5400604,6410840,6710151,7549142,,6631679,8375464,8288881,9327226,9796992,9658816,10782950,12390505,14059367,14718722,,34564946,34131920,39779651,48169267,51344092,50655121,56258767,61153335,63004514,65589732
711319,"Articles of jewellery and parts thereof, of precious metal other than silver, whether or not ...",1138636,1166206,1206947,1327247,1525554,1452731,1517473,1642194,1460343,3175983,,17276723,9572682,11222490,7388131,9204800,8371671,11609406,12366518,5678174,8430817,,4854946,5233169,5555897,5897064,6999673,7455219,7063724,7289230,6349778,11852296
30617,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in ...",556696,975849,1311760,1227423,1438649,2034833,2055066,2375481,2020881,2688538,,0,2579526,3658505,3071512,3461520,4612033,4372998,4554389,3793319,5148765,,3311513,4133623,5386569,4262614,4565437,5182865,4846075,4813777,4872519,6357519
271012,"Light oils and preparations, of petroleum or bituminous minerals which >= 90% by volume """"incl. ...""",2465226,2900186,2775566,1730153,1578136,1609875,1813876,2169071,1298167,2207016,,0,19765201,19742787,11962340,10664422,12477483,14810618,12646438,8453439,19167099,,37470538,34317719,28288628,20462621,18008855,19757256,24627426,25635102,13150909,26296759
999999,Commodities not elsewhere specified,546566,518148,429142,615769,637285,784686,795732,935636,808053,1212195,,2527225,5013624,959798,2293003,820957,277469,178658,212037,99582,88618,,66845964,70909074,74146769,85172167,86433304,91009856,101589851,113637933,102515588,120573133
630260,"Toilet linen and kitchen linen, of terry towelling or similar terry fabrics of cotton (excluding ...",615821,623415,667823,739104,739969,769962,771401,770274,739790,1093785,,674542,882652,957093,1002711,1046479,1031143,1057647,1081611,1009155,1014706,,1856069,1911822,1974106,2060667,2006356,2115196,2110270,2062497,1866205,2612480
630231,"Bedlinen of cotton (excluding printed, knitted or crocheted)",784695,869164,813932,810918,805309,843227,806823,800630,725458,1092565,,276036,156849,158866,217638,261856,317749,287146,243868,196684,855186,,1597825,1734891,1648329,1638381,1560479,1616047,1596112,1556896,1326329,1859498
710490,"Precious and semi-precious stones, synthetic or reconstructed, worked, whether or not graded ...",5590,4996,2529,6864,23133,68740,97934,249324,487757,1073753,,26520,20966,27536,33929,86848,217225,262850,449645,532594,1188457,,38306,40757,33069,32223,76061,174201,245772,422723,604209,1207094
271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",868401,1136124,1959077,1047462,919013,999434,1158455,1541963,652008,1004109,,30189091,46921811,40682152,17629287,16081655,22227429,32327270,29790424,17626804,34867787,,54310665,53926575,50200834,30693930,23011044,28124747,36709061,36239052,23280338,37783340
850440,Static converters,108944,72656,76942,106433,92739,100839,131938,214104,430671,643564,,390819,336518,453310,508547,526546,553917,741975,1186041,1057914,1300034,,8080280,8486424,9273437,9607602,9264142,9541997,10422940,10125956,10932833,13225374
293499,"Nucleic acids and their salts, whether or not chemically defined; heterocyclic compounds (excl. ...""",105944,143931,144178,174234,220394,247203,228467,264692,284881,585785,,153962,409961,382025,419313,436186,446880,493307,493773,561007,623993,,5819341,4836809,5898693,8508251,5405984,4627145,4040060,4926073,8531317,7404165
611020,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of cotton, knitted or crocheted ...",355764,414559,419001,430344,419560,445005,470808,505920,360990,542088,,93130,125587,124953,115777,118654,132787,174322,196278,140208,202604,,8327039,8652973,8432287,8115475,7097366,7088824,7638966,7895411,6332274,8705141
300420,"Medicaments containing antibiotics, put up in measured doses """"incl. those in the form of ...""",388532,435738,455589,497758,431147,399077,434842,614110,610517,521931,,873003,839679,911596,976171,931220,950691,1010058,1100619,1213566,1062251,,1370663,1270068,1202351,1445563,1647742,1440719,2164277,2972465,2592574,3017212
841290,"Parts of non-electrical engines and motors, n.e.s.",102528,25461,35165,37734,49998,77621,156971,349926,467628,514209,,39020,41952,48444,52576,52710,62016,86356,96397,237212,432758,,2321593,1532516,1966842,2038794,1990658,2166906,2477126,3279344,3922859,3346268
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",209965,168322,191910,219410,201581,252742,322220,393144,301989,506953,,2528274,2588978,2696063,2462318,2379582,2483453,2769665,2633065,2128311,3072828,,13607533,13036713,13903620,14001343,13648346,13883643,14790810,14521749,12516795,15333184
851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",31591,51393,45255,46044,95274,104509,154200,132823,247246,501385,,95878,105844,135904,168815,182889,421277,630572,515734,559177,677536,,27596482,30210873,33841643,40433798,45871307,48105160,47902381,39350975,39215671,43134822
940490,"Articles of bedding and similar furnishing, fitted with springs or stuffed or internally filled ...""",102986,117306,138585,165451,191412,198684,243378,277313,300879,472878,,180516,266356,296006,338480,370163,389811,443564,465642,477819,734270,,2166855,2332027,2402707,2556853,2514735,2658330,2891104,3130203,3209844,4370903
681099,"Articles of cement, concrete or artificial stone, whether or not reinforced (excluding prefabricated ...",6251,9980,16504,35818,41706,47911,86149,306766,207120,443755,,16608,14382,19831,30852,38108,43465,75875,160207,138991,256936,,870157,977076,1096122,1372617,1553131,1921903,2228920,2099946,2094221,3028301
940360,"Wooden furniture (excluding for offices, kitchens and bedrooms, and seats)",115484,143540,145723,172746,198531,230260,255549,276026,260397,414236,,378979,417573,397740,410539,428141,444852,516732,544251,559821,855390,,4883438,5141660,5528452,5974370,5961843,6402139,6911085,6541231,6729023,8589939
711311,"Articles of jewellery and parts thereof, of silver, whether or not plated or clad with other ...",345386,360570,354031,348321,324037,346019,315751,316197,270812,402641,,923994,1029908,1864719,2598714,3347527,4394702,826466,1188230,1979404,2122107,,2099591,2218700,2142444,2189519,2041308,1648604,1693388,1503970,1309695,1952550
160521,"Shrimps and prawns, prepared or preserved, not in airtight containers (excluding smoked)",20090,55903,93999,73228,98986,185695,206565,277294,372682,389921,,0,12494,19013,28823,79747,113920,96469,91508,103729,113172,,955679,1052792,1318650,1183356,1195675,1413796,1428190,1235941,1626018,1863887
610910,"T-shirts, singlets and other vests of cotton, knitted or crocheted",201367,181639,197068,239738,212426,216747,251340,268364,207550,350026,,1649032,1873572,1827709,1778661,1732277,1713535,1784739,1957188,1440673,1698256,,4176238,4122999,4081733,4196706,4015513,3931103,4241042,4542953,3637117,5313824
130219,"Vegetable saps and extracts (excluding liquorice, hops and opium)",113273,130405,134929,146304,177349,190335,256408,267994,336698,347942,,178720,254907,261177,269058,278126,254342,284334,321711,351777,392236,,516444,575394,586485,662659,707530,762038,867911,892631,1026550,1145892
611120,"Babies' garments and clothing accessories of cotton, knitted or crocheted (excluding hats)",91304,105623,127742,135458,138928,143136,176271,229322,217191,341290,,447808,545549,583756,590149,655472,631597,646901,708922,624402,790976,,1570925,1648041,1633628,1719822,1576404,1605457,1656389,1582551,1340095,1853278
848340,"Gears and gearing for machinery (excluding toothed wheels, chain sprockets and other transmission ...",50348,51766,86940,93477,82070,110813,234688,301679,266938,334950,,89393,123817,154962,170587,189313,278318,433300,512914,484275,756096,,2750139,2397415,2670405,2775650,2696875,3110397,3348634,3521447,2791905,3319441
870850,"Drive-axles with differential, whether or not provided with other transmission components, ...",146726,118011,143406,171021,140864,153531,196378,250484,178492,323183,,129504,203101,184644,192400,183289,312965,379929,388897,340166,587343,,3205457,3360402,3740605,4128998,3969783,4038007,4550569,4729766,4079293,5426265
851712,"Telephones for cellular networks """"mobile telephones"""" or for other wireless networks""""",10403,8773,5707,4457,12279,7383,31347,73784,457136,305586,,2849565,2284571,561601,166752,235636,137715,1094491,3406019,2988755,4871528,,44088553,50046790,53317172,53049348,50161401,56403427,53921021,54642749,49453039,61659011
870830,"Brakes and servo-brakes and their parts, for tractors, motor vehicles for the transport of ...",181877,166179,237289,236840,212111,195958,204982,241947,206031,303289,,115780,133763,156605,253543,459630,411666,489958,491812,413922,611822,,4661595,4461382,5002067,5249856,5022201,5077587,5691761,5760291,5048217,6094784
630532,"Flexible intermediate bulk containers, for the packing of goods, of synthetic or man-made textile ...",68107,88070,120090,132123,120470,155538,198275,213254,202384,296416,,268511,388432,505699,477118,428516,547805,728061,702569,628170,983184,,292637,323871,363514,371485,320229,373002,448730,423617,389670,518717
620442,Women's or girls' dresses of cotton (excluding knitted or crocheted and petticoats),146849,111759,117157,122850,121850,127734,134785,168243,151894,269004,,710583,646363,666260,596972,518380,524761,490350,574204,461810,623947,,607887,544762,509765,578370,562694,542309,552859,564967,479078,703264
300449,"Medicaments containing alkaloids or derivatives thereof, not containing hormones, steroids ...""",0,0,0,0,0,116125,142868,145344,200440,260896,,0,0,0,0,0,10632,13843,16582,18796,25678,,0,0,0,0,0,1297476,1703290,1670890,1550871,1245167
840999,"Parts suitable for use solely or principally with compression-ignition internal combustion ...""",197925,161760,188186,209054,157553,165227,224733,213349,152006,259427,,483309,527760,584914,658517,671755,719097,820139,738432,609702,980092,,3567395,3073775,3399799,3315726,2488867,2842660,3420401,3347394,2512500,3599983
620630,"Women's or girls' blouses, shirts and shirt-blouses of cotton (excluding knitted or crocheted ...",217577,256948,267371,294995,274238,245549,244534,263703,202037,251560,,822359,887863,742463,672950,592520,615216,566054,489479,355108,435928,,1036540,1200629,1070419,1077025,1032038,966824,919010,825301,588786,725452
870193,"Tractors, of an engine power > 37 kW but <= 75 kW (excl. those of heading 8709, pedestrian-controlled ...",0,0,0,0,0,180923,291470,139229,159985,250906,,0,0,0,0,0,356814,573181,417765,418061,723517,,0,0,0,0,0,900032,1059160,1099931,959680,1295602
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",71315,72758,87603,91304,99069,101921,119809,135764,133758,250350,,489952,530086,454654,581223,619762,740627,764425,771431,658417,956540,,3332808,3290013,3638341,3719703,3683325,4023953,4671314,4708247,4263538,5445736
290243,P-Xylene,0,0,0,12643,32716,17576,15141,6269,95089,249558,,965850,1067923,1027789,501116,473272,1255655,2655358,2556793,1755582,2077611,,386766,404939,346377,358614,409242,309906,394590,440614,517696,659836
841391,"Parts of pumps for liquids, n.e.s.",136582,105323,179303,180502,113904,196954,267590,248998,139351,244570,,194290,262948,290885,264827,245696,366397,358393,378309,304760,467010,,2956423,2931006,3377183,2921602,2502555,2952816,3449786,3007590,2421994,3055653
680293,"Granite, in any form, polished, decorated or otherwise worked (excluding tiles, cubes and similar ...",180046,189257,204265,212434,188410,191752,182709,185540,194198,242931,,36676,107651,98590,65119,64445,66866,91924,113182,131336,177551,,1200657,1426845,1449868,1440962,1212682,1119146,1010459,948180,888585,1031877
720110,"Non-alloy pig iron in pigs, blocks or other primary forms, containing, by weight, <= 0,5% of ...",0,9,0,0,0,25647,0,0,0,237275,,172806,425394,313685,139646,52578,208269,123538,93934,134491,464839,,1976917,1687499,1913596,1367563,1008849,1855557,2493279,1830313,1565198,3416632
870321,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",0,54,29,708,0,41066,467484,454727,343004,233658,,1135018,1162354,1199772,1225010,1244843,1137311,1539481,1554910,1118158,1430577,,440457,382417,873328,1279195,1066926,1319298,1672497,1593169,1727944,2067725
401170,"New pneumatic tyres, of rubber, of a kind used on agricultural or forestry vehicles and machines",0,0,0,0,0,125235,163141,156170,151384,229163,,0,0,0,0,0,486921,693075,669986,739012,1111596,,0,0,0,0,0,311927,372018,355678,350720,461951
870323,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",28,16,32,275,91,65885,708829,673207,473655,215748,,363143,540578,835521,762772,1212961,1449285,1939053,1949811,1413898,961457,,75908710,83857896,85074186,98665410,107652445,103279664,105579949,104823246,81634751,76361847
100630,"Semi-milled or wholly milled rice, whether or not polished or glazed",103612,127109,139916,147070,141159,161273,197824,214161,269115,212629,,5710316,7754818,7537677,5952411,5056932,6636591,6841259,6616849,7484136,8361333,,629765,700528,707934,700109,643772,670075,894475,1012895,1196145,952212
540720,"Woven fabrics of strip or the like, of synthetic filament, incl. monofilament of >= 67 decitex ...",104216,104274,140487,143003,130073,117550,119610,121258,129372,210524,,43300,62085,90890,128116,101027,100616,177619,331830,204128,178754,,300573,306037,355787,349102,317231,317851,324538,321478,322605,449426
732393,"Table, kitchen or other household articles, and parts thereof, of stainless steel (excluding ...",93780,112857,119866,149312,148031,170203,171116,159713,145486,206873,,224318,313294,359353,331081,318734,348671,322287,363674,321511,461475,,1005775,1097927,1143925,1247429,1602274,1629894,1728733,1926427,2050064,2830053
620520,"Men's or boys' shirts of cotton (excluding knitted or crocheted, nightshirts, singlets and ...",220610,234475,226421,247652,245009,259645,264766,244365,158425,200718,,824845,948870,942454,915170,887773,843125,789502,829724,508480,570906,,2953151,3154537,3200864,3164538,2954594,2694759,2757216,2578321,1556229,1540799
630221,Printed bedlinen of cotton (excluding knitted or crocheted),76946,90903,114626,161065,141619,130670,146260,156316,130831,198507,,93200,30114,44001,18194,13774,7808,16676,43796,21897,123872,,441532,497633,507879,553498,526961,482609,495495,487882,429842,557813
848190,"Parts of valves and similar articles for pipes, boiler shells, tanks, vats or the like, n.e.s.",197930,198207,215825,196028,121915,157189,239376,266297,178297,192119,,257563,332334,337367,340597,268940,329364,421459,484317,415188,486798,,3836500,4033014,4323503,4043446,3254541,3590408,3890267,3618573,2966242,3551224
940320,"Metal furniture (excluding for offices, seats and medical, surgical, dental or veterinary  ...",53769,69755,86168,103913,102341,98520,106964,116071,122743,190366,,26688,53145,72651,88469,96909,113483,110108,137518,153200,281672,,3982383,4252851,4575462,5073331,5153635,5500760,6255293,5721665,5834298,7628194
610711,"Men's or boys' underpants and briefs of cotton, knitted or crocheted",72459,108089,93024,134818,142229,136647,183777,164990,127520,190076,,165027,207834,187108,216633,200929,177980,204881,208991,163833,220733,,829953,974383,951276,981967,900128,842449,881014,881809,684031,954066
880330,"Parts of aeroplanes or helicopters, n.e.s. (excluding those for gliders)",68531,73758,145603,150392,163759,155051,173173,178994,184821,189096,,1323656,1116662,1250788,1033437,1660023,1962885,1627145,1192983,906575,943947,,12106270,13234073,15261785,14589061,14602368,14495816,17058732,18234050,12262392,10308209
230400,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting ...",168,98,1932,6141,19590,41241,96571,214860,275315,188785,,2075456,2860253,1180724,429948,305238,837924,893291,744417,701358,900822,,69797,90351,168927,150405,161665,158512,239439,314695,363941,434104
730890,"Structures and parts of structures, of iron or steel, n.e.s. (excluding bridges and bridge-sections, ...",62132,38085,26055,32202,21253,43169,46721,83701,85965,186257,,394209,384015,418025,403307,373271,413000,483891,489349,475355,723458,,1814041,1937079,1973460,2728281,3108571,3085085,3215045,3413691,3509957,4654092
630790,"Made-up articles of textile materials, incl. dress patterns, n.e.s.",57001,60951,62282,68664,71852,89135,92715,103750,118247,181035,,264713,365151,338342,401864,519264,603296,474474,393917,312340,408444,,3163732,3230024,3422109,3750713,3879461,4013972,4280808,4627138,19825849,6598213
848390,"Toothed wheels, chain sprockets and other transmission elements presented separately; parts ...",97416,83189,85935,85780,67290,89053,119533,113798,106448,180617,,91498,115380,124144,132574,112345,135218,169779,146160,124994,199645,,1933657,1829301,2014384,2032707,1822412,2004674,2203939,2102942,1773411,2301383
640391,"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather, ...",54328,66815,83681,129884,134314,108416,112041,131354,79238,180088,,333593,450222,535395,625328,798485,818403,845001,933061,661634,779912,,3639233,3838818,4436075,4714181,4185118,3702623,3767754,4118154,3239592,4149992
640399,"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather ...",144168,157375,197864,256399,256426,235433,234413,234288,149582,177869,,200959,233983,257622,257312,221771,285951,298605,310833,244292,319196,,6607027,6889821,6721380,6596446,5634651,5267599,5425853,5451619,4027752,5187839
848310,"Transmission shafts, incl. cam shafts and crank shafts, and cranks",127564,80789,133567,151175,106701,112928,179771,168367,104043,175808,,178754,272344,255692,258773,200030,256445,336820,346335,278176,423301,,1663462,1638499,1860998,1967483,1792091,1986740,2170090,2175266,1834403,2227315
590390,"Textile fabrics impregnated, coated, covered or laminated with plastics other than poly""""vinyl ...""",4979,5930,4839,16505,44210,81203,75724,85110,93128,166380,,9082,15230,16202,16364,16487,20872,46470,65593,129026,197902,,179619,200901,205943,239881,280381,338837,334086,299146,277696,411946
570110,"Carpets and other textile floor coverings, of wool or fine animal hair, knotted, whether or ...",118825,124843,146128,155525,153651,131239,141114,141026,129717,164924,,231170,266332,248741,316452,221604,196312,187745,181910,172251,198867,,261761,265368,298469,293590,324204,283894,310527,249886,208673,280590
300432,"Medicaments containing corticosteroid hormones, their derivatives or structural analogues ...""",3128,4974,3786,12548,43096,34295,51594,144344,191535,157709,,8209,9437,13960,17086,17571,29690,60889,75885,122588,129642,,1726817,1810367,1992293,2267814,2252533,2408819,2181569,1663316,1705784,1510696
293339,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing an unfused pyridine ring, ...",93541,105679,80527,67747,68638,97154,102260,97068,101617,155288,,189325,346857,323883,351237,436490,482973,530013,703611,759088,931653,,1881784,2261466,1917994,1691019,1540675,1391666,1448843,1706092,1609153,1646820
570500,"Carpets and other textile floor coverings, whether or not made up (excluding knotted, woven ...""",34959,36396,40621,59168,68796,73430,82812,90622,107843,154980,,273130,380795,399032,310699,298762,309063,315039,302526,283993,412852,,181094,183906,184980,226171,236959,258513,304702,262003,264391,355057
401180,"New pneumatic tyres, of rubber, of a kind used on construction, mining or industrial handling ...",0,0,0,0,0,77667,102321,111324,88747,149874,,0,0,0,0,0,225742,369134,386955,345039,534927,,0,0,0,0,0,597997,725874,757363,585771,722101
620342,"Men's or boys' trousers, bib and brace overalls, breeches and shorts, of cotton (excluding ...",142855,127298,125955,126966,119795,129927,145604,154336,95177,147323,,468859,528028,524253,457378,413456,428785,441780,502909,373614,454360,,5760797,5949215,5762258,5783081,5487218,5324229,5410980,5310668,3669896,4900940
843149,"Parts of machinery of heading 8426, 8429 and 8430, n.e.s.",49517,40231,51696,60002,53291,61542,84414,102018,72308,146090,,266956,293987,331985,243862,224817,281757,419138,379748,275918,538925,,3834585,3295379,3504558,3262943,2874125,3386609,4072337,4073075,3073634,4274954
121190,"Plants, parts of plants, incl. seeds and fruits, used primarily in perfumery, in pharmacy or ...",82014,73076,69168,71873,87474,90759,98010,95136,104483,144414,,196331,207685,238705,237786,259300,291736,307845,285779,347313,414425,,315367,344742,360010,354175,361765,370308,413334,384102,419395,482166
600621,"Unbleached or bleached cotton fabrics, knitted or crocheted, of a width of > 30 cm (excluding ...""",21063,22280,22394,25956,32389,49536,59875,57624,80827,144016,,81744,91977,75596,55339,57942,90729,118565,112841,133046,257669,,26831,28350,27641,31808,37779,58148,66438,68671,89152,155333
151530,"Castor oil and fractions thereof, whether or not refined, but not chemically modified",86150,82603,92663,86692,70488,95431,96119,98131,79873,143040,,716936,775824,654386,686043,597144,905533,822919,856943,798956,1050251,,86707,83164,93149,91312,72577,96784,98609,100167,81448,145932
570390,"Carpet tiles of vegetable textile materials or coarse animal hair, tufted """"needle punched"""", ...""",67315,69346,82217,76108,80436,76248,89465,85291,86965,141594,,119928,121603,116374,155414,185551,195605,215733,213995,232500,338622,,100363,96879,119221,117866,115641,121488,142721,117961,122634,202762
630251,Table linen of cotton (excluding knitted or crocheted),85888,84613,85037,101061,105192,103396,110657,108317,97333,140859,,41137,18650,21468,13485,9776,8433,8910,11192,13046,27059,,179298,163492,165210,176223,180029,175224,175136,163812,142124,186119
851770,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",20802,21893,16438,17111,19505,26908,39418,97808,107069,140352,,590332,704771,501940,332156,475657,370703,232614,293552,337999,854100,,5801012,5866897,5481360,5034372,5355597,4992703,5787983,4721195,4079556,4331619
830629,"Statuettes and other ornaments, of base metal, not plated with precious metal (excluding works ...",45184,52226,57470,71311,71470,81350,92544,89681,83611,139762,,1397,1492,2045,2286,2375,2464,5552,4456,3895,5353,,568423,604384,610594,698756,656200,679859,765476,753344,710666,1078925
570310,"Carpets and other floor coverings, of wool or fine animal hair, tufted """"needle punched"""", ...""",134026,145686,179135,175675,171885,152653,154160,138533,111818,139403,,185818,226502,257469,244212,225701,205663,206845,168076,154620,191000,,209978,217152,257809,249327,240178,216478,216885,193763,149807,199459
300439,"Medicaments containing hormones or steroids used as hormones but not antibiotics, put up in ...""",77757,79890,83504,86917,80694,48539,64179,82529,97424,137729,,108101,83226,78323,63765,57752,63709,82719,84629,101866,125689,,4621271,4275996,4383293,5430434,6278844,5803249,6600001,8927252,9652473,11093857
610510,"Men's or boys' shirts of cotton, knitted or crocheted (excluding nightshirts, T-shirts, singlets ...",173153,181296,184637,193034,198091,193381,200572,216129,137679,137156,,305368,354840,355140,339202,321917,335218,398541,473973,355395,405645,,1370129,1364605,1340374,1302021,1167999,1131636,1121410,1104272,738273,746999
460290,"Basketwork, wickerwork and other articles, made directly to shape from non-vegetable plaiting ...",22289,27572,34846,30505,33836,44081,61810,95454,86184,136445,,189,18,0,0,0,0,0,0,0,0,,182849,185009,206716,222686,223244,235659,260092,269030,251820,363155
853890,"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537, ...",51626,51556,56261,47439,44891,52665,74037,108988,99678,136286,,308609,367423,337138,294956,287336,378416,476973,456390,394650,517727,,2637855,2708623,2916306,2848077,2805141,2943875,3221113,3117363,2746426,3320737
320417,Synthetic organic pigments; preparations based on synthetic organic pigments of a kind used ...,96160,88024,98324,106131,99765,102335,111521,103639,96133,135734,,535238,621166,613988,573343,570918,651621,710365,755570,723895,987642,,549160,548811,579726,514759,485074,488222,499642,448932,432229,491000
870840,"Gear boxes and parts thereof, for tractors, motor vehicles for the transport of ten or more ...",55644,57809,76812,95418,89512,118930,135460,135933,99257,134486,,201847,329174,331215,355368,272139,317352,394036,416016,353087,524169,,9382364,9626889,9913906,9599182,9807129,9830606,10080594,9319174,7913421,9706678
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",70266,60604,74972,71299,81410,77663,93694,86510,109797,134233,,179488,262132,321688,317972,352001,330304,376453,431216,429857,429429,,7688047,8830544,9362125,9848385,10210049,10868594,12068896,12798787,12050623,13797558
760120,Unwrought aluminium alloys,4814,29,708,14586,11778,42212,312785,275978,76381,132174,,116081,193627,212499,189763,194836,287185,740106,782216,617228,1791398,,3908613,3581029,4414172,4473257,4139684,4973139,5754464,4976575,3369353,6323767
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",142208,120528,165328,152273,139494,158073,183865,175925,127579,129244,,683958,776020,717671,700991,707026,769065,776176,880138,762891,848704,,7395870,7677434,8555758,8339420,7847296,8460070,9479565,8649164,7521799,8918139
291899,"Carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and ...",74785,90155,114160,101063,123135,145435,163321,143457,126703,128942,,36156,44013,53965,47496,53124,57216,71324,90357,226132,228359,,346682,344364,367074,404934,385795,601086,631487,384665,339006,436326
870894,"Steering wheels, steering columns and steering boxes, and parts thereof, for tractors, motor ...",54555,52911,82062,131487,99236,136870,161909,141752,86873,128515,,25223,30258,31801,38031,74237,163088,176995,197205,149352,227299,,3456726,3775945,4251778,4645943,4561752,4457651,4614722,4493339,3748773,4233676
620640,"Women's or girls' blouses, shirts and shirt-blouses of man-made fibres (excluding knitted or ...",104314,155570,173033,219906,244277,224472,238404,207017,110176,126962,,371381,576872,729466,834284,636885,644626,578182,520213,311123,308200,,1050093,1320457,1246547,1416245,1531175,1472400,1462622,1320008,783174,733064
850300,"Parts suitable for use solely or principally with electric motors and generators, electric ...",78800,63420,64692,76661,65206,67298,94703,146652,242749,126647,,278969,292892,248237,277998,225901,258808,483356,692309,794240,802053,,1751064,1614886,1854547,2046319,2260510,2336152,2405471,2363941,2474796,2822655
40900,Natural honey,59620,73316,64746,118254,62020,92635,83036,85612,62165,123710,,59882,75718,77196,121457,70752,104080,101986,100872,83406,136655,,429984,498817,582238,605037,422382,568731,483752,416895,441475,666567
190590,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion ...",57462,59261,62813,70589,78782,79730,87783,91274,97107,123528,,99096,108050,107903,107879,143686,136952,137243,126076,139406,163973,,1913946,2066602,2269150,2594704,2861883,3200404,3608843,3934369,4212368,5127185
290220,Benzene,213545,214798,202807,57760,11476,18729,58469,60228,32189,123311,,766331,818248,616465,506303,438930,816847,1314520,907437,720451,1674462,,1643666,1787966,2325548,1450424,1017211,1133675,1316555,1049565,680987,987414
841490,"Parts of: air or vacuum pumps, air or other gas compressors, fans and ventilating or recycling ...",70286,70105,75281,101983,81838,85949,94817,88991,68908,122687,,176538,197962,248546,258401,253334,281497,336810,358951,309222,444503,,2008379,2102284,2277224,2236263,2093136,2280834,2235907,2135719,1752329,2159513
680291,"Marble, travertine and alabaster, in any form (excluding tiles, cubes and similar articles ...",9489,8566,16205,30748,48925,70832,77333,82180,89215,121934,,113,740,1108,917,1144,1018,1026,1665,2698,5452,,769911,946134,1046500,1125662,1062979,1084777,1168379,1024880,957460,1289345
392321,"Sacks and bags, incl. cones, of polymers of ethylene",27398,26463,40022,53595,65825,71824,84861,91015,80602,121730,,91552,113108,137806,136260,140355,143783,166109,165085,148334,211345,,1911327,1987475,2165589,2299140,2313927,2388224,2589268,2462856,2702462,3126963
732510,"Articles of non-malleable cast iron, n.e.s.",75352,80885,80982,87772,75939,84789,85893,84058,78283,120092,,101092,111073,109013,101044,85093,121575,149472,159615,126656,192563,,267942,244952,238332,221525,189196,202323,247917,217731,167054,246116
130232,"Mucilages and thickeners, derived from locust beans, locust bean seeds or guar seeds, whether ...",3410915,1649761,1239592,611507,192560,362542,346409,225199,84418,119668,,6187315,2618434,1917152,744135,464476,653063,702926,531215,261049,339415,,3534703,1741468,1336594,687753,258631,424555,437541,318562,165617,278206
300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",0,0,0,0,0,438,63277,17330,182110,119142,,0,0,0,0,0,28059,82148,113676,187844,214826,,0,0,0,0,0,7927894,14091390,21007279,29661647,35386544
