Code,Product label,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021
870380,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,104050,67204,221581,207546,735396
732690,"Articles of iron or steel, n.e.s. (excluding cast articles or articles of iron or steel wire)",621085,664346,696161,619337,566386,558987,633708,588046,593315,728831
870422,"Motor vehicles for the transport of goods, with only compression-ignition internal combustion ...""",692226,571454,522099,436688,477792,506171,581778,406366,368800,687652
847170,Storage units for automatic data-processing machines,1085792,970441,1009321,854690,755411,713774,706103,564673,602342,675856
330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",392746,414714,444894,461474,464097,498852,637900,651889,602796,673292
300212,Antisera and other blood fractions,0,0,0,0,0,397028,599215,853088,773577,639814
851830,"Headphones and earphones, whether or not combined with microphone, and sets consisting of a ...",181608,171168,182450,184823,204109,249591,383958,539580,588136,636588
401120,"New pneumatic tyres, of rubber, of a kind used for buses and lorries (excluding typres with ...",845648,702805,642296,516959,503949,526658,557445,521879,524494,634117
847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,584615,477808,532402,469892,422933,443140,459529,405772,480372,626086
854449,"Electric conductors, for a voltage <= 1.000 V, insulated, not fitted with connectors, n.e.s.",515659,536594,502045,393604,332086,412085,494758,419155,415231,623605
760612,"Plates, sheets and strip, of aluminium alloys, of a thickness of > 0,2 mm, square or rectangular ...",210179,215611,243601,264896,309062,428303,478742,436686,428635,622728
852852,Monitors capable of directly connecting to and designed for use with an automatic data processing ...,0,0,0,0,0,358029,410649,410820,516809,609027
940161,"Upholstered seats, with wooden frames (excluding convertible into beds)",498258,528337,563136,529930,505682,469496,548933,492426,531612,603055
842890,"Machinery for lifting, handling, loading or unloading, n.e.s.",523212,438437,614809,487490,421221,458445,492625,482276,417356,586616
310540,"Ammonium dihydrogenorthophosphate """"monoammonium phosphate"""", whether or not mixed with diammonium ...""",372078,271584,390925,348220,347098,321550,369757,360638,310503,582751
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",457825,463563,462692,508964,449094,450725,486776,504438,486250,581294
610910,"T-shirts, singlets and other vests of cotton, knitted or crocheted",386719,400377,401033,425898,417320,464826,494126,509405,460757,574443
940360,"Wooden furniture (excluding for offices, kitchens and bedrooms, and seats)",443212,465384,494440,484143,482047,484796,492654,497028,483508,573046
190590,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion ...",346797,377185,377569,352966,374198,410589,449415,488920,496921,564975
880330,"Parts of aeroplanes or helicopters, n.e.s. (excluding those for gliders)",0,0,0,235693,661263,654823,667948,629710,500337,549099
870431,"Motor vehicles for the transport of goods, with only spark-ignition internal combustion piston ...",269176,264226,191158,184740,197037,181938,240598,289260,327729,539206
940320,"Metal furniture (excluding for offices, seats and medical, surgical, dental or veterinary  ...",352823,362456,384980,397840,368820,373069,454791,418512,413428,538759
20329,"Frozen meat of swine (excluding carcases and half-carcases, and hams, shoulders and cuts thereof, ...",458790,422686,457957,412600,372029,443380,432459,558352,473493,525333
870423,"Motor vehicles for the transport of goods, with only compression-ignition internal combustion ...""",367621,273142,288856,210943,274549,358356,517413,329894,247251,511495
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",732814,658707,572171,520313,469408,452920,453951,442165,387207,509404
630790,"Made-up articles of textile materials, incl. dress patterns, n.e.s.",183327,196891,218735,232560,239476,256294,278734,282997,1563043,506463
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",575500,560789,578261,496729,517604,459998,421460,422166,378786,503888
710239,"Diamonds, worked, but not mounted or set (excluding industrial diamonds)",419480,441587,471332,415885,414607,433675,423995,415556,360735,499897
842720,"Self-propelled trucks fitted with lifting or handling equipment, non-powered by an electric ...",529465,395139,325447,274864,256277,338619,402904,378848,360698,495421
846729,"Electromechanical tools for working in the hand, with self-contained electric motor (excluding ...",200949,205557,223256,220764,235359,284310,310169,292117,369588,483499
841810,"Combined refrigerator-freezers, with separate external doors or drawers, or combinations thereof",281632,285576,303212,330747,368862,427005,425215,417346,462925,480234
870829,"Parts and accessories of bodies for tractors, motor vehicles for the transport of ten or more ...""",431270,411817,397157,384487,402916,411701,409605,392088,349927,477877
940540,"Electric lamps and lighting fittings, n.e.s.",248361,293996,289420,291861,296342,322205,365023,360410,361357,467702
890690,"Vessels, incl. lifeboats (excluding warships, rowing boats and other vessels of heading 8901 ...",611929,205741,380800,57481,134943,81887,26601,19350,10056,461499
940510,Chandeliers and other electric ceiling or wall lighting fittings (excluding for lighting public ...,364268,411460,474283,472668,467893,452597,447725,403860,398214,457718
950691,"Articles and equipment for general physical exercise, gymnastics or athletics",257015,261013,259747,211722,212434,224750,235399,234819,353549,452404
640399,"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather ...",435317,430919,440696,441595,421508,434880,453049,475047,356667,450550
950450,Video game consoles and machines (excluding operated by any means of payment),387672,276772,435455,308974,302880,379810,384604,312277,456544,448529
844399,"Parts and accessories of printers, copying machines and facsimile machines, n.e.s. (excluding ...",949682,958133,866669,767634,561250,496871,459543,406577,346389,412353
847490,"Parts of machinery for working mineral substances of heading 8474, n.e.s.",365708,294328,291284,243469,251669,289573,341718,353586,361513,410951
847141,"Data-processing machines, automatic, comprising in the same housing at least a central processing ...",277076,483907,451055,393423,297319,356382,410908,468477,395283,409582
611020,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of cotton, knitted or crocheted ...",171156,193042,193755,186448,199393,230239,251281,265483,275397,406885
854442,"Electric conductors for a voltage <= 1.000 V, insulated, fitted with connectors, n.e.s.",312941,332738,300773,292406,260614,334014,411524,310023,324495,394750
850811,"Vacuum cleaners, incl. dry cleaners and wet vacuum cleaners, with self-contained electric motor, ...",193045,228756,243168,235027,244844,294204,324098,307956,368488,393695
847160,"Input or output units for automatic data-processing machines, whether or not containing storage ...",220081,242728,229078,211270,226232,229116,275021,283785,362394,392442
230910,"Dog or cat food, put up for retail sale",195218,232910,238974,218948,231295,231405,267268,290900,312922,392148
740811,"Wire of refined copper, with a maximum cross-sectional dimension of > 6 mm",3800,25421,185062,225762,213330,303813,316203,282786,252755,390814
271320,Petroleum bitumen,404522,496992,410666,254064,135064,269635,362786,338974,302806,386883
240220,"Cigarettes, containing tobacco",174586,281156,437336,549229,592649,611377,647798,643376,446688,386280
420292,"Travelling-bags, insulated food or beverage bags, toilet bags, rucksacks, shopping-bags, map-cases, ...",370160,381109,377606,371580,336893,364681,466931,391636,316704,386173
870321,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ...",219067,146930,139077,156778,135234,163799,188212,140331,227292,382184
392321,"Sacks and bags, incl. cones, of polymers of ethylene",323628,324170,349631,341708,348345,354743,377132,316004,336240,376956
961900,"Sanitary towels (pads) and tampons, napkins and napkin liners for babies, and similar articles, ...",221808,228372,226964,216852,212758,220362,233594,319664,357815,375470
851660,"Electric ovens, cookers, cooking plates and boiling rings, electric grillers and roasters, ...",218180,222573,250574,228095,245585,272824,278671,252531,310737,371625
620342,"Men's or boys' trousers, bib and brace overalls, breeches and shorts, of cotton (excluding ...",325110,318945,344352,359130,336334,338696,369108,360174,297490,368647
871690,"Parts of trailers and semi-trailers and other vehicles not mechanically propelled, n.e.s.",217369,227573,251065,195534,205558,233432,257901,234638,227115,367325
860310,"Self-propelled railway or tramway coaches, vans and trucks, powered from an external source ...",259775,389093,76253,13993,0,40427,413263,307673,278738,366829
870120,Road tractors for semi-trailers,0,0,0,114873,202922,315736,337333,308088,214576,364977
330300,"Perfumes and toilet waters (excluding aftershave lotions, personal deodorants and hair lotions)",336228,358294,314249,316233,288471,318263,335225,378207,306926,362742
210390,Preparations for sauces and prepared sauces; mixed condiments and seasonings (excluding soya ...,260401,274297,273665,263140,271150,288362,315512,315532,348018,357483
841112,Turbojets of a thrust > 25 kN,166749,172488,254279,206702,171577,257689,197560,232953,221257,351628
420221,"Handbags, whether or not with shoulder straps, incl. those without handles, with outer surface ...",146039,166854,195527,216149,245458,273769,314043,306989,276498,350164
902110,Orthopaedic or fracture appliances,201176,239745,236793,212259,252211,289552,312899,283249,296047,348114
852351,"Solid-state, non-volatile data storage devices for recording data from an external source [flash ...",171850,235544,257563,259728,259796,287425,318134,275914,306811,344997
401519,"Gloves, mittens and mitts, of vulcanised rubber (excl. of a kind used for medical, surgical, ...",100403,89986,87888,83050,82248,93849,103277,104444,228608,344922
901839,"Needles, catheters, cannulae and the like, used in medical, surgical, dental or veterinary ...",234088,237304,254166,278917,291337,262758,309813,275842,281137,344631
842139,Machinery and apparatus for filtering or purifying gases (excl. isotope separators and intake ...,288257,624817,782802,489886,316352,212049,222121,258045,309833,343668
220421,"Wine of fresh grapes, incl. fortified wines, and grape must whose fermentation has been arrested ...",379812,402119,373175,314451,307227,347021,347926,318686,305304,341886
843311,"Mowers for lawns, parks or sports grounds, powered, with the cutting device rotating in a horizontal ...",230036,162460,161978,172685,167118,204473,172488,162354,207388,341786
300439,"Medicaments containing hormones or steroids used as hormones but not antibiotics, put up in ...""",349316,362691,273150,256041,229409,286603,297477,310506,312074,341137
490199,"Printed books, brochures and similar printed matter (excluding those in single sheets; dictionaries, ...",533864,432138,450689,406158,359205,343454,337313,322639,297445,338897
90111,Coffee (excluding roasted and decaffeinated),288749,228585,260614,283771,268842,311851,287262,276874,264963,337105
392010,"Plates, sheets, film, foil and strip, of non-cellular polymers of ethylene, not reinforced, ...",256199,273363,275772,259440,265376,284486,307240,289410,298654,336859
611030,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of man-made fibres, knitted ...",247100,273708,278681,262064,277225,267974,282184,296969,264085,336808
902131,Artificial joints for orthopaedic purposes,280043,276548,303156,305069,348923,341613,339690,289570,266111,335171
902190,"Articles and appliances, which are worn or carried, or implanted in the body, to compensate ...",230852,228942,256896,243918,238744,263720,248460,248663,259472,330468
903180,"Instruments, appliances and machines for measuring or checking, not elsewhere specified in ...",305217,280318,360676,322543,329914,265347,288698,307551,296332,328704
40690,"Cheese (excluding fresh cheese, incl. whey cheese, curd, processed cheese, blue-veined cheese ...""",279422,284643,345297,293570,261912,354525,353203,343113,302052,326784
392490,"Household articles and toilet articles, of plastics (excluding tableware, kitchenware, baths, ...",153730,167726,203567,212254,207863,242364,263515,264387,271006,323949
260800,Zinc ores and concentrates,124099,172519,232034,163420,341448,509292,579905,292737,217286,323343
841480,"Air pumps, air or other gas compressors and ventilating or recycling hoods incorporating a ...",831788,817137,731025,460515,494084,251071,273465,300333,241978,319897
870194,"Tractors, of an engine power > 75 kW but <= 130 kW (excl. those of heading 8709, pedestrian-controlled ...",0,0,0,0,0,207140,188323,166099,215285,319050
710692,"Silver, incl. silver plated with gold or platinum, semi-manufactured",356182,350849,496415,275790,309157,55746,42873,102882,306143,319040
620462,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of cotton (excluding ...",330670,318532,293701,293972,280854,290515,297991,285141,245805,317008
843351,Combine harvester-threshers,234937,160088,136044,138145,173704,224603,168943,127942,124486,314815
