Code,Product label,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021
620293,"Women's or girls' anoraks, windcheaters, wind jackets and similar articles, of man-made fibres ...",301976,433030,568407,602096,629982,764681,1035278,1152580,923086,1434119
846729,"Electromechanical tools for working in the hand, with self-contained electric motor (excluding ...",584,421,624,885,439,327,292,5148,271037,1404944
720711,"Semi-finished products of iron or non-alloy steel containing, by weight, < 0,25% of carbon, ...",12792,17564,38086,7444,3,4390,3844,123863,750139,1337445
520512,"Single cotton yarn, of uncombed fibres, containing >= 85% cotton by weight and with a linear ...""",318785,416721,580296,550759,834846,1037592,1069960,1202747,1048404,1294743
852852,Monitors capable of directly connecting to and designed for use with an automatic data processing ...,0,0,0,0,0,0,6745,33425,256531,1289749
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",85890,53663,59747,93997,439442,550943,627006,672783,715738,1281229
854239,"Electronic integrated circuits (excluding such as processors, controllers, memories and amplifiers)",240709,243335,549479,638003,511766,731846,779511,890103,736943,1279834
160521,"Shrimps and prawns, prepared or preserved, not in airtight containers (excluding smoked)",374771,589144,791827,709501,733870,656514,434969,356845,382655,1251187
252310,Cement clinkers,426330,516746,621422,439747,324806,492957,762052,811043,767809,1173784
940320,"Metal furniture (excluding for offices, seats and medical, surgical, dental or veterinary  ...",66908,88199,117584,151076,164064,182280,244778,401089,659403,1148407
621210,"Brassieres of all types of textile materials, whether or not elasticated, incl. knitted or ...",137767,154428,183058,213233,363179,561480,690134,820477,721248,1132250
940390,"Parts of furniture, n.e.s. (excluding of seats and medical, surgical, dental or veterinary ...",374314,414057,487797,595878,631338,639350,670850,844899,1120832,1072959
30462,"Frozen fillets of catfish """"Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.""""""""",1619728,1584158,1610008,1422509,1530189,1570980,1973718,1721349,1242897,1050681
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",333801,355892,438673,486320,520451,562645,667630,750748,817782,1042662
847180,"Units for automatic data-processing machines (excluding processing units, input or output units ...",7172,15446,21942,44444,25742,5639,7019,156832,291912,1022293
620463,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of synthetic fibres ...",382088,511757,665902,758807,777249,786293,895858,950698,864059,1002360
620462,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of cotton (excluding ...",497669,612223,542727,555999,550068,576682,722688,810519,750026,986124
