Code,Product label,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021
270750,"Aromatic hydrocarbon mixtures of which >= 65% by volume, incl. losses, distils at 250¡ÆC by ...",184644,129300,346038,242509,393230,600176,257155,344478,941520,1563061
847990,"Parts of machines and mechanical appliances, n.e.s.",1997311,1610502,1445709,1285253,1109209,1191414,1294312,1268687,1418656,1561857
901920,"Ozone therapy, oxygen therapy, aerosol therapy, artificial respiration or other therapeutic ...",17937,107873,408456,704900,782362,954820,1152932,1410871,1550530,1368611
841199,"Parts of gas turbines, n.e.s.",590496,627415,824641,708973,736768,1053068,1306136,1409506,1256778,1357339
300213,"Immunological products, unmixed, not put up in measured doses or in forms or packings for retail ...",0,0,0,0,0,0,1035888,1501154,1089302,1313924
902780,"Instruments and apparatus for physical or chemical analysis, or for measuring or checking viscosity, ...",674859,596636,529997,627422,767757,881844,1126884,1018223,1074423,1278693
902790,"Microtomes; parts and accessories of instruments and apparatus for physical or chemical analysis, ...",709858,692220,858308,831980,912917,1021138,1031339,1150354,1159582,1277402
853690,"Electrical apparatus for switching electrical circuits, or for making connections to or in ...",1608704,1761409,1663323,1375199,1225750,1321152,1376021,1180177,1013561,1268802
902750,"Instruments and apparatus for physical or chemical analysis, using UV, visible or IR optical ...",312865,403283,547263,508735,582981,678669,932011,1017620,1224953,1260138
220820,Spirits obtained by distilling grape wine or grape marc,955816,1000094,1011667,989126,978765,957567,1099072,1153501,855597,1248331
381800,"Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, ...",1187383,692280,555395,671457,757979,806156,1005094,1179016,1051081,1222901
390210,"Polypropylene, in primary forms",1186430,1278841,1460392,1158790,1139644,1228832,1360322,1200340,1145439,1209236
330300,"Perfumes and toilet waters (excluding aftershave lotions, personal deodorants and hair lotions)",701302,807288,803828,782785,834148,985546,1114977,1089308,955419,1197949
902139,Artificial parts of the body (excluding artificial teeth and dental fittings and artificial ...,170213,280538,346987,384206,479826,564080,768529,1070021,1402092,1193432
853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",814902,890079,1013168,972547,1107486,1177684,1412015,1196896,1061668,1172628
390720,"Polyethers, in primary forms (excluding polyacetals and goods of 3002 10)",630220,613107,803492,796154,601721,681188,800265,741482,772284,1148716
870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",1748561,1217202,1032652,1187802,1355902,1400590,1478193,1423948,1208943,1124583
330290,"Mixtures of odoriferous substances and mixtures, incl. alcoholic solutions, based on one or ...",618671,669395,723199,722300,758944,791311,904748,980628,1043623,1082842
271320,Petroleum bitumen,1218270,1262091,1463146,1012934,604003,831545,1060212,1004566,812933,1079778
390120,"Polyethylene with a specific gravity of >= 0,94, in primary forms",1258494,1263376,1286442,1127340,1211279,1367131,1377210,1338618,1141692,1070702
292249,"Amino-acids and their esters; salts thereof (excluding those with > one kind of oxygen function, ...""",3319338,2996109,2728774,3523666,3225195,3409218,3494541,2211267,1399386,1047345
854110,Diodes (excluding photosensitive or light emitting diodes),705254,603293,652286,572690,571175,675810,764399,653017,1009971,1037207
330210,"Mixtures of odoriferous substances and mixtures, incl. alcoholic solutions, with a basis of ...",1191340,668323,404269,400124,402874,526692,745327,874307,906798,1031771
850440,Static converters,712137,698510,682372,770272,801162,770060,924430,858456,879673,989214
710812,"Gold, incl. gold plated with platinum, unwrought, for non-monetary purposes (excluding gold ...",372860,365754,190426,507986,877074,232432,147617,108420,128728,985908
854160,Mounted piezoelectric crystals,500721,607006,596061,638122,789491,711747,621421,637231,608228,944816
750210,"Nickel, not alloyed, unwrought",199200,676125,715411,1329697,286634,255887,243808,202149,107085,921265
843143,"Parts for boring or sinking machinery of subheading 8430.41 or 8430.49, n.e.s.",4237094,4404537,3814484,3292943,2005376,1601263,1327192,1302815,1173732,921138
847989,"Machines and mechanical appliances, n.e.s.",767901,757565,1164035,773613,641656,811243,792359,882291,931523,920757
710231,"Non-industrial diamonds unworked or simply sawn, cleaved or bruted (excluding industrial diamonds)",21964,169933,1061177,720498,1089244,883003,973786,683557,580267,911184
290243,P-Xylene,952754,996837,1010684,553269,838592,1325018,1605858,1173165,528000,901443
290250,Styrene,997485,1273444,861371,815638,599722,831982,842743,634560,390259,883314
850760,Lithium-ion accumulators (excluding spent),174389,226428,306796,363701,380092,567530,702980,801332,742839,871766
293590,Sulphonamides (excl. perfluorooctane sulphonamides),0,0,0,0,0,0,729673,766971,529429,837773
293359,"Heterocyclic compounds with nitrogen hetero-atom[s] only, containing a pyrimidine ring, whether ...""",38857,12910,561610,406180,623622,346020,532894,444957,883079,834669
300190,"Dried glands and other organs for organo-therapeutic uses, whether or not powdered; heparin ...",1077902,821162,731993,521648,366779,328518,478820,673622,606551,822767
902190,"Articles and appliances, which are worn or carried, or implanted in the body, to compensate ...",406337,458246,349921,477364,388006,400468,427455,450497,332115,805684
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",1010321,764070,758536,543104,529197,668938,742218,710316,680441,804828
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",309353,381088,480270,414981,421264,437811,438998,449502,441121,787198
220830,Whiskies,797381,820816,773901,826084,803476,814871,894676,921913,696246,779825
853224,"Fixed electrical capacitors, ceramic dielectric, multilayer (excluding power capacitors)",436045,427363,318502,234186,254355,358398,605066,507219,592285,778632
841869,Refrigerating or freezing equipment (excluding refrigerating and freezing furniture),438096,99616,270086,609282,438271,500294,675474,574452,607888,761588
853400,Printed circuits,656601,743971,692731,740055,665735,658194,629727,623681,653253,761160
290531,"Ethylene glycol """"ethanediol""""""""",1187813,1425163,1205404,944207,367723,754934,1000633,579260,568164,751971
852580,"Television cameras, digital cameras and video camera recorders",1003207,963557,822841,699686,640315,685186,784790,668982,593216,748906
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",461769,561893,704456,633105,581182,455565,563650,629936,687943,745516
291532,Vinyl acetate,177914,276634,571799,397845,323271,392320,505877,318903,299620,724457
382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,0,803929,723571,629804,719664
903180,"Instruments, appliances and machines for measuring or checking, not elsewhere specified in ...",314660,287104,358683,343200,376466,399329,544161,522767,526118,709619
852990,"Parts suitable for use solely or principally with flat panel display modules, transmission ...",863163,946792,688261,582127,753114,862338,643645,622348,492061,708328
843149,"Parts of machinery of heading 8426, 8429 and 8430, n.e.s.",1091877,1093579,988081,886754,939856,998068,827033,830258,586853,702985
271111,"Natural gas, liquefied",1393,329,3,94936,106335,196145,318635,141206,239143,685134
