Code,Product label,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021
846299,"Presses, not hydraulic, for working metal (excluding forging, bending, folding, straightening ...",128036,34572,42224,60399,76254,82942,90111,119850,39688,44075
821300,"Scissors, tailors' shears and similar shears, and blades therefor, of base metal (excluding ...",1479,1974,3054,4146,3719,3752,4955,5260,6167,44059
441011,"Particle board of wood, whether or not agglomerated with resins or other organic binding substances ...",12710,13398,13424,17857,18878,28674,31142,34372,38165,43975
320710,"Prepared pigments, prepared opacifiers, prepared colours and similar preparations of a kind ...",21611,18921,24111,24027,23712,26050,31558,36510,34946,43845
30314,"Frozen trout """"Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, ...""",16212,18538,18879,20445,22446,23989,27907,42687,50934,43841
902730,"Spectrometers, spectrophotometers and spectrographs using optical radiations, such as UV, visible, ...",17425,20496,19695,26471,28904,26858,41444,35610,32137,43658
900110,"Optical fibres, optical fibre bundles and cables (excluding made up of individually sheathed ...",27659,39899,57744,61492,56347,58718,88664,61496,36450,43610
847340,"Parts and accessories of other office machines of heading 8472, n.e.s.",2187,3556,4381,4788,3939,2916,5039,7620,13796,43495
381512,"Supported catalysts with precious metal or a precious-metal compound as the active substance, ...",205,2066,346,430,17067,1410,1904,2686,2100,43468
620453,Women's or girls' skirts and divided skirts of synthetic fibres (excluding knitted or crocheted ...,202,200,283,298,843,696,1095,1540,1627,43449
80231,"Fresh or dried walnuts, in shell",4028,2180,123,200,709,4060,10210,24206,29167,43418
410719,"Leather """"incl. parchment-dressed leather"""" of the whole hides and skins of bovine """"incl. ...""",18630,18148,4100,77100,57128,30168,52656,48718,32836,43337
722550,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, not further ...""",668,11624,4580,1481,4967,24646,36265,50485,57705,43305
300432,"Medicaments containing corticosteroid hormones, their derivatives or structural analogues ...""",26930,23374,32978,43852,33041,40134,51635,90132,114192,43185
