Code,Product label,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021
284390,"Inorganic or organic compounds of precious metals, whether or not chemically defined (excluding ...",224594,177086,182810,146254,169655,255355,350207,584123,1395957,2867399
950450,Video game consoles and machines (excluding operated by any means of payment),925063,924852,751503,444790,590963,1492819,2319022,2121841,2718615,2865835
902790,"Microtomes; parts and accessories of instruments and apparatus for physical or chemical analysis, ...",1880549,1744325,1793243,1703795,1923727,2007127,2254335,2410488,2298719,2856208
850440,Static converters,1906969,1973767,1958788,1727221,1825508,2025854,2230500,2399805,2451257,2824468
391990,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether ...",2192601,1962610,1980391,1776514,1852565,2184618,2066337,2018692,2362543,2756433
848630,Machines and apparatus for the manufacture of flat panel displays,1769341,2207686,1907916,2548655,3469095,4541878,5050507,3631962,3102072,2682917
852580,"Television cameras, digital cameras and video camera recorders",9331489,5891055,4547778,3646031,3566229,3433771,3239334,2727070,2395651,2639579
392099,"Plates, sheets, film, foil and strip, of non-cellular plastics, n.e.s., not reinforced, laminated, ...",1883773,1795584,1832285,1609738,1743317,1861479,1969027,2080491,2374209,2611279
901380,"Liquid crystal devices, n.e.s. and other optical appliances and instruments not elsewhere specified ...",6423272,5381490,6484510,5112263,4091021,4879435,3522084,2758141,2616823,2552686
720449,"Waste and scrap of iron or steel (excluding slag, scale and other waste of the production of ...",3497083,3157732,2688540,1916036,1934304,2403099,2369709,1731332,1836892,2498227
870850,"Drive-axles with differential, whether or not provided with other transmission components, ...",2831930,2544339,2423037,2402248,2459926,2522416,2432565,2285643,2014140,2466271
890120,Tankers,3056934,1759485,2195052,1724148,3403670,3501075,5835337,5997333,3263207,2459760
900120,Sheets and plates of polarising material,4273668,3769793,3411108,2747743,2573066,2853707,2816712,2638148,2403683,2447408
847950,"Industrial robots, n.e.s.",1447595,1247689,1452403,1437388,1627572,2206593,1995792,1592161,1723293,2377328
840721,Spark-ignition outboard motors for marine propulsion,1603660,1558361,1620153,1482722,1685061,1750063,2032320,2059990,1660078,2352533
740400,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...",1011291,984617,839448,625891,544038,801176,811752,954012,1260605,2341477
841191,"Parts of turbojets or turbopropellers, n.e.s.",2378787,2526942,2514190,2700905,3050984,3244781,3561068,3640837,2397565,2273640
848340,"Gears and gearing for machinery (excluding toothed wheels, chain sprockets and other transmission ...",2545160,2262152,2166942,1905795,2021189,2226098,2368784,2058031,1765776,2269728
870421,"Motor vehicles for the transport of goods, with only compression-ignition internal combustion ...""",1780379,1658510,1905092,1724152,1712004,1864177,1950214,1970692,1828092,2262500
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excluding ...",1961484,1761910,1728542,1603437,1699088,1845083,1993181,1991418,1938278,2167010
848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excluding pressure-reducing ...""",2200916,2011256,1855265,1701753,1866677,2023503,2114436,1915582,1837107,2134211
854370,"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85",2245933,1810450,1640312,1594261,1729991,1898197,1871509,1702331,1779309,2102258
840999,"Parts suitable for use solely or principally with compression-ignition internal combustion ...""",2663463,2226729,1790278,1505854,1465354,1812839,2044114,1933217,1637909,2078857
284190,"Salts of oxometallic or peroxometallic acids (excluding chromates, dichromates, peroxochromates, ...""",157718,179144,192884,163048,288509,616916,1493158,1944402,1797325,2037975
852990,"Parts suitable for use solely or principally with flat panel display modules, transmission ...",4816193,3780427,3010663,2841352,2682212,2419975,2109719,1958675,1660903,2028018
854129,Transistors with a dissipation rate >= 1 W (excluding photosensitive transistors),1248210,1049699,1142655,967931,1031667,1162131,1352380,1505529,1733593,2015537
901819,"Electro-diagnostic apparatus, incl. apparatus for functional exploratory examination or for ...",999376,1111608,1350398,1385300,1409286,1479377,1539316,1648180,1698748,2001338
848210,Ball bearings,2099110,1806441,1940458,1660656,1631289,1840646,1948139,1787428,1449852,1999899
840734,"Spark-ignition reciprocating piston engine, of a kind used for vehicles of chapter 87, of a ...",2681530,2472276,2595280,2665449,3169309,3489927,3982636,3361750,2338231,1991627
