Code,Product label,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021
480419,"Kraftliner, uncoated, in rolls of a width > 36 cm (excluding unbleached and goods of heading ...",413,533,613,292,638,937,2766,1113,1266,2297
80290,"Nuts, fresh or dried, whether or not shelled or peeled (excluding coconuts, Brazil nuts, cashew ...",8939,6742,9238,11282,7927,5573,9884,7356,2424,2297
600538,"Warp knit fabrics of synthetic fibres, of yarns of different colours """"incl. those made on ...""",0,0,0,0,0,64,100,569,755,2293
30692,"Lobsters """"Homarus spp."""", whether in shell or not, dried, salted, smoked or in brine, incl. ...""",0,0,0,0,0,351,502,375,2006,2293
670210,"Artificial flowers, foliage and fruit and parts thereof, and articles made of artificial flowers, ...",319,475,345,344,299,303,580,1556,1419,2292
290376,"Bromochlorodifluoromethane, bromotrifluoromethane and dibromotetrafluoroethanes",0,105,226,154,302,667,1417,2306,2758,2291
110429,"Grains of cereals, hulled, pearled, sliced, kibbled or otherwise worked (excluding rolled, ...",1038,2197,2654,2957,3625,3917,3584,3837,4842,2282
551693,"Woven fabrics containing predominantly, but < 85% artificial staple fibres by weight, other ...",2923,615,643,879,1671,2368,3235,2717,1876,2277
820510,"Hand-operated drilling, threading or tapping hand tools",7033,4333,3672,3662,2440,2821,3123,2761,1974,2272
560229,"Felt, not impregnated, coated, covered or laminated (excluding that of wool or fine animal ...",978,660,489,337,426,652,1395,1315,2346,2271
380861,"Goods of heading 3808, containing alpha-cypermethrin """"ISO"""", bendiocarb """"ISO"""", bifenthrin ...""",0,0,0,0,0,10,4,95,2068,2266
500500,Yarn spun from silk waste (excluding that put up for retail sale),1330,2802,2209,1307,906,1150,1986,1553,2266,2265
847930,Presses for the manufacture of particle board or fibre building board of wood or other ligneous ...,329,1979,735,1118,1231,1746,3776,870,690,2261
282731,Magnesium chloride,669,729,845,1780,1163,903,2174,1984,2262,2255
731420,"Grill, netting and fencing, welded at the intersection, having a mesh size of >= 100 cm©÷, of ...",876,653,1967,930,1123,2001,1344,1403,1113,2253
480700,"Composite paper and paperboard made by sticking flat layers of paper or paperboard together ...""",1147,1315,1274,1007,344,540,1322,1139,710,2245
870340,"Motor cars and other motor vehicles principally designed for the transport of <10 persons, ...",0,0,0,0,0,986,16684,1421,1859,2237
290543,Mannitol,129,129,193,849,418,264,719,1547,1595,2236
871640,"Trailers and semi-trailers, not designed for running on rails (excluding trailers and semi-trailers ...",4188,1229,3417,2463,2101,2024,1295,1713,589,2228
391211,"Non-plasticised cellulose acetates, in primary forms",1452,3633,4865,3903,1275,1110,1218,1256,2077,2225
530129,"Flax, hackled or otherwise processed, but not spun (excluding broken, scutched and retted flax)",259,242,389,519,392,14,575,734,1571,2214
310319,"Superphosphates (excl. such products containing by weight => 35 % of diphosphorus pentaoxide, ...",0,0,0,0,0,692,3422,2683,5465,2213
284700,"Hydrogen peroxide, whether or not solidified with urea",1022,429,238,346,337,440,259,601,981,2207
340391,Textile lubricant preparations and preparations of a kind used for the oil or grease treatment ...,1726,2194,2068,2231,1773,2179,2746,3614,2386,2200
340311,Textile lubricant preparations and preparations of a kind used for the oil or grease treatment ...,2715,3277,3602,3425,1987,3064,2703,2366,1806,2188
441899,"Builders' joinery and carpentry, of wood (excl. of bamboo, windows, French windows and their ...",0,0,0,0,0,916,4016,7926,4110,2182
670290,"Artificial flowers, foliage and fruit and parts thereof, and articles made of artificial flowers, ...",267,595,743,685,1014,2918,2484,3218,2300,2180
681181,"Corrugated sheets of cellulose fibre-cement or the like, not containing asbestos",13,37,41,79,170,320,182,1196,699,2179
290513,"Butan-1-ol """"n-butyl alcohol""""""""",7941,10159,2418,229,1809,491,1356,512,376,2166
282200,Cobalt oxides and hydroxides; commercial cobalt oxides,21,64,46,33,34,208,1599,438,1115,2164
500710,Woven fabrics of noil silk,4614,3066,3063,2468,1705,796,6130,1321,744,2164
520644,"Multiple """"folded"""" or cabled cotton yarn containing predominantly, but < 85% cotton by weight, ...""",122,441,969,1910,427,926,1736,920,3337,2164
600192,"Pile fabrics of man-made fibres, knitted or crocheted (excluding """"long pile"""" fabrics)""""",31,97,294,491,275,483,1535,1136,1212,2147
680620,"Exfoliated vermiculite, expanded clays, foamed slag and similar expanded mineral materials, ...",615,381,613,551,576,1056,1242,1832,1131,2144
847621,Automatic beverage-vending machines incorporating heating or refrigerating devices,900,938,974,1234,868,1257,1778,2404,2299,2143
252210,Quicklime,1082,723,1261,3453,2218,2936,1659,2047,1818,2143
560391,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., weighing <= 25 ...",173,433,823,1178,276,121,176,378,1951,2129
540239,"Textured synthetic filament yarn (excluding sewing thread, yarn put up for retail sale and ...",4803,3949,3285,3988,2860,2482,1109,1546,1532,2128
902511,"Thermometers, liquid-filled, for direct reading, not combined with other instruments",1520,2026,1838,1339,1474,1666,2215,2512,2627,2124
390530,"Poly""""vinyl alcohol"""", in primary forms, whether or not containing unhydrolyzed acetate groups""""",147,227,210,281,1075,735,802,1900,1110,2120
843320,"Mowers, incl. cutter bars for tractor mounting (excluding mowers for lawns, parks or sports ...",120,83,103,385,1445,1713,152,1613,1269,2113
283526,"Phosphates of calcium (excluding calcium hydrogenorthophosphate """"dicalcium phosphate"""")""""",557,811,710,800,902,943,1131,3806,2083,2107
20610,Fresh or chilled edible offal of bovine animals,132,1078,779,2096,2314,529,749,2645,3142,2099
848620,Machines and apparatus for the manufacture of semiconductor devices or of electronic integrated ...,66,545,165,150,260,392,316,223,574,2098
520632,"Multiple """"folded"""" or cabled cotton yarn containing predominantly, but < 85% cotton by weight, ...""",386,46,402,628,1232,1147,515,688,675,2097
910229,"Wrist-watches, whether or not incorporating a stop-watch facility, with hand winding only (excluding ...",777,471,485,235,478,749,1316,2780,2377,2097
842330,Constant weight scales and scales for discharging a pre-determined weight of material into ...,1463,2069,2685,2192,2305,1840,3417,3068,1661,2090
841460,"Hoods incorporating a fan, whether or not fitted with filters, having a maximum horizontal ...",118,86,527,606,735,1491,1269,2688,1676,2088
911120,"Cases for wrist-watches, pocket-watches and other watches of heading 9101 or 9102, of base ...",0,591,1353,939,1317,1603,1694,1977,1955,2088
610413,"Women's or girls' suits of synthetic fibres, knitted or crocheted (excluding ski overalls and ...",6498,16328,15303,31592,10429,13179,1556,3150,1207,2087
520210,"Cotton yarn waste, incl. thread waste",24572,35049,22477,11976,11977,10805,8295,1443,2584,2086
120110,"Soya bean seed, for sowing",0,7590,4176,1029,1412,2084,6624,6878,5268,2077
853222,"Fixed electrical capacitors, aluminium electrolytic (excluding power capacitors)",165,700,481,406,435,580,991,1199,1702,2075
730422,"Drill pipe, seamless, of stainless steel, of a kind used in drilling for oil or gas",175,195,9185,68,632,734,4101,2386,982,2070
480540,"Filter paper and paperboard, in rolls of a width > 36 cm or in square or rectangular sheets ...",1032,1856,1739,1455,1511,1524,1118,1026,1714,2066
480220,"Paper and paperboard of a kind used as a base for photosensitive, heat-sensitive or electrosensitive ...",6498,1874,2402,1602,1772,2723,6743,4919,3352,2061
294130,Tetracyclines and their derivatives; salts thereof,1603,485,419,588,589,1387,2061,2095,1944,2059
630411,"Knitted or crocheted bedspreads (excluding bedlinen, quilts and eiderdowns)",886,663,1019,2800,1188,1185,1532,880,784,2055
280540,Mercury,732,4753,713,848,1633,635,2393,5193,2300,2053
551421,"Plain woven fabrics containing predominantly, but < 85% polyester staple fibres by weight, ...",1186,1805,1110,1872,1745,1899,2141,2656,2140,2050
281111,"Hydrogen fluoride """"hydrofluoric acid""""""""",1663,1843,2069,3063,1759,3759,2926,3476,2388,2050
811221,Unwrought chromium; chromium powders,330,841,1012,1065,631,991,805,1295,1353,2049
551323,"Woven fabrics containing predominantly, but < 85% polyester staple fibres by weight, mixed ...",5386,10413,7558,7639,6848,6257,4361,4088,1357,2048
401032,"Endless transmission belts of trapezoidal cross-section """"V-belts"""", of vulcanised rubber, ...""",7186,7406,5224,461,433,526,558,792,592,2045
441520,"Pallets, box pallets and other load boards, of wood; pallet collars of wood (excluding containers ...",1869,6669,2425,2129,2673,1937,2003,1684,1580,2042
701890,"Glass eyes (excluding prosthetic articles); articles of glass beads, or of imitation pearls, ...",2286,3897,2729,1917,2051,2056,2688,3239,1472,2042
170240,"Glucose in solid form and glucose syrup, not containing added flavouring or colouring matter, ...",1977,1098,763,243,175,329,479,505,379,2042
30355,"Frozen jack and horse mackerel """"Trachurus spp.""""""""",0,1885,1909,1031,1690,443,1959,1874,2206,2041
901290,"Parts and accessories for electron microscopes, proton microscopes and diffraction apparatus, ...",781,1136,1515,1403,1638,1795,977,1358,1274,2041
520941,"Plain woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m©÷, ...",1134,1466,2506,3969,3182,2624,2698,2056,1730,2041
100119,Durum wheat (excluding seed for sowing),0,319867,81138,3550,2348,450,200,25,949,2040
40819,"Egg yolks, fresh, cooked by steaming or boiling in water, moulded, frozen or otherwise preserved, ...",172,75,253,1202,513,1099,3495,1414,2728,2040
845891,"Lathes, incl. turning centres, for removing metal, numerically controlled (excluding horizontal ...",1796,2037,2188,1850,598,1180,3435,1053,5185,2040
640420,Footwear with outer soles of leather or composition leather and uppers of textile materials ...,15083,5518,11523,14242,4592,3109,5545,3112,2370,2040
821192,"Knives with fixed blades of base metal (excluding straw knives, machetes, knives and cutting ...",47,73,99,58,29,286,506,729,1267,2036
720229,"Ferro-silicon, containing by weight <= 55% silicon",4066,2354,2020,4604,2194,2655,2508,2179,1148,2035
150420,"Fats and oils of fish and their fractions, whether or not refined (excluding liver oils and ...",32642,39581,35568,36157,11627,35157,14118,3221,1747,2032
300310,"Medicaments containing penicillins or derivatives thereof with a penicillanic acid structure, ...",20470,12389,8853,3218,2529,5781,2429,2238,3054,2024
722090,"Flat-rolled products of stainless steel, of a width of < 600 mm, hot-rolled or cold-rolled ...""",15914,10259,2152,1835,1760,2185,1634,2647,1504,2024
830621,"Statuettes and other ornaments, of base metal, plated with precious metal (excluding works ...",627,1527,823,442,765,1098,1624,1593,1301,2010
960990,"Pencils, pastels, drawing charcoals, writing or drawing chalks and tailors' chalks",4108,2405,3048,3238,2926,2750,2955,2770,1791,2002
110620,"Flour, meal and powder of sago or of roots or tubers of manioc, arrowroot, salep, sweet potatoes ...",534,629,1046,813,1086,1210,1003,1537,2720,2002
551422,"Woven fabrics containing predominantly, but < 85% polyester staple fibres by weight, mixed ...",437,1428,1655,692,837,1097,1548,1553,1046,1992
540211,High-tenacity filament yarn of aramids (excluding sewing thread and yarn put up for retail ...,42,1025,212,12,440,1390,405,336,876,1986
851761,"Base stations of apparatus for the transmission or reception of voice, images or other data",1782,6139,1562,3511,854,8493,6842,1208,1097,1986
843691,"Parts of poultry-keeping machinery or poultry incubators and brooders, n.e.s.",4022,2185,3107,3775,2115,1921,2694,2475,1560,1982
853949,Ultraviolet or infra-red lamps,364,1421,361,363,456,862,1106,1554,1677,1981
540781,"Woven fabrics of yarn containing predominantly, but < 85% synthetic filament by weight, incl. ...",8186,8896,9614,7363,4562,8211,7795,4263,2776,1980
340540,"Scouring pastes and powders and other scouring preparations, whether or not in the form of ...",1141,611,735,582,1245,1346,1556,1469,1973,1972
290549,"Tri- and other polyhydric acyclic alcohols (excluding 2-ethyl-2-""""hydroxymethyl"""" propane-1,3-diol ...""",269,738,676,958,968,1055,1136,2551,712,1963
90619,"Cinnamon and cinnamon-tree flowers (excluding cinnamon """"Cinnamomum zeylanicum Blume"""" and ...""",381,368,241,280,756,664,1016,1333,1035,1963
611692,"Gloves, mittens and mitts, of cotton, knitted or crocheted (excl. impregnated, coated, covered ...",3955,4952,3780,3420,4037,3436,3553,2495,3568,1961
71022,"Shelled or unshelled beans """"Vigna spp., Phaseolus spp."""", uncooked or cooked by steaming ...""",814,851,795,1041,1071,1476,1675,1755,2710,1956
843490,"Parts of milking machines and dairy machinery, n.e.s.",899,2195,793,1289,2192,2633,1881,2013,2334,1956
280110,Chlorine,1569,1302,762,2124,1522,1115,1163,1887,1611,1955
490191,"Dictionaries and encyclopaedias, and serial instalments thereof",1460,435,844,562,606,475,376,689,1929,1951
701820,Glass microspheres <= 1 mm in diameter,134,96,2,64,9,50,346,3715,4224,1951
830170,"Keys presented separately for padlocks, locks, clasps and frames with clasps incorporating ...",874,1259,789,1200,1020,4089,1707,1095,730,1949
470691,"Mechanical pulp of fibrous cellulosic material (excluding that of bamboo, wood, cotton linters ...",0,7,231,589,923,322,1380,706,442,1947
551349,"Woven fabrics containing predominantly, but < 85% synthetic staple fibres by weight, mixed ...",2654,2949,2202,2845,1294,4382,6460,6323,2992,1943
300691,Appliances identifiable for ostomy use,30743,71486,101381,46169,10235,106,242,810,1140,1942
400610,"'Camel-back' strips of unvulcanised rubber, for retreading rubber tyres",1035,984,642,340,505,895,1447,1713,1723,1941
521120,"Woven fabrics of cotton, containing predominantly, but < 85% cotton by weight, mixed principally ...",600,868,956,405,390,454,426,1328,612,1940
400400,"Waste, parings and scrap of soft rubber and powders and granules obtained therefrom",1962,657,157,707,1105,586,1105,1905,1121,1936
151491,"High erucic acid rape or colza oil """"fixed oil which has an erucic acid content of >= 2%"""" ...""",2502,4720,3723,4301,4591,5701,1352,127,428,1934
580127,"Warp pile fabrics, of cotton (excluding terry towelling and similar woven terry fabrics, tufted ...",0,186,223,45,31,188,1126,1337,970,1933
846330,"Machine tools for working metal wire, without removing material (excluding wire bending machines ...",1204,1997,2355,1429,966,1825,1470,1672,1107,1932
860610,Railway or tramway tank wagons and the like (excluding self-propelled),0,17160,17635,12013,0,0,0,2586,0,1929
20311,Fresh or chilled carcases and half-carcases of swine,0,0,0,0,0,0,13,132,397,1924
720390,"Spongy ferrous products, obtained from molten pig iron by atomisation, iron of a purity of ...",12355,5659,15918,6714,9551,14830,5350,4600,1808,1921
292146,"Amfetamine """"INN"""", benzfetamine """"INN"""", dexamfetamine """"INN"""", etilamfetamine """"INN"""", fencamfamine ...""",176,376,189,126,397,77,722,756,3280,1921
841382,Liquid elevators (excluding pumps),469,605,3165,16690,2132,981,62997,41832,5196,1920
620219,"Women's or girls' overcoats, raincoats, car coats, capes, cloaks and similar articles, of textile ...",1452,1242,1469,1268,1570,2814,4653,3197,1672,1920
711029,Palladium in semi-manufactured forms,339,722,525,203,288,4703,8467,8796,2369,1916
283319,Sodium sulphates (excluding disodium),18583,18220,21888,23363,21700,9143,1737,790,600,1914
190240,"Couscous, whether or not prepared",3701,3156,2251,929,2579,3236,1616,1502,2409,1913
900661,Electronic discharge lamp flashlight apparatus for photographic purposes,2,397,38,4,111,23,16,94,1144,1909
81110,"Frozen strawberries, uncooked or cooked by steaming or boiling in water, whether or not sweetened",3605,3244,4430,5479,4653,404,2338,2984,1454,1906
400690,"Rods, bars, tubes, profiles and other forms of unvulcanised rubber, incl. mixed rubber, and ...",2186,2526,2470,1954,1959,1975,2281,2155,1863,1905
620212,"Women's or girls' overcoats, raincoats, car coats, capes, cloaks and similar articles, of cotton ...",3593,4569,4293,4502,4317,7970,5427,2817,2159,1900
80211,Fresh or dried almonds in shell,7,5755,116,406,1101,2559,2219,739,564,1900
961310,"Pocket lighters, gas fuelled, non-refillable",2703,5442,2892,1676,3399,3062,2907,1674,1336,1898
852869,"Projectors, not incorporating television reception apparatus (excluding of a kind solely or ...",11788,14318,21540,12438,12716,7054,2133,1954,1701,1897
30760,"Snails, live, fresh, chilled, frozen, salted, dried or in brine, even smoked, with or without ...",2786,3014,2916,2035,1618,2065,2081,2947,1776,1897
271099,Waste oils containing mainly petroleum or bituminous minerals (excluding those containing polychlorinated ...,426941,336507,292576,310381,153357,147465,43334,45128,41715,1895
481720,"Letter cards, plain postcards and correspondence cards, of paper or paperboard (excluding those ...",86,175,687,159,178,249,116,97,124,1894
741210,"Refined copper tube or pipe fittings """"e.g., couplings, elbows, sleeves""""""""",445,259,261,1094,1247,775,290,388,957,1894
90121,Roasted coffee (excluding decaffeinated),802,3175,4250,3410,1844,893,1108,1642,1077,1893
581100,"Quilted textile products in the piece, composed of one or more layers of textile materials ...",3987,1205,1350,1089,798,738,1125,1088,553,1892
960711,Slide fasteners fitted with chain scoops of base metal,6008,5935,3185,2402,6432,2371,2967,1497,857,1889
903082,Instruments and apparatus for measuring or checking semiconductor wafers or devices,3185,1526,1890,2325,2023,1173,1822,2800,2069,1889
680210,"Tiles, cubes and other processed articles of natural stone, incl. slate, for mosaics and the ...",3331,2400,1767,596,417,388,677,939,974,1888
846510,"Machines for working wood, cork, bone, hard rubber, hard plastics or similar hard materials, ...",5699,2761,1852,3826,1338,583,573,599,652,1886
720926,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, not in coils, simply ...""",5438,7190,3245,2821,970,1595,2332,648,353,1884
251990,"Fused magnesia; dead-burned """"sintered"""" magnesia, whether or not containing small quantities ...""",2455,2216,1788,1845,1746,2518,3013,2229,2256,1871
291634,Phenylacetic acid and its salts,797,712,508,219,568,992,2783,1800,2780,1871
71231,"Dried mushrooms of the genus """"Agaricus"""", whole, cut, sliced, broken or in powder, but not ...""",6672,4435,7130,3660,3150,3764,3941,2034,1795,1868
847690,"Parts of automatic goods-vending machines, incl. money changing machines, n.e.s.",823,1150,959,924,1014,693,573,2258,1806,1864
481620,"Self-copy paper, in rolls of a width of <= 36 cm or in rectangular or square sheets with no ...",3313,2826,2122,1647,1855,2506,1291,2366,788,1862
650699,"Headgear, whether or not lined or trimmed, n.e.s.",1530,1856,2150,1670,1681,1419,1006,1218,1483,1852
210210,Active yeasts,825,521,539,307,331,311,581,516,2414,1847
151519,"Linseed oil and fractions thereof, whether or not refined, but not chemically modified (excluding ...",516,821,476,373,669,423,493,713,1655,1841
852349,Optical media for the recording of sound or of other phenomena (excluding unrecorded and goods ...,0,3506,4859,5143,6397,2336,2131,2669,1273,1836
710610,"Powder of silver, incl. silver plated with gold or platinum",13359,5303,3914,1,59,11,23,53,448,1833
441233,"Plywood consisting solely of sheets of wood <= 6 mm thick, with at least one outer ply of non-coniferous ...",0,0,0,0,0,78,285,237,220,1833
854121,Transistors with a dissipation rate < 1 W (excluding photosensitive transistors),511,466,618,756,567,761,1058,1327,1788,1833
30487,"Frozen fillets of tuna """"of the genus Thunnus"""", skipjack or stripe-bellied bonito """"Euthynnus ...""",0,279,249,121,240,302,3975,4690,2124,1833
732190,"Parts of domestic appliances non-electrically heated of heading 7321, n.e.s.",4458,2494,3279,1794,1436,2382,3125,2329,1846,1830
850811,"Vacuum cleaners, incl. dry cleaners and wet vacuum cleaners, with self-contained electric motor, ...",20,500,1354,869,2113,1352,1682,1911,1279,1821
630690,"Camping goods of textile materials (excluding tents, awnings and sunblinds, sails, pneumatic ...",0,1804,1912,1734,1706,1667,1700,2799,1239,1816
720441,"Turnings, shavings, chips, milling waste, sawdust, filings, trimmings and stampings of iron ...",220,212,416,263,47,111,199,52,1757,1815
530710,Single yarn of jute or of other textile bast fibres of heading 5303,6433,2185,2151,2468,1585,1160,1102,799,896,1814
731813,"Screw hooks and screw rings, of iron or steel",372,311,407,481,372,418,329,594,833,1814
40390,"Buttermilk, curdled milk and cream, kephir and other fermented or acidified milk and cream, ...",488,3060,440,368,983,1404,1144,1215,1615,1812
